Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,55.4181454676,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  02:00:00,55.3875302019,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  03:00:00,55.3871483441,0.0,0.0,0.0,15.863942322,29.242365,6.08836475274,0.0,3.20568,2.88268475274
 01/01  04:00:00,55.3860774587,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  05:00:00,55.6038537082,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  06:00:00,55.5956986019,0.0,0.0,0.0,15.863942322,29.242365,6.08842401886,0.0,3.20568,2.88274401886
 01/01  07:00:00,54.1844456822,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  08:00:00,46.9886164492,0.0,0.0,0.0,15.863942322,29.242365,6.08833516037,0.0,3.20568,2.88265516037
 01/01  09:00:00,47.0070642604,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  10:00:00,47.0370005849,0.0,0.0,0.0,15.863942322,29.242365,6.08986282461,0.0,3.20568,2.88418282461
 01/01  11:00:00,47.0514167523,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  12:00:00,47.7470616589,0.0,0.0,0.0,15.863942322,29.242365,6.08978866393,0.0,3.20568,2.88410866393
 01/01  13:00:00,47.0547068803,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  14:00:00,47.0976241507,0.0,0.0,0.0,15.863942322,29.242365,6.08993853905,0.0,3.20568,2.88425853905
 01/01  15:00:00,47.1122964958,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  16:00:00,47.0990270764,0.0,0.0,0.0,15.863942322,29.242365,6.08832900137,0.0,3.20568,2.88264900137
 01/01  17:00:00,49.8555350112,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  18:00:00,55.5617418972,0.0,0.0,0.0,15.863942322,29.242365,6.08838835384,0.0,3.20568,2.88270835384
 01/01  19:00:00,55.552498088,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  20:00:00,55.7596264913,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  21:00:00,55.738283187,0.0,0.0,0.0,15.863942322,29.242365,6.08844762788,0.0,3.20568,2.88276762788
 01/01  22:00:00,55.6195631716,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  23:00:00,55.4636585232,0.0,0.0,0.0,15.863942322,29.242365,6.08835879336,0.0,3.20568,2.88267879336
 01/01  24:00:00,56.1650637475,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/02  01:00:00,55.4589656198,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/02  02:00:00,55.4574153657,0.0,0.0,0.0,15.863942322,29.242365,6.08996052405,0.0,3.20568,2.88428052405
 01/02  03:00:00,55.4539416708,0.0,0.0,0.0,15.863942322,29.242365,6.08988944086,0.0,3.20568,2.88420944086
 01/02  04:00:00,55.4526905772,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/02  05:00:00,55.6657794973,0.0,0.0,0.0,15.863942322,29.242365,6.08981834799,0.0,3.20568,2.88413834799
 01/02  06:00:00,55.6539636445,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/02  07:00:00,62.7934508131,7.5568045731,0.00674274208972,0.0,15.863942322,29.818365,208.659876726,202.569904003,3.20568,2.88429272313
 01/02  08:00:00,120.260957502,7.5568045731,0.00159991986735,0.0,80.527626,29.818365,204.6339482,198.540509329,3.20568,2.88775887084
 01/02  09:00:00,165.46480032,7.5568045731,0.0102834435146,0.0,80.527626,75.0917375,161.976890977,129.255626896,24.0426,8.67866408074
 01/02  10:00:00,165.444850759,7.5568045731,0.00464342086281,0.0,80.527626,75.0917375,136.219560357,94.7161281331,24.0426,17.4608322244
 01/02  11:00:00,169.423229874,7.5568045731,0.00574153067052,0.0,80.527626,79.0911225,121.582998824,69.1439923898,32.0568,20.3822064346
 01/02  12:00:00,170.117079409,7.5568045731,0.0,0.0,80.527626,79.0911225,90.4893836102,38.0050735603,32.0568,20.4275100499
 01/02  13:00:00,169.722922748,7.86720713229,0.0,0.0,80.527626,79.0911225,82.1182095894,29.5951925053,32.0568,20.4662170841
 01/02  14:00:00,166.192810515,8.31556448292,0.0,0.0,80.527626,75.0917375,71.9854244512,32.5443562768,16.0284,23.4126681744
 01/02  15:00:00,166.459903322,8.58144101617,0.0,0.0,80.527626,75.0917375,59.9392638515,26.4460047049,16.0284,17.4648591465
