Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,13.5752621973,2.1699459232,0.0,0.0,1.85583932782,5.577,36.2678261998,31.5274659473,3.0011,1.73926025251
 01/01  02:00:00,9.51214668801,0.0,0.0,0.0,0.618613109274,5.0,3.59318547262,0.0,3.0011,0.59208547262
 01/01  03:00:00,9.54287827632,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  04:00:00,9.55743010009,0.0,0.0,0.0,0.618613109274,5.0,3.59315690193,0.0,3.0011,0.592056901934
 01/01  05:00:00,9.71482490572,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  06:00:00,13.7156230384,2.1699459232,0.0,0.0,1.85583932782,5.577,39.9644059043,34.8706930767,4.50165,0.592062827663
 01/01  07:00:00,27.5631939321,2.1699459232,0.0,0.0,3.71167865564,18.077,42.0098135996,27.3396427381,13.50495,1.16522086152
 01/01  08:00:00,25.638081458,2.1699459232,0.0,0.0,3.71167865564,18.077,43.0184411931,20.8455255131,21.0077,1.16521567995
 01/01  09:00:00,20.6550004822,2.1699459232,0.0,0.0,3.71167865564,13.077,34.9355954042,18.1920501019,15.0055,1.73804530235
 01/01  10:00:00,20.6793802049,2.1699459232,0.0,0.0,3.71167865564,13.077,30.8528590954,14.6819855055,15.0055,1.16537358987
 01/01  11:00:00,25.7014487135,2.1699459232,0.0,0.0,3.71167865564,18.077,44.5675382109,7.51692507398,33.0121,4.03851313688
 01/01  12:00:00,26.8403289438,2.1699459232,0.0,0.0,3.71167865564,18.077,48.4867135605,3.35987797645,40.51485,4.61198558407
 01/01  13:00:00,25.9614177741,2.1699459232,0.0,0.0,3.71167865564,18.077,41.2686663544,2.36761306357,36.0132,2.88785329084
 01/01  14:00:00,25.7580249963,2.1699459232,0.0,0.0,3.71167865564,18.077,37.7239553387,2.7508880604,31.51155,3.46151727832
 01/01  15:00:00,20.7577237758,2.1699459232,0.0,0.0,3.71167865564,13.077,28.8447812005,4.95090311015,21.0077,2.88617809034
 01/01  16:00:00,20.7379726673,2.1699459232,0.0,0.0,3.71167865564,13.077,27.611133651,5.79117991855,19.50715,2.31280373245
 01/01  17:00:00,21.9149066997,2.1699459232,0.0,0.0,3.71167865564,13.077,31.8481506258,6.45393716078,22.50825,2.88596346498
 01/01  18:00:00,28.1709947204,2.1699459232,0.0,0.0,3.71167865564,18.077,35.2049244317,6.80766586194,25.50935,2.88790856981
 01/01  19:00:00,28.1661949211,2.1699459232,0.0,0.0,3.71167865564,18.077,36.2497168929,6.70282231517,25.50935,4.03754457776
 01/01  20:00:00,28.304332806,2.1699459232,0.0,0.0,3.71167865564,18.077,38.0502046784,7.92900191342,25.50935,4.61185276499
 01/01  21:00:00,23.2841376581,2.1699459232,0.0,0.0,3.71167865564,13.077,35.6400219668,10.2440453269,22.50825,2.88772663983
 01/01  22:00:00,23.2126455906,2.1699459232,0.0,0.0,3.71167865564,13.077,36.2547698042,11.2093772137,21.0077,4.03769259043
 01/01  23:00:00,23.105795831,2.1699459232,0.0,0.0,3.71167865564,13.077,33.8865138786,12.4182243857,18.0066,3.46168949294
 01/01  24:00:00,24.2664295292,2.1699459232,0.0,0.0,3.71167865564,13.077,20.5107637308,15.7715935339,3.0011,1.73807019696
 01/02  01:00:00,13.8168429948,2.1699459232,0.0,0.0,1.85583932782,5.577,26.2560823498,21.5167374328,3.0011,1.73824491699
