Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,188.741067804,3.57979111599,66.7218319036,0.0,43.513341876,52.539744,14.2323818605,9.37812186053,4.83426,0.02
 01/01  02:00:00,196.252940913,4.25182783592,73.4833671834,0.0,43.513341876,52.539744,24.8031191144,19.9488591144,4.83426,0.02
 01/01  03:00:00,197.996966861,4.61251535872,74.8036104493,0.0,43.513341876,52.539744,29.5391285493,24.6848685493,4.83426,0.02
 01/01  04:00:00,194.499559738,4.48615779193,71.4658642151,0.0,43.513341876,52.539744,36.4645644732,31.6103044732,4.83426,0.02
 01/01  05:00:00,195.198087785,4.61251535872,71.5786207976,0.0,43.513341876,52.539744,41.0380485147,36.1837885147,4.83426,0.02
 01/01  06:00:00,193.765245617,4.48615779193,70.3058079072,0.0,43.513341876,52.539744,53.2846845502,39.8387555237,4.83426,8.61166902651
 01/01  07:00:00,192.24945115,4.61251535872,71.5893807725,0.0,43.513341876,52.539744,47.2149914734,42.3607314734,4.83426,0.02
 01/01  08:00:00,177.60560961,4.48615779193,72.1280153963,0.0,43.513341876,52.539744,34.0486873185,29.1944273185,4.83426,0.02
 01/01  09:00:00,179.248601011,4.43676789171,73.7767431519,0.0,43.513341876,52.539744,28.1482671318,23.2940071318,4.83426,0.02
 01/01  10:00:00,158.480933615,3.07430927429,54.6310947456,0.0,43.513341876,52.539744,15.1785283176,10.3242683176,4.83426,0.02
 01/01  11:00:00,117.198776426,0.884606116612,16.0939946735,0.0,43.513341876,52.539744,15.7704219728,2.31765674732,4.83426,8.61850522549
 01/01  12:00:00,100.871601494,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  13:00:00,99.9819186022,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  14:00:00,100.059685177,0.0,0.0,0.0,43.513341876,52.539744,13.4526513444,0.0,4.83426,8.61839134443
 01/01  15:00:00,100.08027955,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  16:00:00,100.047939324,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  17:00:00,105.816237683,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  18:00:00,117.744574992,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  19:00:00,117.726188697,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  20:00:00,118.142369133,0.0,0.0,0.0,43.513341876,52.539744,13.4458136883,0.0,4.83426,8.6115536883
 01/01  21:00:00,118.10225018,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  22:00:00,117.872057751,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  23:00:00,117.564246699,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  24:00:00,128.01939855,0.442303058306,8.97395759567,0.0,43.513341876,52.539744,5.75721239211,0.902952392109,4.83426,0.02
 01/02  01:00:00,159.531736929,1.97840624816,39.4359913772,0.0,43.513341876,52.539744,17.099446006,3.64680572737,4.83426,8.61838027861
 01/02  02:00:00,169.094703836,2.42070930647,48.4463788408,0.0,43.513341876,52.539744,9.97453086613,5.12027086613,4.83426,0.02
 01/02  03:00:00,190.980991026,3.47519410852,68.9976933359,0.0,43.513341876,52.539744,12.6010043239,7.74674432395,4.83426,0.02
 01/02  04:00:00,182.676202075,3.18289211983,61.0750152076,0.0,43.513341876,52.539744,12.7341622325,7.87990223253,4.83426,0.02
