Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,22.5006266023,3.97464691587,0.0,0.0,4.58992532963,8.1892,76.7535977512,67.0636198553,3.33988,6.35009789587
 01/01  02:00:00,14.70695764,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  03:00:00,14.730512433,0.0,0.0,0.0,1.52997510988,7.4902,3.93195283338,0.0,3.33988,0.592072833376
 01/01  04:00:00,14.749558685,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  05:00:00,14.9048996803,0.0,0.0,0.0,1.52997510988,7.4902,3.93195873556,0.0,3.33988,0.592078735555
 01/01  06:00:00,22.638659766,3.97464691587,0.0,0.0,4.58992532963,8.1892,75.6374421192,67.2677421192,8.3497,0.02
 01/01  07:00:00,38.6067581596,3.97464691587,0.0176370322594,0.0,9.17985065927,19.4245,83.4540782025,62.7171721771,16.6994,4.03750602546
 01/01  08:00:00,42.896704983,3.97464691587,0.0151795871853,0.0,9.17985065927,26.9147,80.1322792388,51.0454854897,25.0491,4.03769374913
 01/01  09:00:00,41.8455899067,3.97464691587,0.0021534301978,0.0,9.17985065927,26.9147,85.1955121,47.1844656792,33.3988,4.61224642078
 01/01  10:00:00,34.3607857255,3.97464691587,0.0,0.0,9.17985065927,19.4245,81.9361501602,52.8494407336,25.0491,4.03760942667
 01/01  11:00:00,41.8712853074,3.97464691587,0.0213771492035,0.0,9.17985065927,26.9147,105.795791691,51.2911638144,41.7485,12.7561278766
 01/01  12:00:00,42.6017544237,3.97464691587,0.0,0.0,9.17985065927,26.9147,100.709214243,46.2063937399,41.7485,12.7543205033
 01/01  13:00:00,41.907982443,3.97464691587,0.0,0.0,9.17985065927,26.9147,95.5920834131,42.8520774083,41.7485,10.9915060048
 01/01  14:00:00,34.376514777,3.97464691587,0.0,0.0,9.17985065927,19.4245,92.2331293088,48.4215182008,33.3988,10.412811108
 01/01  15:00:00,34.3795612766,3.97464691587,0.0,0.0,9.17985065927,19.4245,83.6983191828,51.1410771841,25.0491,7.50814199866
 01/01  16:00:00,34.3696919559,3.97464691587,0.0,0.0,9.17985065927,19.4245,92.5894657108,51.1058254553,33.3988,8.08484025552
 01/01  17:00:00,42.8662419547,3.97464691587,0.0131056380396,0.0,9.17985065927,26.9147,106.812202545,48.6290671689,50.0982,8.08493537625
 01/01  18:00:00,46.0367824389,3.97464691587,0.0,0.0,9.17985065927,26.9147,110.129452444,49.6171969255,50.0982,10.4140555185
 01/01  19:00:00,46.03684611,3.97464691587,0.0,0.0,9.17985065927,26.9147,109.954821407,47.1031501243,50.0982,12.7534712827
 01/01  20:00:00,38.6773500709,3.97464691587,0.0,0.0,9.17985065927,19.4245,93.5270279824,46.7936197773,33.3988,13.3346082052
 01/01  21:00:00,38.6602016866,3.97464691587,0.0,0.0,9.17985065927,19.4245,89.4326936155,45.6205843373,33.3988,10.4133092783
 01/01  22:00:00,38.5892662638,3.97464691587,0.0,0.0,9.17985065927,19.4245,90.7462502105,52.9437788371,25.0491,12.7533713734
 01/01  23:00:00,38.478670793,3.97464691587,0.0,0.0,9.17985065927,19.4245,83.586843274,56.4741628959,16.6994,10.4132803781
 01/01  24:00:00,39.2664689911,3.97464691587,0.0,0.0,9.17985065927,19.4245,70.9030823745,56.7870172256,8.3497,5.76636514891
 01/02  01:00:00,22.5262238784,3.97464691587,0.0,0.0,4.58992532963,8.1892,72.9259464007,64.3945368354,3.33988,5.1915295653
 01/02  02:00:00,14.7200669602,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/02  03:00:00,14.7389751923,0.0,0.0,0.0,1.52997510988,7.4902,3.93192887555,0.0,3.33988,0.592048875548
 01/02  04:00:00,14.7475915265,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/02  05:00:00,14.8982640632,0.0,0.0,0.0,1.52997510988,7.4902,3.93193481585,0.0,3.33988,0.592054815855
 01/02  06:00:00,22.6314972258,3.97464691587,0.0,0.0,4.58992532963,8.1892,79.0780560558,70.7083560558,8.3497,0.02
 01/02  07:00:00,38.5971705558,3.97464691587,0.0172985723231,0.0,9.17985065927,19.4245,87.1448325348,66.407594006,16.6994,4.03783852882
 01/02  08:00:00,42.8894426798,3.97464691587,0.0215395769596,0.0,9.17985065927,26.9147,101.623420578,60.8874190853,25.0491,15.6869014922
 01/02  09:00:00,41.8170163168,3.97464691587,0.00414594521451,0.0,9.17985065927,26.9147,111.590092886,63.6796717236,33.3988,14.5116211629
 01/02  10:00:00,34.3205543888,3.97464691587,0.0,0.0,9.17985065927,19.4245,103.048263489,66.4183716624,25.0491,11.5807918261
 01/02  11:00:00,41.8153614914,3.97464691587,0.00940464889576,0.0,9.17985065927,26.9147,120.641773153,68.4783422406,41.7485,10.4149309124
 01/02  12:00:00,42.57553638,3.97464691587,0.0,0.0,9.17985065927,26.9147,112.693848693,59.3616828856,41.7485,11.5836658074
 01/02  13:00:00,41.8625661102,3.97464691587,0.0,0.0,9.17985065927,26.9147,105.498728473,53.3368883374,41.7485,10.4133401358
 01/02  14:00:00,34.3351212743,3.97464691587,0.0,0.0,9.17985065927,19.4245,100.956523281,58.307524164,33.3988,9.25019911714
 01/02  15:00:00,34.3317224586,3.97464691587,0.0,0.0,9.17985065927,19.4245,97.7905647248,64.6573334933,25.0491,8.08413123149
 01/02  16:00:00,34.3154139496,3.97464691587,0.0,0.0,9.17985065927,19.4245,110.437484053,68.953153381,33.3988,8.08553067162
 01/02  17:00:00,42.8078988476,3.97464691587,0.013299057776,0.0,9.17985065927,26.9147,124.024245391,66.417892135,50.0982,7.50815325605
 01/02  18:00:00,45.9840379696,3.97464691587,0.0,0.0,9.17985065927,26.9147,122.387111101,61.2967720411,50.0982,10.9921390598
 01/02  19:00:00,45.9928666907,3.97464691587,0.00411553953764,0.0,9.17985065927,26.9147,118.773438626,54.748744269,50.0982,13.9264943569
 01/02  20:00:00,38.6334189088,3.97464691587,0.0,0.0,9.17985065927,19.4245,105.178397694,56.093038568,33.3988,15.6865591257
 01/02  21:00:00,38.615104563,3.97464691587,0.0,0.0,9.17985065927,19.4245,102.191786225,56.0395670129,33.3988,12.7534192123
 01/02  22:00:00,38.5428087758,3.97464691587,0.0,0.0,9.17985065927,19.4245,102.032325813,62.4754601466,25.0491,14.5077656669
 01/02  23:00:00,38.4304606553,3.97464691587,0.0,0.0,9.17985065927,19.4245,94.2909522501,66.0074134175,16.6994,11.5841388326
 01/02  24:00:00,39.2278340189,3.97464691587,0.0,0.0,9.17985065927,19.4245,87.4230153348,72.1485732986,8.3497,6.92474203622
 01/03  01:00:00,22.4629464563,3.97464691587,0.0,0.0,4.58992532963,8.1892,90.1794036085,81.6470063679,3.33988,5.19251724058
 01/03  02:00:00,14.6522746117,0.0,0.0,0.0,1.52997510988,7.4902,3.9319705958,0.0,3.33988,0.592090595804
 01/03  03:00:00,14.6761404671,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/03  04:00:00,14.6890708456,0.0,0.0,0.0,1.52997510988,7.4902,3.9319247478,0.0,3.33988,0.592044747798
 01/03  05:00:00,15.3542369496,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/03  06:00:00,23.0887931773,3.97464691587,0.0,0.0,4.58992532963,8.1892,96.7871535365,88.4174535365,8.3497,0.02
 01/03  07:00:00,38.7691433818,3.97464691587,0.0131519297283,0.0,9.17985065927,19.4245,107.298186407,85.9871857442,16.6994,4.61160066278
 01/03  08:00:00,42.8371709352,3.97464691587,0.0139609763287,0.0,9.17985065927,26.9147,119.178471176,79.0239716148,25.0491,15.1053995611
 01/03  09:00:00,41.7837479088,3.97464691587,0.0,0.0,9.17985065927,26.9147,122.215403589,74.306326078,33.3988,14.5102775113
 01/03  10:00:00,34.3010377069,3.97464691587,0.0,0.0,9.17985065927,19.4245,109.282154008,72.6485265183,25.0491,11.5845274897
 01/03  11:00:00,41.7951778668,3.97464691587,0.00222722818588,0.0,9.17985065927,26.9147,121.186854942,69.0241485746,41.7485,10.4142063674
 01/03  12:00:00,42.5703744471,3.97464691587,0.0,0.0,9.17985065927,26.9147,109.981978471,56.070925974,41.7485,12.1625524974
 01/03  13:00:00,41.8620473172,3.97464691587,0.0,0.0,9.17985065927,26.9147,99.4428920884,47.2804121563,41.7485,10.4139799321
 01/03  14:00:00,34.3432591716,3.97464691587,0.0,0.0,9.17985065927,19.4245,90.2751664405,47.6296951966,33.3988,9.24667124391
 01/03  15:00:00,34.3454600483,3.97464691587,0.0,0.0,9.17985065927,19.4245,85.3618764631,52.2281543022,25.0491,8.08462216089
 01/03  16:00:00,34.3331201085,3.97464691587,0.0,0.0,9.17985065927,19.4245,97.774755129,56.8677546275,33.3988,7.50820050147
 01/03  17:00:00,42.8221318396,3.97464691587,0.00453496086652,0.0,9.17985065927,26.9147,113.579305621,55.3958999624,50.0982,8.08520565877
 01/03  18:00:00,45.9957949876,3.97464691587,0.0,0.0,9.17985065927,26.9147,117.094031538,56.581223852,50.0982,10.4146076865
 01/03  19:00:00,45.988927142,3.97464691587,0.0,0.0,9.17985065927,26.9147,121.110298706,56.5024085155,50.0982,14.5096901904
 01/03  20:00:00,38.4863862728,3.97464691587,0.0,0.0,9.17985065927,19.4245,108.798364101,59.7125003793,33.3988,15.6870637222
 01/03  21:00:00,38.4750280249,3.97464691587,0.0,0.0,9.17985065927,19.4245,108.696807498,62.5423469266,33.3988,12.7556605712
 01/03  22:00:00,38.4320981193,3.97464691587,0.0,0.0,9.17985065927,19.4245,110.252159514,70.6922283913,25.0491,14.5108311224
 01/03  23:00:00,38.423425393,3.97464691587,0.0,0.0,9.17985065927,19.4245,102.600513759,74.3191343052,16.6994,11.5819794539
 01/03  24:00:00,39.2297137905,3.97464691587,0.0,0.0,9.17985065927,19.4245,93.162806507,77.8895394314,8.3497,6.92356707562
 01/04  01:00:00,22.4662682091,3.97464691587,0.0,0.0,4.58992532963,8.1892,94.4756790472,85.9437286773,3.33988,5.1920703699
 01/04  02:00:00,14.6555454104,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/04  03:00:00,14.6796378958,0.0,0.0,0.0,1.52997510988,7.4902,3.93193399928,0.0,3.33988,0.592053999279
 01/04  04:00:00,14.6924856946,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/04  05:00:00,14.8429188659,0.0,0.0,0.0,1.52997510988,7.4902,3.93193993142,0.0,3.33988,0.592059931421
 01/04  06:00:00,22.5789508983,3.97464691587,0.0,0.0,4.58992532963,8.1892,101.233367561,92.8636675606,8.3497,0.02
