Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,864.924189961,96.2418138037,461.713230491,0.0,34.9616554283,113.312780494,656.41733573,642.032338559,5.66466996096,8.72032720978
 01/01  02:00:00,845.053396271,96.2418138037,434.349544849,0.0,34.9616554283,113.312780494,670.537010764,647.451705247,5.66466996096,17.4206355565
 01/01  03:00:00,838.552125969,96.2418138037,427.864567776,0.0,34.9616554283,113.312780494,673.113914455,650.029847797,5.66466996096,17.4193966964
 01/01  04:00:00,858.232819197,96.2418138037,447.742656086,0.0,34.9616554283,113.312780494,666.504689621,652.118853088,5.66466996096,8.72116657229
 01/01  05:00:00,893.511755145,96.2418138037,475.058437511,0.0,44.4937663224,113.312780494,665.369852344,642.286066001,5.66466996096,17.419116382
 01/01  06:00:00,899.954211059,96.2418138037,481.298494552,0.0,44.4937663224,113.312780494,674.414825512,642.83222295,14.1616749024,17.4209276601
 01/01  07:00:00,971.834488722,96.2418138037,482.364016951,0.0,54.0258772165,176.889270242,611.783058505,574.740795,28.3233498048,8.71891369976
 01/01  08:00:00,967.700065786,96.2418138037,482.58440546,0.0,54.0258772165,184.38654557,625.166766813,565.261117848,42.4850247072,17.4206242585
 01/01  09:00:00,1065.96656774,96.2418138037,505.224628965,0.0,65.1572554096,220.04316451,606.792179483,532.646095113,56.6466996096,17.4993847604
 01/01  10:00:00,1084.97876904,96.2418138037,531.501165704,0.0,65.1572554096,212.545889182,596.000176202,527.150625654,42.4850247072,26.3645258408
 01/01  11:00:00,1095.13811995,96.2418138037,534.243201082,0.0,65.1572554096,220.04316451,618.788408891,521.49849723,70.808374512,26.4815371491
 01/01  12:00:00,1093.74002062,96.2418138037,537.374829609,0.0,65.1572554096,220.04316451,621.675906807,515.558619047,70.808374512,35.3089132475
 01/01  13:00:00,1092.36700063,96.2418138037,541.247421224,0.0,65.1572554096,220.04316451,613.078113369,515.783518671,70.808374512,26.4862201866
 01/01  14:00:00,1060.57440468,96.2418138037,523.746458134,0.0,65.1572554096,212.545889182,598.518008686,515.390338344,56.6466996096,26.4809707325
 01/01  15:00:00,1054.79154227,96.2418138037,515.325827398,0.0,65.1572554096,212.545889182,581.061488034,503.268454219,42.4850247072,35.3080091075
 01/01  16:00:00,1074.33091082,96.2418138037,536.98336848,0.0,65.1572554096,212.545889182,568.733119082,485.600896225,56.6466996096,26.4855232476
 01/01  17:00:00,1054.20689566,96.2418138037,541.992681848,0.0,65.1572554096,220.04316451,601.329832127,489.879343821,84.9700494144,26.4804388918
 01/01  18:00:00,997.121118192,96.2418138037,520.517367392,0.0,54.0258772165,184.38654557,637.062569839,525.732025635,84.9700494144,26.3604947897
 01/01  19:00:00,948.16189762,96.2418138037,492.978064653,0.0,44.4937663224,163.454314868,668.440182816,566.049521762,84.9700494144,17.4206116398
 01/01  20:00:00,932.995807779,96.2418138037,484.126790678,0.0,44.4937663224,155.95703954,645.48685254,571.420721711,56.6466996096,17.4194312202
 01/01  21:00:00,893.483406627,96.2418138037,481.40271902,0.0,44.4937663224,124.558693486,673.310901051,607.943008814,56.6466996096,8.72119262716
 01/01  22:00:00,892.805476348,96.2418138037,483.180531782,0.0,44.4937663224,124.558693486,670.726874182,610.822684965,42.4850247072,17.4191645097
 01/01  23:00:00,885.354671037,96.2418138037,483.456003089,0.0,34.9616554283,124.558693486,670.882139464,625.137809195,28.3233498048,17.4209804636
 01/01  24:00:00,886.394974189,96.2418138037,483.359556814,0.0,34.9616554283,124.558693486,652.578567145,629.697954537,14.1616749024,8.71893770634
 01/02  01:00:00,884.728964158,96.2418138037,483.08936464,0.0,46.0930336215,113.312780494,658.12230502,635.036769401,5.66466996096,17.4208656578
 01/02  02:00:00,884.755036734,96.2418138037,483.09168258,0.0,46.0930336215,113.312780494,662.292510447,639.207966109,5.66466996096,17.4198743774
 01/02  03:00:00,869.466156933,96.2418138037,461.471796516,0.0,46.0930336215,113.312780494,667.263837538,644.180427788,5.66466996096,17.4187397893
 01/02  04:00:00,845.78731168,96.2418138037,434.006165068,0.0,46.0930336215,113.312780494,661.859576109,647.474109768,5.66466996096,8.72079638042
