Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/02  01:00:00,95.0778363537,23.0649290005,16.4388577995,8.91600421898,4.12243109448,15.9888894789,97.5874813803,94.5957509625,2.97173041782,0.02
 01/02  02:00:00,79.7596195658,19.3630007385,15.3246179037,8.76031301406,4.12243109448,15.9888894789,84.6780772485,81.6863468306,2.97173041782,0.02
 01/02  03:00:00,93.737993113,24.2037509231,18.7363381761,11.9833851462,4.12243109448,15.9888894789,106.316978318,103.3252479,2.97173041782,0.02
 01/02  04:00:00,83.0387861295,19.3630007385,14.4835841037,10.3114014569,4.12243109448,15.9888894789,86.08751175,83.0957813322,2.97173041782,0.02
 01/02  05:00:00,116.9811291,28.6178213935,20.3504794066,10.6716524786,12.3672932834,24.9413748627,121.379030805,116.406146775,4.9528840297,0.02
 01/02  06:00:00,147.254394192,28.2004079269,23.5071121392,36.3846038927,12.3672932834,24.9413748627,189.909980262,184.937096233,4.9528840297,0.02
 01/02  07:00:00,198.972955277,29.1059914186,17.444164519,35.0268922119,24.7345865669,70.7195625826,158.87338351,148.94761545,9.90576805939,0.02
 01/02  08:00:00,210.865120658,29.1626000091,16.8849383841,25.8872948281,37.1018798503,92.3937384068,140.907556623,130.981788563,9.90576805939,0.02
 01/02  09:00:00,217.154395063,29.1811361289,15.8927379285,22.3584248295,37.1018798503,104.434947198,137.45710419,127.53133613,9.90576805939,0.02
 01/02  10:00:00,227.623402647,29.1942673046,15.4799243866,20.4357635489,37.1018798503,116.476155989,144.315364603,125.781959252,9.90576805939,8.6276372911
 01/02  11:00:00,225.171080021,29.211045722,15.485378403,18.2463751233,37.1018798503,116.476155989,132.703594447,122.777826387,9.90576805939,0.02
 01/02  12:00:00,224.153863547,29.2305855244,16.0672900806,16.6444619808,37.1018798503,116.476155989,136.725249944,118.187352566,9.90576805939,8.63212931902
 01/02  13:00:00,211.61435505,29.2591542386,15.9020450776,14.9727018503,37.1018798503,104.434947198,125.078604117,115.152836057,9.90576805939,0.02
 01/02  14:00:00,223.06427553,29.2868374105,15.4910912842,14.2789446893,37.1018798503,116.476155989,125.050201917,115.124433857,9.90576805939,0.02
