Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,55.4010304473,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  02:00:00,55.3950026617,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  03:00:00,55.3935926716,0.0,0.0,0.0,15.863942322,29.242365,6.08836475275,0.0,3.20568,2.88268475275
 01/01  04:00:00,55.3983544988,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  05:00:00,55.6161468242,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  06:00:00,55.601695193,0.0,0.0,0.0,15.863942322,29.242365,6.08842401887,0.0,3.20568,2.88274401887
 01/01  07:00:00,55.6157477138,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  08:00:00,48.4063321739,0.0,0.0,0.0,15.863942322,29.242365,6.08833516038,0.0,3.20568,2.88265516038
 01/01  09:00:00,46.9856658675,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  10:00:00,47.0051412271,0.0,0.0,0.0,15.863942322,29.242365,6.08986282461,0.0,3.20568,2.88418282461
 01/01  11:00:00,46.9947707714,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  12:00:00,47.6969743774,0.0,0.0,0.0,15.863942322,29.242365,6.08978866393,0.0,3.20568,2.88410866393
 01/01  13:00:00,46.9790573125,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  14:00:00,47.0068956917,0.0,0.0,0.0,15.863942322,29.242365,6.08993853905,0.0,3.20568,2.88425853905
 01/01  15:00:00,47.0220440894,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  16:00:00,47.0152604247,0.0,0.0,0.0,15.863942322,29.242365,6.08832900137,0.0,3.20568,2.88264900137
 01/01  17:00:00,48.3475748929,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  18:00:00,55.4875954559,0.0,0.0,0.0,15.863942322,29.242365,6.08838835384,0.0,3.20568,2.88270835384
 01/01  19:00:00,55.4828553902,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  20:00:00,55.6955652381,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  21:00:00,55.6804485253,0.0,0.0,0.0,15.863942322,29.242365,6.08844762788,0.0,3.20568,2.88276762788
 01/01  22:00:00,55.565816274,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  23:00:00,55.4102137319,0.0,0.0,0.0,15.863942322,29.242365,6.08835879337,0.0,3.20568,2.88267879337
 01/01  24:00:00,56.1299652396,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/02  01:00:00,55.4080723954,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/02  02:00:00,55.4074098557,0.0,0.0,0.0,15.863942322,29.242365,6.08996052405,0.0,3.20568,2.88428052405
 01/02  03:00:00,55.4002172358,0.0,0.0,0.0,15.863942322,29.242365,6.08988944086,0.0,3.20568,2.88420944086
 01/02  04:00:00,55.3944780341,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/02  05:00:00,55.607674927,0.0,0.0,0.0,15.863942322,29.242365,6.08981834799,0.0,3.20568,2.88413834799
 01/02  06:00:00,55.5929617925,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/02  07:00:00,65.0096305977,7.49579689571,0.00608032687488,0.0,15.863942322,29.818365,387.886243565,381.796270417,3.20568,2.88429314878
 01/02  08:00:00,122.332024443,7.49579689571,0.00117827962343,0.0,80.527626,29.818365,351.189360081,345.095921176,3.20568,2.88775890497
 01/02  09:00:00,166.04522898,7.49579689571,0.00590579417828,0.0,80.527626,75.0917375,276.567948438,243.846918797,24.0426,8.67842964144
 01/02  10:00:00,166.04881662,7.49579689571,0.00305507782375,0.0,80.527626,75.0917375,252.07804838,210.57461488,24.0426,17.4608335002
 01/02  11:00:00,170.045898746,7.49579689571,0.00434760757006,0.0,80.527626,79.0911225,250.56656578,198.127558902,32.0568,20.3822068786
 01/02  12:00:00,170.797779776,7.49579689571,0.0,0.0,80.527626,79.0911225,222.246604068,169.762293203,32.0568,20.4275108656
 01/02  13:00:00,170.043399236,7.49579689571,0.0,0.0,80.527626,79.0911225,216.742454525,164.219436639,32.0568,20.4662178853
 01/02  14:00:00,166.057415356,7.49579689571,0.0,0.0,80.527626,75.0917375,220.8865531,181.445484027,16.0284,23.4126690727
 01/02  15:00:00,166.051854394,7.49579689571,0.0,0.0,80.527626,75.0917375,214.012683199,180.51942335,16.0284,17.4648598489
 01/02  16:00:00,164.023631734,7.49579689571,0.0,0.0,80.527626,73.092045,205.227399694,181.632126157,3.20568,20.3895935369
 01/02  17:00:00,165.338174555,7.49579689571,0.0,0.0,80.527626,73.092045,189.199011993,183.105316336,3.20568,2.88801565709
 01/02  18:00:00,129.237501424,7.49579689571,0.0,0.0,80.527626,29.818365,225.672531094,219.579082838,3.20568,2.88776825649
 01/02  19:00:00,129.242896463,7.49579689571,0.0,0.0,80.527626,29.818365,245.149257871,236.175109094,3.20568,5.76846877733
 01/02  20:00:00,129.46251677,7.49579689571,0.0,0.0,80.527626,29.818365,250.909749141,241.926232256,3.20568,5.77783688572
 01/02  21:00:00,129.450988572,7.49579689571,0.0,0.0,80.527626,29.818365,257.279427622,245.422624949,3.20568,8.65112267287
