Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,86.1085976701,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  02:00:00,84.1757710192,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  03:00:00,82.9624969501,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91553259232,0.0,1.75125,1.16428259232
 01/01  04:00:00,82.2439268108,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  05:00:00,88.2989933446,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  06:00:00,87.4268297056,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91549305243,0.0,1.75125,1.16424305243
 01/01  07:00:00,125.418427181,25.4632649968,0.0,0.0,6.98738001645,14.1499734587,370.312718584,366.790218584,3.5025,0.02
 01/01  08:00:00,126.552668298,25.4632649968,0.0,0.0,6.98738001645,14.1499734587,340.76055624,337.23805624,3.5025,0.02
 01/01  09:00:00,158.364815678,25.4632649968,0.0,0.0,6.98738001645,14.1499734587,297.357621323,292.690727991,3.5025,1.16439333186
 01/01  10:00:00,132.527388622,25.4632649968,0.0,0.0,6.98738001645,14.1499734587,285.678452979,282.155952979,3.5025,0.02
 01/01  11:00:00,166.62306714,25.4632649968,0.0,0.0,27.9495200658,27.7759469175,261.283061171,253.113290851,7.005,1.16477032012
 01/01  12:00:00,197.409661874,25.4632649968,0.0,0.0,27.9495200658,27.7759469175,245.341421029,237.171691623,7.005,1.16472940574
 01/01  13:00:00,206.279943812,25.4632649968,0.0426553592287,0.0,41.9242800987,36.8599292233,229.688416551,220.328416551,9.34,0.02
 01/01  14:00:00,204.496192729,25.4632649968,0.0,0.0,41.9242800987,36.8599292233,233.922081712,223.417238788,9.34,1.16484292349
 01/01  15:00:00,201.296504695,25.4632649968,0.0,0.0,41.9242800987,36.8599292233,225.368240172,214.86341734,9.34,1.16482283179
 01/01  16:00:00,197.793958413,25.4632649968,0.0,0.0,41.9242800987,36.8599292233,217.411721586,206.906879692,9.34,1.16484189353
 01/01  17:00:00,201.677716019,25.4632649968,0.0,0.0,41.9242800987,36.8599292233,216.460675884,205.95575964,9.34,1.16491624393
 01/01  18:00:00,183.441605886,25.4632649968,0.0106000169052,0.0,27.9495200658,27.7759469175,252.523337667,245.498337667,7.005,0.02
 01/01  19:00:00,188.363767469,25.4632649968,0.0,0.0,13.9747600329,18.6919646116,272.931889275,267.097218603,4.67,1.16467067296
 01/01  20:00:00,169.169345833,25.4632649968,0.0,0.0,13.9747600329,18.6919646116,279.133072079,273.298379673,4.67,1.16469240612
 01/01  21:00:00,159.964407347,25.4632649968,0.0,0.0,13.9747600329,18.6919646116,280.413963937,275.723963937,4.67,0.02
 01/01  22:00:00,145.129782888,25.4632649968,0.0,0.0,13.9747600329,18.6919646116,238.73852908,232.904032135,4.67,1.16449694485
 01/01  23:00:00,88.6019757497,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  24:00:00,123.25814371,0.0,0.0,0.0,3.49369000822,6.81298672936,2.9155429288,0.0,1.75125,1.1642929288
 01/02  01:00:00,95.1826748569,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  02:00:00,87.4297664647,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  03:00:00,86.3899924917,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  04:00:00,85.4531869816,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49924263321,0.0,2.335,1.16424263321
 01/02  05:00:00,91.3859073877,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  06:00:00,90.4320183712,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  07:00:00,139.766705317,25.4632649968,0.0,0.0,13.9747600329,18.6919646116,351.919014727,346.08475218,4.67,1.16426254741
 01/02  08:00:00,140.054369113,25.4632649968,0.0,0.0,13.9747600329,18.6919646116,328.300448584,323.610448584,4.67,0.02
 01/02  09:00:00,211.440423306,25.4632649968,0.0,0.0,34.9369000822,32.3179380704,305.598983974,296.261893993,8.1725,1.16458998135
 01/02  10:00:00,235.954628271,25.4632649968,0.0,0.0,62.886420148,41.4019203762,277.360197128,266.832697128,10.5075,0.02
 01/02  11:00:00,225.917349142,25.4632649968,0.0,0.0,62.886420148,41.4019203762,268.058991682,256.386469118,10.5075,1.16502256424
 01/02  12:00:00,256.476097036,25.4632649968,0.0,0.0,62.886420148,41.4019203762,254.166316088,241.348383312,10.5075,2.31043277617
 01/02  13:00:00,236.70394729,25.4632649968,0.0,0.0,62.886420148,41.4019203762,250.074659723,238.401963898,10.5075,1.1651958249
 01/02  14:00:00,233.689873875,25.4632649968,0.0,0.0,62.886420148,41.4019203762,251.312207685,239.639301132,10.5075,1.16540655267
 01/02  15:00:00,229.1138651,25.4632649968,0.0,0.0,62.886420148,41.4019203762,248.650005868,236.97743194,10.5075,1.16507392852
 01/02  16:00:00,225.291817505,25.4632649968,0.0,0.0,62.886420148,41.4019203762,243.885860186,232.213354144,10.5075,1.16500604203
 01/02  17:00:00,227.963892036,25.4632649968,0.0,0.0,62.886420148,41.4019203762,245.226300541,233.553791773,10.5075,1.16500876833
 01/02  18:00:00,237.329375419,25.4632649968,0.0,0.0,62.886420148,41.4019203762,250.829278922,239.156752077,10.5075,1.16502684569
 01/02  19:00:00,235.359930637,25.4632649968,0.0,0.0,41.9242800987,36.8599292233,258.030063022,247.525150291,9.34,1.16491273102
 01/02  20:00:00,218.702458894,25.4632649968,0.0,0.0,41.9242800987,36.8599292233,265.434064653,254.929234138,9.34,1.16483051519
 01/02  21:00:00,193.436068319,25.4632649968,0.0,0.0,34.9369000822,32.3179380704,270.242067967,260.904778151,8.1725,1.16478981643
 01/02  22:00:00,136.223012152,25.4632649968,0.0,0.0,13.9747600329,18.6919646116,240.708104954,236.018104954,4.67,0.02
 01/02  23:00:00,80.8345675688,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49944736405,0.0,2.335,1.16444736405
 01/02  24:00:00,115.986696761,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/03  01:00:00,84.7438986206,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/03  02:00:00,78.0939591071,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49925348598,0.0,2.335,1.16425348598
 01/03  03:00:00,77.8526952567,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/03  04:00:00,85.1618679677,7.31188010853,0.0,0.0,3.49369000822,9.08398230582,17.2999965636,14.9449965636,2.335,0.02
 01/03  05:00:00,107.549702479,7.31188010853,0.0,0.0,3.49369000822,9.08398230582,19.1882679398,16.8332679398,2.335,0.02
 01/03  06:00:00,111.16263475,10.9678201628,0.0,0.0,3.49369000822,9.08398230582,31.3066127463,27.8073369916,2.335,1.16427575473
 01/03  07:00:00,151.419123485,25.4632649968,0.0,0.0,13.9747600329,18.6919646116,418.927389414,414.237389414,4.67,0.02
 01/03  08:00:00,142.951896812,25.4632649968,0.0,0.0,13.9747600329,18.6919646116,392.281333085,386.446881793,4.67,1.16445129191
 01/03  09:00:00,206.561357762,25.4632649968,0.0,0.0,34.9369000822,32.3179380704,344.247670932,336.055170932,8.1725,0.02
 01/03  10:00:00,230.675299658,25.4632649968,0.0,0.0,62.886420148,41.4019203762,301.866524679,290.194294401,10.5075,1.1647302785
 01/03  11:00:00,221.042173525,25.4632649968,0.0,0.0,62.886420148,41.4019203762,275.582715248,263.910274247,10.5075,1.16494100127
