Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,22.7656013904,4.21639139909,0.0,0.0,4.58992532963,8.1892,53.4131057813,42.5675206429,3.33988,7.50570513848
 01/01  02:00:00,14.7458270877,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  03:00:00,14.7716351084,0.0,0.0,0.0,1.52997510988,7.4902,3.93195018634,0.0,3.33988,0.592070186343
 01/01  04:00:00,14.7839015346,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  05:00:00,14.9323286547,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  06:00:00,22.9019669803,4.21639139909,0.0,0.0,4.58992532963,8.1892,55.2138859155,46.2720926077,8.3497,0.592093307765
 01/01  07:00:00,38.862162235,4.21639139909,0.0163248576524,0.0,9.17985065927,19.4245,65.1823806926,43.8690172631,16.6994,4.61396342945
 01/01  08:00:00,44.210583269,4.21639139909,0.0161712762521,0.0,9.17985065927,26.9147,63.1103679928,33.4470965892,25.0491,4.61417140359
 01/01  09:00:00,42.1023311702,4.21639139909,0.00222541554483,0.0,9.17985065927,26.9147,66.9625247816,28.9490222272,33.3988,4.61470255446
 01/01  10:00:00,34.6271410937,4.21639139909,0.0,0.0,9.17985065927,19.4245,59.0446451785,29.3803535248,25.0491,4.61519165366
 01/01  11:00:00,42.1379696621,4.21639139909,0.00471957913833,0.0,9.17985065927,26.9147,79.1025438612,22.2558790893,41.7485,15.0981647719
 01/01  12:00:00,42.8880263405,4.21639139909,0.0,0.0,9.17985065927,26.9147,70.1300178671,13.2835138821,41.7485,15.098003985
 01/01  13:00:00,42.2229258231,4.21639139909,0.0,0.0,9.17985065927,26.9147,58.5337102373,5.19911349314,41.7485,11.5860967442
 01/01  14:00:00,34.700559932,4.21639139909,0.0,0.0,9.17985065927,19.4245,49.4268638856,3.8633721453,33.3988,12.1646917403
 01/01  15:00:00,34.7117882307,4.21639139909,0.0,0.0,9.17985065927,19.4245,38.3146221867,4.01957040773,25.0491,9.24595177893
 01/01  16:00:00,34.703557981,4.21639139909,0.0,0.0,9.17985065927,19.4245,46.8062406715,4.73654399365,33.3988,8.67089667789
 01/01  17:00:00,42.1212327332,4.21639139909,0.00314482753834,0.0,9.17985065927,26.9147,67.5526182525,8.20665865735,50.0982,9.2477595952
 01/01  18:00:00,46.3458638149,4.21639139909,0.0,0.0,9.17985065927,26.9147,74.2666846594,12.0026793966,50.0982,12.1658052627
 01/01  19:00:00,46.334142695,4.21639139909,0.0,0.0,9.17985065927,26.9147,76.917013052,12.3006175351,50.0982,14.5181955169
 01/01  20:00:00,38.9616207951,4.21639139909,0.0,0.0,9.17985065927,19.4245,64.230126545,15.734165538,33.3988,15.097161007
 01/01  21:00:00,38.931617187,4.21639139909,0.0,0.0,9.17985065927,19.4245,63.8474640199,18.28369319,33.3988,12.1649708299
 01/01  22:00:00,38.8557469949,4.21639139909,0.0,0.0,9.17985065927,19.4245,67.3501728195,27.2030780891,25.0491,15.0979947304
 01/01  23:00:00,38.7417984837,4.21639139909,0.0,0.0,9.17985065927,19.4245,61.035650233,32.7528039674,16.6994,11.5834462655
 01/01  24:00:00,39.5125180585,4.21639139909,0.0,0.0,9.17985065927,19.4245,49.445744675,34.7504960307,8.3497,6.34554864431
 01/02  01:00:00,22.7807478231,4.21639139909,0.0,0.0,4.58992532963,8.1892,53.9960250393,44.886359264,3.33988,5.76978577522
 01/02  02:00:00,14.7089556782,0.0,0.0,0.0,1.52997510988,7.4902,3.93197457355,0.0,3.33988,0.592094573545
 01/02  03:00:00,14.7299434986,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/02  04:00:00,14.7405157421,0.0,0.0,0.0,1.52997510988,7.4902,3.93192875531,0.0,3.33988,0.592048755308
 01/02  05:00:00,14.8832801995,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/02  06:00:00,22.8424280293,4.21639139909,0.0,0.0,4.58992532963,8.1892,72.7330375467,63.7912569728,8.3497,0.592080573935
 01/02  07:00:00,38.805516973,4.21639139909,0.0134650944117,0.0,9.17985065927,19.4245,81.5646371852,60.2515156061,16.6994,4.61372157904
 01/02  08:00:00,44.1619186872,4.21639139909,0.0142644278356,0.0,9.17985065927,26.9147,93.3661184693,50.2696659087,25.0491,18.0473525606
 01/02  09:00:00,42.0699456283,4.21639139909,0.00117406663363,0.0,9.17985065927,26.9147,90.9710383099,41.2914862864,33.3988,16.2807520235
 01/02  10:00:00,34.6052870639,4.21639139909,0.0,0.0,9.17985065927,19.4245,73.2749478792,34.8868615113,25.0491,13.338986368
 01/02  11:00:00,42.1067940986,4.21639139909,0.00205242055029,0.0,9.17985065927,26.9147,86.6936846938,32.7797788654,41.7485,12.1654058284
 01/02  12:00:00,42.8488095947,4.21639139909,0.0,0.0,9.17985065927,26.9147,77.0845548616,21.99688916,41.7485,13.3391657016
 01/02  13:00:00,42.1756544292,4.21639139909,0.0,0.0,9.17985065927,26.9147,64.963682712,11.051012081,41.7485,12.164170631
 01/02  14:00:00,34.6492592191,4.21639139909,0.0,0.0,9.17985065927,19.4245,56.6890374915,12.8749449268,33.3988,10.4152925648
 01/02  15:00:00,34.6534441115,4.21639139909,0.0,0.0,9.17985065927,19.4245,50.797252107,16.5030359764,25.0491,9.24511613061
 01/02  16:00:00,34.6451227467,4.21639139909,0.0,0.0,9.17985065927,19.4245,61.5951843514,19.5267229188,33.3988,8.6696614326
 01/02  17:00:00,42.0738604333,4.21639139909,0.00289685814275,0.0,9.17985065927,26.9147,79.6972510778,20.3503246259,50.0982,9.2487264519
 01/02  18:00:00,45.2445939313,4.21639139909,0.0,0.0,9.17985065927,26.9147,84.3070547629,22.0429199391,50.0982,12.1659348238
 01/02  19:00:00,46.3136757962,4.21639139909,0.0022060170256,0.0,9.17985065927,26.9147,81.0000688061,14.6203702084,50.0982,16.2814985977
 01/02  20:00:00,38.9512018604,4.21639139909,0.0,0.0,9.17985065927,19.4245,67.2565412525,15.8102342478,33.3988,18.0475070047
 01/02  21:00:00,38.9208702119,4.21639139909,0.0,0.0,9.17985065927,19.4245,67.5849884109,19.6705750523,33.3988,14.5156133586
