Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,804.935786125,96.9793999643,355.395849535,0.0,34.9616554283,113.312780494,484.368433642,469.964336297,5.66466996096,8.73942738441
 01/01  02:00:00,794.715056894,96.9793999643,364.435151612,0.0,34.9616554283,113.312780494,498.974070963,475.850906524,5.66466996096,17.4584944781
 01/01  03:00:00,798.856505449,96.9793999643,368.602656613,0.0,34.9616554283,113.312780494,506.193465837,483.070928678,5.66466996096,17.4578671987
 01/01  04:00:00,804.464113388,96.9793999643,369.624295508,0.0,34.9616554283,113.312780494,512.601735164,489.479879876,5.66466996096,17.4571853269
 01/01  05:00:00,814.114148821,96.9793999643,368.685243096,0.0,44.4937663224,113.312780494,506.639904105,483.518743135,5.66466996096,17.4564910094
 01/01  06:00:00,813.683954756,96.9793999643,368.040414406,0.0,44.4937663224,113.312780494,517.168529989,485.551060508,14.1616749024,17.4557945787
 01/01  07:00:00,883.701342016,96.9793999643,367.323391168,0.0,54.0258772165,176.889270242,467.117678112,421.33922975,28.3233498048,17.4550985574
 01/01  08:00:00,881.530084734,96.9793999643,365.48253271,0.0,54.0258772165,184.38654557,474.821174082,414.881745815,42.4850247072,17.454403559
 01/01  09:00:00,952.903124188,96.9793999643,365.523446725,0.0,65.1572554096,220.04316451,453.886129938,370.926451189,56.6466996096,26.3129791389
 01/01  10:00:00,955.722258112,96.9793999643,367.84375267,0.0,65.1572554096,212.545889182,410.350651027,341.40829966,42.4850247072,26.4573266603
 01/01  11:00:00,971.519631137,96.9793999643,370.790766112,0.0,65.1572554096,220.04316451,432.408796795,326.152425762,70.808374512,35.4479965202
 01/01  12:00:00,981.420026525,96.9861936077,374.789904279,0.0,65.1572554096,220.04316451,414.258118072,316.380936728,70.808374512,27.0688068312
 01/01  13:00:00,990.013510836,97.0495708435,378.089594868,0.0,65.1572554096,220.04316451,414.921330319,309.129202374,70.808374512,34.9837534331
 01/01  14:00:00,986.029859979,97.0944850243,379.64185472,0.0,65.1572554096,212.545889182,396.481144491,304.374822509,56.6466996096,35.4596223723
 01/01  15:00:00,992.024684682,97.1160301381,382.20232032,0.0,65.1572554096,212.545889182,362.633616375,284.694427995,42.4850247072,35.4541636732
 01/01  16:00:00,995.962289185,97.0990318436,384.0136834,0.0,65.1572554096,212.545889182,357.097655748,264.998664997,56.6466996096,35.4522911421
 01/01  17:00:00,966.716390481,96.9947347288,383.409022416,0.0,65.1572554096,220.04316451,408.692443966,291.975065651,84.9700494144,31.7473289004
 01/01  18:00:00,929.063620828,96.9793999643,380.205195717,0.0,54.0258772165,184.38654557,443.152377327,328.045244382,84.9700494144,30.1370835308
 01/01  19:00:00,899.102674165,96.9793999643,376.091127181,0.0,44.4937663224,163.454314868,474.947362579,372.522578358,84.9700494144,17.454734807
 01/01  20:00:00,890.577350785,96.9793999643,370.719606695,0.0,44.4937663224,155.95703954,459.099795994,384.999065089,56.6466996096,17.4540312954
 01/01  21:00:00,857.745481762,96.9793999643,365.124321911,0.0,44.4937663224,124.558693486,500.511902289,426.411866756,56.6466996096,17.4533359228
 01/01  22:00:00,856.565704108,96.9793999643,360.128283874,0.0,44.4937663224,124.558693486,487.565753544,436.073896179,42.4850247072,9.00683265825
 01/01  23:00:00,846.779058977,96.9793999643,356.486036232,0.0,34.9616554283,124.558693486,502.297801846,456.786001509,28.3233498048,17.1884505325
 01/01  24:00:00,846.000758262,96.9793999643,353.085438315,0.0,34.9616554283,124.558693486,497.23704952,465.616927985,14.1616749024,17.4584466325
 01/02  01:00:00,842.165187186,96.9793999643,349.90510199,0.0,46.0930336215,113.312780494,493.743013469,470.620280355,5.66466996096,17.458063153
