Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,194.723139992,30.9916759681,70.7016517377,0.0,34.4311606118,33.1021868926,217.473147508,67.8149336544,3.33212,146.326093854
 01/01  02:00:00,186.167103957,30.9916759681,62.1423734935,0.0,34.4311606118,33.1021868926,167.06300131,55.0495419007,3.33212,108.681339409
 01/01  03:00:00,161.826991393,30.9916759681,55.3084997293,0.0,19.466279405,30.610668775,163.558814926,45.1390384025,3.33212,115.087656523
 01/01  04:00:00,158.337936193,30.9916759681,51.8315497275,0.0,19.466279405,30.610668775,149.600384576,37.5775916907,3.33212,108.690672885
 01/01  05:00:00,165.074482722,30.9916759681,51.9902637295,0.0,19.466279405,30.610668775,181.885345212,32.4741906796,3.33212,146.079034532
 01/01  06:00:00,178.993798473,30.9916759681,53.6735549022,0.0,19.466279405,30.610668775,223.204182241,27.7578994466,8.3303,187.115982795
 01/01  07:00:00,263.292357916,34.9263345775,62.5617532835,0.0,42.6918050922,54.3732441037,300.634506512,25.7698072932,16.6606,258.204099219
 01/01  08:00:00,338.480572445,36.3510927835,88.3939328763,0.0,49.3960418185,88.5934452969,536.984054906,73.3582009433,24.9909,438.634953963
 01/01  09:00:00,366.270358412,36.1807965783,95.5970036895,0.0,57.6566862989,112.030105488,734.084263639,78.1453420392,33.3212,622.6177216
 01/01  10:00:00,309.962966001,36.849428848,94.846335102,0.0,50.9524495726,81.1684271793,571.337342597,59.621465639,66.8089,444.906976958
 01/01  11:00:00,265.748528779,37.2314211201,95.4378552011,0.0,42.6918050922,68.9656133826,460.857399911,40.8259036467,83.4695,336.561996265
 01/01  12:00:00,262.068103216,37.3524990665,95.4632249112,0.0,38.286128036,68.9656133826,379.434803188,27.7558028837,83.4695,268.209500305
 01/01  13:00:00,260.799906484,37.6109968856,94.6909494943,0.0,38.286128036,68.9656133826,299.387847332,19.5778486996,83.4695,196.340498632
 01/01  14:00:00,239.78345041,37.5647881111,92.449071245,0.0,31.5818913096,56.727595265,285.204361581,15.5347985167,75.1392,194.530363064
 01/01  15:00:00,239.900944336,37.5760430273,92.2650686046,0.0,31.5818913096,56.727595265,267.11223179,9.8245367086,66.8089,190.478795082
 01/01  16:00:00,241.497966679,37.4256400825,93.9892176921,0.0,31.5818913096,56.727595265,274.628677423,7.832596242,75.1392,191.656881181
 01/01  17:00:00,267.622802658,36.8138442047,91.9282032255,0.0,31.5818913096,61.661095265,255.718846623,13.5849663173,91.7998,150.334080305
 01/01  18:00:00,285.538224838,36.1890976116,69.1464705092,0.0,31.5818913096,70.9729253606,264.212786728,26.4735842777,49.9818,187.75740245
 01/01  19:00:00,371.840565636,36.2248507401,90.8816025869,0.0,80.3315023541,83.7685254822,316.011249369,40.5943429107,49.9818,225.435106458
 01/01  20:00:00,382.867079268,36.1369711975,98.0159025585,0.0,102.000620287,77.6748002752,381.0993052,53.8193420738,33.3212,293.958763126
 01/01  21:00:00,402.398671732,36.1238393717,96.9802594717,0.0,108.704857014,91.4735406516,400.716951893,74.5635278117,33.3212,292.832224082
 01/01  22:00:00,374.187568003,36.1373759013,96.8960307351,0.0,95.2963835608,89.1510273009,410.987855567,87.6117503004,24.9909,298.385205266
 01/01  23:00:00,321.431353878,36.1339435253,97.2774704848,0.0,80.3315023541,63.3799339444,553.452347828,105.584078848,16.6606,431.20766898
 01/01  24:00:00,245.468382772,36.1238393717,85.6975605213,0.0,42.6918050922,48.4199368926,386.235738835,122.527758303,8.3303,255.377680531
 01/02  01:00:00,180.574467057,30.9916759681,67.9874513316,0.0,25.5240853573,30.610668775,221.463830432,72.0201904998,3.33212,146.111519932
 01/02  02:00:00,161.343094334,30.9916759681,56.0781531599,0.0,19.418418834,29.3649097162,179.843628623,67.972503851,3.33212,108.539004772
 01/02  03:00:00,148.36624175,30.9916759681,51.0258119896,0.0,12.7620426787,28.1191506574,169.294763726,53.5699931083,3.33212,112.392650618
 01/02  04:00:00,145.841125909,30.9916759681,48.504072971,0.0,12.7620426787,28.1191506574,157.25826345,42.8391600495,3.33212,111.0869834
 01/02  05:00:00,152.848113308,30.9916759681,48.9047066384,0.0,12.7620426787,28.1191506574,187.092453686,37.6288117888,3.33212,146.131521898
 01/02  06:00:00,187.679186345,30.9916759681,56.0590006406,0.0,25.5240853573,30.610668775,300.53217087,36.2171276909,8.3303,255.984743179
 01/02  07:00:00,318.009414546,34.9263345775,84.6970628369,0.0,51.0481707146,78.1489452969,483.207828364,30.3633832273,16.6606,436.183845137
 01/02  08:00:00,388.261368803,36.1303761821,100.456387412,0.0,64.3609230253,109.708623606,763.954179505,160.659563853,24.9909,578.303715652
 01/02  09:00:00,332.250384011,36.1409666096,98.9892046987,0.0,51.0481707146,80.7689615957,598.187252274,117.643700786,33.3212,447.222351488
 01/02  10:00:00,302.744488879,36.7992216049,97.5307042668,0.0,51.0481707146,71.0224615957,505.3054386,97.8745490068,66.8089,340.621989594
 01/02  11:00:00,253.349104145,36.9594292128,96.9689078539,0.0,32.1804615127,65.7244621605,424.329620045,80.0616571986,83.4695,260.798462846
 01/02  12:00:00,253.724241298,37.1970803824,96.6208110157,0.0,32.1804615127,65.7244621605,341.834749382,61.5932121357,83.4695,196.772037247
 01/02  13:00:00,252.261623163,37.3393496194,95.8219012119,0.0,32.1804615127,65.7244621605,329.347633817,49.4689265031,83.4695,196.409207314
 01/02  14:00:00,242.672560232,37.3340404862,95.9928071463,0.0,32.1804615127,55.9779621605,320.609588455,49.396259353,75.1392,196.074129102
 01/02  15:00:00,241.999397723,37.4425026307,95.1921416528,0.0,32.1804615127,55.9779621605,303.783530207,47.7785972796,66.8089,189.196032927
 01/02  16:00:00,242.146955489,37.4073888803,95.3975404152,0.0,32.1804615127,55.9779621605,315.543916663,45.12793283,75.1392,195.276783833
 01/02  17:00:00,270.200363872,36.8336663143,94.8919095525,0.0,32.1804615127,60.9114621605,286.749237698,48.4003734064,91.7998,146.549064291
 01/02  18:00:00,318.261582733,36.19013991,94.5088013069,0.0,32.1804615127,77.5397301883,358.772186055,84.0671822238,49.9818,224.723203831
 01/02  19:00:00,377.714846629,36.2336722172,97.135404848,0.0,77.122965704,86.2600435998,538.755615526,81.5012972898,49.9818,407.272518236
 01/02  20:00:00,386.117028537,36.1541658884,98.0507619358,0.0,102.647051061,80.1663183927,404.788036338,76.1792860807,33.3212,295.287550257
 01/02  21:00:00,411.100587054,36.1255881709,97.6353584196,0.0,115.40909374,92.7192997104,436.931319712,104.702635086,33.3212,298.907484625
 01/02  22:00:00,386.941699071,36.147771381,96.903728862,0.0,102.647051061,94.1340635361,599.816545672,137.730665003,24.9909,437.094980669
 01/02  23:00:00,321.599672397,36.2030965496,97.8780815977,0.0,77.122965704,65.871452062,521.94481461,174.713190031,16.6606,330.571024578
 01/02  24:00:00,227.29465233,36.1669394085,71.4434170706,0.0,38.286128036,48.4199368926,395.383384663,200.166120365,8.3303,186.886964298
 01/03  01:00:00,171.585411781,30.9916759681,58.9404999,0.0,25.5240853573,30.610668775,212.462478361,62.9621669444,3.33212,146.168191417
 01/03  02:00:00,156.408085992,30.9916759681,51.0977564482,0.0,19.418418834,29.3649097162,161.05894272,49.159933094,3.33212,108.566889626
 01/03  03:00:00,144.735585613,30.9916759681,47.3507890779,0.0,12.7620426787,28.1191506574,149.698186322,37.8111950217,3.33212,108.554871301
 01/03  04:00:00,142.205093277,30.9916759681,44.7757654153,0.0,12.7620426787,28.1191506574,152.713114786,34.4124283484,3.33212,114.968566438
 01/03  05:00:00,149.753589032,30.9916759681,45.089918592,0.0,12.7620426787,28.1191506574,179.411886486,29.897432462,3.33212,146.182334024
 01/03  06:00:00,185.365025562,30.9916759681,53.0877893033,0.0,25.5240853573,30.610668775,288.956838399,24.4918873806,8.3303,256.134651019
