Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,55.4605370546,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  02:00:00,55.4576243226,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  03:00:00,55.4543209902,0.0,0.0,0.0,15.863942322,29.242365,6.08866526085,0.0,3.20568,2.88298526085
 01/01  04:00:00,55.4515073133,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  05:00:00,55.6616390172,0.0,0.0,0.0,15.863942322,29.242365,6.08868200078,0.0,3.20568,2.88300200078
 01/01  06:00:00,55.6462311171,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  07:00:00,55.6541570381,0.0,0.0,0.0,15.863942322,29.242365,6.08869891586,0.0,3.20568,2.88301891586
 01/01  08:00:00,52.7264540091,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  09:00:00,47.0285203986,0.0,0.0,0.0,15.863942322,29.242365,6.09034076872,0.0,3.20568,2.88466076872
 01/01  10:00:00,47.0729009391,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  11:00:00,47.078034937,0.0,0.0,0.0,15.863942322,29.242365,6.090569828,0.0,3.20568,2.884889828
 01/01  12:00:00,47.7729514825,0.0,0.0,0.0,15.863942322,29.242365,6.09054376827,0.0,3.20568,2.88486376827
 01/01  13:00:00,47.0874877909,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  14:00:00,47.1372488488,0.0,0.0,0.0,15.863942322,29.242365,6.09051772318,0.0,3.20568,2.88483772318
 01/01  15:00:00,47.1700909977,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  16:00:00,47.6747560754,0.277539296966,0.227697143575,0.0,15.863942322,29.242365,6.08877891254,0.0,3.20568,2.88309891254
 01/01  17:00:00,47.0582942875,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  18:00:00,54.1818683078,0.0,0.0,0.0,15.863942322,29.242365,6.08879555254,0.0,3.20568,2.88311555254
 01/01  19:00:00,55.5917128034,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  20:00:00,55.7896985363,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  21:00:00,55.761620601,0.0,0.0,0.0,15.863942322,29.242365,6.08881261239,0.0,3.20568,2.88313261239
 01/01  22:00:00,55.6384170829,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  23:00:00,55.4750044815,0.0,0.0,0.0,15.863942322,29.242365,6.08866305413,0.0,3.20568,2.88298305413
 01/01  24:00:00,56.1712507057,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/02  01:00:00,55.455367806,0.0,0.0,0.0,15.863942322,29.242365,6.09046566926,0.0,3.20568,2.88478566926
 01/02  02:00:00,55.4356152723,0.0,0.0,0.0,15.863942322,29.242365,6.09044341895,0.0,3.20568,2.88476341895
 01/02  03:00:00,55.4287081235,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/02  04:00:00,55.4232234418,0.0,0.0,0.0,15.863942322,29.242365,6.09042105064,0.0,3.20568,2.88474105064
 01/02  05:00:00,55.6249082699,0.0,0.0,0.0,15.863942322,29.242365,6.09039862276,0.0,3.20568,2.88471862276
 01/02  06:00:00,55.5902488257,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/02  07:00:00,64.2920065383,6.79028411282,0.00218359397517,0.0,15.863942322,29.818365,293.272507182,287.182131031,3.20568,2.88469615074
 01/02  08:00:00,125.53188997,6.79028411282,0.000689764982475,0.0,80.527626,29.818365,252.523195401,246.428243415,3.20568,2.88927198538
