Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,13.6715403492,2.2606639255,0.0,0.0,1.85583932782,5.577,23.0081922118,17.6953548365,3.0011,2.31173737528
 01/01  02:00:00,9.56810430981,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  03:00:00,9.59880639937,0.0,0.0,0.0,0.618613109274,5.0,3.59318002737,0.0,3.0011,0.592080027367
 01/01  04:00:00,9.61237149232,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  05:00:00,9.76109214517,0.0,0.0,0.0,0.618613109274,5.0,3.59318591812,0.0,3.0011,0.592085918122
 01/01  06:00:00,13.8360241407,2.2606639255,0.0,0.0,1.85583932782,5.577,24.9552422231,20.4335922231,4.50165,0.02
 01/01  07:00:00,28.3009270769,2.2606639255,0.0,0.0,3.71167865564,18.077,30.8570063699,15.6140521176,13.50495,1.73800425226
 01/01  08:00:00,26.988232588,2.2606639255,0.0,0.0,3.71167865564,18.077,35.7927681959,13.0469227907,21.0077,1.73814540518
 01/01  09:00:00,20.7284594926,2.2606639255,0.0,0.0,3.71167865564,13.077,28.5228704839,12.3517814569,15.0055,1.16558902709
 01/01  10:00:00,20.7512160712,2.2606639255,0.0,0.0,3.71167865564,13.077,24.9070014915,8.16318522469,15.0055,1.73831626679
 01/01  11:00:00,25.7647568824,2.2606639255,0.0,0.0,3.71167865564,18.077,41.3616620328,3.7344068499,33.0121,4.61515518286
 01/01  12:00:00,26.9166784707,2.2606639255,0.0,0.0,3.71167865564,18.077,45.3225133553,0.192363489015,40.51485,4.61529986624
 01/01  13:00:00,26.0569083441,2.2606639255,0.0,0.0,3.71167865564,18.077,40.0506733557,0.0,36.0132,4.03747335571
 01/01  14:00:00,25.8588750604,2.2606639255,0.0,0.0,3.71167865564,18.077,34.9744211651,0.0,31.51155,3.46287116512
 01/01  15:00:00,20.87511712,2.2606639255,0.0,0.0,3.71167865564,13.077,24.4988660281,0.0311877837717,21.0077,3.45997824431
 01/01  16:00:00,20.8666420377,2.2606639255,0.0,0.0,3.71167865564,13.077,22.3943654117,0.0,19.50715,2.8872154117
 01/01  17:00:00,20.7617279313,2.2606639255,0.0,0.0,3.71167865564,13.077,25.5103705593,0.114638181901,22.50825,2.88748237738
 01/01  18:00:00,28.2669576478,2.2606639255,0.0,0.0,3.71167865564,18.077,29.8480570891,0.875230126442,25.50935,3.46347696267
 01/01  19:00:00,28.2509419676,2.2606639255,0.0,0.0,3.71167865564,18.077,31.1645518761,1.04077479458,25.50935,4.61442708153
 01/01  20:00:00,28.3747366587,2.2606639255,0.0,0.0,3.71167865564,18.077,32.6022972983,2.47744904971,25.50935,4.61549824864
 01/01  21:00:00,23.3422485488,2.2606639255,0.0,0.0,3.71167865564,13.077,31.7966848001,5.25151570634,22.50825,4.03691909374
 01/01  22:00:00,23.268447534,2.2606639255,0.0,0.0,3.71167865564,13.077,32.128174754,6.50613672991,21.0077,4.61433802408
 01/01  23:00:00,23.1542995643,2.2606639255,0.0,0.0,3.71167865564,13.077,30.7364327147,8.69288079465,18.0066,4.0369519201
 01/01  24:00:00,24.3137878512,2.2606639255,0.0,0.0,3.71167865564,13.077,16.2286822179,11.4888556346,3.0011,1.73872658329
 01/02  01:00:00,13.8631923593,2.2606639255,0.0,0.0,1.85583932782,5.577,24.3705056322,19.057998133,3.0011,2.3114074992
 01/02  02:00:00,9.52811983601,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/02  03:00:00,9.55503117789,0.0,0.0,0.0,0.618613109274,5.0,3.59317218302,0.0,3.0011,0.592072183022
 01/02  04:00:00,9.56716651773,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/02  05:00:00,9.71059571058,0.0,0.0,0.0,0.618613109274,5.0,3.59317808623,0.0,3.0011,0.592078086235
 01/02  06:00:00,13.7773586339,2.2606639255,0.0,0.0,1.85583932782,5.577,35.8070274228,31.2853774228,4.50165,0.02
 01/02  07:00:00,28.2450308324,2.2606639255,0.0,0.0,3.71167865564,18.077,40.7145136516,25.4715774465,13.50495,1.7379862051
 01/02  08:00:00,26.9372908503,2.2606639255,0.0,0.0,3.71167865564,18.077,46.7392427427,20.5390300553,21.0077,5.19251268745
 01/02  09:00:00,20.6911023501,2.2606639255,0.0,0.0,3.71167865564,13.077,37.2607894546,17.0636400684,15.0055,5.19164938619
 01/02  10:00:00,20.7197400573,2.2606639255,0.0,0.0,3.71167865564,13.077,33.027790586,13.4086973983,15.0055,4.61359318776
 01/02  11:00:00,25.727089178,2.2606639255,0.0,0.0,3.71167865564,18.077,45.5331003678,9.05732671155,33.0121,3.46367365621
 01/02  12:00:00,26.8631459276,2.2606639255,0.0,0.0,3.71167865564,18.077,49.5422599147,4.41426121687,40.51485,4.61314869778
 01/02  13:00:00,25.9751931541,2.2606639255,0.0,0.0,3.71167865564,18.077,39.8247936555,0.347916960291,36.0132,3.46367669516
 01/02  14:00:00,25.7782151484,2.2606639255,0.0,0.0,3.71167865564,18.077,34.9728364479,0.0,31.51155,3.4612864479
 01/02  15:00:00,20.7814168667,2.2606639255,0.0,0.0,3.71167865564,13.077,25.4851273275,1.59082709764,21.0077,2.88660022981
 01/02  16:00:00,20.770278213,2.2606639255,0.0,0.0,3.71167865564,13.077,25.0101930224,2.61586583997,19.50715,2.88717718238
 01/02  17:00:00,20.685586066,2.2606639255,0.0,0.0,3.71167865564,13.077,29.5399292879,4.14426626023,22.50825,2.88741302765
 01/02  18:00:00,27.5728827295,2.2606639255,0.0,0.0,3.71167865564,18.077,34.6919513603,5.14520621535,25.50935,4.03739514499
 01/02  19:00:00,28.2128046577,2.2606639255,0.0,0.0,3.71167865564,18.077,35.1111255458,4.41094932801,25.50935,5.19082621783
 01/02  20:00:00,28.3525935527,2.2606639255,0.0,0.0,3.71167865564,18.077,35.0421329567,4.34051840778,25.50935,5.19226454887
 01/02  21:00:00,23.3247105402,2.2606639255,0.0,0.0,3.71167865564,13.077,35.2347591717,7.5365636542,22.50825,5.18994551748
 01/02  22:00:00,23.2475634003,2.2606639255,0.0,0.0,3.71167865564,13.077,35.7552955722,10.1319022982,21.0077,4.61569327399
 01/02  23:00:00,23.1316845442,2.2606639255,0.0,0.0,3.71167865564,13.077,35.9403405189,13.3210601424,18.0066,4.61268037645
 01/02  24:00:00,24.2994440195,2.2606639255,0.0,0.0,3.71167865564,13.077,22.9226572129,17.6087705253,3.0011,2.31278668764
 01/03  01:00:00,13.8354905186,2.2606639255,0.0,0.0,1.85583932782,5.577,31.2624638071,25.9502767633,3.0011,2.31108704378
 01/03  02:00:00,9.50860760475,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/03  03:00:00,9.53577728148,0.0,0.0,0.0,0.618613109274,5.0,3.59314658428,0.0,3.0011,0.592046584276
 01/03  04:00:00,9.53814318745,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
