Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,76.3712529167,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  02:00:00,75.8345491655,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  03:00:00,75.6007842086,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  04:00:00,84.206710047,8.64598305171,0.0,0.0,3.49369000822,6.81298672936,27.6881086075,24.7725704233,1.75125,1.16428818421
 01/01  05:00:00,90.7711055195,8.64598305171,0.0,0.0,3.49369000822,6.81298672936,29.7000037135,27.9287537135,1.75125,0.02
 01/01  06:00:00,87.492405713,5.76398870114,0.0,0.0,3.49369000822,6.81298672936,22.6028833279,20.8316333279,1.75125,0.02
 01/01  07:00:00,114.585430481,20.1229677177,0.0,0.0,6.98738001645,14.1499734587,438.186193934,433.519391708,3.5025,1.16430222592
 01/01  08:00:00,116.663591011,20.1229677177,0.0,0.0,6.98738001645,14.1499734587,423.346396533,419.823896533,3.5025,0.02
 01/01  09:00:00,145.769255287,20.1229677177,0.0,0.0,6.98738001645,14.1499734587,391.616333951,386.94948795,3.5025,1.16434600091
 01/01  10:00:00,119.623429497,20.1229677177,0.0,0.0,6.98738001645,14.1499734587,335.810136261,332.287636261,3.5025,0.02
 01/01  11:00:00,155.297013433,20.1229677177,0.0,0.0,27.9495200658,27.7759469175,270.455944031,262.286265278,7.005,1.16467875268
 01/01  12:00:00,186.508849592,20.1229677177,0.0,0.0,27.9495200658,27.7759469175,233.627989214,226.602989214,7.005,0.02
 01/01  13:00:00,194.829446084,20.1229677177,0.0,0.0,41.9242800987,36.8599292233,199.241192341,188.736352242,9.34,1.16484009869
 01/01  14:00:00,194.393361523,20.1229677177,0.0,0.0,41.9242800987,36.8599292233,173.874942975,163.370155304,9.34,1.1647876707
 01/01  15:00:00,191.258472433,20.1229677177,0.0,0.0,41.9242800987,36.8599292233,162.212887452,151.708207722,9.34,1.16467973024
 01/01  16:00:00,187.685228019,20.1229677177,0.0,0.0,41.9242800987,36.8599292233,154.988350208,145.628350208,9.34,0.02
 01/01  17:00:00,188.901621405,20.1229677177,0.0,0.0,41.9242800987,36.8599292233,171.155939758,160.651098968,9.34,1.16484079018
 01/01  18:00:00,169.184658579,20.1229677177,0.0,0.0,27.9495200658,27.7759469175,226.997833004,218.828101567,7.005,1.16473143709
