Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,181.332417208,30.6641439654,57.6367805753,0.0,34.4311606118,33.1021868926,135.389093659,23.7137145766,3.33212,108.343259083
 01/01  02:00:00,171.403164942,30.6641439654,47.753838783,0.0,34.4311606118,33.1021868926,105.557656878,21.654890871,3.33212,80.5706460074
 01/01  03:00:00,149.393409273,30.6641439654,43.2581938332,0.0,19.466279405,30.610668775,103.970945222,20.0665754875,3.33212,80.5722497345
 01/01  04:00:00,146.749489772,30.6641439654,40.6341445053,0.0,19.466279405,30.610668775,102.767527181,18.8606826451,3.33212,80.5747245363
 01/01  05:00:00,154.006774492,30.6641439654,41.3216207148,0.0,19.466279405,30.610668775,129.507086949,17.9633433548,3.33212,108.211623594
 01/01  06:00:00,167.683088977,30.6641439654,42.7653168947,0.0,19.466279405,30.610668775,163.37207583,17.3107979859,8.3303,137.730977844
 01/01  07:00:00,250.881218635,33.8013946365,51.35245563,0.0,42.6918050922,54.3732441037,221.994721307,16.8518095228,16.6606,188.482311784
 01/01  08:00:00,317.005455306,35.3700199721,75.9228891582,0.0,49.3960418185,88.5934452969,451.358667053,106.726480252,24.9909,319.641286801
 01/01  09:00:00,380.186035032,35.3700199721,109.877658315,0.0,57.6566862989,112.030105488,609.762150591,122.811349394,33.3212,453.629601197
 01/01  10:00:00,309.286371877,35.6122429851,95.0021953278,0.0,50.9524495726,81.1684271793,508.714719551,109.936116211,66.8089,331.96970334
 01/01  11:00:00,243.06657356,35.833339149,73.6416507895,0.0,42.6918050922,68.9656133826,437.610212711,103.416543677,83.4695,250.724169034
 01/01  12:00:00,235.702394189,35.9953819973,69.9072373501,0.0,38.286128036,68.9656133826,382.880066421,97.8302564971,83.4695,201.580309924
 01/01  13:00:00,242.351108425,36.1080538106,77.4226932253,0.0,38.286128036,68.9656133826,300.519094841,71.0083582608,83.4695,146.04123658
 01/01  14:00:00,241.284373654,36.1428355753,95.5437896668,0.0,31.5818913096,56.727595265,253.729239694,32.558606897,75.1392,146.031432797
 01/01  15:00:00,263.701967416,36.1712036232,117.224346006,0.0,31.5818913096,56.727595265,232.37445886,19.8903288774,66.8089,145.675229983
 01/01  16:00:00,267.583586055,36.1947878174,120.690703512,0.0,31.5818913096,56.727595265,226.745239341,11.4781654893,75.1392,140.127873852
 01/01  17:00:00,281.465424691,35.897105298,103.036185396,0.0,31.5818913096,61.661095265,215.205880603,9.62823708639,91.7998,113.777843516
 01/01  18:00:00,271.924113455,35.3700199721,53.1218614169,0.0,31.5818913096,70.9729253606,251.987095748,65.6874541479,49.9818,136.3178416
 01/01  19:00:00,344.272696934,35.3700199721,63.3686598657,0.0,80.3315023541,83.7685254822,362.65669956,148.230156861,49.9818,164.444742699
 01/01  20:00:00,367.60192441,35.3700199721,82.7437322035,0.0,102.000620287,77.6748002752,371.560518788,122.420828466,33.3212,215.818490322
 01/01  21:00:00,404.182617843,35.3700199721,98.7831687962,0.0,108.704857014,91.4735406516,358.226415958,109.659060443,33.3212,215.246155515
 01/01  22:00:00,382.936387563,35.3700211407,105.830531434,0.0,95.2963835608,89.1510273009,322.815601353,82.0018763854,24.9909,215.822824967
 01/01  23:00:00,325.844567527,35.3700199721,101.882262349,0.0,80.3315023541,63.3799339444,431.604533187,96.2643827439,16.6606,318.679550443
 01/01  24:00:00,235.329130562,35.3700199721,75.8451844703,0.0,42.6918050922,48.4199368926,285.691591536,95.1629436979,8.3303,182.198347838
 01/02  01:00:00,172.378653833,30.6641439654,60.0895186107,0.0,25.5240853573,30.610668775,133.236706994,23.6329092034,3.33212,106.271677791
 01/02  02:00:00,156.422651857,30.6641439654,51.5175825758,0.0,19.418418834,29.3649097162,105.209917318,21.3908598539,3.33212,80.4869374645
 01/02  03:00:00,144.075657871,30.6641439654,47.1166441344,0.0,12.7620426787,28.1191506574,103.481736657,19.6605287472,3.33212,80.4890879096
 01/02  04:00:00,145.356368284,30.6641439654,48.3957192178,0.0,12.7620426787,28.1191506574,98.9291005699,15.1058342772,3.33212,80.4911462927
 01/02  05:00:00,155.562856167,30.6641439654,52.0237740374,0.0,12.7620426787,28.1191506574,120.354606058,8.7964594932,3.33212,108.226026565
 01/02  06:00:00,190.975183227,30.6641439654,59.7645036048,0.0,25.5240853573,30.610668775,211.278765306,15.6685194601,8.3303,187.279945845
 01/02  07:00:00,327.929483204,34.4288447708,95.1449044784,0.0,51.0481707146,78.1489452969,351.022820793,14.6121088613,16.6606,319.750111932
 01/02  08:00:00,388.924536944,35.3818041532,112.006601469,0.0,64.3609230253,109.708623606,472.401778854,24.1678141058,24.9909,423.243064748
 01/02  09:00:00,334.607117603,35.3700199721,102.729714011,0.0,51.0481707146,80.7689615957,383.477359199,19.9474319944,33.3212,330.208727205
 01/02  10:00:00,318.661308688,35.9359934805,113.867301394,0.0,51.0481707146,71.0224615957,326.534187862,8.84638447994,66.8089,250.878903382
 01/02  11:00:00,225.922452277,36.0199072354,70.25533693,0.0,32.1804615127,65.7244621605,302.09314461,17.9699658779,83.4695,200.653678732
