Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/02  01:00:00,70.8133855399,20.9155197355,14.3810066098,0.819177022216,4.12243109448,15.9888894789,91.3330894654,88.3413590476,2.97173041782,0.02
 01/02  02:00:00,65.1601649842,17.3498179174,13.1767490725,0.0,4.12243109448,15.9888894789,79.4464734263,76.4547430085,2.97173041782,0.02
 01/02  03:00:00,75.2689002507,22.8110397156,16.1907594757,1.52669638838,4.12243109448,15.9888894789,100.350247108,97.3585166903,2.97173041782,0.02
 01/02  04:00:00,69.8010154417,18.5538543305,14.7199646767,1.89359862845,4.12243109448,15.9888894789,80.6496605138,77.6579300959,2.97173041782,0.02
 01/02  05:00:00,104.459433773,27.0949814655,24.0529146645,0.91687106722,12.3672932834,24.9413748627,112.29230223,107.3194182,4.9528840297,0.02
 01/02  06:00:00,127.963052552,28.1167355052,25.0598606931,22.7418975672,12.3672932834,24.9413748627,181.170597079,176.197713049,4.9528840297,0.02
 01/02  07:00:00,180.123393128,28.579262698,25.2543771517,16.0997135474,24.7345865669,70.7195625826,146.258756214,136.332988155,9.90576805939,0.02
 01/02  08:00:00,196.892231442,28.7834020926,24.7310374169,10.8913227512,37.1018798503,92.3937384068,126.81082272,116.885054661,9.90576805939,0.02
 01/02  09:00:00,207.767672908,28.8745273526,27.50778802,9.20481354079,37.1018798503,104.434947198,120.944097528,111.018329468,9.90576805939,0.02
 01/02  10:00:00,222.922551262,28.9477841043,31.9933936158,7.75917767667,37.1018798503,116.476155989,126.005445075,107.475660197,9.90576805939,8.62401681935
 01/02  11:00:00,221.075845276,29.0009941523,31.0602813367,6.79185431952,37.1018798503,116.476155989,115.049496279,105.12372822,9.90576805939,0.02
 01/02  12:00:00,221.039081725,29.0513267085,31.984364762,5.78043096088,37.1018798503,116.476155989,112.796480869,102.87071281,9.90576805939,0.02
 01/02  13:00:00,213.585880042,29.1066116951,37.6308289898,4.66723060433,37.1018798503,104.434947198,119.241265155,100.710036255,9.90576805939,8.62546084075
 01/02  14:00:00,222.61019624,29.1489685306,35.3287324224,3.90957362532,37.1018798503,116.476155989,108.935092586,99.0093245268,9.90576805939,0.02
 01/02  15:00:00,219.131721168,29.1944044668,32.5234235438,3.19109778956,37.1018798503,116.476155989,115.645137351,97.1113468574,9.90576805939,8.62802243384
 01/02  16:00:00,219.751686941,29.2286650034,33.4505871718,2.84992029946,37.1018798503,116.476155989,105.815026997,95.8892589379,9.90576805939,0.02
 01/02  17:00:00,220.144327184,29.2341164242,31.5363155076,2.80272129299,37.1018798503,116.476155989,105.584998674,95.6592306149,9.90576805939,0.02
 01/02  18:00:00,229.414993228,29.2325125118,28.910046729,2.95649217884,37.1018798503,116.476155989,105.664398355,95.7386302956,9.90576805939,0.02
 01/02  19:00:00,137.92905479,27.2287632892,23.6501172087,0.0,24.7345865669,47.5788473902,86.8244295925,73.2655760408,4.9528840297,8.60596952199
 01/02  20:00:00,135.822870639,27.6301087602,21.1426021018,0.0,24.7345865669,47.5788473902,84.0260931302,79.0532091005,4.9528840297,0.02
 01/02  21:00:00,113.360355497,26.4260723471,21.141063486,0.0,12.3672932834,38.6892022431,97.5127894041,94.5210589863,2.97173041782,0.02
 01/02  22:00:00,85.9062515594,16.8188725387,15.1713713513,0.00191655350545,12.3672932834,27.0668015668,68.1638095069,65.1720790891,2.97173041782,0.02
 01/02  23:00:00,74.5519397746,21.6872723967,18.1242636677,0.0,4.12243109448,15.9888894789,92.8957684087,89.9040379909,2.97173041782,0.02
