Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,93.9768065511,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  02:00:00,90.9648168472,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  03:00:00,88.4383342456,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  04:00:00,86.403436396,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91553818995,0.0,1.75125,1.16428818995
 01/01  05:00:00,91.6092327208,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  06:00:00,90.2270439904,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  07:00:00,122.417792424,20.1988294307,0.0,0.0,6.98738001645,14.1499734587,340.223262495,335.556460254,3.5025,1.16430224184
 01/01  08:00:00,123.481894903,20.1988294307,0.0,0.0,6.98738001645,14.1499734587,329.029813023,325.507313023,3.5025,0.02
 01/01  09:00:00,155.442757337,20.1988294307,0.0,0.0,6.98738001645,14.1499734587,281.690996062,277.024150035,3.5025,1.16434602688
 01/01  10:00:00,132.154052174,20.1988294307,0.0,0.0,6.98738001645,14.1499734587,256.732394757,253.209894757,3.5025,0.02
 01/01  11:00:00,168.532887833,20.1988294307,0.0,0.0,27.9495200658,27.7759469175,219.304572963,211.134894186,7.005,1.16467877762
 01/01  12:00:00,199.235400453,20.1988294307,0.0,0.0,27.9495200658,27.7759469175,198.418206441,191.393206441,7.005,0.02
 01/01  13:00:00,208.113674644,20.1988294307,0.0,0.0,41.9242800987,36.8599292233,172.984949819,162.480111256,9.34,1.1648385635
 01/01  14:00:00,207.942452595,20.1988294307,0.0,0.0,41.9242800987,36.8599292233,149.388881837,138.884094211,9.34,1.16478762561
 01/01  15:00:00,207.036717615,20.1988294307,0.0,0.0,41.9242800987,36.8599292233,127.846030249,117.341350561,9.34,1.1646796878
