Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,768.591525131,101.729458929,392.309179602,0.0,34.9616554283,113.312780494,655.599967867,641.216934123,5.66466996096,8.71836378258
 01/01  02:00:00,770.521887455,101.729458929,408.095473785,0.0,34.9616554283,113.312780494,667.060454483,643.979281308,5.66466996096,17.4165032144
 01/01  03:00:00,776.247235893,101.729458929,414.112349228,0.0,34.9616554283,113.312780494,674.288875027,651.209222599,5.66466996096,17.4149824674
 01/01  04:00:00,777.143994557,101.729458929,415.725731207,0.0,34.9616554283,113.312780494,672.689904323,658.306504242,5.66466996096,8.71873011954
 01/01  05:00:00,784.051001724,101.729458929,415.693929118,0.0,44.4937663224,113.312780494,676.109729409,653.027988739,5.66466996096,17.4170707087
 01/01  06:00:00,785.433659258,101.729458929,414.111286011,0.0,44.4937663224,113.312780494,689.595533624,658.018405797,14.1616749024,17.4154529249
 01/01  07:00:00,856.003316387,101.729458929,410.69072368,0.0,54.0258772165,176.889270242,631.482413184,594.44007691,28.3233498048,8.7189864688
 01/01  08:00:00,846.554961051,101.729458929,409.276487563,0.0,54.0258772165,184.38654557,618.724893148,558.825260291,42.4850247072,17.4146081504
 01/01  09:00:00,924.077498608,101.729458929,411.019729562,0.0,65.1572554096,220.04316451,571.111392506,496.969000181,56.6466996096,17.495692716
 01/01  10:00:00,921.54547051,101.729458929,412.980483223,0.0,65.1572554096,212.545889182,541.759265105,472.924191466,42.4850247072,26.3500489313
 01/01  11:00:00,933.385818123,101.729458929,413.179374445,0.0,65.1572554096,220.04316451,557.094469374,459.815309039,70.808374512,26.4707858235
 01/01  12:00:00,935.415266016,101.729458929,412.638972025,0.0,65.1572554096,220.04316451,548.716402898,451.437448182,70.808374512,26.4705802033
 01/01  13:00:00,933.844608725,101.729458929,410.840245023,0.0,65.1572554096,220.04316451,546.592475042,440.491308229,70.808374512,35.2927923018
 01/01  14:00:00,922.468864183,101.729458929,409.775471569,0.0,65.1572554096,212.545889182,501.374588753,418.254989717,56.6466996096,26.4728994264
 01/01  15:00:00,931.979807954,101.729458929,409.129001676,0.0,65.1572554096,212.545889182,473.594661118,404.636453504,42.4850247072,26.473182907
 01/01  16:00:00,933.628018554,101.729458929,404.270451362,0.0,65.1572554096,212.545889182,496.46725684,404.532560496,56.6466996096,35.2879967343
 01/01  17:00:00,906.758838597,101.729458929,401.291540716,0.0,65.1572554096,220.04316451,552.030472934,440.582444213,84.9700494144,26.4779793064
 01/01  18:00:00,868.845611728,101.729458929,397.894202972,0.0,54.0258772165,184.38654557,613.040147629,501.719111074,84.9700494144,26.350987141
 01/01  19:00:00,836.327392614,101.729458929,391.918201962,0.0,44.4937663224,163.454314868,646.372711593,552.683678386,84.9700494144,8.71898379305
 01/01  20:00:00,823.870829711,101.729458929,384.567798503,0.0,44.4937663224,155.95703954,639.653022503,565.591717323,56.6466996096,17.4146055707
 01/01  21:00:00,792.256560862,101.729458929,382.082658896,0.0,44.4937663224,124.558693486,680.470995752,606.408376974,56.6466996096,17.4159191686
 01/01  22:00:00,792.827294828,101.729458929,380.71887365,0.0,44.4937663224,124.558693486,666.84051426,615.63624617,42.4850247072,8.71924338281
 01/01  23:00:00,788.14522299,101.729458929,381.292264577,0.0,34.9616554283,124.558693486,681.679812586,635.94140026,28.3233498048,17.4150625217
 01/01  24:00:00,792.419836005,101.729458929,379.61315454,0.0,34.9616554283,124.558693486,675.898053674,644.319971456,14.1616749024,17.4164073155
 01/02  01:00:00,802.700222921,101.729458929,382.949082801,0.0,46.0930336215,113.312780494,663.927412835,649.543181932,5.66466996096,8.71956094146
 01/02  02:00:00,807.408468292,101.729458929,383.462476096,0.0,46.0930336215,113.312780494,677.91422082,654.833888327,5.66466996096,17.4156625322
 01/02  03:00:00,808.318154422,101.729458929,383.680323814,0.0,46.0930336215,113.312780494,680.937541611,657.855806445,5.66466996096,17.4170652047
 01/02  04:00:00,804.558961765,101.729458929,384.119208494,0.0,46.0930336215,113.312780494,677.904483815,663.522922139,5.66466996096,8.71689171543
 01/02  05:00:00,869.509755382,101.729458929,364.007450024,0.0,100.150657288,148.969399434,657.513145563,634.4321556,5.66466996096,17.4163200021
 01/02  06:00:00,888.835716781,101.729458929,370.069751868,0.0,100.150657288,149.894399434,1226.77089485,1195.19148039,14.1616749024,17.4177395565
 01/02  07:00:00,1143.91785429,101.729458929,380.744472697,0.0,176.471037341,302.612436532,805.937696169,768.897204219,28.3233498048,8.71714214508
 01/02  08:00:00,1257.12757139,101.729458929,388.852982486,0.0,243.2593065,310.10971186,731.751119334,662.898481105,42.4850247072,26.367613522
 01/02  09:00:00,1276.62375144,101.729458929,369.759433731,0.0,243.2593065,310.10971186,654.704792484,562.724965687,56.6466996096,35.3331271876
 01/02  10:00:00,1291.45377345,101.735772605,334.583177714,0.0,243.2593065,302.612436532,563.432344313,486.68649277,42.4850247072,34.2608268355
 01/02  11:00:00,1292.21529631,101.848475493,333.852983149,0.0,243.2593065,310.10971186,534.731062414,427.026939181,70.808374512,36.8957487206
 01/02  12:00:00,1249.11436282,101.996398952,351.659396724,0.0,243.2593065,310.10971186,532.830665473,417.313278061,70.808374512,44.7090129005
 01/02  13:00:00,1233.81054245,102.359755678,386.036498183,0.0,243.2593065,310.10971186,526.171224409,419.800687924,70.808374512,35.5621619729
 01/02  14:00:00,1269.9177794,102.834153923,388.593885693,0.0,243.2593065,302.612436532,494.22864625,392.87532891,56.6466996096,44.7066177304
 01/02  15:00:00,1267.45292169,103.243076683,375.738644179,0.0,243.2593065,302.612436532,441.855570614,363.67966091,42.4850247072,35.6908849968
 01/02  16:00:00,1281.74626115,103.554423097,371.937082934,0.0,243.2593065,302.612436532,456.371341997,355.194457103,56.6466996096,44.5301852846
 01/02  17:00:00,1304.07460706,103.642638887,413.406087949,0.0,243.2593065,310.10971186,506.553476661,395.004614157,84.9700494144,26.5788130904
 01/02  18:00:00,1345.7731571,103.755581361,446.087065766,0.0,243.2593065,310.10971186,553.143725617,441.890556401,84.9700494144,26.2831198015
 01/02  19:00:00,1074.72615283,101.729458929,442.91063709,0.0,166.938926447,199.110933808,524.495363912,422.057820236,84.9700494144,17.4674942615
 01/02  20:00:00,1069.48382407,101.729458929,443.957641438,0.0,166.938926447,191.61365848,504.281813267,430.167265112,56.6466996096,17.4678485457
 01/02  21:00:00,932.540046948,101.729458929,442.428657143,0.0,100.150657288,124.558693486,555.06885198,480.953917934,56.6466996096,17.4682344362
 01/02  22:00:00,884.362136316,101.729458929,435.140793353,0.0,100.150657288,124.558693486,552.823120467,492.916878114,42.4850247072,17.4212176451
 01/02  23:00:00,820.664634166,101.729458929,423.86658941,0.0,46.0930336215,124.558693486,553.936944867,516.894583811,28.3233498048,8.71901125106
 01/02  24:00:00,806.940892794,101.729458929,413.17346669,0.0,46.0930336215,124.558693486,553.536505189,521.960797782,14.1616749024,17.4140325045
 01/03  01:00:00,803.765816871,101.729458929,415.139645029,0.0,46.0930336215,113.312780494,545.658798335,522.578025343,5.66466996096,17.4161030312
 01/03  02:00:00,832.800453473,101.729458929,415.29038539,0.0,46.0930336215,113.312780494,534.053623025,519.669594341,5.66466996096,8.71935872333
 01/03  03:00:00,853.958834833,101.729458929,414.486271157,0.0,46.0930336215,113.312780494,538.959940235,515.879946984,5.66466996096,17.4153232908
 01/03  04:00:00,854.761089353,101.729458929,399.815031376,0.0,46.0930336215,113.312780494,535.98989932,512.908525947,5.66466996096,17.416703412
 01/03  05:00:00,939.676334587,101.729458929,370.740413828,0.0,100.150657288,148.969399434,498.669240854,484.284904781,5.66466996096,8.7196661111
 01/03  06:00:00,936.052036522,101.729458929,352.87525692,0.0,100.150657288,149.894399434,798.747765665,767.170637128,14.1616749024,17.4154536346
 01/03  07:00:00,1162.09222808,101.969802048,358.79899037,0.0,176.471037341,302.612436532,579.185052069,533.444420706,28.3233498048,17.4172815579
 01/03  08:00:00,1264.05898578,102.332527028,357.177931106,0.0,243.2593065,310.10971186,537.863268714,470.536889068,42.4850247072,24.8413549388
 01/03  09:00:00,1292.44467284,102.698451237,343.437021857,0.0,243.2593065,310.10971186,496.254320967,411.562921916,56.6466996096,28.0446994418
 01/03  10:00:00,1320.1239163,103.544150657,339.660112673,0.0,243.2593065,302.612436532,457.517811192,379.559064358,42.4850247072,35.4737221267
 01/03  11:00:00,1317.36674385,104.770551804,336.001223762,0.0,243.2593065,310.10971186,461.606216407,355.103292339,70.808374512,35.6945495558
 01/03  12:00:00,1312.99524423,106.00952089,332.759300994,0.0,243.2593065,310.10971186,454.095107591,338.583821396,70.808374512,44.7029116836
 01/03  13:00:00,1260.75308827,107.316760773,338.568234618,0.0,243.2593065,310.10971186,440.192865625,333.811460366,70.808374512,35.573030747
 01/03  14:00:00,1295.40148403,108.790856651,340.610211824,0.0,243.2593065,302.612436532,417.722559341,316.366916616,56.6466996096,44.708943115
 01/03  15:00:00,1313.48708185,109.74955198,333.699397732,0.0,243.2593065,302.612436532,385.466113443,298.356350436,42.4850247072,44.6247382997
 01/03  16:00:00,1323.87850669,110.567756877,329.313550719,0.0,243.2593065,302.612436532,388.80807695,296.549358159,56.6466996096,35.6120191815
 01/03  17:00:00,1335.26726807,110.43640478,344.432112286,0.0,243.2593065,310.10971186,453.529427659,333.140954456,84.9700494144,35.4184237891
 01/03  18:00:00,1360.45002754,110.300621956,366.020918264,0.0,243.2593065,310.10971186,475.144709803,372.642301625,84.9700494144,17.5323587633
 01/03  19:00:00,1100.19534323,101.729458929,382.503151828,0.0,166.938926447,199.110933808,483.206286387,380.76843615,84.9700494144,17.4678008223
 01/03  20:00:00,1090.08371702,101.729458929,379.854224821,0.0,166.938926447,191.61365848,465.15561635,391.04366238,56.6466996096,17.4652543599
 01/03  21:00:00,968.572732019,101.729458929,374.246303313,0.0,100.150657288,124.558693486,507.350262163,433.235964258,56.6466996096,17.4675982954
 01/03  22:00:00,945.593718015,101.729458929,377.751314887,0.0,100.150657288,124.558693486,503.350021025,443.442202382,42.4850247072,17.422793936
 01/03  23:00:00,883.351655556,101.729458929,378.777497286,0.0,46.0930336215,124.558693486,509.742101545,464.003138069,28.3233498048,17.4156136706
 01/03  24:00:00,877.866584374,101.729458929,369.780298375,0.0,46.0930336215,124.558693486,491.246595192,468.365845691,14.1616749024,8.71907459852
 01/04  01:00:00,865.908383668,101.729458929,366.335414611,0.0,46.0930336215,113.312780494,494.156144292,471.07555372,5.66466996096,17.4159206115
 01/04  02:00:00,871.109156398,101.729458929,369.256124082,0.0,46.0930336215,113.312780494,499.005466647,475.924510629,5.66466996096,17.4162860571
 01/04  03:00:00,873.316846527,101.729458929,374.563083947,0.0,46.0930336215,113.312780494,496.277402364,481.893275521,5.66466996096,8.71945688174
 01/04  04:00:00,877.282385463,101.729458929,383.356033703,0.0,46.0930336215,113.312780494,512.154576451,489.0743848,5.66466996096,17.4155216898
 01/04  05:00:00,968.350763895,101.729458929,385.74127592,0.0,100.150657288,148.969399434,496.656757369,473.575165122,5.66466996096,17.4169222862
 01/04  06:00:00,976.524710929,101.912512441,391.58959378,0.0,100.150657288,149.894399434,691.541427744,668.659957743,14.1616749024,8.71979509933
 01/04  07:00:00,1196.33057559,102.814899567,380.837204536,0.0,176.471037341,302.612436532,547.974439984,502.233814584,28.3233498048,17.4172755946
 01/04  08:00:00,1292.72235375,105.128866392,370.157652618,0.0,243.2593065,310.10971186,507.964727342,439.109671052,42.4850247072,26.3700315828
 01/04  09:00:00,1311.89153301,106.881981593,352.835209522,0.0,243.2593065,310.10971186,464.847485257,381.691769567,56.6466996096,26.5090160801
 01/04  10:00:00,1323.03621167,108.561785645,333.252136013,0.0,243.2593065,302.612436532,420.974563324,343.005838872,42.4850247072,35.4836997445
 01/04  11:00:00,1314.2187206,109.953915391,326.035625707,0.0,243.2593065,310.10971186,438.770069489,323.341378634,70.808374512,44.6203163434
 01/04  12:00:00,1307.51688476,111.576254518,325.466070887,0.0,243.2593065,310.10971186,410.258939123,303.684075038,70.808374512,35.7664895735
 01/04  13:00:00,1224.0069497,112.923107583,330.527664644,0.0,243.2593065,310.10971186,416.501840639,301.240367982,70.808374512,44.4530981453
 01/04  14:00:00,1259.01530985,114.384557601,343.870097407,0.0,243.2593065,302.612436532,388.167181803,295.756237232,56.6466996096,35.7642449611
 01/04  15:00:00,1277.75106524,115.345057586,343.492630281,0.0,243.2593065,302.612436532,368.6887557,281.591637148,42.4850247072,44.612093845
 01/04  16:00:00,1286.36242166,115.746902002,345.805169345,0.0,243.2593065,302.612436532,376.040604677,283.769568035,56.6466996096,35.624337032
 01/04  17:00:00,1315.06547811,115.105300875,367.786035518,0.0,243.2593065,310.10971186,440.705960256,320.306853315,84.9700494144,35.4290575268
 01/04  18:00:00,1344.94549597,114.422740905,393.68677734,0.0,243.2593065,310.10971186,464.854572962,362.355450068,84.9700494144,17.52907348
 01/04  19:00:00,1083.40589202,101.729458929,428.456965585,0.0,166.938926447,199.110933808,487.634447169,385.193761183,84.9700494144,17.4706365714
 01/04  20:00:00,1080.33327895,101.729458929,426.405304067,0.0,166.938926447,191.61365848,476.846812387,398.988370712,56.6466996096,21.2117420655
 01/04  21:00:00,972.417538803,101.729458929,421.789997088,0.0,100.150657288,124.558693486,520.260719318,441.168938879,56.6466996096,22.4450808296
 01/04  22:00:00,939.904033861,101.729458929,414.694119431,0.0,100.150657288,124.558693486,505.765287494,454.558301719,42.4850247072,8.72196106855
 01/04  23:00:00,865.736325132,101.729458929,408.313982952,0.0,46.0930336215,124.558693486,524.99744222,479.259147763,28.3233498048,17.4149446519
 01/04  24:00:00,861.746082038,101.729458929,403.762514242,0.0,46.0930336215,124.558693486,523.244970772,491.666945389,14.1616749024,17.4163504798
 01/05  01:00:00,852.378213591,101.729458929,399.868649493,0.0,46.0930336215,113.312780494,512.018670776,497.634462466,5.66466996096,8.71953834862
 01/05  02:00:00,856.299754535,101.729458929,398.264218181,0.0,46.0930336215,113.312780494,523.804083658,500.723712803,5.66466996096,17.4157008946
 01/05  03:00:00,856.655228596,101.729458929,398.29317183,0.0,46.0930336215,113.312780494,527.919378341,504.837580513,5.66466996096,17.4171278665
 01/05  04:00:00,854.484519876,101.729458929,398.874616748,0.0,46.0930336215,113.312780494,524.793470676,510.409753688,5.66466996096,8.719047027
 01/05  05:00:00,941.140840733,101.729458929,398.207154124,0.0,100.150657288,148.969399434,520.680911432,497.599920058,5.66466996096,17.4163214125
 01/05  06:00:00,935.248216711,102.218288309,395.856718569,0.0,100.150657288,149.894399434,719.833544715,688.254067743,14.1616749024,17.4178020695
 01/05  07:00:00,1166.13822434,103.835719722,393.094502919,0.0,176.471037341,302.612436532,567.957528531,530.91691368,28.3233498048,8.71726504605
 01/05  08:00:00,1277.32115299,106.840398788,391.441261246,0.0,243.2593065,310.10971186,541.518209059,472.662995378,42.4850247072,26.370188973
 01/05  09:00:00,1318.50218177,108.358139812,396.86754726,0.0,243.2593065,310.10971186,509.157028509,417.175549879,56.6466996096,35.3347790203
 01/05  10:00:00,1325.03499059,109.636141404,369.179907689,0.0,243.2593065,302.612436532,449.295307751,371.376556352,42.4850247072,35.433726691
 01/05  11:00:00,1309.49010155,110.848144994,347.893569881,0.0,243.2593065,310.10971186,453.417583849,346.889898435,70.808374512,35.7193109029
 01/05  12:00:00,1297.0950332,112.096194464,353.148196153,0.0,243.2593065,310.10971186,453.38784815,337.86664499,70.808374512,44.7128286487
 01/05  13:00:00,1240.6401562,113.225453079,367.737296754,0.0,243.2593065,310.10971186,439.36882638,332.995308551,70.808374512,35.5651433175
 01/05  14:00:00,1288.37252137,114.287520736,380.066753284,0.0,243.2593065,302.612436532,420.999352902,319.641755621,56.6466996096,44.7108976717
 01/05  15:00:00,1279.9730997,114.760753565,383.441397299,0.0,243.2593065,302.612436532,393.765414851,315.585642918,42.4850247072,35.694747226
 01/05  16:00:00,1286.6873606,114.73448352,395.079591396,0.0,243.2593065,302.612436532,429.684069378,328.509583771,56.6466996096,44.5277859978
 01/05  17:00:00,1317.93683039,114.470108473,417.395206488,0.0,243.2593065,310.10971186,470.297884317,358.756400374,84.9700494144,26.5714345283
 01/05  18:00:00,1347.31748096,114.353104428,434.206468639,0.0,243.2593065,310.10971186,499.210249601,387.954992928,84.9700494144,26.2852072594
