Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,13.6079131079,2.17446275936,0.0,0.0,1.85583932782,5.577,29.4253150994,24.6850408634,3.0011,1.73917423604
 01/01  02:00:00,9.60315273935,0.0,0.0,0.0,0.618613109274,5.0,3.59317865685,0.0,3.0011,0.592078656848
 01/01  03:00:00,9.63061273536,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  04:00:00,9.64147968294,0.0,0.0,0.0,0.618613109274,5.0,3.59318454978,0.0,3.0011,0.592084549779
 01/01  05:00:00,9.78955073384,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  06:00:00,13.7788877386,2.17446275936,0.0,0.0,1.85583932782,5.577,30.4094261372,25.8877761372,4.50165,0.02
 01/01  07:00:00,28.2435348897,2.17446275936,0.0,0.0,3.71167865564,18.077,36.4835280179,21.2407387333,13.50495,1.73783928464
 01/01  08:00:00,25.6751278232,2.17446275936,0.0,0.0,3.71167865564,18.077,38.3431189043,16.1703585906,21.0077,1.16506031367
 01/01  09:00:00,20.6798584663,2.17446275936,0.0,0.0,3.71167865564,13.077,32.2502814061,15.5067191732,15.0055,1.73806223292
 01/01  10:00:00,20.6959154331,2.17446275936,0.0,0.0,3.71167865564,13.077,29.1862038744,13.0153113519,15.0055,1.1653925225
 01/01  11:00:00,25.6925259058,2.17446275936,0.0,0.0,3.71167865564,18.077,46.3377775392,9.28725400947,33.0121,4.0384235297
 01/01  12:00:00,26.810194048,2.17446275936,0.0,0.0,3.71167865564,18.077,51.7457938261,7.19274323977,40.51485,4.03820058638
 01/01  13:00:00,25.9060180511,2.17446275936,0.0,0.0,3.71167865564,18.077,46.8408162105,7.36576558023,36.0132,3.46185063026
 01/01  14:00:00,25.7083646918,2.17446275936,0.0,0.0,3.71167865564,18.077,41.9807608151,7.00783089309,31.51155,3.46137992202
 01/01  15:00:00,20.70312791,2.17446275936,0.0,0.0,3.71167865564,13.077,33.2733998683,9.95289511154,21.0077,2.31280475676
 01/01  16:00:00,20.6750247106,2.17446275936,0.0,0.0,3.71167865564,13.077,34.3645175376,12.5442072423,19.50715,2.31316029525
 01/01  17:00:00,21.2199707286,2.17446275936,0.0,0.0,3.71167865564,13.077,40.9590184958,15.5643274817,22.50825,2.88644101418
 01/01  18:00:00,28.1154864032,2.17446275936,0.0,0.0,3.71167865564,18.077,46.9363214939,17.9651253735,25.50935,3.46184612034
 01/01  19:00:00,28.1146196279,2.17446275936,0.0,0.0,3.71167865564,18.077,47.6713328616,18.1239436258,25.50935,4.0380392358
 01/01  20:00:00,28.2541826231,2.17446275936,0.0,0.0,3.71167865564,18.077,48.5452502388,18.9985001105,25.50935,4.03740012827
