Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,84.7769275593,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  02:00:00,85.1834460422,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  03:00:00,85.3282067436,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91552562715,0.0,1.75125,1.16427562715
 01/01  04:00:00,85.3570534509,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  05:00:00,91.9474251573,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  06:00:00,91.3890072947,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  07:00:00,125.521219727,21.2174434709,0.0,0.0,6.98738001645,14.1499734587,337.09527238,332.428445131,3.5025,1.16432724898
 01/01  08:00:00,124.530766812,21.2174434709,0.0,0.0,6.98738001645,14.1499734587,305.18299212,301.66049212,3.5025,0.02
 01/01  09:00:00,159.30772641,21.2174434709,0.0,0.0,6.98738001645,14.1499734587,261.488631221,256.821756177,3.5025,1.16437504365
 01/01  10:00:00,134.959067602,21.2174434709,0.0,0.0,6.98738001645,14.1499734587,240.907660186,237.385160186,3.5025,0.02
 01/01  11:00:00,167.905572308,21.2174434709,0.0,0.0,27.9495200658,27.7759469175,209.864323828,201.694584694,7.005,1.16473913393
 01/01  12:00:00,197.197959001,21.2174434709,0.0,0.0,27.9495200658,27.7759469175,197.474559016,189.304869894,7.005,1.16468912203
 01/01  13:00:00,205.292930456,21.2174434709,0.0,0.0,41.9242800987,36.8599292233,184.332869396,174.972869396,9.34,0.02
 01/01  14:00:00,203.175607459,21.2174434709,0.0,0.0,41.9242800987,36.8599292233,174.655193073,164.150401811,9.34,1.16479126268
 01/01  15:00:00,199.148288065,21.2174434709,0.0,0.0,41.9242800987,36.8599292233,174.283781328,163.779019562,9.34,1.16476176531
 01/01  16:00:00,194.167608387,21.2174434709,0.0,0.0,41.9242800987,36.8599292233,181.361729145,170.856958255,9.34,1.16477089041
 01/01  17:00:00,196.940837888,21.2174434709,0.0,0.0,41.9242800987,36.8599292233,193.232218048,182.727383549,9.34,1.16483449924
 01/01  18:00:00,178.231694709,21.2174434709,0.0,0.0,27.9495200658,27.7759469175,237.488109311,230.463109311,7.005,0.02
 01/01  19:00:00,183.115417964,21.2174434709,0.0,0.0,13.9747600329,18.6919646116,259.112793044,253.278112307,4.67,1.16468073689
 01/01  20:00:00,164.104907597,21.2174434709,0.0,0.0,13.9747600329,18.6919646116,269.547105493,263.712510357,4.67,1.1645951355
 01/01  21:00:00,154.615711425,21.2174434709,0.0,0.0,13.9747600329,18.6919646116,276.254167438,271.564167438,4.67,0.02
