Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/02  01:00:00,116.00715458,27.6253858103,1.4209738278,10.0133699721,4.12243109448,15.9888894789,92.0526589339,89.0609285161,2.97173041782,0.02
 01/02  02:00:00,105.235602158,23.1070135576,0.108300719032,10.680036334,4.12243109448,15.9888894789,81.2545564393,78.2628260214,2.97173041782,0.02
 01/02  03:00:00,125.343928767,28.883766947,0.232709374127,15.7062412954,4.12243109448,15.9888894789,101.612690906,98.6209604884,2.97173041782,0.02
 01/02  04:00:00,110.30842663,23.1070135576,0.105137238152,13.8357103058,4.12243109448,15.9888894789,82.4280458493,79.4363154315,2.97173041782,0.02
 01/02  05:00:00,162.090552297,34.1453680421,0.0994668324629,16.2032533416,12.3672932834,24.9413748627,116.532558583,111.559674554,4.9528840297,0.02
 01/02  06:00:00,187.140183139,33.6387413062,0.851858720097,41.3543615233,12.3672932834,24.9413748627,175.878345098,170.905461068,4.9528840297,0.02
 01/02  07:00:00,245.807268377,34.7494088991,0.0,43.5029437499,24.7345865669,70.7195625826,184.656770887,174.731002827,9.90576805939,0.02
 01/02  08:00:00,256.079980853,34.8467377572,0.669785034485,31.456356977,37.1018798503,92.3937384068,162.597761138,152.671993079,9.90576805939,0.02
 01/02  09:00:00,256.687232446,34.8792305115,4.50325454951,24.2296108077,37.1018798503,104.434947198,142.811718131,132.885950071,9.90576805939,0.02
 01/02  10:00:00,263.75367739,34.9649300289,9.43112878534,18.7527836114,37.1018798503,116.476155989,127.982182845,109.443417013,9.90576805939,8.63299777307
 01/02  11:00:00,256.458238834,35.0479723236,11.5568138784,15.4095872484,37.1018798503,116.476155989,105.861985723,95.9362176633,9.90576805939,0.02
 01/02  12:00:00,250.534449899,35.141607839,12.7416222194,12.9044345851,37.1018798503,116.476155989,108.75035481,90.2019476738,9.90576805939,8.64263907695
 01/02  13:00:00,236.588834358,35.3427464498,14.7229514764,10.6074766783,37.1018798503,104.434947198,104.585741621,86.0430202735,9.90576805939,8.63695328863
 01/02  14:00:00,249.636741434,35.3381816674,16.0886683691,8.79939699163,37.1018798503,116.476155989,94.8589192485,84.9331511891,9.90576805939,0.02
 01/02  15:00:00,253.544156512,35.3555171975,16.2427653472,7.43143479449,37.1018798503,116.476155989,102.066117504,83.5197363734,9.90576805939,8.64061307102
 01/02  16:00:00,254.674652096,35.4205527145,15.759312497,6.73076927072,37.1018798503,116.476155989,91.9409545021,82.0151864427,9.90576805939,0.02
 01/02  17:00:00,256.31305392,35.355779344,14.1127580232,6.64657418698,37.1018798503,116.476155989,100.662390441,82.1235467988,9.90576805939,8.6330755823
 01/02  18:00:00,268.793957698,35.260210799,12.7894116522,7.14217368448,37.1018798503,116.476155989,94.5005997423,84.5748316829,9.90576805939,0.02
 01/02  19:00:00,178.611408378,33.1150634535,9.60697132585,0.00225881812774,24.7345865669,47.5788473902,74.6377517306,69.6648677009,4.9528840297,0.02
 01/02  20:00:00,178.435050036,33.6302157478,7.86453434657,0.153843904598,24.7345865669,47.5788473902,79.8568513553,74.8839673256,4.9528840297,0.02
 01/02  21:00:00,153.050866745,32.0847588649,6.88688289045,0.194246453114,12.3672932834,38.6892022431,101.539303546,89.9571246415,2.97173041782,8.61044848639
 01/02  22:00:00,122.799793132,25.5132614036,5.57403496242,0.163988343109,12.3672932834,27.0668015668,82.5859530353,79.5942226175,2.97173041782,0.02
 01/02  23:00:00,102.702069944,23.6221658519,3.95958006029,5.15471855146,4.12243109448,15.9888894789,73.341801876,70.3500714582,2.97173041782,0.02
 01/02  24:00:00,119.806548265,28.3686146527,4.40943632422,6.38318595835,4.12243109448,15.9888894789,93.6051567744,90.6134263566,2.97173041782,0.02
 01/03  01:00:00,107.06320713,23.6221658519,2.82211636558,10.3812292274,4.12243109448,15.9888894789,76.179092534,73.1873621162,2.97173041782,0.02
 01/03  02:00:00,121.240844026,28.3686146527,2.75476080731,10.3477430265,4.12243109448,15.9888894789,96.8769004098,93.885169992,2.97173041782,0.02
 01/03  03:00:00,110.947481981,23.6221658519,1.94288570533,14.4407186556,4.12243109448,15.9888894789,78.5540178116,75.5622873938,2.97173041782,0.02
 01/03  04:00:00,126.808980389,28.3686146527,1.42333936231,13.6052040507,4.12243109448,15.9888894789,99.2100303354,96.2182999176,2.97173041782,0.02
 01/03  05:00:00,160.356467906,34.1453680421,0.0,15.2519389865,12.3672932834,24.9413748627,119.86645405,114.893570021,4.9528840297,0.02
 01/03  06:00:00,186.043134021,33.6467428832,0.0238868899431,40.7860586326,12.3672932834,24.9413748627,177.769301139,172.79641711,4.9528840297,0.02
 01/03  07:00:00,246.519761307,34.7407725544,0.0,43.116984981,24.7345865669,70.7195625826,191.940003165,182.014235106,9.90576805939,0.02
 01/03  08:00:00,256.681107223,34.8449872931,0.0,31.5165872571,37.1018798503,92.3937384068,177.460731972,167.534963912,9.90576805939,0.02
 01/03  09:00:00,255.88665707,34.8751893972,1.75372478448,25.0104641763,37.1018798503,104.434947198,160.688118497,142.151712893,9.90576805939,8.63063754471
 01/03  10:00:00,263.387570137,34.9659334584,5.898540651,19.4385418622,37.1018798503,116.476155989,130.40561095,120.479842891,9.90576805939,0.02
 01/03  11:00:00,260.699672034,35.0490765855,9.50883839516,16.1737902044,37.1018798503,116.476155989,121.673725181,103.12718581,9.90576805939,8.64077131142
 01/03  12:00:00,259.745606563,35.1693964846,12.531319304,13.3542325781,37.1018798503,116.476155989,99.3753437263,89.4495756669,9.90576805939,0.02
 01/03  13:00:00,247.822901059,35.1949013619,13.8717738228,11.1301326768,37.1018798503,104.434947198,105.612897101,87.0714309549,9.90576805939,8.63569808641
 01/03  14:00:00,258.577685648,35.2446827706,14.673557493,9.11912921494,37.1018798503,116.476155989,95.3400833314,85.414315272,9.90576805939,0.02
 01/03  15:00:00,257.848718281,35.2975014534,14.8057232776,7.7769303695,37.1018798503,116.476155989,102.264457219,83.718037918,9.90576805939,8.64065124122
 01/03  16:00:00,256.177207353,35.3127846566,12.8471572478,7.17643516775,37.1018798503,116.476155989,101.415794217,82.871395985,9.90576805939,8.63863017269
 01/03  17:00:00,258.137945687,35.2645940257,10.6598424408,7.17349778091,37.1018798503,116.476155989,95.1686447906,85.2428767312,9.90576805939,0.02
 01/03  18:00:00,270.172077606,35.2361927243,9.08277403214,7.584349847,37.1018798503,116.476155989,102.089164693,92.1633966339,9.90576805939,0.02
 01/03  19:00:00,179.14485642,33.1150634535,4.21367419811,0.0286414164637,24.7345865669,47.5788473902,85.4733838204,71.9100212898,4.9528840297,8.61047850089
 01/03  20:00:00,178.919257457,33.6302157478,2.09692221963,0.331379916678,24.7345865669,47.5788473902,81.466802759,76.4939187293,4.9528840297,0.02
 01/03  21:00:00,151.967910264,32.0847588649,0.848596667983,0.326621282016,12.3672932834,38.6892022431,94.7016648552,91.7099344374,2.97173041782,0.02
 01/03  22:00:00,127.412554327,27.6253858103,0.454263205458,4.2582063291,12.3672932834,27.0668015668,84.8936705853,81.9019401675,2.97173041782,0.02
 01/03  23:00:00,102.5772064,23.1070135576,0.141759839416,6.99385208655,4.12243109448,15.9888894789,76.6642273103,73.6724968925,2.97173041782,0.02
 01/03  24:00:00,123.691916853,28.883766947,0.179114351238,12.0466068178,4.12243109448,15.9888894789,100.733616838,97.7418864203,2.97173041782,0.02
 01/04  01:00:00,106.620290624,23.1070135576,0.052465898497,11.5036777372,4.12243109448,15.9888894789,84.7118665419,81.7201361241,2.97173041782,0.02
 01/04  02:00:00,127.742859869,28.883766947,0.0715019929567,16.9578374076,4.12243109448,15.9888894789,108.256017403,105.264286985,2.97173041782,0.02
 01/04  03:00:00,110.278282273,23.1070135576,0.0171736162412,14.8283929956,4.12243109448,15.9888894789,89.3154537253,86.3237233075,2.97173041782,0.02
 01/04  04:00:00,134.300955219,28.883766947,0.0,20.9790862334,4.12243109448,15.9888894789,115.092825268,112.10109485,2.97173041782,0.02
 01/04  05:00:00,160.643630063,33.6302157478,0.0,14.9367605791,12.3672932834,24.9413748627,135.491785046,130.518901016,4.9528840297,0.02
 01/04  06:00:00,201.699051945,34.1589949133,0.0,55.1635750466,12.3672932834,24.9413748627,184.513364348,179.540480318,4.9528840297,0.02
 01/04  07:00:00,250.76685222,34.7248660032,0.0,46.6470444571,24.7345865669,70.7195625826,196.277740307,186.351972247,9.90576805939,0.02
 01/04  08:00:00,259.863272977,34.8292537307,0.0,34.1924043279,37.1018798503,92.3937384068,183.83649641,173.910728351,9.90576805939,0.02
 01/04  09:00:00,255.854915776,34.8622249668,2.63808356495,25.6260766633,37.1018798503,104.434947198,160.657436875,142.120954494,9.90576805939,8.63071432197
 01/04  10:00:00,263.118704655,34.9588604713,8.15574529199,19.5622073785,37.1018798503,116.476155989,122.887497421,112.961729361,9.90576805939,0.02
 01/04  11:00:00,261.691707461,35.113258414,11.506963069,16.4459257547,37.1018798503,116.476155989,112.94576568,94.3995087152,9.90576805939,8.64048890494
 01/04  12:00:00,262.344387755,35.4101912317,14.0733402848,13.6602357633,37.1018798503,116.476155989,104.191630304,85.6448818115,9.90576805939,8.64098043324
 01/04  13:00:00,252.475692107,35.7044413069,16.7781405418,10.8746844338,37.1018798503,104.434947198,91.7420202645,81.8162522051,9.90576805939,0.02
 01/04  14:00:00,261.627536261,35.819494556,17.6600367012,8.39840307708,37.1018798503,116.476155989,98.6467635761,80.098133902,9.90576805939,8.64286161473
 01/04  15:00:00,260.384981975,35.6642527814,17.9969143959,6.66001234325,37.1018798503,116.476155989,90.2789659744,80.353197915,9.90576805939,0.02
 01/04  16:00:00,260.078105442,35.4557277746,15.6214130891,6.12106968051,37.1018798503,116.476155989,100.139733196,81.5952487606,9.90576805939,8.63871637611
 01/04  17:00:00,262.334348459,35.3143209586,12.1111332806,6.13983443782,37.1018798503,116.476155989,92.9146426389,82.9888745795,9.90576805939,0.02
 01/04  18:00:00,269.842437598,35.25092386,9.25322455781,6.59248013921,37.1018798503,116.476155989,108.426342645,89.8986069249,9.90576805939,8.62196766075
 01/04  19:00:00,177.023022728,32.943346022,4.07774876104,0.0,24.7345865669,47.5788473902,76.6460466262,71.6731625965,4.9528840297,0.02
 01/04  20:00:00,177.60094757,33.6302157478,3.09302305722,0.142666731447,24.7345865669,47.5788473902,80.7435624269,75.7706783972,4.9528840297,0.02
 01/04  21:00:00,151.701557523,32.0847588649,2.58850218547,0.225565467317,12.3672932834,38.6892022431,93.6767978241,90.6850674063,2.97173041782,0.02
 01/04  22:00:00,120.471456448,25.2556852564,3.19179592314,0.0,12.3672932834,27.0668015668,83.9463103024,80.9545798846,2.97173041782,0.02
