Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,46.5819089781,6.66730073423,0.0548162151358,9.29316894798,12.925468867,10.100111941,50.0151223969,49.9951223969,0.0,0.02
 01/01  02:00:00,48.7269323525,6.75262318036,0.0297697890473,11.379174291,12.925468867,10.100111941,57.3973942164,51.6342824175,0.0,5.76311179898
 01/01  03:00:00,46.3612443183,6.848245622,0.0190624125657,13.5476062873,8.34152022915,10.0650221343,58.6838644937,52.9210077546,0.0,5.76285673908
 01/01  04:00:00,48.3244443538,6.9249516404,0.0110754366103,15.442086233,8.34152022915,10.0650221343,60.5821454909,54.8195551236,0.0,5.76259036725
 01/01  05:00:00,51.0216210391,6.96904065485,0.00534763043007,16.4941437746,8.34152022915,11.6705166398,60.3039399265,54.5342659812,0.0,5.76967394528
 01/01  06:00:00,56.2405846128,7.01289134186,0.00079718300715,17.5153575038,8.80141237637,15.3678112995,59.1930545842,53.4150519781,0.0,5.77800260613
 01/01  07:00:00,75.3926592676,6.96887244711,0.00811415085143,16.7272469094,18.5082010057,25.6353820695,64.6737673237,53.1084072154,0.0,11.5653601083
 01/01  08:00:00,83.2569428626,6.83864154296,0.0870246176091,13.8393556433,19.4926561212,41.1001056674,68.7638850132,51.3128739792,0.0,17.451011034
 01/01  09:00:00,100.973519957,6.79626728148,1.48827707036,8.32312708515,26.3286599382,57.9988325916,74.4982440829,38.7720860943,0.0,35.7261579885
 01/01  10:00:00,84.5294675708,6.75389179642,1.35845564419,7.32540054776,26.2443270014,42.8153538416,83.9258270066,30.4143173552,18.025,35.4865096514
 01/01  11:00:00,60.2357555493,6.72157979348,1.01369987597,7.28379878692,21.7447113004,23.4437158914,72.0866530325,24.5993671518,18.025,29.4622858806
 01/01  12:00:00,56.5646276484,6.72303458772,1.39111254534,5.63612539853,19.3449162599,23.4437158914,67.3141848564,19.9070131573,18.025,29.3821716991
 01/01  13:00:00,55.3976656211,6.7125209883,1.67502856229,4.05388171764,19.190480192,23.7425572507,57.7271686758,16.2555266884,18.025,23.4466419874
 01/01  14:00:00,53.8343607496,6.63685325294,1.49152244219,2.72362864703,19.260583323,23.698576057,59.4500285719,12.1258490942,18.025,29.2991794777
 01/01  15:00:00,52.6480848428,6.58080050835,1.37631972664,1.70861176735,19.260583323,23.698576057,52.0875910474,10.6259919087,18.025,23.4365991387
 01/01  16:00:00,51.750393379,6.54742719777,1.32952242608,1.18103849078,19.260583323,23.4086260847,52.9321911526,11.4655180744,18.025,23.4416730782
 01/01  17:00:00,57.8671287948,6.49687584438,0.953042420354,1.38946559201,19.260583323,27.8781056672,40.1908395253,16.3955403339,18.025,5.77029919147
 01/01  18:00:00,72.0819646678,6.48192097847,0.880772096506,1.41690676444,18.1807569449,37.5792895564,30.1355741413,24.3578195612,0.0,5.77775458014
 01/01  19:00:00,85.8398845674,6.52064041242,1.34107912008,0.782077278931,32.6059821062,37.0465235296,42.5895953614,31.0388800782,0.0,11.5507152832
 01/01  20:00:00,86.4065978959,6.55455904308,1.56288582861,0.861692628486,36.8143715336,33.066984531,47.7011694397,36.1220728738,0.0,11.5790965658
 01/01  21:00:00,92.3649572471,6.62325190044,1.98744890474,0.967289495676,36.43363367,38.8072253906,51.741791462,40.1621627661,0.0,11.579628696
 01/01  22:00:00,90.234568741,6.63988096961,2.03710052877,1.1273325319,36.0963922311,36.7877557581,51.8268836354,40.2467448698,0.0,11.5801387656
 01/01  23:00:00,69.9346101236,6.56556264092,0.99286535788,3.26546675162,30.9507766546,20.6087787026,54.4819192643,42.8411331864,0.0,11.6407860779
 01/01  24:00:00,49.5056980813,6.55677751911,0.234504167308,6.03888290237,17.4250845679,11.7056064465,57.2686620165,45.702775895,0.0,11.5658861215
 01/02  01:00:00,44.4568514725,6.63977422735,0.0613571100146,8.50840359895,11.6412384099,10.0650221343,52.2547274304,46.4844663078,0.0,5.77026112262
 01/02  02:00:00,44.8147907584,6.71869841471,0.0301465034891,10.3794755347,10.0992000411,10.047477231,52.4112493136,46.6482948844,0.0,5.76295442922
 01/02  03:00:00,44.5016669648,6.78265527589,0.0220954238391,11.8700039509,8.25718729233,10.0299323277,52.8876415185,47.1244960841,0.0,5.7631454344
 01/02  04:00:00,45.6221835698,6.82813676245,0.0156164080843,12.9515199069,8.25718729233,10.0299323277,47.7398434287,47.7198434287,0.0,0.02
 01/02  05:00:00,48.095253341,6.86502974978,0.00999607084752,13.7865572113,8.25718729233,11.6354268332,53.8853909332,48.1159224676,0.0,5.76946846553
 01/02  06:00:00,57.0378566702,6.91479138319,0.0063613196069,15.1029137196,12.1011305571,15.3678112995,62.3926139025,50.8266423238,0.0,11.5659715787
 01/02  07:00:00,83.0227875446,6.7577423025,0.1388426546,11.5833756234,19.7275818095,37.2640762949,69.1498135739,51.7006934054,0.0,17.4491201686
 01/02  08:00:00,93.5286492623,6.7554525786,1.24146516407,8.03617754955,24.3117294858,51.2795993405,70.4665606976,47.0824824142,0.0,23.3840782834
 01/02  09:00:00,80.9355781732,6.72820616142,0.539402431199,9.33225539034,23.6694662846,40.6342015617,68.0278749856,32.5387695017,0.0,35.4891054839
 01/02  10:00:00,73.9822505424,6.70103626138,0.984292202424,6.96898309705,23.6694662846,35.6302164847,70.6467684818,23.162177284,18.025,29.4595911978
 01/02  11:00:00,56.0561374632,6.67337563654,0.710665173095,6.94115252318,18.7433767983,22.9618409725,61.6926684718,20.1553716224,18.025,23.5122968494
 01/02  12:00:00,54.7949744879,6.64176521244,0.845553364967,5.57923937158,18.7433767983,22.9618409725,65.4292319806,18.0996428087,18.025,29.3045891719
 01/02  13:00:00,53.6468757125,6.63017381264,1.22212628655,4.02271208625,18.5889407304,23.1597249699,54.7769724488,13.3096869289,18.025,23.4422855199
 01/02  14:00:00,52.3996057158,6.54762690411,0.899500355382,2.93411103965,18.7433767983,23.2517909448,52.4336817987,10.9647243747,18.025,23.443957424
 01/02  15:00:00,51.6054506887,6.5087362125,0.82969188533,2.24865263006,18.7433767983,23.2517909448,57.850524696,10.518715223,18.025,29.3068094729
 01/02  16:00:00,50.996163551,6.4971708348,0.866158843663,1.90441883564,18.7433767983,22.9618409725,53.5748338152,12.1154779237,18.025,23.4343558915
 01/02  17:00:00,57.2338843743,6.47963562317,0.70068088088,1.98981491213,18.7433767983,27.431320555,38.5348143533,14.7394883656,18.025,5.77032598773
 01/02  18:00:00,74.6242277859,6.48207651582,0.941996367716,1.29587216235,17.6635504202,40.6971502883,23.4829707743,17.6975777996,0.0,5.78539297472
 01/02  19:00:00,81.094116065,6.51192654288,1.40562053158,0.766755691973,27.5259009287,37.3340067412,39.0802311958,21.652420964,0.0,17.4278102318
 01/02  20:00:00,83.6287239521,6.54168224597,1.65535657294,0.696996892638,33.8341110165,33.3544677425,36.7697003446,25.1904020623,0.0,11.5792982824
 01/02  21:00:00,92.3591381147,6.63367166574,2.24193540471,0.594681866727,36.5179666069,38.8247702939,40.1089440552,28.5302864786,0.0,11.5786575766
 01/02  22:00:00,87.1217678689,6.67417617043,2.42718888959,0.645957456669,32.965339924,36.8579353714,47.5711701738,30.1202028212,0.0,17.4509673525
 01/02  23:00:00,63.2216599004,6.51718540728,1.10404210262,1.77361610384,25.6355707503,20.6438685092,44.5236463499,32.9280998687,0.0,11.5955464813
 01/02  24:00:00,44.9108243835,6.48240140234,0.285741296348,3.86946623689,15.0252895274,11.7056064465,41.0608204531,35.2827577314,0.0,5.77806272172
 01/03  01:00:00,41.8176338712,6.54332721962,0.0871041406889,5.93988298595,11.6412384099,10.0650221343,43.0347488995,37.2641080693,0.0,5.77064083021
 01/03  02:00:00,42.2932395979,6.62526768846,0.0398224344181,7.94167734979,10.0992000411,10.047477231,45.8167703482,40.0542584758,0.0,5.7625118724
 01/03  03:00:00,41.8074815191,6.6824449748,0.0316382141814,9.26648577399,8.25718729233,10.0299323277,40.9640445776,40.9440445776,0.0,0.02
 01/03  04:00:00,43.4915979434,6.75126344956,0.0235375662004,10.8898835897,8.25718729233,10.0299323277,49.890680131,44.1276760421,0.0,5.7630040889
 01/03  05:00:00,47.3552562961,6.84006529556,0.0149142262058,13.0666038689,8.25718729233,11.6354268332,55.0838927667,49.3134074846,0.0,5.77048528211
 01/03  06:00:00,56.2784634122,6.88985695396,0.0111508659471,14.3636590799,12.1011305571,15.3678112995,63.0846941652,51.5196549501,0.0,11.565039215
 01/03  07:00:00,82.6519657549,6.74833177013,0.115915976021,11.2448815369,19.7275818095,37.2640762949,70.3459957487,52.8936321615,0.0,17.4523635872
 01/03  08:00:00,93.8338294653,6.75920243523,1.11992095419,8.45914322074,24.3117294858,51.2795993405,73.4534905467,50.0678389979,0.0,23.3856515488
 01/03  09:00:00,81.9595974311,6.74937462453,0.332731557664,10.5417681002,23.6694662846,40.6342015617,66.3106265502,36.7283369872,0.0,29.582289563
 01/03  10:00:00,75.4538833614,6.74517153875,0.867575780771,8.51319223645,23.6694662846,35.6302164847,81.9030309596,28.5297547954,18.025,35.3482761642
 01/03  11:00:00,57.1085982079,6.70422170926,0.602140726365,8.07128772734,18.7433767983,22.9618409725,64.3804927326,22.8416162009,18.025,23.5138765317
 01/03  12:00:00,55.1101565648,6.66040304748,0.926260127525,5.79507318814,18.7433767983,22.9618409725,65.4374905518,18.1077241187,18.025,29.3047664332
 01/03  13:00:00,53.6129742842,6.57636883867,0.718212560039,4.54652620485,18.5889407304,23.1597249699,57.0173530699,15.5526183843,18.025,23.4397346856
 01/03  14:00:00,52.6721679316,6.5353411247,0.720705176701,3.39775321917,18.7433767983,23.2517909448,54.7293297828,13.260247846,18.025,23.4440819368
 01/03  15:00:00,51.9067269772,6.50709644757,0.716505669616,2.66475371346,18.7433767983,23.2517909448,54.171097517,12.6993510553,18.025,23.4467464617
 01/03  16:00:00,51.3993360081,6.49037994949,0.63501760814,2.54551658643,18.7433767983,22.9618409725,63.8941692742,16.5656474264,18.025,29.3035218477
 01/03  17:00:00,57.5584608787,6.45892108745,0.418383783145,2.61740390849,18.7433767983,27.431320555,43.4954756033,19.7002617977,18.025,5.77021380557
 01/03  18:00:00,75.0099928251,6.47353966291,0.720655925766,1.91151225631,17.6635504202,40.6971502883,29.2803390019,23.4948313863,0.0,5.78550761553
 01/03  19:00:00,81.7356300814,6.5058850685,0.996755764291,1.82317062898,27.5259009287,37.3340067412,48.4126832033,30.9841850064,0.0,17.4284981969
 01/03  20:00:00,84.389288652,6.53560508791,1.23113473517,1.88785416571,33.8341110165,33.3544677425,46.1680663933,34.5898878409,0.0,11.5781785524
 01/03  21:00:00,92.6652986763,6.59337413104,1.74139697593,1.44167123365,36.5179666069,38.8247702939,49.7367512293,38.1579857938,0.0,11.5787654355
 01/03  22:00:00,87.6022261034,6.62356761453,1.85059726652,1.75360947068,32.965339924,36.8579353714,52.1230420264,40.4825317173,0.0,11.6405103091
