Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,96.2798421339,21.3748784291,0.0,0.0,3.49369000822,6.81298672936,43.8261600858,42.0549100858,1.75125,0.02
 01/01  02:00:00,101.858197801,26.8581273348,0.0,0.0,3.49369000822,6.81298672936,51.5540652873,49.7828152873,1.75125,0.02
 01/01  03:00:00,96.0631531842,21.1049015117,0.0,0.0,3.49369000822,6.81298672936,42.22881602,39.313205245,1.75125,1.16436077492
 01/01  04:00:00,103.382146826,28.7778173079,0.0,0.0,3.49369000822,6.81298672936,70.5751922019,68.8039422019,1.75125,0.02
 01/01  05:00:00,108.283898166,26.8581273348,0.0,0.0,3.49369000822,6.81298672936,70.7134682832,68.9422182832,1.75125,0.02
 01/01  06:00:00,102.075189097,21.1049015117,0.0,0.0,3.49369000822,6.81298672936,56.5995183157,53.6839339185,1.75125,1.16433439717
 01/01  07:00:00,138.06912738,43.5860700125,0.0,0.0,6.98738001645,14.1499734587,582.336047516,578.813547516,3.5025,0.02
 01/01  08:00:00,136.996291382,43.5860700125,0.0,0.0,6.98738001645,14.1499734587,539.253767665,535.731267665,3.5025,0.02
 01/01  09:00:00,169.22220925,43.5860700125,0.0,0.0,6.98738001645,14.1499734587,449.683743692,445.016795787,3.5025,1.1644479045
 01/01  10:00:00,141.646818984,43.5860700125,0.0,0.0,6.98738001645,14.1499734587,394.864795932,391.342295932,3.5025,0.02
 01/01  11:00:00,176.31312991,43.5860700125,0.0,0.0,27.9495200658,27.7759469175,325.407861166,317.237997847,7.005,1.16486331946
 01/01  12:00:00,207.841366323,43.5860700125,0.0,0.0,27.9495200658,27.7759469175,282.411441313,274.241496635,7.005,1.16494467752
 01/01  13:00:00,215.040050834,43.5860700125,0.0,0.0,41.9242800987,36.8599292233,232.647085263,222.142120446,9.34,1.16496481741
 01/01  14:00:00,212.264858372,43.5860700125,0.0,0.0,41.9242800987,36.8599292233,212.285332065,201.780403234,9.34,1.16492883068
 01/01  15:00:00,208.700197573,43.5860700125,0.0,0.0,41.9242800987,36.8599292233,198.877375433,188.37232987,9.34,1.16504556341
 01/01  16:00:00,205.307564085,43.5860700125,0.0,0.0,41.9242800987,36.8599292233,193.172216842,182.667210335,9.34,1.1650065073
 01/01  17:00:00,208.247471245,43.5860700125,0.0,0.0,41.9242800987,36.8599292233,217.327600542,206.822579202,9.34,1.16502134007
 01/01  18:00:00,189.945591117,43.5860700125,0.0,0.0,27.9495200658,27.7759469175,298.867896153,290.697996549,7.005,1.16489960433
 01/01  19:00:00,196.56645203,43.5860700125,0.0,0.0,13.9747600329,18.6919646116,336.820287231,330.985605166,4.67,1.16468206488
 01/01  20:00:00,176.466310376,43.5860700125,0.0,0.0,13.9747600329,18.6919646116,370.795240024,366.105240024,4.67,0.02
 01/01  21:00:00,167.61966135,43.5860700125,0.0,0.0,13.9747600329,18.6919646116,395.002184984,389.167488962,4.67,1.16469602231
 01/01  22:00:00,153.599084108,43.5860700125,0.0,0.0,13.9747600329,18.6919646116,353.785527417,347.951046664,4.67,1.16448075349
 01/01  23:00:00,76.5042364596,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  24:00:00,123.652339808,10.9166580671,0.0,0.0,3.49369000822,6.81298672936,20.054656252,18.283406252,1.75125,0.02
 01/02  01:00:00,100.537524051,16.9214320951,0.00313643396296,0.0,3.49369000822,9.08398230582,40.2785058914,36.7792137947,2.335,1.16429209668
 01/02  02:00:00,102.908975507,25.5842032841,0.0,0.0,3.49369000822,9.08398230582,43.8899563528,41.5349563528,2.335,0.02
 01/02  03:00:00,100.014309221,22.7017085236,0.0,0.0,3.49369000822,9.08398230582,35.1604790702,32.8054790702,2.335,0.02
 01/02  04:00:00,103.917283145,26.8581273348,0.0,0.0,3.49369000822,9.08398230582,58.608755508,55.1094631801,2.335,1.16429232786
 01/02  05:00:00,110.589606788,26.7818085431,0.0,0.0,3.49369000822,9.08398230582,58.3604273827,56.0054273827,2.335,0.02
 01/02  06:00:00,106.412342599,23.1009102766,0.0,0.0,3.49369000822,9.08398230582,49.6460854459,47.2910854459,2.335,0.02
 01/02  07:00:00,152.345087585,43.5860700125,0.0,0.0,13.9747600329,18.6919646116,518.388089801,513.698089801,4.67,0.02
 01/02  08:00:00,151.247446601,43.5860700125,0.0,0.0,13.9747600329,18.6919646116,465.289900003,459.455347734,4.67,1.16455226829
 01/02  09:00:00,224.209898002,43.5860700125,0.0,0.0,34.9369000822,32.3179380704,384.960054863,375.62290905,8.1725,1.16464581219
 01/02  10:00:00,248.273300498,43.5860700125,0.0,0.0,62.886420148,41.4019203762,295.137831655,283.465448563,10.5075,1.16488309291
 01/02  11:00:00,238.524999705,43.5860700125,0.0,0.0,62.886420148,41.4019203762,262.01853362,250.345904258,10.5075,1.16512936212
 01/02  12:00:00,269.531537449,43.5860700125,0.0,0.0,62.886420148,41.4019203762,235.079721264,223.40672016,10.5075,1.16550110357
 01/02  13:00:00,249.675231443,43.5860700125,0.0,0.0,62.886420148,41.4019203762,207.426326228,194.60767535,10.5075,2.31115087778
 01/02  14:00:00,246.7541252,43.5860700125,0.0,0.0,62.886420148,41.4019203762,188.803551654,177.13051693,10.5075,1.16553472383
 01/02  15:00:00,242.84672392,43.5860700125,0.0,0.0,62.886420148,41.4019203762,182.263129896,170.590329195,10.5075,1.16530070081
 01/02  16:00:00,239.207294121,43.5860700125,0.0,0.0,62.886420148,41.4019203762,180.007153814,168.334538935,10.5075,1.16511487888
 01/02  17:00:00,242.225567438,43.5860700125,0.0,0.0,62.886420148,41.4019203762,196.698172955,183.880236681,10.5075,2.31043627448
 01/02  18:00:00,252.319377617,43.5860700125,0.0,0.0,62.886420148,41.4019203762,212.42335479,200.75050018,10.5075,1.16535460957
 01/02  19:00:00,251.737303733,43.5860700125,0.0,0.0,41.9242800987,36.8599292233,223.291076307,212.78599783,9.34,1.16507847772
 01/02  20:00:00,235.474174139,43.5860700125,0.0,0.0,41.9242800987,36.8599292233,245.045883886,234.541006009,9.34,1.16487787738
 01/02  21:00:00,210.560912024,43.5860700125,0.0,0.0,34.9369000822,32.3179380704,258.561799856,249.224321063,8.1725,1.16497879247
 01/02  22:00:00,153.766419476,43.5860700125,0.0,0.0,13.9747600329,18.6919646116,236.695714301,232.005714301,4.67,0.02
 01/02  23:00:00,79.2181257106,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49951049492,0.0,2.335,1.16451049492
 01/02  24:00:00,115.135259759,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/03  01:00:00,94.829581563,10.9166580671,0.0,0.0,3.49369000822,9.08398230582,17.7085764417,14.2092839983,2.335,1.1642924434
 01/03  02:00:00,93.8834823769,16.4842760995,0.0,0.0,3.49369000822,9.08398230582,30.7526276951,28.3976276951,2.335,0.02
 01/03  03:00:00,94.4724404857,17.030721094,0.00598568771376,0.0,3.49369000822,9.08398230582,34.6265964307,32.2715964307,2.335,0.02
 01/03  04:00:00,98.8882317707,21.5041032647,0.0,0.0,3.49369000822,9.08398230582,32.3755637521,28.8762730391,2.335,1.16429071305
 01/03  05:00:00,128.342105039,28.7778173079,0.0,0.0,3.49369000822,9.08398230582,57.1874213297,54.8324213297,2.335,0.02
 01/03  06:00:00,125.220101524,25.5402335815,0.0,0.0,3.49369000822,9.08398230582,66.1573420676,63.8023420676,2.335,0.02
 01/03  07:00:00,169.160337126,43.5860700125,0.0,0.0,13.9747600329,18.6919646116,509.24177548,504.55177548,4.67,0.02
 01/03  08:00:00,160.358835575,43.5860700125,0.0,0.0,13.9747600329,18.6919646116,474.587366475,468.752853732,4.67,1.16451274358
 01/03  09:00:00,224.281533529,43.5860700125,0.0,0.0,34.9369000822,32.3179380704,404.581618017,395.244349251,8.1725,1.16476876661
 01/03  10:00:00,248.13902219,43.5860700125,0.0,0.0,62.886420148,41.4019203762,323.952849506,312.280503509,10.5075,1.16484599648
