Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,177.249864369,30.8476368376,53.268565717,0.0,34.4311606118,33.1021868926,239.996236817,53.1242676083,3.33212,183.539849209
 01/01  02:00:00,169.906653422,30.8476368376,45.9007890463,0.0,34.4311606118,33.1021868926,188.318346092,42.6510858728,3.33212,142.335140219
 01/01  03:00:00,150.020951566,30.8476368376,43.595636635,0.0,19.466279405,30.610668775,171.82107496,29.9621486147,3.33212,138.526806345
 01/01  04:00:00,147.540173248,30.8476368376,41.11061624,0.0,19.466279405,30.610668775,171.0901974,27.8613849708,3.33212,139.896692429
 01/01  05:00:00,154.920255951,30.8476368376,41.9030298367,0.0,19.466279405,30.610668775,215.2544179,26.1659570163,3.33212,185.756340883
 01/01  06:00:00,169.000012825,30.8476368376,43.7357830682,0.0,19.466279405,30.610668775,268.153762106,25.0465071913,8.3303,234.776954915
 01/01  07:00:00,254.064691788,34.8276586074,53.3539717957,0.0,42.6918050922,54.3732441037,369.339992782,23.7255159636,16.6606,328.953876819
 01/01  08:00:00,327.327735802,36.570841365,76.9865036451,0.0,49.3960418185,88.5934452969,820.083248278,243.009913615,24.9909,552.082434663
 01/01  09:00:00,370.572215693,36.533382223,96.4629876244,0.0,57.6566862989,112.030105488,1072.76721821,262.343845949,33.3212,777.102172261
 01/01  10:00:00,314.269209215,37.3242841289,97.2858798713,0.0,50.9524495726,81.1684271793,801.651065067,176.063497378,66.8089,558.778667689
 01/01  11:00:00,269.503216474,37.4840840267,97.9928346957,0.0,42.6918050922,68.9656133826,685.343335312,177.3767974,83.4695,424.497037912
 01/01  12:00:00,264.281043751,37.5856513063,96.7909264508,0.0,38.286128036,68.9656133826,565.93727594,147.670366958,83.4695,334.797408982
 01/01  13:00:00,262.826810711,37.713357002,96.22639368,0.0,38.286128036,68.9656133826,469.418922068,145.2536815,83.4695,240.695740567
 01/01  14:00:00,242.958438642,37.6942838635,95.4355357844,0.0,31.5818913096,56.727595265,454.0861536,137.364953859,75.1392,241.581999741
 01/01  15:00:00,242.827782077,37.6583611779,95.388253348,0.0,31.5818913096,56.727595265,449.695499358,144.727021428,66.8089,238.15957793
 01/01  16:00:00,242.355842177,37.6672271074,94.8081499868,0.0,31.5818913096,56.727595265,498.034119553,180.909630162,75.1392,241.985289391
 01/01  17:00:00,258.707463533,37.2704262406,76.6850102584,0.0,31.5818913096,61.661095265,471.011977139,191.322846243,91.7998,187.889330896
 01/01  18:00:00,292.223557557,36.533382223,71.9379129721,0.0,31.5818913096,70.9729253606,494.311773087,208.560268825,49.9818,235.769704262
 01/01  19:00:00,362.851702333,36.533382223,80.8416913531,0.0,80.3315023541,83.7685254822,531.425216995,199.665534399,49.9818,281.777882596
 01/01  20:00:00,379.28296343,36.533382223,93.191425244,0.0,102.000620287,77.6748002752,621.400023899,213.204260996,33.3212,374.874562903
 01/01  21:00:00,403.996055894,36.533382223,97.2775986715,0.0,108.704857014,91.4735406516,617.285759379,213.562872389,33.3212,370.40168699
 01/01  22:00:00,377.348328189,36.533382223,98.3958465049,0.0,95.2963835608,89.1510273009,654.136179839,253.005231777,24.9909,376.140048062
 01/01  23:00:00,322.125470486,36.533382223,95.9884076886,0.0,80.3315023541,63.3799339444,819.59771925,256.862207845,16.6606,546.074911405
 01/01  24:00:00,232.068252651,36.533382223,70.3086305572,0.0,42.6918050922,48.4199368926,576.212378718,248.688716195,8.3303,319.193362523
 01/02  01:00:00,168.14381415,30.8476368376,55.7128329443,0.0,25.5240853573,30.610668775,225.180838891,41.6085256734,3.33212,180.240193217
 01/02  02:00:00,154.004186839,30.8476368376,48.9421348556,0.0,19.418418834,29.3649097162,178.827563388,32.7875126784,3.33212,142.70793071
 01/02  03:00:00,143.520928514,30.8476368376,46.3977138022,0.0,12.7620426787,28.1191506574,170.580886245,26.8588428976,3.33212,140.389923347
 01/02  04:00:00,141.593108557,30.8476368376,44.4630224614,0.0,12.7620426787,28.1191506574,167.668402028,26.0875426125,3.33212,138.248739415
 01/02  05:00:00,148.159770397,30.8476368376,44.3995040208,0.0,12.7620426787,28.1191506574,212.146888372,27.9636117909,3.33212,180.851156581
 01/02  06:00:00,183.808788392,30.8476368376,52.4244143196,0.0,25.5240853573,30.610668775,354.796562368,26.0848316095,8.3303,320.381430759
 01/02  07:00:00,314.476580642,35.0171834536,81.1676406638,0.0,51.0481707146,78.1489452969,593.603036217,24.7793073611,16.6606,552.163128856
 01/02  08:00:00,382.511481545,36.535435192,97.0686475172,0.0,64.3609230253,109.708623606,950.014772309,190.478846531,24.9909,734.545025778
 01/02  09:00:00,312.383986553,36.533382223,78.1194617757,0.0,51.0481707146,80.7689615957,809.443675582,217.210410674,33.3212,558.912064908
 01/02  10:00:00,273.717225147,37.2621524679,67.7071736752,0.0,51.0481707146,71.0224615957,658.289698639,170.517099356,66.8089,420.963699283
 01/02  11:00:00,230.487568252,37.4062351536,72.7053914452,0.0,32.1804615127,65.7244621605,655.939524095,239.352383948,83.4695,333.117640147
 01/02  12:00:00,244.054689531,37.4814403416,84.8243243221,0.0,32.1804615127,65.7244621605,599.848813241,276.486803683,83.4695,239.892509558
 01/02  13:00:00,246.642990531,37.5360825719,87.6759170424,0.0,32.1804615127,65.7244621605,606.570402073,280.186291121,83.4695,242.914610952
 01/02  14:00:00,223.191590381,37.5492137299,73.2277990258,0.0,32.1804615127,55.9779621605,617.665107728,299.614908498,75.1392,242.91099923
 01/02  15:00:00,204.279572136,37.5114685407,54.2364485654,0.0,32.1804615127,55.9779621605,601.988202469,297.411306899,66.8089,237.767995569
 01/02  16:00:00,200.965273169,37.5647847937,50.9002829278,0.0,32.1804615127,55.9779621605,608.304862223,296.79631607,75.1392,236.369346153
 01/02  17:00:00,233.219561719,37.0095731977,48.8711303462,0.0,32.1804615127,60.9114621605,569.790511916,290.116310741,91.7998,187.874401175
 01/02  18:00:00,287.655252001,36.533382223,57.5063874765,0.0,32.1804615127,77.5397301883,635.196011727,304.72083896,49.9818,280.493372767
 01/02  19:00:00,359.302339147,36.533382223,75.1198156976,0.0,77.122965704,86.2600435998,873.342236577,314.783205009,49.9818,508.577231568
 01/02  20:00:00,365.714948799,36.533382223,73.9650862178,0.0,102.647051061,80.1663183927,721.603215741,307.121095015,33.3212,381.160920726
 01/02  21:00:00,397.803947932,36.533382223,80.7278638338,0.0,115.40909374,92.7192997104,707.019372057,302.277644335,33.3212,371.420527722
 01/02  22:00:00,387.575401558,36.533382223,94.0586135131,0.0,102.647051061,94.1340635361,882.959185074,306.046396721,24.9909,551.921888353
 01/02  23:00:00,301.027220978,36.533382223,74.0666290742,0.0,77.122965704,65.871452062,751.051287938,319.316779071,16.6606,415.073908867
 01/02  24:00:00,209.840235993,36.533382223,50.9336454519,0.0,38.286128036,48.4199368926,573.505651063,330.913453865,8.3303,234.261897198
 01/03  01:00:00,154.829989451,30.8476368376,42.1746460135,0.0,25.5240853573,30.610668775,241.524095687,52.5756726435,3.33212,185.616303043
 01/03  02:00:00,141.445967846,30.8476368376,36.1152456948,0.0,19.418418834,29.3649097162,184.321764041,41.2653682517,3.33212,139.724275789
 01/03  03:00:00,130.064901919,30.8476368376,32.6374024913,0.0,12.7620426787,28.1191506574,176.943064179,35.3604040451,3.33212,138.250540134
 01/03  04:00:00,128.165480478,30.8476368376,30.7484156602,0.0,12.7620426787,28.1191506574,173.944538412,32.3497776824,3.33212,138.262640729
 01/03  05:00:00,137.130982676,30.8476368376,32.5029803442,0.0,12.7620426787,28.1191506574,218.965256468,30.8233950456,3.33212,184.809741423
 01/03  06:00:00,173.538774946,30.8476368376,41.2596295871,0.0,25.5240853573,30.610668775,358.797779604,30.0174581991,8.3303,320.450021405
 01/03  07:00:00,302.656639386,33.6905095303,69.6912993983,0.0,51.0481707146,78.1489452969,597.868288649,29.1234697873,16.6606,552.084218862
 01/03  08:00:00,380.299139963,36.5891861686,92.4245469127,0.0,64.3609230253,109.708623606,1024.79135912,270.595287649,24.9909,729.205171469
 01/03  09:00:00,303.279042671,36.533382223,66.6407419726,0.0,51.0481707146,80.7689615957,909.776556807,318.197553811,33.3212,558.257802996
 01/03  10:00:00,261.72858325,36.8650314791,53.777712884,0.0,51.0481707146,71.0224615957,803.841927207,315.032658704,66.8089,422.000368503
 01/03  11:00:00,202.462676507,37.0515461439,43.0820859615,0.0,32.1804615127,65.7244621605,735.174036359,321.418175912,83.4695,330.286360447
 01/03  12:00:00,215.126086666,37.1354050007,54.9500747854,0.0,32.1804615127,65.7244621605,644.318241946,315.444234486,83.4695,245.40450746
 01/03  13:00:00,227.204051753,37.3044093212,67.603986945,0.0,32.1804615127,65.7244621605,632.536354112,304.210884061,83.4695,244.855970051
 01/03  14:00:00,222.730903125,37.3319261159,72.8041912466,0.0,32.1804615127,55.9779621605,615.859713231,303.822934815,75.1392,236.897578416
 01/03  15:00:00,221.576468565,37.2070847938,71.7677408076,0.0,32.1804615127,55.9779621605,623.099742153,316.626580143,66.8089,239.664262009
