Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,55.8017440638,0.451049063627,0.0,0.0,15.863942322,29.242365,3.97901739582,0.75333739582,3.20568,0.02
 01/01  02:00:00,56.1995351306,0.84934160775,0.0,0.0,15.863942322,29.242365,7.81450611463,1.72519421623,3.20568,2.8836318984
 01/01  03:00:00,56.0273619177,0.6794732862,0.0,0.0,15.863942322,29.242365,4.49514423726,1.26946423726,3.20568,0.02
 01/01  04:00:00,56.0278393518,0.6794732862,0.0,0.0,15.863942322,29.242365,7.97252301884,1.88315046928,3.20568,2.88369254956
 01/01  05:00:00,56.4129030739,0.84934160775,0.0,0.0,15.863942322,29.242365,6.20114579266,2.97546579266,3.20568,0.02
 01/01  06:00:00,56.2280514697,0.6794732862,0.0,0.0,15.863942322,29.242365,9.25417867844,3.16474578006,3.20568,2.88375289838
 01/01  07:00:00,57.3775090637,1.81314902388,0.0,0.0,15.863942322,29.242365,19.0966797569,15.8709997569,3.20568,0.02
 01/01  08:00:00,51.71515375,0.50960496465,0.0,0.0,15.863942322,29.242365,7.95040609331,1.86111224202,3.20568,2.88361385128
 01/01  09:00:00,47.7827829037,0.84934160775,0.0,0.0,15.863942322,29.242365,5.97771905316,2.75203905316,3.20568,0.02
 01/01  10:00:00,47.5470233878,0.594539125425,0.0,0.0,15.863942322,29.242365,7.39006527528,1.2986557761,3.20568,2.88572949918
 01/01  11:00:00,47.3883854907,0.451049063627,0.0,0.0,15.863942322,29.242365,6.81981094575,0.728262165606,3.20568,2.88586878014
 01/01  12:00:00,47.6617097138,0.0,0.0,0.0,15.863942322,29.242365,6.09137697906,0.0,3.20568,2.88569697906
 01/01  13:00:00,46.9243740586,0.0,0.0,0.0,15.863942322,29.242365,6.09151492721,0.0,3.20568,2.88583492721
 01/01  14:00:00,46.9701292838,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  15:00:00,46.9859402214,0.0,0.0,0.0,15.863942322,29.242365,6.08934825394,0.0,3.20568,2.88366825394
 01/01  16:00:00,46.9628323607,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  17:00:00,49.7241330279,0.0,0.0,0.0,15.863942322,29.242365,6.08940851577,0.0,3.20568,2.88372851577
 01/01  18:00:00,55.44475317,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  19:00:00,55.4449039494,0.0,0.0,0.0,15.863942322,29.242365,6.08927010187,0.0,3.20568,2.88359010187
 01/01  20:00:00,55.6530178357,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  21:00:00,55.6341335241,0.0,0.0,0.0,15.863942322,29.242365,6.08933047543,0.0,3.20568,2.88365047543
 01/01  22:00:00,55.5113474388,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  23:00:00,55.3530972521,0.0,0.0,0.0,15.863942322,29.242365,6.08939075309,0.0,3.20568,2.88371075309
 01/01  24:00:00,56.0923948873,0.0,0.0,0.0,15.863942322,29.242365,4.85729229256,0.0,3.20568,1.65161229256
 01/02  01:00:00,55.3504035378,0.0,0.0,0.0,15.863942322,29.242365,4.45809871991,0.0,3.20568,1.25241871991
 01/02  02:00:00,55.3559756397,0.0,0.0,0.0,15.863942322,29.242365,6.09147624509,0.0,3.20568,2.88579624509
 01/02  03:00:00,55.3653637644,0.0,0.0,0.0,15.863942322,29.242365,6.09161409706,0.0,3.20568,2.88593409706
 01/02  04:00:00,55.6330088092,0.274764188562,0.0,0.0,15.863942322,29.242365,6.60493292182,0.513333955425,3.20568,2.8859189664
 01/02  05:00:00,56.1911726606,0.627025352694,0.0,0.0,15.863942322,29.242365,4.54686311509,1.32118311509,3.20568,0.02
 01/02  06:00:00,56.3347490581,0.784369153212,0.0,0.0,15.863942322,29.242365,8.17756734247,2.08598469494,3.20568,2.88590264752
 01/02  07:00:00,65.0756414801,6.25744907573,0.00353670790576,0.0,15.863942322,29.818365,515.505083472,509.413517155,3.20568,2.8858863174
 01/02  08:00:00,124.377994301,6.25744907573,0.000351361215833,0.0,80.527626,29.818365,300.25018257,291.282459097,3.20568,5.76204347265
 01/02  09:00:00,164.407446687,6.25744907573,0.00273557874151,0.0,80.527626,75.0917375,226.387431715,190.736278867,24.0426,11.6085528484
 01/02  10:00:00,164.356506603,6.25744907573,0.00171475016055,0.0,80.527626,75.0917375,225.482318017,175.079033158,24.0426,26.3606848586
 01/02  11:00:00,168.498051054,6.25744907573,0.000888971600903,0.0,80.527626,79.0911225,253.503211774,195.056193658,32.0568,26.3902181165
 01/02  12:00:00,169.783847491,6.39390724508,0.0,0.0,80.527626,79.0911225,263.831145426,204.714373011,32.0568,27.0599724151
 01/02  13:00:00,169.621727954,6.62916622331,0.0,0.0,80.527626,79.0911225,270.925279175,206.996347923,32.0568,31.8721312517
 01/02  14:00:00,165.603946467,6.47441933043,0.0,0.0,80.527626,75.0917375,271.748100848,220.25925648,16.0284,35.4604443681
 01/02  15:00:00,165.444678705,6.26858068684,0.0,0.0,80.527626,75.0917375,253.575788718,214.104538203,16.0284,23.4428505151
 01/02  16:00:00,163.42363718,6.27587403947,0.0,0.0,80.527626,73.092045,244.244402926,214.625499164,3.20568,26.4132237622
 01/02  17:00:00,166.14451013,6.25744907573,0.0,0.0,80.527626,73.092045,221.313944262,212.345773071,3.20568,5.76249119095
 01/02  18:00:00,128.60402331,6.25744907573,0.0,0.0,80.527626,29.818365,236.328418986,230.231603079,3.20568,2.89113590756
 01/02  19:00:00,128.616102063,6.25744907573,0.0,0.0,80.527626,29.818365,255.197041961,243.328724254,3.20568,8.66263770715
 01/02  20:00:00,128.841145056,6.25744907573,0.0,0.0,80.527626,29.818365,264.742618805,249.967211264,3.20568,11.5697275408
 01/02  21:00:00,128.836318724,6.25744907573,0.0,0.0,80.527626,29.818365,268.064804122,256.186476375,3.20568,8.67264774701
 01/02  22:00:00,55.4403681645,0.0,0.0,0.0,15.863942322,29.242365,11.8783958415,0.0,3.20568,8.67271584151
 01/02  23:00:00,55.337286296,0.0,0.0,0.0,15.863942322,29.242365,8.97193822328,0.0,3.20568,5.76625822328
 01/02  24:00:00,56.137724307,0.0,0.0,0.0,15.863942322,29.242365,6.09600330075,0.0,3.20568,2.89032330075
 01/03  01:00:00,55.3710381434,0.0,0.0,0.0,15.863942322,29.242365,6.09146992728,0.0,3.20568,2.88578992728
 01/03  02:00:00,55.3733415541,0.0,0.0,0.0,15.863942322,29.242365,6.09160779698,0.0,3.20568,2.88592779698
 01/03  03:00:00,55.8225551678,0.451049063627,0.0,0.0,15.863942322,29.242365,6.44412223759,0.352685045559,3.20568,2.88575719203
