Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,121.739832496,4.34891317584,0.0,0.0,43.513341876,52.539744,38.4816052036,33.6273452036,4.83426,0.02
 01/01  02:00:00,133.040732921,15.6559147678,0.0,0.0,43.513341876,52.539744,39.1462960957,34.2920360957,4.83426,0.02
 01/01  03:00:00,122.226009611,4.8294637255,0.0,0.0,43.513341876,52.539744,44.3486935793,39.4944335793,4.83426,0.02
 01/01  04:00:00,133.038512065,15.6559147678,0.0,0.0,43.513341876,52.539744,37.976065895,33.121805895,4.83426,0.02
 01/01  05:00:00,127.044479269,9.20789560085,0.0,0.0,43.513341876,52.539744,63.5750088354,50.1245051589,4.83426,8.6162436765
 01/01  06:00:00,130.998659224,13.2079158878,0.0,0.0,43.513341876,52.539744,44.2436659498,39.3894059498,4.83426,0.02
 01/01  07:00:00,132.873362182,15.0261899173,0.0,0.0,43.513341876,52.539744,62.0295868381,57.1753268381,4.83426,0.02
 01/01  08:00:00,115.051574778,6.3348749511,0.0,0.0,43.513341876,52.539744,36.4868132241,31.6325532241,4.83426,0.02
 01/01  09:00:00,104.619317296,4.8294637255,0.0,0.0,43.513341876,52.539744,53.0065516473,39.5461379913,4.83426,8.62615365605
 01/01  10:00:00,103.674938494,3.8635709804,0.0,0.0,43.513341876,52.539744,29.4839437275,24.6296837275,4.83426,0.02
 01/01  11:00:00,104.617847844,4.8294637255,0.0,0.0,43.513341876,52.539744,41.8621785268,28.4017657663,4.83426,8.62615276044
 01/01  12:00:00,104.600434444,3.8635709804,0.0,0.0,43.513341876,52.539744,22.8375902279,17.9833302279,4.83426,0.02
 01/01  13:00:00,104.589960776,4.8294637255,0.0,0.0,43.513341876,52.539744,24.5566291024,19.7023691024,4.83426,0.02
 01/01  14:00:00,103.704017133,3.8635709804,0.0,0.0,43.513341876,52.539744,26.268672048,12.8082664257,4.83426,8.62614562231
 01/01  15:00:00,102.939112761,3.08400813875,0.0,0.0,43.513341876,52.539744,12.2953161618,7.4410561618,4.83426,0.02
