Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,37.9355370443,5.77999744249,1.49948965296,0.089191174856,12.925468867,10.100111941,35.7903355364,30.0147777046,0.0,5.77555783185
 01/01  02:00:00,37.7340301096,5.74266292873,1.25568177361,0.170144308364,12.925468867,10.100111941,35.9802462706,30.2136026197,0.0,5.76664365097
 01/01  03:00:00,32.8966843966,5.70709995204,1.03186956558,0.211211037692,8.34152022915,10.0650221343,27.0843678624,27.0643678624,0.0,0.02
 01/01  04:00:00,32.7573297136,5.6751267875,0.824406518876,0.311291261992,8.34152022915,10.0650221343,33.8743158712,28.1077271118,0.0,5.76658875942
 01/01  05:00:00,34.2803305932,5.65475269139,0.694815821529,0.377439945821,8.34152022915,11.6705166398,34.4642027716,28.6884730211,0.0,5.77572975045
 01/01  06:00:00,38.4038086614,5.63996760244,0.599980859284,0.452029231124,8.80141237637,15.3678112995,40.2086753411,28.6599392726,0.0,11.5487360685
 01/01  07:00:00,58.8404481785,5.71220813954,1.08100126328,0.358406894975,18.5082010057,25.6353820695,39.2460518124,27.6626112123,0.0,11.5834406001
 01/01  08:00:00,72.733257152,5.89273731693,2.2592373116,0.204664099865,19.4926561212,41.1001056674,44.9477559747,27.4503357167,0.0,17.497420258
 01/01  09:00:00,95.4974870964,6.20029301428,4.77961103989,0.15080390433,26.3286599382,57.9988325916,69.6545862716,21.7376584265,0.0,47.9169278451
 01/01  10:00:00,81.6414726915,6.10743979114,6.31604657837,0.125627890867,26.2443270014,42.8153538416,77.3341566336,17.7149270429,18.025,41.5942295906
 01/01  11:00:00,56.6510833663,5.91941583089,5.25297157133,0.261553756035,21.7447113004,23.4437158914,70.1635481315,16.6429923305,18.025,35.495555801
 01/01  12:00:00,54.4014723344,5.94449147349,5.38103784288,0.261239809018,19.3449162599,23.4437158914,61.4019590318,13.8912616259,18.025,29.4856974059
 01/01  13:00:00,54.4861851055,5.96906150811,5.31155291771,0.249103367452,19.190480192,23.7425572507,60.7870434801,13.3631172988,18.025,29.3989261813
 01/01  14:00:00,54.583717499,5.99307407475,5.41507014941,0.192985934878,19.260583323,23.698576057,51.2982468728,9.75493422602,18.025,23.5183126468
 01/01  15:00:00,54.4428739241,5.97904216068,5.33899080833,0.142254078764,19.260583323,23.698576057,56.9896489281,9.5721137789,18.025,29.3925351492
 01/01  16:00:00,53.7365318624,5.92450190822,4.99580243145,0.123589443566,19.260583323,23.4086260847,59.9680259795,12.5495556336,18.025,29.3934703459
 01/01  17:00:00,58.7722386024,5.84120667355,3.80585216482,0.0972045327404,19.260583323,27.8781056672,36.6193675008,12.8198652683,18.025,5.77450223242
