Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,22.4513878713,3.96771284105,0.0017260088546,0.0,4.58992532963,8.1892,96.0178857184,85.1719502694,3.33988,7.50605544891
 01/01  02:00:00,14.6589941112,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  03:00:00,14.6810959523,0.0,0.0,0.0,1.52997510988,7.4902,3.93197123114,0.0,3.33988,0.59209123114
 01/01  04:00:00,14.691018696,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  05:00:00,14.8386859698,0.0,0.0,0.0,1.52997510988,7.4902,3.93195129021,0.0,3.33988,0.592071290213
 01/01  06:00:00,22.5694605795,3.96771284105,0.00691423406037,0.0,4.58992532963,8.1892,119.381306281,111.011606281,8.3497,0.02
 01/01  07:00:00,38.5278421445,3.96771284105,0.0117046896341,0.0,9.17985065927,19.4245,128.088554589,106.77387333,16.6994,4.61528125854
 01/01  08:00:00,42.816405295,3.96771284105,0.0102017051609,0.0,9.17985065927,26.9147,127.025889177,96.7872802818,25.0491,5.18950889549
 01/01  09:00:00,41.7662545981,3.96771284105,0.00151498482793,0.0,9.17985065927,26.9147,123.579333378,85.5665225813,33.3988,4.61401079666
 01/01  10:00:00,34.2863616028,3.96771284105,0.0,0.0,9.17985065927,19.4245,113.562345478,83.8975434417,25.0491,4.61570203645
 01/01  11:00:00,41.787854945,3.96771284105,0.00578642334338,0.0,9.17985065927,26.9147,134.87687246,78.0275668908,41.7485,15.1008055695
 01/01  12:00:00,42.5622419031,3.96771284105,0.0,0.0,9.17985065927,26.9147,125.487891023,68.6376952152,41.7485,15.1016958075
 01/01  13:00:00,41.8680716216,3.96771284105,0.0,0.0,9.17985065927,26.9147,109.12853542,55.2129354629,41.7485,12.167099957
 01/01  14:00:00,34.3661594281,3.96771284105,0.0,0.0,9.17985065927,19.4245,92.8252408924,47.2604565258,33.3988,12.1659843666
 01/01  15:00:00,34.3807665503,3.96771284105,0.0,0.0,9.17985065927,19.4245,79.365722471,45.0667771212,25.0491,9.24984534979
 01/01  16:00:00,34.3711922721,3.96771284105,0.0,0.0,9.17985065927,19.4245,88.3110642145,45.6633241149,33.3988,9.24894009961
 01/01  17:00:00,44.9660134717,3.96771284105,0.00502077838012,0.0,9.17985065927,26.9147,108.646884988,49.2999811851,50.0982,9.24870380244
 01/01  18:00:00,46.0160704035,3.96771284105,0.0,0.0,9.17985065927,26.9147,115.479569131,53.2145647767,50.0982,12.1668043544
 01/01  19:00:00,46.0181580387,3.96771284105,0.0,0.0,9.17985065927,26.9147,115.859496696,50.6596065197,50.0982,15.1016901763
 01/01  20:00:00,38.6681883867,3.96771284105,0.0,0.0,9.17985065927,19.4245,95.9960627594,47.4955470457,33.3988,15.1017157137
 01/01  21:00:00,38.6554488861,3.96771284105,0.0,0.0,9.17985065927,19.4245,90.4293566817,44.8647943708,33.3988,12.1657623109
 01/01  22:00:00,38.5569105056,3.96771284105,0.0,0.0,9.17985065927,19.4245,102.826346399,62.674325461,25.0491,15.1029209383
 01/01  23:00:00,38.4207108271,3.96771284105,0.0,0.0,9.17985065927,19.4245,103.858085756,74.9915754448,16.6994,12.1671103108
 01/01  24:00:00,39.2351620371,3.96771284105,0.0,0.0,9.17985065927,19.4245,83.8614666369,69.1652404726,8.3497,6.34652616431
 01/02  01:00:00,22.4981894394,3.96771284105,0.0,0.0,4.58992532963,8.1892,79.2009677651,69.5144144158,3.33988,6.34667334923
 01/02  02:00:00,14.6982285353,0.0,0.0,0.0,1.52997510988,7.4902,3.93194231239,0.0,3.33988,0.592062312392
 01/02  03:00:00,14.7121342702,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/02  04:00:00,14.7201037107,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/02  05:00:00,14.8706482782,0.0,0.0,0.0,1.52997510988,7.4902,3.9319482313,0.0,3.33988,0.5920682313
 01/02  06:00:00,22.6047534849,3.96771284105,0.0,0.0,4.58992532963,8.1892,84.3010434169,75.9313434169,8.3497,0.02
 01/02  07:00:00,38.5828918427,3.96771284105,0.0132581691701,0.0,9.17985065927,19.4245,88.673332997,66.7845020658,16.6994,5.18943093121
 01/02  08:00:00,42.8991839215,3.96771284105,0.020547354157,0.0,9.17985065927,26.9147,97.3605170228,54.2563741156,25.0491,18.0550429072
 01/02  09:00:00,41.8431898524,3.96771284105,0.0,0.0,9.17985065927,26.9147,101.532839902,51.8495213688,33.3988,16.2845185336
 01/02  10:00:00,34.362908653,3.96771284105,0.0,0.0,9.17985065927,19.4245,89.0974071728,50.1237283318,25.0491,13.9245788409
 01/02  11:00:00,41.8688614325,3.96771284105,0.00691719928876,0.0,9.17985065927,26.9147,102.169833189,48.2547689871,41.7485,12.1665642022
 01/02  12:00:00,42.6132684766,3.96771284105,0.0,0.0,9.17985065927,26.9147,92.838030612,37.1686760784,41.7485,13.9208545336
