Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,13.5567637862,2.19173602919,0.0,0.0,1.85583932782,5.577,48.2550280875,42.9415422652,3.0011,2.3123858223
 01/01  02:00:00,9.48632367379,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  03:00:00,9.50958461779,0.0,0.0,0.0,0.618613109274,5.0,3.59318364313,0.0,3.0011,0.592083643132
 01/01  04:00:00,9.52029608036,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  05:00:00,9.66817249219,0.0,0.0,0.0,0.618613109274,5.0,3.59318953866,0.0,3.0011,0.592089538662
 01/01  06:00:00,13.6896916937,2.19173602919,0.0,0.0,1.85583932782,5.577,63.6585954029,59.1369454029,4.50165,0.02
 01/01  07:00:00,28.1662001288,2.19173602919,0.0,0.0,3.71167865564,18.077,68.0798537222,52.8370786208,13.50495,1.73782510143
 01/01  08:00:00,26.2230654188,2.19173602919,0.0,0.0,3.71167865564,18.077,73.0359749767,50.290410525,21.0077,1.7378644517
 01/01  09:00:00,20.5922002334,2.19173602919,0.0,0.0,3.71167865564,13.077,61.8704528297,45.699432357,15.0055,1.16552047263
 01/01  10:00:00,20.6096381574,2.19173602919,0.0,0.0,3.71167865564,13.077,57.1733411263,40.42947382,15.0055,1.7383673063
 01/01  11:00:00,25.6095066809,2.19173602919,0.0,0.0,3.71167865564,18.077,73.1337509179,34.9314995655,33.0121,5.19015135232
 01/01  12:00:00,26.7726169356,2.19173602919,0.0,0.0,3.71167865564,18.077,73.2233791138,28.0935977257,40.51485,4.61493138803
 01/01  13:00:00,25.8643030888,2.19173602919,0.0,0.0,3.71167865564,18.077,61.194697365,21.7178975748,36.0132,3.46359979017
 01/01  14:00:00,25.6863358466,2.19173602919,0.0,0.0,3.71167865564,18.077,52.4064854569,16.8571421008,31.51155,4.03779335614
 01/01  15:00:00,20.7000632439,2.19173602919,0.0,0.0,3.71167865564,13.077,39.2197945074,15.3251594394,21.0077,2.88693506805
 01/01  16:00:00,20.6880364009,2.19173602919,0.0,0.0,3.71167865564,13.077,37.6620712223,15.2679395843,19.50715,2.88698163795
 01/01  17:00:00,22.4924295629,2.19173602919,0.0,0.0,3.71167865564,13.077,45.0358144792,19.0667400395,22.50825,3.46082443965
 01/01  18:00:00,28.1149069989,2.19173602919,0.0,0.0,3.71167865564,18.077,50.0091689364,21.0362595789,25.50935,3.46355935752
 01/01  19:00:00,28.1170684557,2.19173602919,0.0,0.0,3.71167865564,18.077,50.5491844536,20.4241744359,25.50935,4.61566001769
 01/01  20:00:00,28.2677162006,2.19173602919,0.0,0.0,3.71167865564,18.077,49.6773721511,18.9798424187,25.50935,5.1881797324
 01/01  21:00:00,23.2589012998,2.19173602919,0.0,0.0,3.71167865564,13.077,45.4683580855,19.4970969129,22.50825,3.46301117257
 01/01  22:00:00,23.1624325656,2.19173602919,0.0,0.0,3.71167865564,13.077,52.3083288166,26.1117619327,21.0077,5.18886688392
 01/01  23:00:00,23.0325451695,2.19173602919,0.0,0.0,3.71167865564,13.077,54.2685170147,32.7991037974,18.0066,3.4628132173
 01/01  24:00:00,24.2399085822,2.19173602919,0.0,0.0,3.71167865564,13.077,37.1229925744,31.8102246878,3.0011,2.31166788667
 01/02  01:00:00,13.7802417547,2.19173602919,0.0,0.0,1.85583932782,5.577,38.5436936475,33.8043681634,3.0011,1.73822548415
 01/02  02:00:00,9.52800402819,0.0,0.0,0.0,0.618613109274,5.0,3.5931917739,0.0,3.0011,0.592091773895
 01/02  03:00:00,9.54287650906,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/02  04:00:00,9.55131798997,0.0,0.0,0.0,0.618613109274,5.0,3.59314593865,0.0,3.0011,0.592045938654
 01/02  05:00:00,9.70167906928,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/02  06:00:00,13.7285170131,2.19173602919,0.0,0.0,1.85583932782,5.577,43.8123037552,38.7186018733,4.50165,0.592051881871
 01/02  07:00:00,28.2170637389,2.19173602919,0.0,0.0,3.71167865564,18.077,44.6775614453,29.4343048683,13.50495,1.73830657695
 01/02  08:00:00,26.2916677755,2.19173602919,0.0,0.0,3.71167865564,18.077,48.9969995068,22.7961136507,21.0077,5.19318585607
 01/02  09:00:00,20.663960244,2.19173602919,0.0,0.0,3.71167865564,13.077,43.367879778,23.1710251705,15.0055,5.19135460753
 01/02  10:00:00,20.6786744101,2.19173602919,0.0,0.0,3.71167865564,13.077,41.942667414,22.3239760409,15.0055,4.61319137306
 01/02  11:00:00,25.686290801,2.19173602919,0.0,0.0,3.71167865564,18.077,54.3547283479,17.3052340167,33.0121,4.03739433118
 01/02  12:00:00,26.8237165165,2.19173602919,0.0,0.0,3.71167865564,18.077,56.6824000695,12.1284424609,40.51485,4.03910760852
 01/02  13:00:00,25.9490375686,2.19173602919,0.0,0.0,3.71167865564,18.077,44.4583719598,4.40764645167,36.0132,4.03752550812
 01/02  14:00:00,25.7914573837,2.19173602919,0.0,0.0,3.71167865564,18.077,35.6609838881,0.687391625363,31.51155,3.46204226269
 01/02  15:00:00,20.8090672035,2.19173602919,0.0,0.0,3.71167865564,13.077,26.0015825355,2.10684347321,21.0077,2.88703906225
 01/02  16:00:00,20.7808250792,2.19173602919,0.0,0.0,3.71167865564,13.077,26.7236880231,4.32933413699,19.50715,2.88720388614
 01/02  17:00:00,22.5896570538,2.19173602919,0.0,0.0,3.71167865564,13.077,30.7098745179,5.31438708202,22.50825,2.88723743593
