Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,81.2115471931,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  02:00:00,82.6823704918,4.12090516434,0.0,0.0,3.49369000822,6.81298672936,12.0323090753,10.2610590753,1.75125,0.02
 01/01  03:00:00,88.7001233024,12.362715493,0.0,0.0,3.49369000822,6.81298672936,34.5291050157,31.6134982034,1.75125,1.16435681227
 01/01  04:00:00,84.4710400683,8.75005041759,0.0,0.0,3.49369000822,6.81298672936,28.1994720536,26.4282220536,1.75125,0.02
 01/01  05:00:00,96.9947074736,15.0191930056,0.0,0.0,3.49369000822,6.81298672936,50.7939322639,49.0226822639,1.75125,0.02
 01/01  06:00:00,97.2140451163,15.7090746121,0.0,0.0,3.49369000822,6.81298672936,46.5270066559,43.6114742473,1.75125,1.16428240857
 01/01  07:00:00,124.07302614,28.9117572435,0.0,0.0,6.98738001645,14.1499734587,539.749548962,536.227048962,3.5025,0.02
 01/01  08:00:00,122.867894285,28.9117572435,0.0,0.0,6.98738001645,14.1499734587,505.170360554,501.647860554,3.5025,0.02
 01/01  09:00:00,154.866633807,28.9117572435,0.0,0.0,6.98738001645,14.1499734587,424.259007899,419.592123128,3.5025,1.16438477112
 01/01  10:00:00,127.725851166,28.9117572435,0.0,0.0,6.98738001645,14.1499734587,392.28784862,388.76534862,3.5025,0.02
 01/01  11:00:00,162.552088191,28.9117572435,0.0,0.0,27.9495200658,27.7759469175,354.592335837,346.422577888,7.005,1.16475794858
 01/01  12:00:00,195.231030648,28.9117572435,0.0,0.0,27.9495200658,27.7759469175,324.003140733,315.833335833,7.005,1.16480489987
 01/01  13:00:00,205.454578111,28.9117572435,0.0,0.0,41.9242800987,36.8599292233,271.986817525,261.481811846,9.34,1.16500567898
 01/01  14:00:00,205.504138575,28.9117572435,0.0,0.0,41.9242800987,36.8599292233,236.989263505,226.484325284,9.34,1.16493822106
 01/01  15:00:00,203.372321546,28.9117572435,0.0,0.0,41.9242800987,36.8599292233,215.243944466,204.738934793,9.34,1.16500967379
 01/01  16:00:00,200.63308773,28.9117572435,0.0,0.0,41.9242800987,36.8599292233,208.097737105,197.592793232,9.34,1.16494387312
 01/01  17:00:00,210.514033989,28.9117572435,0.0,0.0,41.9242800987,36.8599292233,220.693965385,210.189031405,9.34,1.1649339808
