Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,940.341088307,97.3692646741,547.236730375,0.0,34.9616554283,113.312780494,415.983961448,401.635759256,5.66466996096,8.68353223059
 01/01  02:00:00,926.434101958,97.3616373068,533.859964225,0.0,34.9616554283,113.312780494,412.958925907,398.61135951,5.66466996096,8.68289643605
 01/01  03:00:00,922.78170679,97.3552847441,530.761013428,0.0,34.9616554283,113.312780494,416.929512467,402.580568029,5.66466996096,8.68427447727
 01/01  04:00:00,923.441397409,97.3551509985,531.401747347,0.0,34.9616554283,113.312780494,424.485216575,410.137010886,5.66466996096,8.68353572805
 01/01  05:00:00,935.937828898,97.3551509985,533.302971269,0.0,44.4937663224,113.312780494,419.536694327,405.189179732,5.66466996096,8.68284463396
 01/01  06:00:00,937.234995007,97.3551509985,534.488092616,0.0,44.4937663224,113.312780494,439.988262953,408.478954718,14.1616749024,17.3476333322
 01/01  07:00:00,1010.75482403,97.3551509985,534.897076004,0.0,54.0258772165,176.889270242,387.327420969,350.32131416,28.3233498048,8.68275700405
 01/01  08:00:00,1004.44475874,97.3551509985,536.646194448,0.0,54.0258772165,184.38654557,392.723346254,341.55423472,42.4850247072,8.68408682682
 01/01  09:00:00,1090.37836541,97.3569988905,542.607302777,0.0,65.1572554096,220.04316451,394.174951445,320.126024361,56.6466996096,17.4022274749
 01/01  10:00:00,1086.01887221,97.3898146055,545.573691378,0.0,65.1572554096,212.545889182,366.063069911,306.123051055,42.4850247072,17.4549941496
 01/01  11:00:00,1092.81383347,97.4015059325,544.857349432,0.0,65.1572554096,220.04316451,391.875370623,303.55377666,70.808374512,17.5132194514
 01/01  12:00:00,1090.36506498,97.4071942674,541.386438676,0.0,65.1572554096,220.04316451,383.268967142,294.950645361,70.808374512,17.5099472695
 01/01  13:00:00,1078.97625776,97.4318084354,531.965517851,0.0,65.1572554096,220.04316451,375.713753567,278.645917866,70.808374512,26.2594611891
 01/01  14:00:00,1056.95275655,97.4701162221,519.043402614,0.0,65.1572554096,212.545889182,321.504732617,247.3448107,56.6466996096,17.5132223073
 01/01  15:00:00,1054.59721949,97.4980252644,517.220106734,0.0,65.1572554096,212.545889182,263.864932803,203.869954636,42.4850247072,17.5099534595
 01/01  16:00:00,1062.0289479,97.5033647076,518.985764606,0.0,65.1572554096,212.545889182,229.658926497,146.752752969,56.6466996096,26.2594739185
 01/01  17:00:00,1041.98402636,97.4867804633,522.109128315,0.0,65.1572554096,220.04316451,243.703102351,141.21982124,84.9700494144,17.5132316966
 01/01  18:00:00,987.994834114,97.4429532493,513.593541116,0.0,54.0258772165,184.38654557,299.407554588,196.978384807,84.9700494144,17.459120367
 01/01  19:00:00,962.204474105,97.4230067143,512.765627765,0.0,44.4937663224,163.454314868,356.156612563,262.502325192,84.9700494144,8.68423795617
 01/01  20:00:00,954.521411821,97.4169009835,512.432705771,0.0,44.4937663224,155.95703954,352.514945106,287.184755582,56.6466996096,8.68348991512
 01/01  21:00:00,930.612285718,97.4097763597,518.49753,0.0,44.4937663224,124.558693486,410.198309586,344.868814821,56.6466996096,8.68279515538
 01/01  22:00:00,953.995969257,97.400180422,540.181797238,0.0,44.4937663224,124.558693486,428.065208892,368.232662869,42.4850247072,17.3475213165
 01/01  23:00:00,962.940201555,97.3890294785,559.252141953,0.0,34.9616554283,124.558693486,428.583263304,391.577209145,28.3233498048,8.6827043543
 01/01  24:00:00,968.775504103,97.3771929153,564.399383768,0.0,34.9616554283,124.558693486,425.146912659,402.301209573,14.1616749024,8.68402818367
 01/02  01:00:00,969.22963726,97.3678387109,566.162930706,0.0,46.0930336215,113.312780494,423.323528511,408.975529401,5.66466996096,8.68332914871
 01/02  02:00:00,967.466163332,97.3581010192,564.33282901,0.0,46.0930336215,113.312780494,429.35505417,415.007726063,5.66466996096,8.6826581457
 01/02  03:00:00,965.913156178,97.3551509985,562.686872266,0.0,46.0930336215,113.312780494,443.227185923,420.215265509,5.66466996096,17.347250453
 01/02  04:00:00,964.200784402,97.3551509985,560.860516986,0.0,46.0930336215,113.312780494,439.37493875,425.027681035,5.66466996096,8.6825877544
 01/02  05:00:00,1047.21420573,97.3551509985,552.803854615,0.0,100.150657288,148.969399434,415.718292045,401.369719411,5.66466996096,8.68390267315
 01/02  06:00:00,1041.62785833,97.6265781462,544.905778076,0.0,100.150657288,149.894399434,774.104754842,751.259882179,14.1616749024,8.68319776089
 01/02  07:00:00,1271.72270538,98.2506146663,545.526872424,0.0,176.471037341,302.612436532,525.593751396,488.586727844,28.3233498048,8.68367374757
 01/02  08:00:00,1378.6325369,99.6167321396,543.167709164,0.0,243.2593065,310.10971186,490.855670987,430.903554485,42.4850247072,17.4670917942
 01/02  09:00:00,1415.29381158,100.326375252,538.3858559,0.0,243.2593065,310.10971186,473.418605601,390.488977202,56.6466996096,26.2829287896
 01/02  10:00:00,1437.85257526,101.137293206,527.897785578,0.0,243.2593065,302.612436532,427.812891907,358.975527122,42.4850247072,26.3523400784
 01/02  11:00:00,1433.03188874,101.962507735,516.206474397,0.0,243.2593065,310.10971186,423.359082307,326.082194314,70.808374512,26.4685134807
 01/02  12:00:00,1430.25385196,102.834141072,512.817875626,0.0,243.2593065,310.10971186,399.494233986,302.183968406,70.808374512,26.501891068
 01/02  13:00:00,1390.74370359,104.034234501,512.83827666,0.0,243.2593065,310.10971186,368.207594568,270.998909468,70.808374512,26.400310588
 01/02  14:00:00,1428.07962864,105.34618155,513.110974512,0.0,243.2593065,302.612436532,319.813108433,227.837980199,56.6466996096,35.3284286246
 01/02  15:00:00,1431.96615171,106.896753373,513.065996172,0.0,243.2593065,302.612436532,264.025179548,195.071173729,42.4850247072,26.4689811124
 01/02  16:00:00,1436.54836574,108.376877441,514.811981312,0.0,243.2593065,302.612436532,259.100033719,176.023273483,56.6466996096,26.4300606259
 01/02  17:00:00,1441.99644355,109.437329274,513.18915118,0.0,243.2593065,310.10971186,287.693037589,176.397082193,84.9700494144,26.3259059815
 01/02  18:00:00,1443.50462438,109.564546107,509.683417949,0.0,243.2593065,310.10971186,296.009727059,202.315243339,84.9700494144,8.72443430562
 01/02  19:00:00,1173.71634327,97.4640847722,513.143066344,0.0,166.938926447,199.110933808,333.36889261,231.01485392,84.9700494144,17.3839892755
 01/02  20:00:00,1186.89641112,97.4766894529,531.15060884,0.0,166.938926447,191.61365848,324.382129463,259.035544823,56.6466996096,8.69988503017
 01/02  21:00:00,1070.09608553,97.4539415341,546.902655143,0.0,100.150657288,124.558693486,384.121249625,310.091803958,56.6466996096,17.3827460569
 01/02  22:00:00,1039.14619834,97.4402815278,555.878367137,0.0,100.150657288,124.558693486,375.168488533,323.99844856,42.4850247072,8.68501526596
 01/02  23:00:00,973.660905905,97.4199094758,558.275764798,0.0,46.0930336215,124.558693486,384.604630394,347.596894737,28.3233498048,8.68438585216
 01/02  24:00:00,979.243583745,97.4044347558,563.435827027,0.0,46.0930336215,124.558693486,382.649942494,359.804628273,14.1616749024,8.68363931861
 01/03  01:00:00,972.305518291,97.3899151107,569.287594903,0.0,46.0930336215,113.312780494,385.73710421,371.388301891,5.66466996096,8.68413235838
