Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,269.131205848,32.9310515254,139.502602601,0.0,34.4311606118,33.1021868926,79.0773379406,0.0,3.33212,75.7452179406
 01/01  02:00:00,276.773299197,32.596698274,147.728960033,0.0,34.4311606118,33.1021868926,62.6170581327,0.0547852590702,3.33212,59.2301528736
 01/01  03:00:00,265.910284967,33.1316634763,153.172441004,0.0,19.466279405,30.610668775,64.0200202132,0.0192701910376,3.33212,60.6686300222
 01/01  04:00:00,250.937998448,30.7243200657,143.247393242,0.0,19.466279405,30.610668775,64.0012093153,0.0,3.33212,60.6690893153
 01/01  05:00:00,260.572787056,33.1316634763,141.190251194,0.0,19.466279405,30.610668775,83.7513037135,0.0306065804086,3.33212,80.3885771331
 01/01  06:00:00,273.107306115,33.1316634763,141.5378909,0.0,19.466279405,30.610668775,109.46082712,0.0736873817842,8.3303,101.056839738
 01/01  07:00:00,348.740530938,34.2550904013,143.389156302,0.0,42.6918050922,54.3732441037,155.385761659,0.116780041073,16.6606,138.608381618
 01/01  08:00:00,383.521663022,35.9656823526,136.02269223,0.0,49.3960418185,88.5934452969,270.842766934,10.3973035323,24.9909,235.454563402
 01/01  09:00:00,409.556517121,35.7817881456,133.223122882,0.0,57.6566862989,112.030105488,380.152705236,3.65891935196,33.3212,343.172585884
 01/01  10:00:00,353.21046629,36.3337172897,132.393434383,0.0,50.9524495726,81.1684271793,313.900794529,0.0,66.8089,247.091894529
 01/01  11:00:00,310.025964874,36.6265413379,133.904347294,0.0,42.6918050922,68.9656133826,272.554379731,0.0,83.4695,189.084879731
 01/01  12:00:00,307.457727243,36.4925044507,135.22490131,0.0,38.286128036,68.9656133826,230.271473857,0.0,83.4695,146.801973857
 01/01  13:00:00,305.398809429,36.6156798547,133.809487186,0.0,38.286128036,68.9656133826,198.580370223,0.0,83.4695,115.110870223
 01/01  14:00:00,283.597381255,36.5713028461,130.987336436,0.0,31.5818913096,56.727595265,183.84192063,0.0,75.1392,108.70272063
 01/01  15:00:00,280.095571107,36.657332464,127.404947823,0.0,31.5818913096,56.727595265,177.079655619,0.0,66.8089,110.270755619
 01/01  16:00:00,279.33458568,36.6611678844,126.710748775,0.0,31.5818913096,56.727595265,188.247546018,0.0,75.1392,113.108346018
 01/01  17:00:00,312.419849886,36.4047369038,130.740985262,0.0,31.5818913096,61.661095265,172.299038739,0.0,91.7998,80.4992387392
 01/01  18:00:00,352.000195945,35.7482104802,137.726932597,0.0,31.5818913096,70.9729253606,154.84395815,3.61965197299,49.9818,101.242506177
 01/01  19:00:00,424.764530783,35.7308439502,137.661789419,0.0,80.3315023541,83.7685254822,178.392771541,5.54287652262,49.9818,122.868095018
 01/01  20:00:00,426.870411348,35.7916361647,135.675379035,0.0,102.000620287,77.6748002752,195.149471077,6.20979612251,33.3212,155.618474954
 01/01  21:00:00,447.435117805,35.7669763962,135.774569175,0.0,108.704857014,91.4735406516,200.834165816,6.74029059556,33.3212,160.77267522
 01/01  22:00:00,419.903621217,35.9389109016,136.304734849,0.0,95.2963835608,89.1510273009,193.942610194,7.24931039274,24.9909,161.702399802
 01/01  23:00:00,368.653806822,35.8513524796,138.43297368,0.0,80.3315023541,63.3799339444,257.066336063,7.76606838089,16.6606,232.639667682
 01/01  24:00:00,307.585981894,35.7647321671,141.781673158,0.0,42.6918050922,48.4199368926,149.912560719,8.27862490562,8.3303,133.303635813
 01/02  01:00:00,236.853520019,32.7304395746,119.330931009,0.0,25.5240853573,30.610668775,83.7456284656,0.0287682687269,3.33212,80.3847401969
