Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,55.8295398433,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  02:00:00,55.840868052,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  03:00:00,55.8329769038,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  04:00:00,55.8257442573,0.0,0.0,0.0,15.863942322,29.242365,6.08761673831,0.0,3.20568,2.88193673831
 01/01  05:00:00,56.0962805296,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  06:00:00,56.0748266168,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  07:00:00,56.0749630802,0.0,0.0,0.0,15.863942322,29.242365,6.08764040019,0.0,3.20568,2.88196040019
 01/01  08:00:00,48.841178422,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  09:00:00,47.419253958,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  10:00:00,49.3947463898,0.146688235258,1.81527503102,0.0,15.863942322,29.242365,6.08859978836,0.0,3.20568,2.88291978836
 01/01  11:00:00,61.226891101,1.11628744391,12.6653656976,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  12:00:00,64.3612749477,1.40472312345,14.8098081107,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  13:00:00,70.721611882,2.05172219344,21.1990471284,0.0,15.863942322,29.242365,6.08872270628,0.0,3.20568,2.88304270628
 01/01  14:00:00,72.6372380185,2.29485881785,22.8607595034,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  15:00:00,76.6507410377,2.74261968273,26.4197433165,0.0,15.863942322,29.242365,6.08770344423,0.0,3.20568,2.88202344423
 01/01  16:00:00,73.9708593821,2.50879050099,23.9641529247,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  17:00:00,75.6399605754,2.74913783414,25.4104201388,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  18:00:00,72.3915502584,2.17831797615,19.8944252676,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  19:00:00,64.8860496094,0.890344076484,8.00090709396,0.0,15.863942322,29.242365,6.08770574632,0.0,3.20568,2.88202574632
 01/01  20:00:00,56.2365636591,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  21:00:00,56.2032292154,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  22:00:00,56.033671879,0.0,0.0,0.0,15.863942322,29.242365,6.08767115405,0.0,3.20568,2.88199115405
 01/01  23:00:00,55.8242793804,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  24:00:00,56.4959315596,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/02  01:00:00,55.8074658722,0.0,0.0,0.0,15.863942322,29.242365,6.08858514938,0.0,3.20568,2.88290514938
 01/02  02:00:00,55.8054789852,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/02  03:00:00,55.8043319011,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/02  04:00:00,55.8040861174,0.0,0.0,0.0,15.863942322,29.242365,6.08870772717,0.0,3.20568,2.88302772717
 01/02  05:00:00,56.0837888602,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/02  06:00:00,56.0634774377,0.0,0.0,0.0,15.863942322,29.242365,6.08866880808,0.0,3.20568,2.88298880808
 01/02  07:00:00,102.501448371,7.97103968221,37.9253808397,0.0,15.863942322,29.818365,3.22568,0.0,3.20568,0.02
 01/02  08:00:00,159.75309033,7.7388990766,37.719180293,0.0,80.527626,29.818365,6.09114358513,0.0,3.20568,2.88546358513
 01/02  09:00:00,234.12553307,11.1012841186,64.8724518689,0.0,80.527626,75.0917375,29.8276044672,0.00930350690329,24.0426,5.77570096025
 01/02  10:00:00,253.817948978,14.2268589947,81.4295547926,0.0,80.527626,75.0917375,35.6253789394,0.0,24.0426,11.5827789394
 01/02  11:00:00,272.990253643,16.3835868211,94.4260577358,0.0,80.527626,79.0911225,45.212302141,0.0,32.0568,13.155502141
 01/02  12:00:00,287.003966928,17.9051035861,106.200416149,0.0,80.527626,79.0911225,44.992361495,0.0,32.0568,12.935561495
 01/02  13:00:00,294.254993568,19.3938887077,112.652871367,0.0,80.527626,79.0911225,49.4795395236,0.0,32.0568,17.4227395236
 01/02  14:00:00,292.3194035,21.2044950056,112.899205937,0.0,80.527626,75.0917375,30.5650070708,0.0,16.0284,14.5366070708
 01/02  15:00:00,297.556659997,23.0737467307,116.267282919,0.0,80.527626,75.0917375,27.6150008824,0.0,16.0284,11.5866008824
 01/02  16:00:00,296.094504408,24.1381671426,115.742994117,0.0,80.527626,73.092045,17.7153772121,0.0236841536331,3.20568,14.4860130585
 01/02  17:00:00,275.067990103,19.2232068679,99.6446437241,0.0,80.527626,73.092045,3.25122413465,0.0255441346459,3.20568,0.02
 01/02  18:00:00,208.357985488,13.4138941391,79.1751690231,0.0,80.527626,29.818365,6.09105698496,0.0,3.20568,2.88537698496
 01/02  19:00:00,200.817267307,10.6614636222,68.6761458761,0.0,80.527626,29.818365,6.09588469249,0.0,3.20568,2.89020469249
 01/02  20:00:00,193.589796227,9.58010804998,62.2496813878,0.0,80.527626,29.818365,8.97152854336,0.0,3.20568,5.76584854336
 01/02  21:00:00,185.314509666,8.93454353129,54.6598521261,0.0,80.527626,29.818365,8.9687731642,0.0,3.20568,5.7630931642
 01/02  22:00:00,56.0094283087,0.0,0.0,0.0,15.863942322,29.242365,6.09732753963,0.0,3.20568,2.89164753963
 01/02  23:00:00,55.8295111674,0.0,0.0,0.0,15.863942322,29.242365,6.09230725819,0.0,3.20568,2.88662725819
 01/02  24:00:00,56.5310834939,0.0,0.0,0.0,15.863942322,29.242365,6.09060102563,0.0,3.20568,2.88492102563
 01/03  01:00:00,55.8160503642,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/03  02:00:00,55.8049941574,0.0,0.0,0.0,15.863942322,29.242365,6.08863942305,0.0,3.20568,2.88295942305
 01/03  03:00:00,55.7970808465,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/03  04:00:00,55.7895693465,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/03  05:00:00,57.0967662055,0.0,0.0,0.0,15.863942322,29.242365,6.08860162729,0.0,3.20568,2.88292162729
 01/03  06:00:00,56.9049636089,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/03  07:00:00,94.5953361111,7.79458963635,29.8126422868,0.0,15.863942322,29.818365,6.11101769888,0.0222923897887,3.20568,2.88304530909
 01/03  08:00:00,152.951667229,7.7388990766,30.9610149074,0.0,80.527626,29.818365,3.22568,0.0,3.20568,0.02
 01/03  09:00:00,221.686625695,10.280327959,53.2707275772,0.0,80.527626,75.0917375,32.7074684374,0.0110574048912,24.0426,8.6538110325
 01/03  10:00:00,243.414795208,13.1998054717,72.0580937098,0.0,80.527626,75.0917375,35.6273558753,0.0,24.0426,11.5847558753
 01/03  11:00:00,261.400743208,15.7260840417,83.4997359299,0.0,80.527626,79.0911225,43.6466308431,0.0,32.0568,11.5898308431
 01/03  12:00:00,273.070564164,17.2602255169,92.9222669744,0.0,80.527626,79.0911225,46.5621883282,0.0,32.0568,14.5053883282
 01/03  13:00:00,280.127313562,18.7053922985,99.2290405709,0.0,80.527626,79.0911225,46.5807710258,0.0,32.0568,14.5239710258
 01/03  14:00:00,281.249997456,20.4958071946,102.552115634,0.0,80.527626,75.0917375,33.462722405,0.0,16.0284,17.434322405
 01/03  15:00:00,291.237024052,22.3634945088,110.664570612,0.0,80.527626,75.0917375,27.6139539295,0.0,16.0284,11.5855539295
