Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,13.6569698714,2.18481897603,0.0,0.0,1.85583932782,5.577,20.1796111844,15.4392507105,3.0011,1.7392604738
 01/01  02:00:00,9.67047940377,0.0,0.0,0.0,0.618613109274,5.0,3.59317705824,0.0,3.0011,0.592077058241
 01/01  03:00:00,9.69854657823,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  04:00:00,9.70549183974,0.0,0.0,0.0,0.618613109274,5.0,3.59315709956,0.0,3.0011,0.592057099562
 01/01  05:00:00,9.86018412907,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  06:00:00,13.8583154909,2.18481897603,0.0,0.0,1.85583932782,5.577,17.0858375644,11.9921245394,4.50165,0.592063024976
 01/01  07:00:00,28.3284023419,2.18481897603,0.0,0.0,3.71167865564,18.077,21.7020296306,7.03185870185,13.50495,1.16522092876
 01/01  08:00:00,27.6586448611,2.18481897603,0.0,0.0,3.71167865564,18.077,27.0955215349,4.9227503257,21.0077,1.16507120922
 01/01  09:00:00,20.7667634425,2.18481897603,0.0,0.0,3.71167865564,13.077,21.2840991502,4.54067418423,15.0055,1.73792496594
 01/01  10:00:00,20.7881509542,2.18481897603,0.0,0.0,3.71167865564,13.077,20.5171897698,4.34641608054,15.0055,1.16527368922
 01/01  11:00:00,25.8039640232,2.18481897603,0.0,0.0,3.71167865564,18.077,40.1339719874,3.08392437245,33.0121,4.03794761499
 01/01  12:00:00,26.932642535,2.18481897603,0.0,0.0,3.71167865564,18.077,45.275607373,0.148911884537,40.51485,4.61184548851
 01/01  13:00:00,26.0960822451,2.18481897603,0.00682032706583,0.0,3.71167865564,18.077,38.9013959655,0.0,36.0132,2.88819596553
 01/01  14:00:00,25.8606757092,2.18481897603,0.0,0.0,3.71167865564,18.077,34.972934432,0.0,31.51155,3.46138443201
 01/01  15:00:00,20.8477369432,2.18481897603,0.0,0.0,3.71167865564,13.077,25.7842078275,1.89012135791,21.0077,2.88638646955
 01/01  16:00:00,20.7832105853,2.18481897603,0.0,0.0,3.71167865564,13.077,27.4355302206,5.61549019774,19.50715,2.31289002286
 01/01  17:00:00,20.6462996851,2.18481897603,0.0,0.0,3.71167865564,13.077,35.7171075616,10.3225467049,22.50825,2.88631085673
 01/01  18:00:00,26.9003526823,2.18481897603,0.0,0.0,3.71167865564,18.077,40.1561367761,11.7582003514,25.50935,2.88858642468
 01/01  19:00:00,28.1653485073,2.18481897603,0.0,0.0,3.71167865564,18.077,40.1391369859,10.5923026966,25.50935,4.03748428938
 01/01  20:00:00,28.3070193768,2.18481897603,0.0,0.0,3.71167865564,18.077,40.6855589275,10.5643640053,25.50935,4.61184492219
 01/01  21:00:00,23.2864800838,2.18481897603,0.0,0.0,3.71167865564,13.077,37.8337829368,12.4378112094,22.50825,2.88772172735
 01/01  22:00:00,23.2085153661,2.18481897603,0.0,0.0,3.71167865564,13.077,39.1816695683,14.1362837925,21.0077,4.03768577573
 01/01  23:00:00,23.093960681,2.18481897603,0.0,0.0,3.71167865564,13.077,37.9955104229,16.5272267117,18.0066,3.46168371113
 01/01  24:00:00,24.258331221,2.18481897603,0.0,0.0,3.71167865564,13.077,25.2487172323,20.5095499228,3.0011,1.73806730947
 01/02  01:00:00,13.7888305201,2.18481897603,0.0,0.0,1.85583932782,5.577,32.7421076056,28.0027655564,3.0011,1.73824204926
 01/02  02:00:00,9.55228801792,0.0,0.0,0.0,0.618613109274,5.0,3.59318759949,0.0,3.0011,0.592087599495
 01/02  03:00:00,9.5811834456,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/02  04:00:00,9.59096901885,0.0,0.0,0.0,0.618613109274,5.0,3.59318318508,0.0,3.0011,0.592083185079
 01/02  05:00:00,9.73917233433,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/02  06:00:00,13.7422812101,2.18481897603,0.0,0.0,1.85583932782,5.577,37.1417038168,32.0479647477,4.50165,0.592089069056
 01/02  07:00:00,28.2132676462,2.18481897603,0.0,0.0,3.71167865564,18.077,40.297022764,25.6269757504,13.50495,1.16509701356
 01/02  08:00:00,27.5373836113,2.18481897603,0.0,0.0,3.71167865564,18.077,47.7032482897,21.5057514641,21.0077,5.18979682553
 01/02  09:00:00,20.6451509447,2.18481897603,0.0,0.0,3.71167865564,13.077,39.7490759681,20.7046300254,15.0055,4.0389459427
 01/02  10:00:00,20.669523576,2.18481897603,0.0,0.0,3.71167865564,13.077,39.0391901979,19.9967509034,15.0055,4.03693929447
 01/02  11:00:00,25.6808602583,2.18481897603,0.0,0.0,3.71167865564,18.077,50.91983166,14.4458097983,33.0121,3.46192186176
 01/02  12:00:00,26.8119837566,2.18481897603,0.0,0.0,3.71167865564,18.077,54.2165862564,10.2385080351,40.51485,3.46322822121
 01/02  13:00:00,25.9172160164,2.18481897603,0.0,0.0,3.71167865564,18.077,45.5412732436,6.06598079914,36.0132,3.46209244441
 01/02  14:00:00,25.7209748876,2.18481897603,0.0,0.0,3.71167865564,18.077,38.4916231046,4.0925828278,31.51155,2.88749027677
 01/02  15:00:00,20.7184424076,2.18481897603,0.0,0.0,3.71167865564,13.077,31.0876299117,7.19373421442,21.0077,2.88619569725
