Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,250.841621184,33.123534387,121.119857422,0.0,34.4311606118,33.1021868926,79.1284382567,0.0,3.33212,75.7963182567
 01/01  02:00:00,230.816875901,32.7225734819,102.164766678,0.0,34.4311606118,33.1021868926,63.0519010455,0.540984076214,3.33212,59.1787969693
 01/01  03:00:00,188.942745995,30.7177689561,82.2746823332,0.0,19.466279405,30.610668775,63.9948923197,0.0,3.33212,60.6627723197
 01/01  04:00:00,217.003141459,33.123534387,104.897358154,0.0,19.466279405,30.610668775,64.0083872861,0.00655944502688,3.33212,60.6697078411
 01/01  05:00:00,190.14697511,31.5196907664,75.0645685263,0.0,19.466279405,30.610668775,83.7312701765,0.0262384113897,3.33212,80.3729117651
 01/01  06:00:00,212.612801302,32.3216125767,83.4902356632,0.0,19.466279405,30.610668775,109.388452744,0.0,8.3303,101.058152744
 01/01  07:00:00,327.971901726,34.5669936456,122.303280516,0.0,42.6918050922,54.3732441037,155.342393748,0.0765484132709,16.6606,138.605245335
 01/01  08:00:00,389.15062809,35.9914007393,141.696827926,0.0,49.3960418185,88.5934452969,270.129069592,9.68336905278,24.9909,235.454800539
 01/01  09:00:00,412.067555561,35.8927335293,135.603502724,0.0,57.6566862989,112.030105488,379.820194241,3.28808315011,33.3212,343.210911091
 01/01  10:00:00,354.489343988,36.518143359,133.44747725,0.0,50.9524495726,81.1684271793,313.901797576,0.0,66.8089,247.092897576
 01/01  11:00:00,310.812787898,36.9682046558,134.29547479,0.0,42.6918050922,68.9656133826,272.521987035,0.0,83.4695,189.052487035
 01/01  12:00:00,307.183240072,36.9025810268,134.487406442,0.0,38.286128036,68.9656133826,230.271316508,0.0,83.4695,146.801816508
 01/01  13:00:00,306.006721641,37.0358358827,133.953324857,0.0,38.286128036,68.9656133826,198.580466287,0.0,83.4695,115.110966287
 01/01  14:00:00,288.381522817,36.9337592859,135.370316212,0.0,31.5818913096,56.727595265,183.841901708,0.0,75.1392,108.702701708
