Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/02  01:00:00,90.3134595845,16.957127782,38.7350306913,0.0,4.12243109448,15.9888894789,65.955543973,62.9638135552,2.97173041782,0.02
 01/02  02:00:00,100.531244418,20.9999854893,44.7946975268,0.0,4.12243109448,15.9888894789,87.1064676713,84.1147372534,2.97173041782,0.02
 01/02  03:00:00,86.4368887563,16.1485562405,35.6900835476,0.0,4.12243109448,15.9888894789,64.0795160272,61.0877856093,2.97173041782,0.02
 01/02  04:00:00,108.234866526,22.7525299019,50.7227232198,0.0,4.12243109448,15.9888894789,94.4112242789,91.419493861,2.97173041782,0.02
 01/02  05:00:00,140.376186982,28.118853444,60.1620601868,0.0,12.3672932834,24.9413748627,100.855179085,95.8822950557,4.9528840297,0.02
 01/02  06:00:00,151.937374123,29.4110316091,68.153099737,2.27796944282,12.3672932834,24.9413748627,171.185627087,166.212743057,4.9528840297,0.02
 01/02  07:00:00,217.189517403,29.8170666695,76.3160946903,0.815601718713,24.7345865669,70.7195625826,137.83686894,127.91110088,9.90576805939,0.02
 01/02  08:00:00,243.963188906,30.6003658342,80.7614908622,0.0642516216289,37.1018798503,92.3937384068,112.89190035,102.96613229,9.90576805939,0.02
 01/02  09:00:00,258.661190341,31.3057027173,85.1245819138,0.0,37.1018798503,104.434947198,97.2694344665,87.3436664071,9.90576805939,0.02
 01/02  10:00:00,276.819066006,31.8153940892,90.7311701479,0.0,37.1018798503,116.476155989,82.1995483877,72.2737803283,9.90576805939,0.02
 01/02  11:00:00,279.314572121,32.4017989579,92.6397310961,0.0,37.1018798503,116.476155989,83.8890837847,65.3622597358,9.90576805939,8.62105598956
 01/02  12:00:00,282.879739888,32.7492619107,95.8573475785,0.0,37.1018798503,116.476155989,68.9096986355,58.9839305761,9.90576805939,0.02
 01/02  13:00:00,275.554281922,33.326596295,99.9961912496,0.0,37.1018798503,104.434947198,59.130655242,49.2048871826,9.90576805939,0.02
 01/02  14:00:00,288.823056848,33.9170149587,100.632803199,0.0,37.1018798503,116.476155989,70.4797095672,51.9518617518,9.90576805939,8.62207975601
 01/02  15:00:00,287.27226512,34.2096900011,98.7896180999,0.0,37.1018798503,116.476155989,66.8791926622,56.9534246028,9.90576805939,0.02
 01/02  16:00:00,284.535886058,33.9893895486,96.2736787095,0.0,37.1018798503,116.476155989,71.7162842916,61.7905162322,9.90576805939,0.02
 01/02  17:00:00,281.068513121,33.451695214,93.3444349325,0.0,37.1018798503,116.476155989,76.0000219427,66.0742538833,9.90576805939,0.02
 01/02  18:00:00,278.31151586,32.7290458946,88.9618868069,0.0,37.1018798503,116.476155989,93.7817582581,75.2642913824,9.90576805939,8.61169881627
 01/02  19:00:00,183.205085364,28.6337477374,67.4705644905,0.0,24.7345865669,47.5788473902,67.6343136831,62.6614296534,4.9528840297,0.02
 01/02  20:00:00,182.748171088,28.5479320219,67.0994691275,0.0,24.7345865669,47.5788473902,72.1835308863,67.2106468566,4.9528840297,0.02
 01/02  21:00:00,162.954151061,28.6552016663,68.4551166187,0.0,12.3672932834,38.6892022431,84.3445181686,81.3527877508,2.97173041782,0.02
 01/02  22:00:00,119.227846438,18.7096721947,46.5506581501,0.0,12.3672932834,27.0668015668,59.4413315622,56.4496011444,2.97173041782,0.02
 01/02  23:00:00,110.253276317,22.7525299019,52.7411329854,0.0,4.12243109448,15.9888894789,80.35597008,77.3642396622,2.97173041782,0.02
 01/02  24:00:00,89.5142103657,16.8713120664,38.021597252,0.0,4.12243109448,15.9888894789,64.7858172487,61.7940868309,2.97173041782,0.02
 01/03  01:00:00,101.415270736,20.9999854893,45.6787238338,0.0,4.12243109448,15.9888894789,85.5237263583,82.5319959405,2.97173041782,0.02
 01/03  02:00:00,89.5301250049,16.4060033872,38.5258725801,0.0,4.12243109448,15.9888894789,62.043954556,59.0522241382,2.97173041782,0.02
