Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,52.9889552423,6.94962365187,15.4738646622,0.0,12.925468867,10.100111941,0.02,0.0,0.0,0.02
 01/01  02:00:00,50.5477456945,6.76656841809,13.2166793062,0.0,12.925468867,10.100111941,0.02,0.0,0.0,0.02
 01/01  03:00:00,43.7452152558,6.57024962196,11.2294999003,0.0,8.34152022915,10.0650221343,5.75186277706,0.0,0.0,5.75186277706
 01/01  04:00:00,42.4597306003,6.45830191169,10.0559704413,0.0,8.34152022915,10.0650221343,0.02,0.0,0.0,0.02
 01/01  05:00:00,43.3942771173,6.3918784869,9.45046018592,0.0,8.34152022915,11.6705166398,5.7555986996,0.0,0.0,5.7555986996
 01/01  06:00:00,47.3034386719,6.34297409335,9.25037577747,0.0,8.80141237637,15.3678112995,0.02,0.0,0.0,0.02
 01/01  07:00:00,68.9659929162,6.5082730281,10.7713170621,0.0,18.5082010057,25.6353820695,5.76682267225,0.0,0.0,5.76682267225
 01/01  08:00:00,83.9575874743,7.05828676822,16.2948385838,0.0,19.4926561212,41.1001056674,11.5506041553,0.0,0.0,11.5506041553
 01/01  09:00:00,121.525225174,7.89213482612,29.2718110707,0.0,26.3286599382,57.9988325916,23.4190206279,0.0,0.0,23.4190206279
 01/01  10:00:00,112.682384419,8.01491233405,35.5788768856,0.0,26.2443270014,42.8153538416,35.5366460846,0.0,18.025,17.5116460846
 01/01  11:00:00,88.5238813429,7.85147454609,35.4579866473,0.0,21.7447113004,23.4437158914,35.5025273637,0.0,18.025,17.4775273637
 01/01  12:00:00,87.9661065345,7.98342415956,37.170005983,0.0,19.3449162599,23.4437158914,35.4786582293,0.0,18.025,17.4536582293
 01/01  13:00:00,89.2911537151,8.10118772374,38.234834075,0.0,19.190480192,23.7425572507,35.4518498057,0.0,18.025,17.4268498057
 01/01  14:00:00,90.655888375,8.1872683096,39.487364541,0.0,19.260583323,23.698576057,31.7715039436,0.0,18.025,13.7465039436
 01/01  15:00:00,90.4953761011,8.16695454238,39.3471672716,0.0,19.260583323,23.698576057,33.3311348195,0.0,18.025,15.3061348195
 01/01  16:00:00,88.72973176,8.06246853665,37.9759609583,0.0,19.260583323,23.4086260847,35.454380196,0.0,18.025,17.429380196
 01/01  17:00:00,88.9957469257,7.81951779477,34.0336456821,0.0,19.260583323,27.8781056672,18.045,0.0,18.025,0.02
 01/01  18:00:00,94.6841330969,7.73337429018,29.3018350767,0.0,18.1807569449,37.5792895564,5.75920571286,0.0,0.0,5.75920571286
 01/01  19:00:00,112.484162997,7.84561328456,27.4441929785,0.0,32.6059821062,37.0465235296,5.76285782568,0.0,0.0,5.76285782568
 01/01  20:00:00,112.059964109,7.90756677643,26.7272457287,0.0,36.8143715336,33.066984531,5.77021226823,0.0,0.0,5.77021226823
 01/01  21:00:00,117.526404184,8.04838819465,26.6933608617,0.0,36.43363367,38.8072253906,5.77016639424,0.0,0.0,5.77016639424
 01/01  22:00:00,115.263221987,8.05699748174,26.7782797893,0.0,36.0963922311,36.7877557581,5.77015729049,0.0,0.0,5.77015729049
 01/01  23:00:00,89.4463802722,7.63007378576,22.7090620148,0.0,30.9507766546,20.6087787026,5.78532338059,0.0,0.0,5.78532338059
 01/01  24:00:00,62.8970582424,7.20473623417,19.0188074677,0.0,17.4250845679,11.7056064465,5.7666995586,0.0,0.0,5.7666995586
 01/02  01:00:00,53.9958504302,7.04294761563,17.7067424099,0.0,11.6412384099,10.0650221343,5.75555429387,0.0,0.0,5.75555429387
 01/02  02:00:00,49.9576873398,6.88641575271,15.3856690257,0.0,10.0992000411,10.047477231,0.02,0.0,0.0,0.02
 01/02  03:00:00,46.6809764857,6.77036609313,14.0845700098,0.0,8.25718729233,10.0299323277,0.02,0.0,0.0,0.02
 01/02  04:00:00,46.1069944377,6.71086432072,13.5700799782,0.0,8.25718729233,10.0299323277,5.75074497127,0.0,0.0,5.75074497127
 01/02  05:00:00,47.45550736,6.67077954223,13.352220223,0.0,8.25718729233,11.6354268332,0.02,0.0,0.0,0.02
 01/02  06:00:00,55.8512181446,6.70726460275,14.1321863175,0.0,12.1011305571,15.3678112995,5.76658593258,0.0,0.0,5.76658593258
 01/02  07:00:00,90.9410383277,7.27566796112,19.1260107187,0.0,19.7275818095,37.2640762949,11.5505127097,0.0,0.0,11.5505127097
 01/02  08:00:00,108.873230512,7.8349377959,25.431367776,0.0,24.3117294858,51.2795993405,5.79983151555,0.0,0.0,5.79983151555
 01/02  09:00:00,99.6513453326,7.50347505628,27.8152831427,0.0,23.6694662846,40.6342015617,23.3437668035,0.0,0.0,23.3437668035
 01/02  10:00:00,99.1110364904,7.59593726025,32.1894228471,0.0,23.6694662846,35.6302164847,35.5024357007,0.0,18.025,17.4774357007
 01/02  11:00:00,80.1620533501,7.43699544079,30.9957931962,0.0,18.7433767983,22.9618409725,35.4802332616,0.0,18.025,17.4552332616
 01/02  12:00:00,81.4299563863,7.50311270907,32.1995299817,0.0,18.7433767983,22.9618409725,35.455544123,0.0,18.025,17.430544123
 01/02  13:00:00,84.1236032381,7.68137110255,34.671470076,0.0,18.5889407304,23.1597249699,29.6497182536,0.0,18.025,11.6247182536
