Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,127.035144436,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  02:00:00,125.034674805,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  03:00:00,123.795872967,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  04:00:00,122.933595168,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91552159296,0.0,1.75125,1.16427159296
 01/01  05:00:00,130.301700237,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  06:00:00,129.178710127,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  07:00:00,160.904238419,18.7378614576,1.47474610218,0.0,6.98738001645,14.1499734587,11.5005509591,6.83379906144,3.5025,1.16425189769
 01/01  08:00:00,167.53458628,18.7378614576,1.32533125164,0.0,6.98738001645,14.1499734587,28.2251438275,24.7026438275,3.5025,0.02
 01/01  09:00:00,206.599548297,18.7378614576,2.21519242889,0.0,6.98738001645,14.1499734587,6.72656517283,3.20406517283,3.5025,0.02
 01/01  10:00:00,195.222945487,18.7378614576,3.62723546791,0.0,6.98738001645,14.1499734587,4.66681111759,0.0,3.5025,1.16431111759
 01/01  11:00:00,232.354473375,18.7378614576,8.54667685244,0.0,27.9495200658,27.7759469175,7.025,0.0,7.005,0.02
 01/01  12:00:00,256.065559713,18.7378614576,10.716453507,0.0,27.9495200658,27.7759469175,8.16955394922,0.0,7.005,1.16455394922
 01/01  13:00:00,281.86276642,18.7378614576,14.8389772358,0.0,41.9242800987,36.8599292233,9.36,0.0,9.34,0.02
 01/01  14:00:00,290.041232699,18.7378614576,19.0370400177,0.0,41.9242800987,36.8599292233,10.5046986613,0.0,9.34,1.16469866134
 01/01  15:00:00,283.505989046,18.7378614576,21.6938747924,0.0,41.9242800987,36.8599292233,10.5046245234,0.0,9.34,1.16462452339
 01/01  16:00:00,277.104194901,18.7378614576,21.582199267,0.0,41.9242800987,36.8599292233,9.36,0.0,9.34,0.02
 01/01  17:00:00,273.093919259,18.7378614576,18.9994745002,0.0,41.9242800987,36.8599292233,10.5046119366,0.0,9.34,1.16461193659
 01/01  18:00:00,240.508495038,18.7378614576,14.340620743,0.0,27.9495200658,27.7759469175,8.16967557658,0.0,7.005,1.16467557658
 01/01  19:00:00,245.7748056,18.7378614576,10.0221317004,0.0,13.9747600329,18.6919646116,4.69,0.0,4.67,0.02
 01/01  20:00:00,231.612226384,18.7378614576,8.45868389269,0.0,13.9747600329,18.6919646116,5.83451734962,0.0,4.67,1.16451734962
 01/01  21:00:00,215.576005893,18.7378614576,7.29788489845,0.0,13.9747600329,18.6919646116,4.69,0.0,4.67,0.02
 01/01  22:00:00,189.699366572,18.7378614576,8.19947306486,0.0,13.9747600329,18.6919646116,5.83439899426,0.0,4.67,1.16439899426
 01/01  23:00:00,129.566329194,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  24:00:00,158.947811163,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/02  01:00:00,142.672091833,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  02:00:00,130.244585455,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49924844091,0.0,2.335,1.16424844091
 01/02  03:00:00,129.613571204,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  04:00:00,129.613958624,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  05:00:00,138.263183474,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49920905976,0.0,2.335,1.16420905976
 01/02  06:00:00,137.801801763,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  07:00:00,185.036533703,18.7378614576,5.22893521343,0.0,13.9747600329,18.6919646116,4.69,0.0,4.67,0.02
 01/02  08:00:00,190.999595787,18.7378614576,4.15520314161,0.0,13.9747600329,18.6919646116,5.91396947704,0.0796218000502,4.67,1.16434767699
 01/02  09:00:00,269.073904338,18.7378614576,7.37373812726,0.0,34.9369000822,32.3179380704,8.1925,0.0,8.1725,0.02
 01/02  10:00:00,307.098117951,18.7378614576,11.9138820494,0.0,62.886420148,41.4019203762,11.672127736,0.0,10.5075,1.16462773602
 01/02  11:00:00,303.205526928,18.7378614576,12.9084791969,0.0,62.886420148,41.4019203762,10.5275,0.0,10.5075,0.02
 01/02  12:00:00,322.256563532,18.7378614576,15.3047015344,0.0,62.886420148,41.4019203762,11.6723491705,0.0,10.5075,1.16484917048
 01/02  13:00:00,321.413148835,18.7378614576,20.2485727178,0.0,62.886420148,41.4019203762,11.6725305451,0.0,10.5075,1.16503054513
 01/02  14:00:00,326.65145975,18.7378614576,23.0131642713,0.0,62.886420148,41.4019203762,11.6724610554,0.0,10.5075,1.16496105542
 01/02  15:00:00,315.556351119,18.7378614576,22.3912691824,0.0,62.886420148,41.4019203762,11.6723938841,0.0,10.5075,1.16489388409
 01/02  16:00:00,307.171368334,18.7378614576,21.5974998076,0.0,62.886420148,41.4019203762,11.6722863407,0.0,10.5075,1.16478634066
 01/02  17:00:00,303.273161875,18.7378614576,19.1639868938,0.0,62.886420148,41.4019203762,10.5275,0.0,10.5075,0.02
 01/02  18:00:00,302.434123931,18.7378614576,16.924103865,0.0,62.886420148,41.4019203762,11.6722637954,0.0,10.5075,1.16476379537
 01/02  19:00:00,303.202165269,18.7378614576,14.1189251154,0.0,41.9242800987,36.8599292233,10.5046429686,0.0,9.34,1.16464296857
 01/02  20:00:00,294.357324467,18.7378614576,13.293863085,0.0,41.9242800987,36.8599292233,9.36,0.0,9.34,0.02
