Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,22.4174168012,3.96449882994,0.000847872669474,0.0,4.58992532963,8.1892,131.360410629,120.514153142,3.33988,7.50637748667
 01/01  02:00:00,14.6511876359,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  03:00:00,14.6702972422,0.0,0.0,0.0,1.52997510988,7.4902,3.93194493217,0.0,3.33988,0.592064932169
 01/01  04:00:00,14.6781460238,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  05:00:00,14.825092438,0.0,0.0,0.0,1.52997510988,7.4902,3.93195084691,0.0,3.33988,0.592070846909
 01/01  06:00:00,22.5609563998,3.96449882994,0.0134018572788,0.0,4.58992532963,8.1892,134.176193325,125.806493325,8.3497,0.02
 01/01  07:00:00,38.5136126634,3.96449882994,0.0106056207746,0.0,9.17985065927,19.4245,148.244736493,126.930045261,16.6994,4.61529123196
 01/01  08:00:00,43.8553735164,3.96449882994,0.00862702392661,0.0,9.17985065927,26.9147,150.597144707,120.358538981,25.0491,5.18950572632
 01/01  09:00:00,41.7405258588,3.96449882994,0.0,0.0,9.17985065927,26.9147,157.910440636,119.898650353,33.3988,4.61299028238
 01/01  10:00:00,34.2559457716,3.96449882994,0.0,0.0,9.17985065927,19.4245,153.028672209,123.365666463,25.0491,4.61390574651
 01/01  11:00:00,41.7580401283,3.96449882994,0.0114424496691,0.0,9.17985065927,26.9147,175.393270738,118.54421059,41.7485,15.1005601486
 01/01  12:00:00,42.5244645815,3.96449882994,0.0,0.0,9.17985065927,26.9147,170.392243747,113.541865746,41.7485,15.1018780016
 01/01  13:00:00,41.8016359503,3.96449882994,0.0,0.0,9.17985065927,26.9147,160.555513704,106.640525399,41.7485,12.1664883048
 01/01  14:00:00,34.2777676522,3.96449882994,0.0,0.0,9.17985065927,19.4245,153.745461404,108.182006344,33.3988,12.16465506
 01/01  15:00:00,34.2789436469,3.96449882994,0.0,0.0,9.17985065927,19.4245,148.990196641,114.69123754,25.0491,9.24985910126
 01/01  16:00:00,34.2657878648,3.96449882994,0.0,0.0,9.17985065927,19.4245,161.638452097,118.990369391,33.3988,9.24928270589
 01/01  17:00:00,43.8117187073,3.96449882994,0.00728182994759,0.0,9.17985065927,26.9147,178.551564771,119.204320585,50.0982,9.24904418591
 01/01  18:00:00,45.9328434997,3.96449882994,0.0,0.0,9.17985065927,26.9147,184.64246233,122.377450775,50.0982,12.1668115557
 01/01  19:00:00,45.937243743,3.96449882994,0.0,0.0,9.17985065927,26.9147,187.265729927,122.065822828,50.0982,15.1017070993
 01/01  20:00:00,38.5813478375,3.96449882994,0.0,0.0,9.17985065927,19.4245,170.705353367,122.204820935,33.3988,15.1017324318
 01/01  21:00:00,38.5625457304,3.96449882994,0.0,0.0,9.17985065927,19.4245,168.235125748,122.670550297,33.3988,12.1657754515
 01/01  22:00:00,38.4936840105,3.96449882994,0.0,0.0,9.17985065927,19.4245,171.247085515,131.095048644,25.0491,15.102936871
 01/01  23:00:00,38.3856722237,3.96449882994,0.0,0.0,9.17985065927,19.4245,163.534394647,134.66787182,16.6994,12.1671228276
 01/01  24:00:00,39.1961270444,3.96449882994,0.0,0.0,9.17985065927,19.4245,150.964224427,136.267991842,8.3497,6.34653258523
 01/02  01:00:00,22.4358397821,3.96449882994,0.0,0.0,4.58992532963,8.1892,153.663508616,143.976948929,3.33988,6.34667968699
 01/02  02:00:00,14.6176101617,0.0,0.0,0.0,1.52997510988,7.4902,3.9319428711,0.0,3.33988,0.5920628711
 01/02  03:00:00,14.6355564253,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/02  04:00:00,14.6493224134,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/02  05:00:00,14.8004647514,0.0,0.0,0.0,1.52997510988,7.4902,3.93194878912,0.0,3.33988,0.592068789118
 01/02  06:00:00,22.5469740591,3.96449882994,0.00807103583904,0.0,4.58992532963,8.1892,158.652087087,150.282387087,8.3497,0.02
 01/02  07:00:00,38.507943093,3.96449882994,0.0104465656452,0.0,9.17985065927,19.4245,168.733061563,146.84428073,16.6994,5.18938083235
 01/02  08:00:00,43.8601143653,3.96449882994,0.0137948403102,0.0,9.17985065927,26.9147,180.232707158,137.128154746,25.0491,18.0554524111
 01/02  09:00:00,41.7471833155,3.96449882994,0.00144460159352,0.0,9.17985065927,26.9147,181.823323767,132.14000001,33.3988,16.2845237576
 01/02  10:00:00,34.2610710566,3.96449882994,0.0,0.0,9.17985065927,19.4245,165.707724833,126.734064359,25.0491,13.9245604738
 01/02  11:00:00,41.7522200975,3.96449882994,0.00317163610463,0.0,9.17985065927,26.9147,177.543698164,123.62875738,41.7485,12.1664407844
 01/02  12:00:00,42.5236680019,3.96449882994,0.0,0.0,9.17985065927,26.9147,166.287556168,110.617210066,41.7485,13.9218461023
 01/02  13:00:00,41.8094362915,3.96449882994,0.0,0.0,9.17985065927,26.9147,151.547448138,97.6325962411,41.7485,12.1663518973
 01/02  14:00:00,34.2832110704,3.96449882994,0.0,0.0,9.17985065927,19.4245,141.769805237,97.9537958902,33.3988,10.4172093466
 01/02  15:00:00,34.2805775683,3.96449882994,0.0,0.0,9.17985065927,19.4245,137.858519411,103.559045742,25.0491,9.25037366872
 01/02  16:00:00,34.2675994408,3.96449882994,0.0,0.0,9.17985065927,19.4245,151.801454714,109.152627634,33.3988,9.25002707997
 01/02  17:00:00,43.812262539,3.96449882994,0.0044421942999,0.0,9.17985065927,26.9147,173.348250445,114.001799901,50.0982,9.24825054397
 01/02  18:00:00,45.937273859,3.96449882994,0.0,0.0,9.17985065927,26.9147,174.716595533,112.45132462,50.0982,12.1670709133
 01/02  19:00:00,45.945772782,3.96449882994,0.00328126928347,0.0,9.17985065927,26.9147,171.390947798,104.426588502,50.0982,16.8661592964
 01/02  20:00:00,38.5872620271,3.96449882994,0.0,0.0,9.17985065927,19.4245,157.872774113,106.422181428,33.3988,18.0517926846
 01/02  21:00:00,38.5678531162,3.96449882994,0.0,0.0,9.17985065927,19.4245,157.126129339,108.626225257,33.3988,15.1011040817
 01/02  22:00:00,38.49813788,3.96449882994,0.0,0.0,9.17985065927,19.4245,160.608061703,118.6922885,25.0491,16.8666732034
 01/02  23:00:00,38.3892171698,3.96449882994,0.0,0.0,9.17985065927,19.4245,156.098738105,125.479836389,16.6994,13.9195017166
 01/02  24:00:00,39.1988633965,3.96449882994,0.0,0.0,9.17985065927,19.4245,148.675218271,132.819051507,8.3497,7.50646676433
 01/03  01:00:00,22.4372325981,3.96449882994,0.0,0.0,4.58992532963,8.1892,150.989967853,141.30354024,3.33988,6.34654761349
 01/03  02:00:00,14.6195468431,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/03  03:00:00,14.636704824,0.0,0.0,0.0,1.52997510988,7.4902,3.93197208234,0.0,3.33988,0.592092082342
 01/03  04:00:00,14.6497207936,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/03  05:00:00,15.3169451951,0.0,0.0,0.0,1.52997510988,7.4902,3.93192622299,0.0,3.33988,0.592046222992
 01/03  06:00:00,23.0617526908,3.96449882994,0.00850990991739,0.0,4.58992532963,8.1892,149.413083509,141.043383509,8.3497,0.02
 01/03  07:00:00,38.739234625,3.96449882994,0.0106416637023,0.0,9.17985065927,19.4245,154.770561696,133.455979549,16.6994,4.61518214708
 01/03  08:00:00,43.862955138,3.96449882994,0.013816978977,0.0,9.17985065927,26.9147,168.0951081,124.410292032,25.0491,18.6357160681
 01/03  09:00:00,41.7506493988,3.96449882994,0.00288229475252,0.0,9.17985065927,26.9147,171.873216659,122.191300036,33.3988,16.283116623
 01/03  10:00:00,34.2630183508,3.96449882994,0.0,0.0,9.17985065927,19.4245,161.554833065,122.582145062,25.0491,13.923588003
 01/03  11:00:00,41.7547182655,3.96449882994,0.00711865593624,0.0,9.17985065927,26.9147,181.82173048,127.907828193,41.7485,12.165402287
 01/03  12:00:00,42.5207957206,3.96449882994,0.0,0.0,9.17985065927,26.9147,178.745280939,123.075892298,41.7485,13.9208886415
 01/03  13:00:00,41.7971391225,3.96449882994,0.0,0.0,9.17985065927,26.9147,170.2123569,116.298296445,41.7485,12.1655604552
 01/03  14:00:00,34.2741085825,3.96449882994,0.0,0.0,9.17985065927,19.4245,163.324955447,119.508886767,33.3988,10.4172686802
 01/03  15:00:00,34.2748800466,3.96449882994,0.0,0.0,9.17985065927,19.4245,160.077449131,125.777425951,25.0491,9.25092318005
 01/03  16:00:00,34.2616137474,3.96449882994,0.0,0.0,9.17985065927,19.4245,174.179435408,131.529861644,33.3988,9.25077376359
 01/03  17:00:00,43.8065471658,3.96449882994,0.00686531920515,0.0,9.17985065927,26.9147,193.762390368,134.413573192,50.0982,9.25061717623
 01/03  18:00:00,45.9279717975,3.96449882994,0.0,0.0,9.17985065927,26.9147,196.784340288,134.519841184,50.0982,12.1662991037
 01/03  19:00:00,45.936087108,3.96449882994,0.0014554427284,0.0,9.17985065927,26.9147,199.439390252,132.47470987,50.0982,16.8664803822
 01/03  20:00:00,38.4363220043,3.96449882994,0.0,0.0,9.17985065927,19.4245,186.922154084,135.471470057,33.3988,18.0518840271
 01/03  21:00:00,38.4271564169,3.96449882994,0.0,0.0,9.17985065927,19.4245,184.503064398,135.422285839,33.3988,15.6819785588
 01/03  22:00:00,38.3891172885,3.96449882994,0.0,0.0,9.17985065927,19.4245,184.692895595,143.360115411,25.0491,16.2836801841
 01/03  23:00:00,38.3832507185,3.96449882994,0.0,0.0,9.17985065927,19.4245,179.69539635,149.071880637,16.6994,13.9241157122
 01/03  24:00:00,39.1933318111,3.96449882994,0.0,0.0,9.17985065927,19.4245,170.763715125,154.906560878,8.3497,7.50745424683
 01/04  01:00:00,22.4313904302,3.96449882994,0.0,0.0,4.58992532963,8.1892,174.103427,164.41731252,3.33988,6.34623448027
 01/04  02:00:00,14.6077167977,0.0,0.0,0.0,1.52997510988,7.4902,3.9319662637,0.0,3.33988,0.592086263698
 01/04  03:00:00,14.6228394898,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/04  04:00:00,14.6356690832,0.0,0.0,0.0,1.52997510988,7.4902,3.93197214456,0.0,3.33988,0.592092144559
 01/04  05:00:00,14.7858436752,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/04  06:00:00,22.5361157752,3.96449882994,0.00623953345677,0.0,4.58992532963,8.1892,184.378220545,175.436474262,8.3497,0.592046283729
 01/04  07:00:00,38.5017517226,3.96449882994,0.0105925945375,0.0,9.17985065927,19.4245,189.938206389,168.625389138,16.6994,4.61341725141
 01/04  08:00:00,43.8533812924,3.96449882994,0.0137523013441,0.0,9.17985065927,26.9147,204.599032931,161.495433734,25.0491,18.0544991965
 01/04  09:00:00,41.7407593168,3.96449882994,0.00155670548067,0.0,9.17985065927,26.9147,205.153564219,154.886695072,33.3988,16.8680691473
 01/04  10:00:00,34.2550176207,3.96449882994,0.0,0.0,9.17985065927,19.4245,187.543344361,148.571209982,25.0491,13.9230343786
