Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,555.008045844,96.5933353821,92.8727878521,0.0,34.9616554283,113.312780494,805.028778912,790.625231286,5.66466996096,8.73887766572
 01/01  02:00:00,596.932267458,96.5933353821,144.097330119,0.0,34.9616554283,113.312780494,739.173862806,716.045311768,5.66466996096,17.4638810771
 01/01  03:00:00,595.377164395,96.5933353821,140.767234881,0.0,34.9616554283,113.312780494,812.383986089,789.255641911,5.66466996096,17.463674217
 01/01  04:00:00,593.011337008,96.5933353821,134.978563898,0.0,34.9616554283,113.312780494,873.541304206,850.413206686,5.66466996096,17.4634275586
 01/01  05:00:00,590.681626495,96.5933353821,121.301370053,0.0,44.4937663224,113.312780494,929.279187382,906.151345834,5.66466996096,17.4631715876
 01/01  06:00:00,571.175263021,96.5933353821,97.4916931019,0.0,44.4937663224,113.312780494,1019.54584105,987.921252411,14.1616749024,17.4629137355
 01/01  07:00:00,616.925262423,96.5933353821,66.4559767948,0.0,54.0258772165,176.889270242,1065.28453333,1019.49852771,28.3233498048,17.4626558106
 01/01  08:00:00,602.789490868,96.5933353821,50.2443235165,0.0,54.0258772165,184.38654557,1138.75384663,1078.80642367,42.4850247072,17.4623982514
 01/01  09:00:00,671.89407783,96.5933353821,48.7864458267,0.0,65.1572554096,220.04316451,1104.26747528,1021.29708006,56.6466996096,26.3236956115
 01/01  10:00:00,671.359567117,96.5933353821,56.599795411,0.0,65.1572554096,212.545889182,993.64267798,924.692784574,42.4850247072,26.4648686983
 01/01  11:00:00,689.841127632,96.5933353821,68.4323058498,0.0,65.1572554096,220.04316451,970.772812711,864.486546896,70.808374512,35.4778913032
 01/01  12:00:00,700.920274629,96.5933353821,79.6892003015,0.0,65.1572554096,220.04316451,936.685204463,830.402591944,70.808374512,35.4742380065
 01/01  13:00:00,709.503233061,96.5933353821,89.412540457,0.0,65.1572554096,220.04316451,912.172302439,805.893505046,70.808374512,35.4704228813
 01/01  14:00:00,700.707930085,96.5933353821,87.4016944582,0.0,65.1572554096,212.545889182,913.934886307,821.821579099,56.6466996096,35.4666075989
 01/01  15:00:00,690.238131671,96.5933353821,76.9058586972,0.0,65.1572554096,212.545889182,936.614542004,858.666715476,42.4850247072,35.4628018216
 01/01  16:00:00,680.651354255,96.5933353821,65.3730251716,0.0,65.1572554096,212.545889182,966.530820279,883.270478867,56.6466996096,26.6136418029
 01/01  17:00:00,656.702686703,96.5933353821,56.9274591777,0.0,65.1572554096,220.04316451,1032.52340834,912.069730601,84.9700494144,35.4836283218
 01/01  18:00:00,608.517188792,96.5933353821,45.4718276226,0.0,54.0258772165,184.38654557,1134.66052855,1014.41259714,84.9700494144,35.2778819972
 01/01  19:00:00,572.345246289,96.5933353821,36.196676829,0.0,44.4937663224,163.454314868,1185.68139529,1088.53562877,84.9700494144,12.1757171033
 01/01  20:00:00,562.90848316,96.5933353821,33.8031374608,0.0,44.4937663224,155.95703954,1146.75206604,1076.08169761,56.6466996096,14.0236688208
 01/01  21:00:00,526.122193318,96.5933353821,29.4730100573,0.0,44.4937663224,124.558693486,1186.68879844,1112.57824523,56.6466996096,17.4638535997
 01/01  22:00:00,523.690899631,96.5933353821,26.8485106313,0.0,44.4937663224,124.558693486,1174.55704243,1114.60843074,42.4850247072,17.4635869797
 01/01  23:00:00,516.694906493,96.5933353821,26.8605242823,0.0,34.9616554283,124.558693486,1159.09466887,1113.30799314,28.3233498048,17.4633259264
 01/01  24:00:00,514.162217897,96.5933353821,23.2165097045,0.0,34.9616554283,124.558693486,1170.26760477,1138.64286325,14.1616749024,17.4630666127
 01/02  01:00:00,512.680944259,96.5933353821,24.166492546,0.0,46.0930336215,113.312780494,1141.21750065,1118.0897578,5.66466996096,17.4630728898
 01/02  02:00:00,517.823848187,96.5933353821,29.8113884554,0.0,46.0930336215,113.312780494,1097.60822314,1074.48050385,5.66466996096,17.4630493302
 01/02  03:00:00,520.957682799,96.5933353821,34.7038063621,0.0,46.0930336215,113.312780494,1071.92897051,1048.80141448,5.66466996096,17.4628860701
 01/02  04:00:00,522.484738712,96.5933353821,36.3352228504,0.0,46.0930336215,113.312780494,1078.1946802,1055.06732095,5.66466996096,17.4626892929
 01/02  05:00:00,606.281182109,96.5933353821,29.6990167065,0.0,100.150657288,148.969399434,1114.49118533,1091.3639065,5.66466996096,17.462608878
 01/02  06:00:00,598.301363447,96.5933353821,18.1251640694,0.0,100.150657288,149.894399434,1588.38967847,1556.76431223,14.1616749024,17.4636913468
 01/02  07:00:00,815.259099313,96.5933353821,8.4809642955,0.0,176.471037341,302.612436532,1302.34005237,1256.55466947,28.3233498048,17.462033104
 01/02  08:00:00,932.35710874,96.5933353821,10.3437911964,0.0,243.2593065,310.10971186,1243.15580507,1165.36354068,42.4850247072,35.307239688
 01/02  09:00:00,973.888372714,96.5933353821,20.6183497751,0.0,243.2593065,310.10971186,1155.70038165,1063.53430477,56.6466996096,35.5193772656
 01/02  10:00:00,1018.43198747,96.5933353821,34.8083709566,0.0,243.2593065,302.612436532,1030.22511515,952.042352775,42.4850247072,35.697737669
 01/02  11:00:00,1035.23239028,96.5933353821,46.3210487153,0.0,243.2593065,310.10971186,996.687716286,871.940585883,70.808374512,53.938755891
 01/02  12:00:00,1052.53147144,96.5933353821,64.9681078794,0.0,243.2593065,310.10971186,910.76331806,794.895357452,70.808374512,45.0595860963
 01/02  13:00:00,1030.43315642,96.6368302452,88.4793619281,0.0,243.2593065,310.10971186,844.990675255,729.419680747,70.808374512,44.7626199961
 01/02  14:00:00,1074.78610409,96.7533516645,101.869934753,0.0,243.2593065,302.612436532,819.850006519,709.13413501,56.6466996096,54.0691718988
 01/02  15:00:00,1080.54160997,96.8605946169,107.176152987,0.0,243.2593065,302.612436532,794.736738181,707.300393598,42.4850247072,44.9513198759
 01/02  16:00:00,1080.0430228,96.9566911033,104.180695646,0.0,243.2593065,302.612436532,819.96781876,718.478785757,56.6466996096,44.8423333934
 01/02  17:00:00,1069.24162796,97.0412544555,76.3971497004,0.0,243.2593065,310.10971186,925.174356006,795.651226853,84.9700494144,44.5530797383
 01/02  18:00:00,1061.86792506,97.1246958996,59.8274701036,0.0,243.2593065,310.10971186,930.960496655,828.393570524,84.9700494144,17.5968767162
 01/02  19:00:00,803.832003283,96.5933353821,67.1470589593,0.0,166.938926447,199.110933808,901.127266974,789.880702207,84.9700494144,26.2765153524
