Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,167.488760265,49.6949168676,0.0,0.0,43.513341876,52.539744,263.553142585,258.698882585,4.83426,0.02
 01/01  02:00:00,156.789579882,39.1260016143,0.0,0.0,43.513341876,52.539744,192.408873205,187.554613205,4.83426,0.02
 01/01  03:00:00,165.36964946,47.5215344193,0.0,0.0,43.513341876,52.539744,284.885826138,280.031566138,4.83426,0.02
 01/01  04:00:00,157.89045744,40.2347756931,0.0,0.0,43.513341876,52.539744,190.751896934,185.897636934,4.83426,0.02
 01/01  05:00:00,168.878787692,50.6094947013,0.0,0.0,43.513341876,52.539744,315.729416585,302.28164784,4.83426,8.61350874546
 01/01  06:00:00,157.752116708,39.6874489383,0.0,0.0,43.513341876,52.539744,201.68421514,196.82995514,4.83426,0.02
 01/01  07:00:00,170.855245083,52.546319197,0.0,0.0,43.513341876,52.539744,327.606031136,322.751771136,4.83426,0.02
 01/01  08:00:00,146.812382088,37.8531123953,0.0,0.0,43.513341876,52.539744,211.88776153,207.03350153,4.83426,0.02
 01/01  09:00:00,138.445238648,38.2773334849,0.0,0.0,43.513341876,52.539744,265.401800633,260.547540633,4.83426,0.02
 01/01  10:00:00,130.381059204,30.376061474,0.0,0.0,43.513341876,52.539744,176.527974221,163.072131493,4.83426,8.62158272862
 01/01  11:00:00,134.574819419,34.4567504542,0.0,0.0,43.513341876,52.539744,233.855883271,229.001623271,4.83426,0.02
 01/01  12:00:00,132.999554181,32.0993488376,0.0,0.0,43.513341876,52.539744,150.759706558,145.905446558,4.83426,0.02
 01/01  13:00:00,121.581982875,21.5695480489,0.0,0.0,43.513341876,52.539744,212.323703005,198.867782814,4.83426,8.62166019053
 01/01  14:00:00,136.525413779,36.5917742222,0.0,0.0,43.513341876,52.539744,128.334332346,123.480072346,4.83426,0.02
 01/01  15:00:00,120.149318497,20.0867656664,0.0,0.0,43.513341876,52.539744,186.764954963,181.910694963,4.83426,0.02
 01/01  16:00:00,133.847468205,33.9428886917,0.0,0.0,43.513341876,52.539744,123.500346568,118.646086568,4.83426,0.02
 01/01  17:00:00,144.742832681,35.9262820047,0.0,0.0,43.513341876,52.539744,214.898704877,201.450920545,4.83426,8.61352433275
 01/01  18:00:00,143.514760389,25.820712668,0.0,0.0,43.513341876,52.539744,163.167216615,158.312956615,4.83426,0.02
 01/01  19:00:00,152.331950228,34.4567504542,0.0,0.0,43.513341876,52.539744,255.973803954,251.119543954,4.83426,0.02
 01/01  20:00:00,151.745583386,33.577714276,0.0,0.0,43.513341876,52.539744,183.872135503,179.017875503,4.83426,0.02
 01/01  21:00:00,157.594680699,39.2658550731,0.0,0.0,43.513341876,52.539744,280.204813469,275.350553469,4.83426,0.02
 01/01  22:00:00,170.348822786,52.3006237291,0.0,0.0,43.513341876,52.539744,298.490176824,285.042341269,4.83426,8.6135755554
 01/01  23:00:00,170.309293081,52.2938366733,0.0,0.0,43.513341876,52.539744,408.667950283,403.813690283,4.83426,0.02
 01/01  24:00:00,171.455072104,52.6749219451,0.0,0.0,43.513341876,52.539744,300.396699548,295.542439548,4.83426,0.02
 01/02  01:00:00,168.866207038,50.7966438093,0.0,0.0,43.513341876,52.539744,398.465138871,393.610878871,4.83426,0.02
 01/02  02:00:00,169.169446908,51.3648781891,0.0,0.0,43.513341876,52.539744,293.052749701,279.596731808,4.83426,8.62175789259
 01/02  03:00:00,168.67570159,50.6094947013,0.0,0.0,43.513341876,52.539744,384.160171089,379.305911089,4.83426,0.02
 01/02  04:00:00,170.004083916,52.2070491751,0.0,0.0,43.513341876,52.539744,284.217657043,279.363397043,4.83426,0.02
 01/02  05:00:00,169.954736224,51.4516656873,0.0,0.0,43.513341876,52.539744,403.101568222,389.645630163,4.83426,8.62167805881
 01/02  06:00:00,170.993832724,52.7684964991,0.0,0.0,43.513341876,52.539744,304.400873639,299.546613639,4.83426,0.02
