Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,13.5489140704,2.19787905555,0.0,0.0,1.85583932782,5.577,56.6067125021,51.2928092247,3.0011,2.31280327741
 01/01  02:00:00,9.47758919204,0.0,0.0,0.0,0.618613109274,5.0,3.59316392633,0.0,3.0011,0.592063926333
 01/01  03:00:00,9.50032770871,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  04:00:00,9.5124776858,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  05:00:00,9.66379966007,0.0,0.0,0.0,0.618613109274,5.0,3.59316984267,0.0,3.0011,0.592069842673
 01/01  06:00:00,13.6966378588,2.19787905555,0.0,0.0,1.85583932782,5.577,53.3659061172,48.8442561172,4.50165,0.02
 01/01  07:00:00,28.1757580702,2.19787905555,0.0,0.0,3.71167865564,18.077,54.7902065296,39.547242736,13.50495,1.73801379362
 01/01  08:00:00,26.8686113732,2.19787905555,0.0,0.0,3.71167865564,18.077,57.7691330797,35.0231607573,21.0077,1.73827232242
 01/01  09:00:00,20.6139028893,2.19787905555,0.0,0.0,3.71167865564,13.077,47.8894502654,31.1454766574,15.0055,1.73847360796
 01/01  10:00:00,20.6366749242,2.19787905555,0.0,0.0,3.71167865564,13.077,44.6366936386,27.8927489194,15.0055,1.73844471921
 01/01  11:00:00,25.6397014405,2.19787905555,0.0,0.0,3.71167865564,18.077,61.4547295364,23.2520455096,33.0121,5.19058402679
 01/01  12:00:00,26.7947985882,2.19787905555,0.0,0.0,3.71167865564,18.077,63.6310265496,17.9254138012,40.51485,5.19076274841
 01/01  13:00:00,25.8858878135,2.19787905555,0.0,0.0,3.71167865564,18.077,55.3796852144,15.3287650551,36.0132,4.03772015929
 01/01  14:00:00,25.6911870859,2.19787905555,0.0,0.0,3.71167865564,18.077,49.7500794927,14.200881972,31.51155,4.03764752067
 01/01  15:00:00,20.6934185689,2.19787905555,0.0,0.0,3.71167865564,13.077,39.0622535013,15.1669142857,21.0077,2.8876392156
 01/01  16:00:00,20.664937632,2.19787905555,0.0,0.0,3.71167865564,13.077,42.0860319197,19.1177692218,19.50715,3.46111269787
 01/01  17:00:00,21.8332767047,2.19787905555,0.0,0.0,3.71167865564,13.077,48.7947337319,23.3988967589,22.50825,2.88758697299
 01/01  18:00:00,28.0901191906,2.19787905555,0.0,0.0,3.71167865564,18.077,54.5020271823,24.954177747,25.50935,4.03849943531
 01/01  19:00:00,28.082258724,2.19787905555,0.0,0.0,3.71167865564,18.077,56.6171782626,25.9173237888,25.50935,5.19050447382
 01/01  20:00:00,28.2215920379,2.19787905555,0.0,0.0,3.71167865564,18.077,57.0672513742,26.9423483111,25.50935,4.61555306302
 01/01  21:00:00,23.205831439,2.19787905555,0.0,0.0,3.71167865564,13.077,55.5584289553,28.4383969952,22.50825,4.6117819601
 01/01  22:00:00,23.1387239035,2.19787905555,0.0,0.0,3.71167865564,13.077,56.2921989688,30.6697464635,21.0077,4.61475250533
 01/01  23:00:00,23.0337845922,2.19787905555,0.0,0.0,3.71167865564,13.077,55.2488094778,33.2049255723,18.0066,4.03728390554
 01/01  24:00:00,24.230810096,2.19787905555,0.0,0.0,3.71167865564,13.077,41.118575101,35.8054868194,3.0011,2.3119882816
 01/02  01:00:00,13.7480955122,2.19787905555,0.0,0.0,1.85583932782,5.577,47.530288768,42.2176370979,3.0011,2.31155167016
 01/02  02:00:00,9.487751408,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/02  03:00:00,9.51364189935,0.0,0.0,0.0,0.618613109274,5.0,3.59315148488,0.0,3.0011,0.592051484884
 01/02  04:00:00,9.52830107765,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/02  05:00:00,9.68665241686,0.0,0.0,0.0,0.618613109274,5.0,3.59315742103,0.0,3.0011,0.592057421033
 01/02  06:00:00,13.7177807091,2.19787905555,0.0,0.0,1.85583932782,5.577,44.5880504956,40.0664004956,4.50165,0.02
 01/02  07:00:00,28.2007432858,2.19787905555,0.0,0.0,3.71167865564,18.077,46.8065531876,31.5635884361,13.50495,1.73801475148
 01/02  08:00:00,26.9030472607,2.19787905555,0.0,0.0,3.71167865564,18.077,53.171233056,26.3935213057,21.0077,5.77001175027
 01/02  09:00:00,20.6464250905,2.19787905555,0.0,0.0,3.71167865564,13.077,46.8557548858,26.0822648472,15.0055,5.76799003863
 01/02  10:00:00,20.6680283789,2.19787905555,0.0,0.0,3.71167865564,13.077,43.8471669124,24.2277342785,15.0055,4.61393263394
 01/02  11:00:00,25.6674281649,2.19787905555,0.0,0.0,3.71167865564,18.077,57.741420739,20.6912053534,33.0121,4.03811538562
 01/02  12:00:00,26.813965913,2.19787905555,0.0,0.0,3.71167865564,18.077,60.1243363369,14.9962034608,40.51485,4.61328287614
 01/02  13:00:00,25.9168412387,2.19787905555,0.0,0.0,3.71167865564,18.077,50.8812671534,10.8303334504,36.0132,4.037733703
 01/02  14:00:00,25.7229298906,2.19787905555,0.0,0.0,3.71167865564,18.077,44.8599184291,9.8866527578,31.51155,3.46171567126
 01/02  15:00:00,20.7242025451,2.19787905555,0.0,0.0,3.71167865564,13.077,36.5076310819,12.0393295066,21.0077,3.46060157525
 01/02  16:00:00,20.7057543339,2.19787905555,0.0,0.0,3.71167865564,13.077,36.5234385182,14.1288324413,19.50715,2.8874560769
 01/02  17:00:00,21.884671327,2.19787905555,0.0,0.0,3.71167865564,13.077,41.5683636852,15.5989885736,22.50825,3.46112511158
 01/02  18:00:00,28.1475828483,2.19787905555,0.0,0.0,3.71167865564,18.077,44.3330188785,14.7860842881,25.50935,4.03758459042
 01/02  19:00:00,28.1478925108,2.19787905555,0.0,0.0,3.71167865564,18.077,45.866084081,15.1642847235,25.50935,5.19244935754
 01/02  20:00:00,28.2897128828,2.19787905555,0.0,0.0,3.71167865564,18.077,47.070140513,15.2156488943,25.50935,6.34514161874
 01/02  21:00:00,23.2726384902,2.19787905555,0.0,0.0,3.71167865564,13.077,43.4461029019,16.3229162068,22.50825,4.61493669513
