Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,136.339769308,18.8703085224,0.0,0.0,43.513341876,52.539744,100.561129717,95.7068697167,4.83426,0.02
 01/01  02:00:00,145.044992712,27.5822870337,0.0,0.0,43.513341876,52.539744,103.91037051,99.0561105101,4.83426,0.02
 01/01  03:00:00,150.899015856,33.3622569517,0.0,0.0,43.513341876,52.539744,152.202514146,147.348254146,4.83426,0.02
 01/01  04:00:00,154.728761495,37.2457136562,0.0,0.0,43.513341876,52.539744,117.26871762,112.41445762,4.83426,0.02
 01/01  05:00:00,152.027768674,34.0435218976,0.0,0.0,43.513341876,52.539744,165.400469941,151.951814453,4.83426,8.61439548773
 01/01  06:00:00,140.411431822,22.5326774335,0.0,0.0,43.513341876,52.539744,108.232743147,103.378483147,4.83426,0.02
 01/01  07:00:00,145.749494859,27.7731691728,0.0,0.0,43.513341876,52.539744,144.170554744,139.316294744,4.83426,0.02
 01/01  08:00:00,127.903995293,16.1316399421,0.0,0.0,43.513341876,52.539744,82.9412688683,78.0870088683,4.83426,0.02
 01/01  09:00:00,109.856387407,9.98989427992,0.0,0.0,43.513341876,52.539744,92.8013781814,79.3441094007,4.83426,8.62300878066
 01/01  10:00:00,106.380979503,6.50913304152,0.0,0.0,43.513341876,52.539744,43.4358992956,38.5816392956,4.83426,0.02
 01/01  11:00:00,104.910116191,5.04728633853,0.0,0.0,43.513341876,52.539744,47.2705325186,42.4162725186,4.83426,0.02
 01/01  12:00:00,104.805179929,4.03782907082,0.0,0.0,43.513341876,52.539744,37.8781466224,24.4210758051,4.83426,8.62281081726
 01/01  13:00:00,104.861476964,5.04728633853,0.0,0.0,43.513341876,52.539744,29.4794459846,24.6251859846,4.83426,0.02
 01/01  14:00:00,103.746135553,3.86152634285,0.0,0.0,43.513341876,52.539744,18.8115083553,13.9572483553,4.83426,0.02
 01/01  15:00:00,101.94792141,2.04549230151,0.0,0.0,43.513341876,52.539744,10.0212240594,5.16696405938,4.83426,0.02
 01/01  16:00:00,101.25670048,1.41042182381,0.0,0.0,43.513341876,52.539744,16.0998126806,2.65137894037,4.83426,8.61417374027
 01/01  17:00:00,109.637874968,1.05781636786,0.0,0.0,43.513341876,52.539744,7.48396315888,2.62970315888,4.83426,0.02
 01/01  18:00:00,121.24344849,3.70940316495,0.0,0.0,43.513341876,52.539744,17.954420261,13.100160261,4.83426,0.02
 01/01  19:00:00,122.565928414,5.04728633853,0.0,0.0,43.513341876,52.539744,24.2065417699,19.3522817699,4.83426,0.02
 01/01  20:00:00,121.975304327,4.03782907082,0.0,0.0,43.513341876,52.539744,34.147262621,20.6986345514,4.83426,8.61436806953
 01/01  21:00:00,122.966547308,5.04728633853,0.0,0.0,43.513341876,52.539744,33.4514252764,28.5971652764,4.83426,0.02
 01/01  22:00:00,121.748773567,4.03782907082,0.0,0.0,43.513341876,52.539744,45.1593861345,40.3051261345,4.83426,0.02
 01/01  23:00:00,133.281763524,15.8668532558,0.0,0.0,43.513341876,52.539744,57.4881290875,52.6338690875,4.83426,0.02
 01/01  24:00:00,126.803797606,8.39341369563,0.0,0.0,43.513341876,52.539744,61.755399782,56.901139782,4.83426,0.02
 01/02  01:00:00,132.107955364,14.6697932391,0.0,0.0,43.513341876,52.539744,81.7913655406,68.3341088154,4.83426,8.62299672523
 01/02  02:00:00,133.163159513,15.7145630853,0.0,0.0,43.513341876,52.539744,82.0822623422,77.2280023422,4.83426,0.02
 01/02  03:00:00,134.597601436,17.1410972098,0.0,0.0,43.513341876,52.539744,89.3022072067,84.4479472067,4.83426,0.02
 01/02  04:00:00,132.979972979,15.5199744846,0.0,0.0,43.513341876,52.539744,100.641112827,87.1837703669,4.83426,8.62308245994
 01/02  05:00:00,130.410111167,12.5104825324,0.0,0.0,43.513341876,52.539744,89.2405940298,84.3863340298,4.83426,0.02
 01/02  06:00:00,132.167063276,14.2843224993,0.0,0.0,43.513341876,52.539744,91.4340462885,86.5797862885,4.83426,0.02
 01/02  07:00:00,195.094818146,72.5424949792,0.00282316792503,0.0,43.513341876,53.238744,2419.56060191,2406.10329843,4.83426,8.62304348087
 01/02  08:00:00,365.023619479,72.5424949792,0.0,0.0,220.879908,53.238744,1617.10250341,1585.78869057,4.83426,26.4795528482
 01/02  09:00:00,444.382353263,72.5424949792,0.00263960579451,0.0,220.879908,145.652643033,1278.42148125,1206.5599834,36.25695,35.6045478511
 01/02  10:00:00,444.158777725,72.5424949792,0.00261651183579,0.0,220.879908,145.652643033,1153.51448691,1063.12690605,36.25695,54.1306308589
