Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,39.0964112543,5.47742638709,0.60094676653,2.45138918777,12.925468867,10.100111941,47.2800647637,41.5094032451,0.0,5.77066151864
 01/01  02:00:00,39.9563026599,5.47529135355,0.349959260697,3.56566908875,12.925468867,10.100111941,46.0272482414,46.0072482414,0.0,0.02
 01/01  03:00:00,35.8566660478,5.4695196228,0.147477997209,4.29332136495,8.34152022915,10.0650221343,51.8101445285,46.0468380858,0.0,5.76330644273
 01/01  04:00:00,36.9972035471,5.49801281645,0.0577805434849,5.49506235222,8.34152022915,10.0650221343,52.5038486514,46.740751615,0.0,5.76309703639
 01/01  05:00:00,38.8051650928,5.50519744019,0.0457181515012,5.70113872877,8.34152022915,11.6705166398,49.0835184387,43.3128140939,0.0,5.77070434478
 01/01  06:00:00,43.0299577895,5.51047348685,0.0384481195643,5.76947079507,8.80141237637,15.3678112995,44.9324093278,39.1538404078,0.0,5.77856891995
 01/01  07:00:00,61.8520325475,5.49566544077,0.27248919768,4.39541338805,18.5082010057,25.6353820695,47.5875731449,36.0203733642,0.0,11.5671997807
 01/01  08:00:00,73.4721134495,5.55626635529,1.24013225895,2.29972939028,19.4926561212,41.1001056674,50.5148506996,33.0587714755,0.0,17.4560792241
 01/01  09:00:00,94.8206014399,5.80748335145,3.94272906529,0.704456092772,26.3286599382,57.9988325916,64.3054738054,22.6111228595,0.0,41.6943509459
 01/01  10:00:00,80.5621649912,5.68841507708,5.08772589988,0.694245212322,26.2443270014,42.8153538416,72.9632415826,19.4384362077,18.025,35.4998053749
 01/01  11:00:00,56.3774499141,5.55115270006,4.01759328973,1.59198503201,21.7447113004,23.4437158914,66.6427593967,19.1462252755,18.025,29.4715341211
 01/01  12:00:00,54.2745040487,5.61188869408,4.50341407308,1.34481510948,19.3449162599,23.4437158914,63.742717662,16.3286001829,18.025,29.3891174791
 01/01  13:00:00,54.3545095702,5.65191839357,4.65496198924,1.09137507911,19.190480192,23.7425572507,56.6490576312,15.1805277813,18.025,23.4435298499
 01/01  14:00:00,54.0244409347,5.65160176176,4.67096874657,0.719494933711,19.260583323,23.698576057,52.8556368039,11.3840365835,18.025,23.4466002204
 01/01  15:00:00,53.6738502104,5.63618725652,4.63933415197,0.415949670169,19.260583323,23.698576057,51.9554325066,10.477898805,18.025,23.4525337017
 01/01  16:00:00,53.0036382076,5.59682260456,4.32844902229,0.385940039878,19.260583323,23.4086260847,61.4956278503,14.1680435232,18.025,29.3025843271
 01/01  17:00:00,59.8617298533,5.52290894514,2.94394505346,0.483113848092,19.260583323,27.8781056672,41.1476794247,17.3519422131,18.025,5.77073721156
 01/01  18:00:00,70.6752795461,5.54223832263,1.50836714226,0.322286165147,18.1807569449,37.5792895564,25.9012046668,20.1228141779,0.0,5.77839048897
 01/01  19:00:00,85.4323703545,5.65354543674,2.37227049562,0.210437746602,32.6059821062,37.0465235296,31.4168201503,25.6308985491,0.0,5.78592160123
 01/01  20:00:00,86.3091465338,5.73956845677,2.9937374533,0.148334807114,36.8143715336,33.066984531,38.7418686054,27.1597402793,0.0,11.5821283261
 01/01  21:00:00,92.5018314653,5.85555148941,3.73077519318,0.128497658031,36.43363367,38.8072253906,40.0360849668,28.4544645381,0.0,11.5816204288
 01/01  22:00:00,90.0811634309,5.85217973689,3.61068437247,0.188002489171,36.0963922311,36.7877557581,41.744438554,30.1618336563,0.0,11.5826048977
 01/01  23:00:00,67.2443420627,5.64102144546,2.11314927781,0.379392373815,30.9507766546,20.6087787026,49.4218929406,31.9677588089,0.0,17.4541341317
 01/01  24:00:00,43.9305149886,5.48744430362,1.02005971355,0.747438634015,17.4250845679,11.7056064465,44.6955732274,33.1293462054,0.0,11.5662270219
 01/02  01:00:00,37.1157872038,5.47560435183,0.74869623097,1.64414823877,11.6412384099,10.0650221343,39.5282126833,33.7572923531,0.0,5.77092033027
 01/02  02:00:00,36.0996522729,5.46938561122,0.53821093012,2.40556949314,10.0992000411,10.047477231,40.5019565772,34.7384661512,0.0,5.76349042595
 01/02  03:00:00,34.5801481608,5.46050070296,0.362688890793,2.9300316824,8.25718729233,10.0299323277,35.4957946302,35.4757946302,0.0,0.02
 01/02  04:00:00,34.6609319596,5.45292926956,0.269962769449,3.11111231554,8.25718729233,10.0299323277,40.5017451499,34.7384431726,0.0,5.76330197733
 01/02  05:00:00,36.2011154146,5.44505963596,0.214161772616,3.10820195461,8.25718729233,11.6354268332,38.8303934049,33.0594558146,0.0,5.77093759034
 01/02  06:00:00,43.6986563907,5.44720032346,0.264730223027,2.97289618433,12.1011305571,15.3678112995,42.9886124972,31.4212210792,0.0,11.5673914181
 01/02  07:00:00,72.9470493149,5.59504532824,1.81783682274,0.99127328739,19.7275818095,37.2640762949,46.3318664489,28.8757372532,0.0,17.4561291958
 01/02  08:00:00,88.8784986631,5.77922548432,3.269325043,0.450308344376,24.3117294858,51.2795993405,49.2841901218,25.892713995,0.0,23.3914761268
 01/02  09:00:00,72.648251226,5.52046768572,1.91035768623,0.881651430236,23.6694662846,40.6342015617,54.3981572079,18.8950530682,0.0,35.5031041397
 01/02  10:00:00,69.6822552122,5.5113741292,3.99738969778,0.845509235873,23.6694662846,35.6302164847,63.975398268,16.4851238294,18.025,29.4652744386
 01/02  11:00:00,52.1888485702,5.44599541412,3.4599099009,1.55196661566,18.7433767983,22.9618409725,64.1487066322,16.7302696713,18.025,29.393436961
 01/02  12:00:00,51.9888880827,5.44131504432,3.54921203539,1.26992293748,18.7433767983,22.9618409725,56.4003921128,14.9200073972,18.025,23.4553847156
 01/02  13:00:00,51.6994013387,5.44134128877,3.58341034265,0.902764463757,18.5889407304,23.1597249699,53.7843091719,12.3082493711,18.025,23.4510598007
 01/02  14:00:00,51.4631761957,5.42286011825,3.40214082336,0.619783822454,18.7433767983,23.2517909448,54.2854238626,10.7275194621,18.025,25.5329044005
 01/02  15:00:00,51.3180855576,5.41984412285,3.42197395764,0.457880713,18.7433767983,23.2517909448,55.1389069206,9.89013021584,18.025,27.2237767047
 01/02  16:00:00,51.0676568861,5.43378852622,3.57545661664,0.329975208063,18.7433767983,22.9618409725,52.3103079265,10.8385209798,18.025,23.4467869467
 01/02  17:00:00,58.3344695833,5.41966413549,2.65161310338,0.315414085526,18.7433767983,27.431320555,35.6853436654,11.8895597881,18.025,5.77078387722
 01/02  18:00:00,73.106553118,5.51301201998,1.57595125562,0.113268681132,17.6635504202,40.6971502883,25.1572192556,13.605055364,0.0,11.5521638916
 01/02  19:00:00,80.4260349304,5.60417680027,2.38373603497,0.0282503757756,27.5259009287,37.3340067412,28.4966799433,16.86838339,0.0,11.6282965533
 01/02  20:00:00,83.3540189055,5.68449201008,2.93259734769,0.00219310418081,33.8341110165,33.3544677425,29.1046101529,17.5217886994,0.0,11.5828214535
 01/02  21:00:00,92.6015852956,5.83077650115,3.87073040675,0.0111870826908,36.5179666069,38.8247702939,30.7827801374,19.2026450515,0.0,11.5801350859
 01/02  22:00:00,87.432049015,5.88432405247,4.16704838365,0.00616751594945,32.965339924,36.8579353714,35.8603677374,18.4054297147,0.0,17.4549380227
 01/02  23:00:00,61.9787303138,5.65225274066,2.49614585763,0.00346671859959,25.6355707503,20.6438685092,30.3027888787,18.7044985918,0.0,11.598290287
 01/02  24:00:00,41.0476185607,5.4873511194,1.22753948085,0.0594834859907,15.0252895274,11.7056064465,31.2294862044,19.7165564356,0.0,11.5129297687
 01/03  01:00:00,35.7848831987,5.44654871887,0.897579409223,0.193413018791,11.6412384099,10.0650221343,25.9629315759,20.1680908484,0.0,5.79484072746
 01/03  02:00:00,34.1758882936,5.42930197195,0.762879248262,0.29721966243,10.0992000411,10.047477231,19.3878956776,19.3678956776,0.0,0.02
 01/03  03:00:00,32.2330870585,5.40828296309,0.626011808059,0.371861036369,8.25718729233,10.0299323277,24.7158190647,18.9523676781,0.0,5.76345138667
 01/03  04:00:00,32.1896504878,5.39775088207,0.54233352926,0.422634622721,8.25718729233,10.0299323277,24.9470286033,19.1837675545,0.0,5.76326104875
 01/03  05:00:00,33.7637755948,5.39110768711,0.493443607532,0.445528539592,8.25718729233,11.6354268332,25.0273551039,19.2564314866,0.0,5.7709236173
