Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,22.9319381588,4.46440026037,0.00131971641354,0.0,4.58992532963,8.1892,99.2732447947,88.4247388682,3.33988,7.50862592656
 01/01  02:00:00,14.6697361063,0.0,0.0,0.0,1.52997510988,7.4902,3.93197520134,0.0,3.33988,0.592095201338
 01/01  03:00:00,14.6911037509,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  04:00:00,14.700441497,0.0,0.0,0.0,1.52997510988,7.4902,3.93192938597,0.0,3.33988,0.592049385972
 01/01  05:00:00,14.8489900734,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  06:00:00,23.0743398665,4.46440026037,0.00625932721081,0.0,4.58992532963,8.1892,92.1641560649,83.2223748632,8.3497,0.592081201684
 01/01  07:00:00,39.0333512036,4.46440026037,0.0128105893787,0.0,9.17985065927,19.4245,100.348691171,79.0335614126,16.6994,4.61572975829
 01/01  08:00:00,46.5022653166,4.46440026037,0.0107573030761,0.0,9.17985065927,26.9147,97.3462110816,67.1072348923,25.0491,5.18987618932
 01/01  09:00:00,42.2773121515,4.46440026037,0.00546546778435,0.0,9.17985065927,26.9147,108.245885591,69.6564878435,33.3988,5.19059774778
 01/01  10:00:00,34.7821313358,4.46440026037,0.0,0.0,9.17985065927,19.4245,108.844071018,79.1804646063,25.0491,4.61450641119
 01/01  11:00:00,42.290392697,4.46440026037,0.0154965657369,0.0,9.17985065927,26.9147,129.07426483,71.6351849699,41.7485,15.6905798602
 01/01  12:00:00,43.0578350552,4.46440026037,0.00297640414759,0.0,9.17985065927,26.9147,119.053545742,61.0306007387,41.7485,16.2744450031
 01/01  13:00:00,42.3436812429,4.46440026037,0.0,0.0,9.17985065927,26.9147,107.515365092,53.0147600077,41.7485,12.7521050839
 01/01  14:00:00,34.8193201454,4.46440026037,0.0,0.0,9.17985065927,19.4245,98.1196350772,51.9683635547,33.3988,12.7524715226
 01/01  15:00:00,34.8156143291,4.46440026037,0.0,0.0,9.17985065927,19.4245,91.2167993643,56.3389573408,25.0491,9.82874202356
 01/01  16:00:00,34.8024348262,4.46440026037,0.0,0.0,9.17985065927,19.4245,101.795180947,59.1441783371,33.3988,9.25220261026
 01/01  17:00:00,43.2903936868,4.46440026037,0.00566245667791,0.0,9.17985065927,26.9147,120.676241372,60.7487948504,50.0982,9.82924652148
 01/01  18:00:00,46.4677792125,4.46440026037,0.0,0.0,9.17985065927,26.9147,130.848220423,67.9986961314,50.0982,12.7513242912
 01/01  19:00:00,46.4687510091,4.46440026037,0.0,0.0,9.17985065927,26.9147,134.183484285,68.3935450099,50.0982,15.6917392754
 01/01  20:00:00,39.109491481,4.46440026037,0.0,0.0,9.17985065927,19.4245,120.674337505,71.0023134001,33.3988,16.2732241054
 01/01  21:00:00,39.0879816216,4.46440026037,0.0,0.0,9.17985065927,19.4245,120.693415422,74.5436980634,33.3988,12.7509173585
 01/01  22:00:00,39.0143609754,4.46440026037,0.0,0.0,9.17985065927,19.4245,127.229119253,86.4875579635,25.0491,15.6924612899
 01/01  23:00:00,38.904066583,4.46440026037,0.0,0.0,9.17985065927,19.4245,124.20647942,94.755133957,16.6994,12.751945463
 01/01  24:00:00,39.7116294072,4.46440026037,0.0,0.0,9.17985065927,19.4245,114.406516452,99.7086984974,8.3497,6.34811795479
 01/02  01:00:00,22.9488807951,4.46440026037,0.00132089141297,0.0,4.58992532963,8.1892,122.381924911,112.693467139,3.33988,6.34857777231
 01/02  02:00:00,14.6379984139,0.0,0.0,0.0,1.52997510988,7.4902,3.93197631591,0.0,3.33988,0.592096315911
 01/02  03:00:00,14.6543168695,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/02  04:00:00,14.6625800607,0.0,0.0,0.0,1.52997510988,7.4902,3.93195639694,0.0,3.33988,0.592076396938
 01/02  05:00:00,14.809036694,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/02  06:00:00,23.0503329387,4.46440026037,0.0068652570155,0.0,4.58992532963,8.1892,141.427848672,132.486092243,8.3497,0.592056429304
 01/02  07:00:00,39.0152788155,4.46440026037,0.0109010131721,0.0,9.17985065927,19.4245,142.871033056,121.555848117,16.6994,4.61578493952
 01/02  08:00:00,46.4880325972,4.46440026037,0.0122725029127,0.0,9.17985065927,26.9147,147.085385582,102.803414153,25.0491,19.2328714284
 01/02  09:00:00,42.2622785258,4.46440026037,0.000863394869169,0.0,9.17985065927,26.9147,145.428779903,94.5725932127,33.3988,17.45738669
 01/02  10:00:00,34.7783181537,4.46440026037,0.0,0.0,9.17985065927,19.4245,128.421826782,88.8612715117,25.0491,14.5114552704
 01/02  11:00:00,42.2738258435,4.46440026037,0.00142901627568,0.0,9.17985065927,26.9147,140.642861245,86.1415816592,41.7485,12.7527795854
 01/02  12:00:00,43.0423472854,4.46440026037,0.0,0.0,9.17985065927,26.9147,132.952912771,76.6933004223,41.7485,14.5111123489
 01/02  13:00:00,42.3264763628,4.46440026037,0.0,0.0,9.17985065927,26.9147,120.864759637,66.3657172111,41.7485,12.7505424257
 01/02  14:00:00,34.8012640606,4.46440026037,0.0,0.0,9.17985065927,19.4245,111.505028346,67.106857852,33.3988,10.9993704938
 01/02  15:00:00,34.801614411,4.46440026037,0.0,0.0,9.17985065927,19.4245,108.202413169,73.3231593537,25.0491,9.83015381534
 01/02  16:00:00,34.7854412376,4.46440026037,0.0,0.0,9.17985065927,19.4245,121.773287309,79.1220042858,33.3988,9.25248302289
 01/02  17:00:00,43.2747629729,4.46440026037,0.00341774652916,0.0,9.17985065927,26.9147,138.196924842,78.2692711007,50.0982,9.82945374097
 01/02  18:00:00,46.4585394898,4.46440026037,0.0,0.0,9.17985065927,26.9147,139.821858899,76.9719157574,50.0982,12.7517431411
 01/02  19:00:00,46.4675655696,4.46440026037,0.00319386240601,0.0,9.17985065927,26.9147,136.141005301,68.5851370337,50.0982,17.4576682671
 01/02  20:00:00,39.1092637009,4.46440026037,0.0,0.0,9.17985065927,19.4245,118.997518705,66.3636083749,33.3988,19.2351103297
 01/02  21:00:00,39.0912873545,4.46440026037,0.0,0.0,9.17985065927,19.4245,113.600890743,64.5089149774,33.3988,15.6931757659
 01/02  22:00:00,39.0207569217,4.46440026037,0.0,0.0,9.17985065927,19.4245,111.737099063,69.2291518612,25.0491,17.4588472015
