Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/02  01:00:00,115.065981705,26.1797805277,2.02237914299,13.1188008514,4.12243109448,15.9888894789,94.8229924093,91.8312619914,2.97173041782,0.02
 01/02  02:00:00,107.611325679,21.8978033173,0.0,13.2315483545,4.12243109448,15.9888894789,90.23202333,87.2402929122,2.97173041782,0.02
 01/02  03:00:00,129.502814818,27.3722541467,0.0,18.9044439969,4.12243109448,15.9888894789,120.550018551,117.558288133,2.97173041782,0.02
 01/02  04:00:00,112.151533384,21.8978033173,0.0,16.3533020711,4.12243109448,15.9888894789,103.900450629,100.908720211,2.97173041782,0.02
 01/02  05:00:00,163.162690394,32.3587877108,0.0,19.7606073489,12.3672932834,24.9413748627,158.521309844,153.548425815,4.9528840297,0.02
 01/02  06:00:00,188.487134099,31.8774823732,0.0,46.0534762819,12.3672932834,24.9413748627,202.297951565,197.325067535,4.9528840297,0.02
 01/02  07:00:00,248.292976146,32.9113298702,0.0,48.6492489816,24.7345865669,70.7195625826,203.253253602,193.327485543,9.90576805939,0.02
 01/02  08:00:00,266.797089467,33.0038302363,1.39959142825,35.9063357948,37.1018798503,92.3937384068,171.525894794,161.600126735,9.90576805939,0.02
 01/02  09:00:00,256.557668149,33.0260988648,3.25550165724,29.5487301424,37.1018798503,104.434947198,155.023522445,145.097754386,9.90576805939,0.02
 01/02  10:00:00,260.418875761,33.052127139,4.66298166615,22.7086552705,37.1018798503,116.476155989,151.848576802,133.309453528,9.90576805939,8.63335521391
 01/02  11:00:00,254.870926117,33.1110044163,5.99911427098,18.8651226885,37.1018798503,116.476155989,132.193936918,122.268168858,9.90576805939,0.02
 01/02  12:00:00,252.637697609,33.0958720457,6.92996026181,18.2025739613,37.1018798503,116.476155989,138.275474628,119.727063917,9.90576805939,8.64264265238
 01/02  13:00:00,239.230532916,33.1035494654,7.94807418343,16.8465557021,37.1018798503,104.434947198,134.858139184,116.315412429,9.90576805939,8.63695869477
 01/02  14:00:00,246.389408306,33.1519910011,8.53400680369,14.1968058934,37.1018798503,116.476155989,120.738552818,110.812784759,9.90576805939,0.02
 01/02  15:00:00,244.405431349,33.2109461332,8.43988187321,11.7341444717,37.1018798503,116.476155989,124.90455282,106.358167834,9.90576805939,8.64061692622
 01/02  16:00:00,245.034099604,33.2001189208,8.27996397063,12.1439834298,37.1018798503,116.476155989,117.629592657,107.703824597,9.90576805939,0.02
 01/02  17:00:00,248.304808612,33.2097420515,8.00666449296,12.5174140827,37.1018798503,116.476155989,127.625287999,109.086439322,9.90576805939,8.63308061773
 01/02  18:00:00,263.214591912,33.2240403823,7.0178411846,13.072005206,37.1018798503,116.476155989,121.610846799,111.68507874,9.90576805939,0.02
 01/02  19:00:00,167.77900659,31.2203140919,4.56193950992,0.205701766259,24.7345865669,47.5788473902,83.0088974849,78.0360134552,4.9528840297,0.02
 01/02  20:00:00,167.47611803,31.7082313571,5.2366910774,0.695254820764,24.7345865669,47.5788473902,85.4678103738,80.4949263441,4.9528840297,0.02
 01/02  21:00:00,144.941408621,30.4071186499,5.66751627563,0.648650486566,12.3672932834,38.6892022431,106.314953514,94.7327655887,2.97173041782,8.61045750704
 01/02  22:00:00,124.626688526,26.3749474338,5.33254505966,6.15295045659,12.3672932834,27.0668015668,85.3276732552,82.3359428374,2.97173041782,0.02
 01/02  23:00:00,96.7537639234,21.8978033173,4.83324590015,7.88440826906,4.12243109448,15.9888894789,75.8144520442,72.8227216264,2.97173041782,0.02
 01/02  24:00:00,114.135794058,27.3722541467,6.6443638251,11.870574886,4.12243109448,15.9888894789,97.212733826,94.2210034082,2.97173041782,0.02
 01/03  01:00:00,97.8410465465,21.8978033173,5.52993869371,10.4845383605,4.12243109448,15.9888894789,79.3807404081,76.3890099903,2.97173041782,0.02
 01/03  02:00:00,114.084947069,27.3722541467,7.46991338578,14.4609481597,4.12243109448,15.9888894789,100.004885888,97.0131554705,2.97173041782,0.02
 01/03  03:00:00,97.3053237668,21.8978033173,6.16102564735,12.1229594658,4.12243109448,15.9888894789,80.9607267688,77.968996351,2.97173041782,0.02
 01/03  04:00:00,112.793206248,27.3722541467,8.19219646892,16.1855375853,4.12243109448,15.9888894789,101.656574545,98.6648441274,2.97173041782,0.02
 01/03  05:00:00,131.332203342,31.8708704455,9.68154244042,10.5724306678,12.3672932834,24.9413748627,112.553625426,107.580741396,4.9528840297,0.02
 01/03  06:00:00,168.961269232,32.3717951385,12.5947858727,46.3403990348,12.3672932834,24.9413748627,175.244589241,170.271705211,4.9528840297,0.02
 01/03  07:00:00,220.270093839,32.9016220147,12.0988996715,37.2339001823,24.7345865669,70.7195625826,151.431651772,141.505883712,9.90576805939,0.02
 01/03  08:00:00,240.817324534,32.9992327366,12.4546262272,26.4785595044,37.1018798503,92.3937384068,130.787432618,120.861664558,9.90576805939,0.02
 01/03  09:00:00,231.176038852,33.0224484008,13.2138944247,21.5532657923,37.1018798503,104.434947198,129.280508769,110.744098089,9.90576805939,8.63064262102
 01/03  10:00:00,233.554276008,33.0361983391,14.4189918706,18.6272777612,37.1018798503,116.476155989,114.274385376,104.348617316,9.90576805939,0.02
 01/03  11:00:00,228.697553146,33.0514693356,15.2533068342,16.7282145347,37.1018798503,116.476155989,119.507571132,100.961150267,9.90576805939,8.64065280565
 01/03  12:00:00,227.696181229,33.0903995281,16.326061431,14.7587521349,37.1018798503,116.476155989,108.779597612,98.8538295528,9.90576805939,0.02
 01/03  13:00:00,214.314524619,33.183296032,17.4210100397,10.958013273,37.1018798503,104.434947198,112.611945136,94.0710493784,9.90576805939,8.63512769826
 01/03  14:00:00,224.064044596,33.2656261407,17.7126991882,9.03653592333,37.1018798503,116.476155989,99.9968269796,90.0710589202,9.90576805939,0.02
 01/03  15:00:00,224.797391756,33.3659307591,17.402878798,7.72809434081,37.1018798503,116.476155989,105.68648529,87.1400622621,9.90576805939,8.64065496812
 01/03  16:00:00,224.026749584,33.4884468769,17.204725438,6.45522601993,37.1018798503,116.476155989,103.16298732,84.6185849363,9.90576805939,8.63863432465
 01/03  17:00:00,228.314055721,33.3909298762,16.481483561,6.15532947997,37.1018798503,116.476155989,96.3544929585,86.4287248991,9.90576805939,0.02
 01/03  18:00:00,245.953082195,33.3788205493,14.6080073931,6.1472338833,37.1018798503,116.476155989,97.4865828844,87.560814825,9.90576805939,0.02
 01/03  19:00:00,156.927435597,31.2203140919,11.1458411434,0.0,24.7345865669,47.5788473902,85.1549935329,71.5916219651,4.9528840297,8.61048753805
