Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,90.9683796826,15.9105362054,0.0,0.0,3.49369000822,6.81298672936,29.594381887,27.823131887,1.75125,0.02
 01/01  02:00:00,91.2408231484,15.9105362054,0.0,0.0,3.49369000822,6.81298672936,23.431828817,21.660578817,1.75125,0.02
 01/01  03:00:00,86.3346385276,10.9303746408,0.00568796842215,0.0,3.49369000822,6.81298672936,20.6310077419,17.7154607803,1.75125,1.16429696161
 01/01  04:00:00,93.8344470416,18.5291278306,0.0038167053883,0.0,3.49369000822,6.81298672936,33.3890430743,31.6177930743,1.75125,0.02
 01/01  05:00:00,105.470874787,23.3491684125,0.0,0.0,3.49369000822,6.81298672936,33.0900805105,31.3188305105,1.75125,0.02
 01/01  06:00:00,100.07882559,18.3413429895,0.0,0.0,3.49369000822,6.81298672936,28.7107157893,25.7951447687,1.75125,1.16432102064
 01/01  07:00:00,137.516102802,42.4519553333,0.0,0.0,6.98738001645,14.1499734587,456.334467608,452.811967608,3.5025,0.02
 01/01  08:00:00,146.736649584,42.4519553333,0.0,0.0,6.98738001645,14.1499734587,413.238305479,409.715805479,3.5025,0.02
 01/01  09:00:00,168.484539575,42.4519553333,0.0,0.0,6.98738001645,14.1499734587,372.352459136,367.685511227,3.5025,1.1644479091
 01/01  10:00:00,141.238348768,42.4519553333,0.0,0.0,6.98738001645,14.1499734587,366.664432373,363.141932373,3.5025,0.02
 01/01  11:00:00,175.800006543,42.4519553333,0.0,0.0,27.9495200658,27.7759469175,327.306279086,319.136415762,7.005,1.16486332443
 01/01  12:00:00,207.054873797,42.4519553333,0.0,0.0,27.9495200658,27.7759469175,296.636910257,288.466965574,7.005,1.16494468234
 01/01  13:00:00,214.436149639,42.4519553333,0.0,0.0,41.9242800987,36.8599292233,259.579161644,249.074196822,9.34,1.16496482221
 01/01  14:00:00,212.072258904,42.4519553333,0.0,0.0,41.9242800987,36.8599292233,243.274802096,232.76987326,9.34,1.16492883548
 01/01  15:00:00,208.632581028,42.4519553333,0.0,0.0,41.9242800987,36.8599292233,242.521333548,232.01628798,9.34,1.16504556819
 01/01  16:00:00,205.274149736,42.4519553333,0.0,0.0,41.9242800987,36.8599292233,240.402117508,229.897110995,9.34,1.16500651207
 01/01  17:00:00,208.312670485,42.4519553333,0.0,0.0,41.9242800987,36.8599292233,246.670963227,236.165941883,9.34,1.16502134484
 01/01  18:00:00,189.544994252,42.4519553333,0.0,0.0,27.9495200658,27.7759469175,311.686954392,303.517054798,7.005,1.1648995931
 01/01  19:00:00,195.745827011,42.4519553333,0.0,0.0,13.9747600329,18.6919646116,343.203296263,337.368614182,4.67,1.16468208085
 01/01  20:00:00,175.523037589,42.4519553333,0.0,0.0,13.9747600329,18.6919646116,357.112638294,352.422638294,4.67,0.02
 01/01  21:00:00,166.813638226,42.4519553333,0.0,0.0,13.9747600329,18.6919646116,375.483940047,369.649244007,4.67,1.16469604054
 01/01  22:00:00,152.574864004,42.4519553333,0.0,0.0,13.9747600329,18.6919646116,348.123260779,342.288780007,4.67,1.16448077193
 01/01  23:00:00,76.6118359511,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  24:00:00,123.353419987,10.6070241369,0.0,0.0,3.49369000822,6.81298672936,20.4401964327,18.6689464327,1.75125,0.02
 01/02  01:00:00,100.553846893,17.3276155193,0.0,0.0,3.49369000822,9.08398230582,44.9705851141,41.4712929989,2.335,1.16429211522
 01/02  02:00:00,105.254848521,27.9536419919,0.0,0.0,3.49369000822,9.08398230582,53.6999850555,51.3449850555,2.335,0.02
 01/02  03:00:00,98.1225479368,20.8938063086,0.0,0.0,3.49369000822,9.08398230582,44.6131113617,42.2581113617,2.335,0.02
 01/02  04:00:00,103.132030374,26.2704423515,0.0,0.0,3.49369000822,9.08398230582,79.5139315693,76.0146427507,2.335,1.16428881863
 01/02  05:00:00,111.61556067,27.9536419919,0.0,0.0,3.49369000822,9.08398230582,84.5361449026,82.1811449026,2.335,0.02
 01/02  06:00:00,104.100467571,20.8938063086,0.0,0.0,3.49369000822,9.08398230582,63.5685738172,61.2135738172,2.335,0.02
 01/02  07:00:00,151.139178395,42.4519553333,0.0,0.0,13.9747600329,18.6919646116,552.991199228,548.301199228,4.67,0.02
 01/02  08:00:00,160.238368557,42.4519553333,0.0,0.0,13.9747600329,18.6919646116,480.715452309,474.880900018,4.67,1.16455229081
 01/02  09:00:00,223.061911305,42.4519553333,0.0,0.0,34.9369000822,32.3179380704,418.454942376,409.117796542,8.1725,1.16464583475
 01/02  10:00:00,247.027246994,42.4519553333,0.0,0.0,62.886420148,41.4019203762,355.498591973,343.826208858,10.5075,1.16488311547
 01/02  11:00:00,237.2908,42.4519553333,0.0,0.0,62.886420148,41.4019203762,325.095556566,313.422927181,10.5075,1.16512938469
 01/02  12:00:00,268.308965989,42.4519553333,0.0,0.0,62.886420148,41.4019203762,307.49106737,295.818066244,10.5075,1.16550112614
 01/02  13:00:00,248.217576165,42.4519553333,0.0,0.0,62.886420148,41.4019203762,292.515289898,279.696638976,10.5075,2.3111509227
 01/02  14:00:00,244.874593604,42.4519553333,0.0,0.0,62.886420148,41.4019203762,275.145007509,263.471972762,10.5075,1.16553474638
 01/02  15:00:00,241.078732089,42.4519553333,0.0,0.0,62.886420148,41.4019203762,266.754560725,255.081760001,10.5075,1.16530072329
 01/02  16:00:00,237.67510495,42.4519553333,0.0,0.0,62.886420148,41.4019203762,266.767966394,255.095351493,10.5075,1.16511490132
 01/02  17:00:00,241.074193843,42.4519553333,0.0,0.0,62.886420148,41.4019203762,271.384471445,258.566535125,10.5075,2.3104363193
 01/02  18:00:00,251.212255379,42.4519553333,0.0,0.0,62.886420148,41.4019203762,282.611932706,270.939078074,10.5075,1.16535463197
 01/02  19:00:00,250.60256726,42.4519553333,0.0,0.0,41.9242800987,36.8599292233,286.286133061,275.781054561,9.34,1.16507850002
 01/02  20:00:00,234.455220854,42.4519553333,0.0,0.0,41.9242800987,36.8599292233,286.583294459,276.078416559,9.34,1.16487789972
 01/02  21:00:00,209.532215194,42.4519553333,0.0,0.0,34.9369000822,32.3179380704,289.361798336,280.02431952,8.1725,1.16497881542
 01/02  22:00:00,152.680738808,42.4519553333,0.0,0.0,13.9747600329,18.6919646116,260.757519547,256.067519547,4.67,0.02
 01/02  23:00:00,79.2686654609,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49951053833,0.0,2.335,1.16451053833
 01/02  24:00:00,115.15691289,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/03  01:00:00,94.6267286175,10.6070241369,0.0,0.0,3.49369000822,9.08398230582,15.8207980153,12.3215291096,2.335,1.16426890574
 01/03  02:00:00,88.4307813342,10.6070241369,0.0,0.0,3.49369000822,9.08398230582,15.3486158238,12.9936158238,2.335,0.02
 01/03  03:00:00,93.6151349725,15.9105362054,0.0,0.0,3.49369000822,9.08398230582,24.6813143081,22.3263143081,2.335,0.02
 01/03  04:00:00,94.1082343833,16.2338867093,0.00725179842313,0.0,3.49369000822,9.08398230582,25.8748057042,22.3755715896,2.335,1.16423411466
 01/03  05:00:00,111.435658755,11.0381581421,0.00529198515278,0.0,3.49369000822,9.08398230582,18.7470975162,16.3920975162,2.335,0.02
 01/03  06:00:00,116.901455726,16.5572372131,0.00649369539815,0.0,3.49369000822,9.08398230582,29.6868944255,27.3318944255,2.335,0.02
 01/03  07:00:00,168.57258686,42.4519553333,0.0,0.0,13.9747600329,18.6919646116,388.384326133,383.694326133,4.67,0.02
 01/03  08:00:00,170.306260965,42.4519553333,0.0,0.0,13.9747600329,18.6919646116,349.876978563,344.04246579,4.67,1.16451277339
 01/03  09:00:00,223.663790887,42.4519553333,0.0,0.0,34.9369000822,32.3179380704,301.238259328,291.900990532,8.1725,1.1647687965
 01/03  10:00:00,248.631086296,42.4519553333,0.0,0.0,62.886420148,41.4019203762,255.290199932,243.617853903,10.5075,1.16484602891
 01/03  11:00:00,241.646136448,42.4519553333,0.0,0.0,62.886420148,41.4019203762,237.522613145,225.850019313,10.5075,1.16509383265
 01/03  12:00:00,273.345400089,42.4519553333,0.0,0.0,62.886420148,41.4019203762,213.123964067,201.45099665,10.5075,1.16546741745
 01/03  13:00:00,254.904036857,42.4519553333,0.0,0.0,62.886420148,41.4019203762,188.864190362,176.540357982,10.5075,1.81633237946
 01/03  14:00:00,251.892111104,42.4519553333,0.0,0.0,62.886420148,41.4019203762,176.537016318,164.369349608,10.5075,1.66016671074
 01/03  15:00:00,247.566217251,42.4519553333,0.0,0.0,62.886420148,41.4019203762,173.043994079,161.371222288,10.5075,1.16527179031
