Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,63.7842489165,4.87950408193,3.53044090111,0.0,15.863942322,29.242365,99.4704325258,96.2447525258,3.20568,0.02
 01/01  02:00:00,62.9305628732,4.7326348568,2.81620983757,0.0,15.863942322,29.242365,112.491982361,109.266302361,3.20568,0.02
 01/01  03:00:00,64.4971862847,5.58532635724,3.49708123467,0.0,15.863942322,29.242365,158.403797967,152.315178164,3.20568,2.88293980252
 01/01  04:00:00,63.0384040575,4.82732410706,2.80957684432,0.0,15.863942322,29.242365,132.699585267,129.473905267,3.20568,0.02
 01/01  05:00:00,64.8743161631,5.72736023263,3.48623910471,0.0,15.863942322,29.242365,182.570416947,176.481740454,3.20568,2.8829964939
 01/01  06:00:00,63.4217398728,4.99790317911,2.80444403787,0.0,15.863942322,29.242365,143.988202953,140.762522953,3.20568,0.02
 01/01  07:00:00,65.2419575226,6.12171046275,3.47677868814,0.0,15.863942322,29.242365,189.865161013,186.639481013,3.20568,0.02
 01/01  08:00:00,61.9855386975,5.12113762602,2.80796547118,0.0,15.863942322,29.242365,126.571949682,120.483281204,3.20568,2.88298847834
 01/01  09:00:00,56.389102435,5.97382912646,3.48876637158,0.0,15.863942322,29.242365,152.776700236,149.551020236,3.20568,0.02
 01/01  10:00:00,54.5676647372,4.82732410706,2.80957368655,0.0,15.863942322,29.242365,112.438796914,106.348524292,3.20568,2.88459262182
 01/01  11:00:00,54.8244311549,4.38108874542,3.50804482838,0.0,15.863942322,29.242365,102.485872927,96.395524727,3.20568,2.88466820041
 01/01  12:00:00,54.9938185473,4.51958404371,2.81580196834,0.0,15.863942322,29.242365,79.5979545944,76.3722745944,3.20568,0.02
