Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,141.115745198,31.1516207485,16.8695090974,0.0,34.4311606118,33.1021868926,180.855403639,39.0446707765,3.33212,138.478612862
 01/01  02:00:00,146.689767827,31.1516207485,22.4290056951,0.0,34.4311606118,33.1021868926,137.860965427,32.1440754903,3.33212,102.384769937
 01/01  03:00:00,132.015096408,31.1516207485,25.2449520462,0.0,19.466279405,30.610668775,138.528022044,27.9035314934,3.33212,107.29237055
 01/01  04:00:00,135.091899223,31.1516207485,28.3006581596,0.0,19.466279405,30.610668775,136.295458335,24.9461932457,3.33212,108.01714509
 01/01  05:00:00,146.217355659,31.1516207485,32.8287987002,0.0,19.466279405,30.610668775,163.817974912,22.2169982553,3.33212,138.268856656
 01/01  06:00:00,161.837689209,31.1516207485,36.2199858919,0.0,19.466279405,30.610668775,200.161288925,20.5058209731,8.3303,171.325167952
 01/01  07:00:00,283.865574964,34.1134321679,81.7201602898,0.0,42.6918050922,54.3732441037,284.471405446,19.8566395462,16.6606,247.9541659
 01/01  08:00:00,323.455672123,36.2291265151,68.3328881828,0.0,49.3960418185,88.5934452969,579.548487268,141.104211925,24.9909,413.453375342
 01/01  09:00:00,360.310209726,36.2290117532,87.5552370307,0.0,57.6566862989,112.030105488,801.909611685,179.00017954,33.3212,589.588232145
 01/01  10:00:00,329.433655566,36.6184856257,112.2654123,0.0,50.9524495726,81.1684271793,661.120217663,175.108566697,66.8089,419.202750967
 01/01  11:00:00,292.442621912,36.8938226172,119.922575336,0.0,42.6918050922,68.9656133826,555.9770717,151.125300558,83.4695,321.382271141
