Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/02  01:00:00,94.8317347112,23.3333697741,16.6727979308,0.375855593143,4.12243109448,15.9888894789,95.6030579263,92.6113275085,2.97173041782,0.02
 01/02  02:00:00,79.7688255939,19.2888122357,13.8328948866,0.369139272461,4.12243109448,15.9888894789,82.3972722154,79.4055417976,2.97173041782,0.02
 01/02  03:00:00,92.8946037225,24.6947499548,19.025239059,1.16302512335,4.12243109448,15.9888894789,103.870731009,100.879000591,2.97173041782,0.02
 01/02  04:00:00,81.8687283272,19.7557999638,14.7558284243,1.33820099627,4.12243109448,15.9888894789,84.304363428,81.3126330102,2.97173041782,0.02
 01/02  05:00:00,125.160911526,29.9450250978,22.7802885327,2.07278467985,12.3672932834,24.9413748627,117.944611397,112.971727368,4.9528840297,0.02
 01/02  06:00:00,159.332310886,30.6506280056,28.9132800557,26.4607118918,12.3672932834,24.9413748627,185.459197463,180.486313433,4.9528840297,0.02
 01/02  07:00:00,204.897621651,31.1795773051,20.3130059981,21.0309760423,24.7345865669,70.7195625826,152.05603882,142.130270761,9.90576805939,0.02
 01/02  08:00:00,230.495354617,31.3503707158,20.5383703803,15.6242786962,37.1018798503,92.3937384068,133.125247103,123.199479043,9.90576805939,0.02
 01/02  09:00:00,229.83468301,31.4257683007,22.3350966472,13.9714584005,37.1018798503,104.434947198,127.523243568,117.597475509,9.90576805939,0.02
 01/02  10:00:00,240.495707158,31.518587075,24.894002291,9.92879090176,37.1018798503,116.476155989,129.873514023,111.337058026,9.90576805939,8.63068793766
 01/02  11:00:00,244.385284229,31.6508797214,29.1145651786,7.48324676306,37.1018798503,116.476155989,114.474849461,104.549081402,9.90576805939,0.02
 01/02  12:00:00,248.461101132,31.71370376,33.3991770453,6.11899869331,37.1018798503,116.476155989,119.903727571,101.360322284,9.90576805939,8.63763722761
 01/02  13:00:00,241.756381284,32.0666661845,39.4372481042,4.7377032147,37.1018798503,104.434947198,107.217709978,97.2919419186,9.90576805939,0.02
 01/02  14:00:00,257.480067752,32.549576316,45.5058380303,3.30159162133,37.1018798503,116.476155989,110.876834158,92.333294749,9.90576805939,8.63777135006
