Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,13.625097204,2.25630291786,0.0,0.0,1.85583932782,5.577,37.6305246627,32.317550356,3.0011,2.31187430671
 01/01  02:00:00,9.50396533353,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  03:00:00,9.53428455533,0.0,0.0,0.0,0.618613109274,5.0,3.59315128502,0.0,3.0011,0.592051285022
 01/01  04:00:00,9.57208103303,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  05:00:00,9.74080875712,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  06:00:00,13.8161834731,2.25630291786,0.0,0.0,1.85583932782,5.577,34.2008375986,29.1070916077,4.50165,0.592095990954
 01/01  07:00:00,28.2804228103,2.25630291786,0.0,0.0,3.71167865564,18.077,40.0122222073,24.7696738389,13.50495,1.73759836841
 01/01  08:00:00,27.5931317447,2.25630291786,0.0,0.0,3.71167865564,18.077,44.8235519774,22.6507482111,21.0077,1.16510376633
 01/01  09:00:00,20.6799123928,2.25630291786,0.0,0.0,3.71167865564,13.077,42.7353619854,25.9916833921,15.0055,1.73817859327
 01/01  10:00:00,20.6915750822,2.25630291786,0.0,0.0,3.71167865564,13.077,39.7947974595,23.6237560716,15.0055,1.16554138786
 01/01  11:00:00,25.7099512591,2.25630291786,0.0,0.0,3.71167865564,18.077,53.5442999901,15.9177428764,33.0121,4.61445711362
 01/01  12:00:00,26.8593557472,2.25630291786,0.0,0.0,3.71167865564,18.077,55.0302615504,9.90157225816,40.51485,4.61383929227
 01/01  13:00:00,25.9762523644,2.25630291786,0.0,0.0,3.71167865564,18.077,42.437338346,2.9612905928,36.0132,3.46284775322
 01/01  14:00:00,25.8109268258,2.25630291786,0.0,0.0,3.71167865564,18.077,35.8490030439,0.300885612129,31.51155,4.03656743178
 01/01  15:00:00,20.8406388138,2.25630291786,0.0,0.0,3.71167865564,13.077,23.4759125324,0.155152688636,21.0077,2.31305984374
 01/01  16:00:00,20.8441483967,2.25630291786,0.0,0.0,3.71167865564,13.077,22.3940250661,0.0,19.50715,2.88687506606
 01/01  17:00:00,20.7401237764,2.25630291786,0.0,0.0,3.71167865564,13.077,26.2849236523,0.889686546005,22.50825,2.88698710626
 01/01  18:00:00,27.582620739,2.25630291786,0.0,0.0,3.71167865564,18.077,35.518308184,6.54577625148,25.50935,3.46318193251
 01/01  19:00:00,28.1834435679,2.25630291786,0.0,0.0,3.71167865564,18.077,43.1034992864,12.9797862631,25.50935,4.61436302333
 01/01  20:00:00,28.3097879259,2.25630291786,0.0,0.0,3.71167865564,18.077,47.3631697902,17.2400463427,25.50935,4.61377344748
 01/01  21:00:00,23.2946197052,2.25630291786,0.0,0.0,3.71167865564,13.077,43.0856060275,17.1152298316,22.50825,3.46212619591
 01/01  22:00:00,23.2201028487,2.25630291786,0.0,0.0,3.71167865564,13.077,44.2091957292,18.5876291793,21.0077,4.61386654989
 01/01  23:00:00,23.1194157581,2.25630291786,0.0,0.0,3.71167865564,13.077,40.3884831678,18.9198393388,18.0066,3.46204382898
 01/01  24:00:00,24.3021925034,2.25630291786,0.0,0.0,3.71167865564,13.077,26.2447300601,20.9323280517,3.0011,2.31130200835
