Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,38.3958201774,5.85435562729,1.97503771649,0.0,12.925468867,10.100111941,25.0285545208,25.0085545208,0.0,0.02
 01/01  02:00:00,38.0233326364,5.80689177725,1.65122192266,0.0,12.925468867,10.100111941,32.6928475189,26.9324333018,0.0,5.76041421709
 01/01  03:00:00,32.9880899354,5.75102468804,1.29088256803,0.0,8.34152022915,10.0650221343,32.7190984565,26.9587930416,0.0,5.76030541483
 01/01  04:00:00,32.9434423456,5.74204096119,1.2425871258,0.012634186752,8.34152022915,10.0650221343,23.1095546793,23.0895546793,0.0,0.02
 01/01  05:00:00,34.5267911125,5.73493384805,1.20011091506,0.0388560876906,8.34152022915,11.6705166398,26.5953718855,20.8284567163,0.0,5.76691516918
 01/01  06:00:00,38.5656844763,5.71382697773,1.05593346395,0.0846327110577,8.80141237637,15.3678112995,27.2407008409,21.4671663102,0.0,5.7735345307
 01/01  07:00:00,59.0432807297,5.78151092333,1.52822975822,0.0454595622769,18.5082010057,25.6353820695,33.6649740385,22.1127760806,0.0,11.552197958
 01/01  08:00:00,74.9483505589,5.95436611515,2.73466074755,0.0,19.4926561212,41.1001056674,33.1412411634,21.5221682879,0.0,11.6190728755
 01/01  09:00:00,95.7657562295,6.20562280078,5.19507199689,0.0,26.3286599382,57.9988325916,58.7650977668,17.2637410021,0.0,41.5013567647
 01/01  10:00:00,82.0660326682,6.14269670691,6.8321564566,0.0,26.2443270014,42.8153538416,62.0788162517,14.5825760462,18.025,29.4712402056
 01/01  11:00:00,57.2644685128,5.99066824449,6.05751549419,0.0,21.7447113004,23.4437158914,59.217856571,11.8165061527,18.025,29.3763504183
 01/01  12:00:00,55.1686891276,6.03420467229,6.32042230463,0.0,19.3449162599,23.4437158914,50.6357203001,9.16204340812,18.025,23.448676892
 01/01  13:00:00,55.960321978,6.11982240345,6.88445816492,0.0,19.190480192,23.7425572507,47.4793386302,6.06768658545,18.025,23.3866520447
 01/01  14:00:00,56.4364521719,6.16469994218,7.28958709866,0.0,19.260583323,23.698576057,42.6764519069,1.26986178541,18.025,23.3815901215
 01/01  15:00:00,57.3229756584,6.26264630782,8.07816652945,0.0,19.260583323,23.698576057,35.7099444906,0.133301349543,18.025,17.551643141
 01/01  16:00:00,57.4227825151,6.2950909953,8.43548091378,0.0,19.260583323,23.4086260847,42.0384085328,0.61742115298,18.025,23.3959873798
 01/01  17:00:00,60.4434374216,6.21475018717,7.08514465231,0.0,19.260583323,27.8781056672,25.5140636491,1.72238209044,18.025,5.76668155861
 01/01  18:00:00,72.3543432279,6.18237632267,4.75385312342,0.0,18.1807569449,37.5792895564,11.6452941383,5.87296367833,0.0,5.77233045996
 01/01  19:00:00,88.7278612132,6.29914318715,5.23292933221,0.0,32.6059821062,37.0465235296,25.3328020663,13.7935751452,0.0,11.5392269211
 01/01  20:00:00,89.3670363702,6.37668732502,5.56328422193,0.0,36.8143715336,33.066984531,23.1257417311,17.3331994904,0.0,5.79254224068
 01/01  21:00:00,95.8961576446,6.54119626389,6.56839135881,0.0,36.43363367,38.8072253906,29.4902172787,17.925290237,0.0,11.5649270417
 01/01  22:00:00,93.3234250421,6.52128236098,6.37228616028,0.0,36.0963922311,36.7877557581,30.9576434757,19.3924304236,0.0,11.5652130521
 01/01  23:00:00,69.6643872922,6.20057725593,4.3536920535,0.0,30.9507766546,20.6087787026,31.5961687667,19.9768931659,0.0,11.6192756008
 01/01  24:00:00,45.2555198269,5.93826519978,2.64206612423,0.0,17.4250845679,11.7056064465,32.1590659749,20.6059883195,0.0,11.5530776555
 01/02  01:00:00,37.3162097484,5.87996159413,2.18913065737,0.0,11.6412384099,10.0650221343,19.0494105311,19.0294105311,0.0,0.02
 01/02  02:00:00,35.5099592014,5.84642914021,1.97721021582,0.0,10.0992000411,10.047477231,22.5503329148,16.7898565155,0.0,5.7604763993
 01/02  03:00:00,33.2849068959,5.79976054492,1.65838143409,0.0,8.25718729233,10.0299323277,23.8677171671,18.1072130999,0.0,5.76050406716
 01/02  04:00:00,33.066199473,5.77202815874,1.46740878618,0.0,8.25718729233,10.0299323277,24.6203576134,18.8606130535,0.0,5.75974455984
 01/02  05:00:00,34.5105024248,5.7513914003,1.32563994804,0.0,8.25718729233,11.6354268332,19.3158403692,19.2958403692,0.0,0.02
 01/02  06:00:00,42.1538774488,5.75893430137,1.38149849665,0.0,12.1011305571,15.3678112995,30.3604401251,18.8073099861,0.0,11.5531301389
 01/02  07:00:00,73.6786245042,6.02160268742,3.11479020111,0.0,19.7275818095,37.2640762949,32.5576488299,20.9394568406,0.0,11.6181919893
 01/02  08:00:00,92.073964625,6.23205828819,4.57914481555,0.0,24.3117294858,51.2795993405,42.3390471636,19.0136129762,0.0,23.3254341874
 01/02  09:00:00,73.9209499665,5.93114640983,3.65462898096,0.0,23.6694662846,40.6342015617,41.8979835384,12.4188454596,0.0,29.4791380788
 01/02  10:00:00,71.6023978673,5.99991045708,6.27493850106,0.0,23.6694662846,35.6302164847,56.0654194212,8.6684484923,18.025,29.3719709289
 01/02  11:00:00,53.7178964745,5.92366428947,6.06358059029,0.0,18.7433767983,22.9618409725,47.0090201939,5.53108459899,18.025,23.4529355949
 01/02  12:00:00,53.6465182259,5.89965694854,6.01863726073,0.0,18.7433767983,22.9618409725,44.5870385373,3.16476071076,18.025,23.3972778265
 01/02  13:00:00,54.8371970438,6.02591069075,7.03961453883,0.0,18.5889407304,23.1597249699,43.5285853248,2.10812206349,18.025,23.3954632613
 01/02  14:00:00,56.2439041487,6.16244922655,8.06327895118,0.0,18.7433767983,23.2517909448,41.4119298896,0.0,18.025,23.3869298896
 01/02  15:00:00,55.8026663611,6.08680617593,7.69768373977,0.0,18.7433767983,23.2517909448,35.5670081637,0.0,18.025,17.5420081637
 01/02  16:00:00,55.5667979271,6.0955714461,7.74300426202,0.0,18.7433767983,22.9618409725,41.4231798271,0.0,18.025,23.3981798271
 01/02  17:00:00,59.2481618712,6.10914823668,6.95946202867,0.0,18.7433767983,27.431320555,24.1765536999,0.384917460081,18.025,5.76663623983
 01/02  18:00:00,76.0103275216,6.2369028322,5.75343831668,0.0,17.6635504202,40.6971502883,13.4468679992,1.90718453654,0.0,11.5396834627
 01/02  19:00:00,85.300203892,6.37994357093,6.51099447745,0.0,27.5259009287,37.3340067412,14.9791517801,3.37318591153,0.0,11.6059658686
 01/02  20:00:00,88.0092928031,6.45444396142,6.82055590064,0.0,33.8341110165,33.3544677425,19.1153316553,7.55177436159,0.0,11.5635572937
 01/02  21:00:00,97.206638331,6.62655108298,7.69163516399,0.0,36.5179666069,38.8247702939,16.5289947346,10.7362584079,0.0,5.79273632674
