Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,76.5795675294,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  02:00:00,76.0726094389,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  03:00:00,75.9846684487,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91557494728,0.0,1.75125,1.16432494728
 01/01  04:00:00,76.5652949802,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  05:00:00,83.645736007,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  06:00:00,83.0998209197,0.0,0.0,0.0,3.49369000822,6.81298672936,2.9155606612,0.0,1.75125,1.1643106612
 01/01  07:00:00,125.121436538,28.7466650391,0.0,0.0,6.98738001645,14.1499734587,365.354949558,361.832449558,3.5025,0.02
 01/01  08:00:00,131.064218651,28.7466650391,0.0,0.0,6.98738001645,14.1499734587,342.456760052,338.934260052,3.5025,0.02
 01/01  09:00:00,155.415758501,28.7466650391,0.0,0.0,6.98738001645,14.1499734587,315.286739899,310.619832603,3.5025,1.1644072964
 01/01  10:00:00,128.303341009,28.7466650391,0.0,0.0,6.98738001645,14.1499734587,293.18877264,289.66627264,3.5025,0.02
 01/01  11:00:00,163.334711293,28.7466650391,0.0,0.0,27.9495200658,27.7759469175,243.583222922,235.413424451,7.005,1.16479847106
 01/01  12:00:00,194.522568417,28.7466650391,0.0,0.0,27.9495200658,27.7759469175,216.774662909,208.604853004,7.005,1.16480990446
 01/01  13:00:00,202.762161795,28.7466650391,0.1020644753,0.0,41.9242800987,36.8599292233,177.375500176,166.870520184,9.34,1.1649799924
 01/01  14:00:00,202.287368889,28.7466650391,0.320722609996,0.0,41.9242800987,36.8599292233,150.2829532,139.778082246,9.34,1.16487095465
 01/01  15:00:00,201.160951467,28.7466650391,0.75786119712,0.0,41.9242800987,36.8599292233,127.336496727,117.976496727,9.34,0.02
 01/01  16:00:00,199.099105784,28.7466650391,1.00646196888,0.0,41.9242800987,36.8599292233,115.328330402,104.823419127,9.34,1.16491127474
 01/01  17:00:00,196.955236919,28.7466650391,0.930745772395,0.0,41.9242800987,36.8599292233,127.664122324,117.159289798,9.34,1.16483252634
 01/01  18:00:00,174.448062748,28.7466650391,0.0,0.0,27.9495200658,27.7759469175,189.245038127,181.075168526,7.005,1.16486960117
 01/01  19:00:00,183.324974475,28.7466650391,0.0,0.0,13.9747600329,18.6919646116,234.490185669,228.655462841,4.67,1.16472282826
 01/01  20:00:00,162.850026349,28.7466650391,0.0,0.0,13.9747600329,18.6919646116,256.914127178,252.224127178,4.67,0.02
 01/01  21:00:00,154.266443374,28.7466650391,0.0,0.0,13.9747600329,18.6919646116,257.144458991,251.309850827,4.67,1.16460816489
 01/01  22:00:00,139.882685862,28.7466650391,0.0,0.0,13.9747600329,18.6919646116,223.323675078,217.48918299,4.67,1.16449208743
 01/01  23:00:00,78.4987017634,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  24:00:00,113.937501869,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/02  01:00:00,86.5847710111,0.0,0.0,0.0,3.49369000822,9.08398230582,3.4992384128,0.0,2.335,1.1642384128
 01/02  02:00:00,80.1815942325,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  03:00:00,80.0826159912,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  04:00:00,80.1321489466,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49924429226,0.0,2.335,1.16424429226
 01/02  05:00:00,86.9757606453,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  06:00:00,86.4474283658,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  07:00:00,139.457831489,28.7466650391,0.0,0.0,13.9747600329,18.6919646116,318.183270975,313.493270975,4.67,0.02
 01/02  08:00:00,145.114944634,28.7466650391,0.0,0.0,13.9747600329,18.6919646116,295.753067519,289.91860046,4.67,1.16446705856
 01/02  09:00:00,211.136528363,28.7466650391,0.0,0.0,34.9369000822,32.3179380704,256.209320305,246.872183985,8.1725,1.16463632035
 01/02  10:00:00,236.124836791,28.7466650391,0.0913160209555,0.0,62.886420148,41.4019203762,208.436794178,197.909294178,10.5075,0.02
