Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,22.5447550646,3.99995688338,0.00146642011169,0.0,4.58992532963,8.1892,73.6713166371,63.4043714355,3.33988,6.9270652016
 01/01  02:00:00,14.6942501653,0.0,0.0,0.0,1.52997510988,7.4902,3.93197263354,0.0,3.33988,0.592092633539
 01/01  03:00:00,14.7161267286,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  04:00:00,14.7177934994,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  05:00:00,14.8608464104,0.0,0.0,0.0,1.52997510988,7.4902,3.93194407703,0.0,3.33988,0.592064077034
 01/01  06:00:00,22.6141119939,3.99995688338,0.0022931771625,0.0,4.58992532963,8.1892,96.5013533603,88.1316533603,8.3497,0.02
 01/01  07:00:00,38.5764120409,3.99995688338,0.0137050577418,0.0,9.17985065927,19.4245,104.79510235,83.4818649108,16.6994,4.61383743957
 01/01  08:00:00,46.041139523,3.99995688338,0.0116014158722,0.0,9.17985065927,26.9147,101.616667715,71.954549273,25.0491,4.61301844219
 01/01  09:00:00,41.8157312149,3.99995688338,0.00347295182869,0.0,9.17985065927,26.9147,103.871121844,65.8602867987,33.3988,4.61203504584
 01/01  10:00:00,34.3594250532,3.99995688338,0.0,0.0,9.17985065927,19.4245,88.5658644897,59.4769854551,25.0491,4.03977903452
 01/01  11:00:00,41.8811283665,3.99995688338,0.00571103495074,0.0,9.17985065927,26.9147,104.92893886,48.6708847301,41.7485,14.5095541299
 01/01  12:00:00,42.6273339748,3.99995688338,0.0,0.0,9.17985065927,26.9147,97.4381923531,41.7589069842,41.7485,13.9307853689
 01/01  13:00:00,41.9557132213,3.99995688338,0.0,0.0,9.17985065927,26.9147,83.5740667915,30.2451154745,41.7485,11.5804513169
 01/01  14:00:00,34.4473832966,3.99995688338,0.0,0.0,9.17985065927,19.4245,70.4867611649,25.5084639783,33.3988,11.5794971866
 01/01  15:00:00,34.4615056663,3.99995688338,0.0,0.0,9.17985065927,19.4245,58.942487017,25.2260044919,25.0491,8.66738252517
 01/01  16:00:00,34.4638142237,3.99995688338,0.0,0.0,9.17985065927,19.4245,65.1805617874,23.1147305256,33.3988,8.66703126181
 01/01  17:00:00,41.9186348402,3.99995688338,0.0180013012889,0.0,9.17985065927,26.9147,74.4902805757,15.7253552337,50.0982,8.66672534196
 01/01  18:00:00,45.096136899,3.99995688338,0.0,0.0,9.17985065927,26.9147,73.8582827825,12.1794564184,50.0982,11.5806263642
 01/01  19:00:00,46.1622989761,3.99995688338,0.0,0.0,9.17985065927,26.9147,72.1043161253,8.07896806795,50.0982,13.9271480574
 01/01  20:00:00,38.8160237852,3.99995688338,0.0,0.0,9.17985065927,19.4245,55.4332649585,7.52408642234,33.3988,14.5103785361
 01/01  21:00:00,38.7800765631,3.99995688338,0.0,0.0,9.17985065927,19.4245,56.8231934078,11.847364283,33.3988,11.5770291248
 01/01  22:00:00,38.6853809905,3.99995688338,0.0,0.0,9.17985065927,19.4245,66.7693678863,27.794469862,25.0491,13.9257980243
 01/01  23:00:00,38.5725563311,3.99995688338,0.0,0.0,9.17985065927,19.4245,62.8802741451,34.6013669963,16.6994,11.5795071488
 01/01  24:00:00,39.3358255532,3.99995688338,0.0,0.0,9.17985065927,19.4245,49.056295291,34.9365167659,8.3497,5.77007852507
 01/02  01:00:00,22.6301263948,3.99995688338,0.0,0.0,4.58992532963,8.1892,48.7544974934,39.6463565531,3.33988,5.76826094025
 01/02  02:00:00,14.8122096989,0.0,0.0,0.0,1.52997510988,7.4902,3.931937813,0.0,3.33988,0.592057813002
 01/02  03:00:00,14.8441018771,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/02  04:00:00,14.8591814604,0.0,0.0,0.0,1.52997510988,7.4902,3.93194373907,0.0,3.33988,0.592063739071
 01/02  05:00:00,15.0150291248,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/02  06:00:00,22.777242226,3.99995688338,0.0,0.0,4.58992532963,8.1892,43.7922213361,35.4225213361,8.3497,0.02
 01/02  07:00:00,38.7635068279,3.99995688338,0.0253587591659,0.0,9.17985065927,19.4245,49.6569933862,28.3432980235,16.6994,4.61429536269
 01/02  08:00:00,46.2427680536,3.99995688338,0.0262033857629,0.0,9.17985065927,26.9147,60.8225211748,18.3210434055,25.0491,17.4523777693
 01/02  09:00:00,41.997459675,3.99995688338,0.0,0.0,9.17985065927,26.9147,65.9789691023,17.4730653587,33.3988,15.1071037436
 01/02  10:00:00,34.511529181,3.99995688338,0.0,0.0,9.17985065927,19.4245,56.956253376,18.5750032611,25.0491,13.3321501149
 01/02  11:00:00,42.0100104507,3.99995688338,0.0148420628161,0.0,9.17985065927,26.9147,73.7942449566,20.8501317024,41.7485,11.1956132541
 01/02  12:00:00,42.7067494243,3.99995688338,0.0,0.0,9.17985065927,26.9147,69.0669771083,14.1819134692,41.7485,13.1365636391
 01/02  13:00:00,42.0431977785,3.99995688338,0.0,0.0,9.17985065927,26.9147,60.6835521763,7.3581589641,41.7485,11.5768932122
 01/02  14:00:00,34.5217452835,3.99995688338,0.0,0.0,9.17985065927,19.4245,53.7990470661,10.5688940282,33.3988,9.83135303794
 01/02  15:00:00,34.5238865192,3.99995688338,0.0,0.0,9.17985065927,19.4245,50.6733490122,16.9569962371,25.0491,8.66725277513
 01/02  16:00:00,34.51880795,3.99995688338,0.0,0.0,9.17985065927,19.4245,60.8670939383,18.8009886869,33.3988,8.66730525133
 01/02  17:00:00,41.9688818771,3.99995688338,0.02259844263,0.0,9.17985065927,26.9147,73.5953081934,14.8298694805,50.0982,8.6672387129
 01/02  18:00:00,45.1534598433,3.99995688338,0.00705673727981,0.0,9.17985065927,26.9147,68.3916307637,6.71482183071,50.0982,11.578608933
 01/02  19:00:00,46.2526905289,3.99995688338,0.0179480802696,0.0,9.17985065927,26.9147,65.7870286634,0.0,50.0982,15.6888286634
 01/02  20:00:00,38.9188982825,3.99995688338,0.0,0.0,9.17985065927,19.4245,50.3149187661,0.0430584550279,33.3988,16.8730603111
 01/02  21:00:00,38.9128139986,3.99995688338,0.0,0.0,9.17985065927,19.4245,47.9107351889,0.0,33.3988,14.5119351889
 01/02  22:00:00,38.834007104,3.99995688338,0.0,0.0,9.17985065927,19.4245,40.7953653573,0.0568213832487,25.0491,15.6894439741
 01/02  23:00:00,38.7125678354,3.99995688338,0.0,0.0,9.17985065927,19.4245,29.5203717366,0.0676595256802,16.6994,12.7533122109
 01/02  24:00:00,39.481648497,3.99995688338,0.0,0.0,9.17985065927,19.4245,15.3106232513,0.0329240837935,8.3497,6.92799916753
 01/03  01:00:00,22.7594362106,3.99995688338,0.0,0.0,4.58992532963,8.1892,14.8457184558,5.16079885252,3.33988,6.34503960325
 01/03  02:00:00,14.9346659825,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/03  03:00:00,14.9663538487,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/03  04:00:00,14.9805117443,0.0,0.0,0.0,1.52997510988,7.4902,3.93196489271,0.0,3.33988,0.592084892714
 01/03  05:00:00,15.7320486508,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/03  06:00:00,23.5062600238,3.99995688338,0.0,0.0,4.58992532963,8.1892,15.0433367135,6.10154593927,8.3497,0.592090774189
 01/03  07:00:00,39.1766144098,3.99995688338,0.0341813257828,0.0,9.17985065927,19.4245,21.3894432423,0.0773953563499,16.6994,4.61264788595
 01/03  08:00:00,46.3932688605,3.99995688338,0.0542610216312,0.0,9.17985065927,26.9147,41.9449550815,0.023581881595,25.0491,16.8722731999
 01/03  09:00:00,42.1400515846,3.99995688338,0.0197647589319,0.0,9.17985065927,26.9147,49.0895040407,0.0,33.3988,15.6907040407
 01/03  10:00:00,34.6300281488,3.99995688338,0.0,0.0,9.17985065927,19.4245,37.8505360194,0.0499958916134,25.0491,12.7514401278
 01/03  11:00:00,42.1468015292,3.99995688338,0.0172414543902,0.0,9.17985065927,26.9147,53.3292666694,0.0,41.7485,11.5807666694
 01/03  12:00:00,43.5222645677,3.99995688338,0.669433567298,0.0,9.17985065927,26.9147,54.5012011733,0.0,41.7485,12.7527011733
 01/03  13:00:00,44.3348877191,3.99995688338,2.13395713147,0.0,9.17985065927,26.9147,53.3308613955,0.0,41.7485,11.5823613955
 01/03  14:00:00,35.2315227679,3.99995688338,0.586501178031,0.0,9.17985065927,19.4245,43.8085597894,0.0,33.3988,10.4097597894
 01/03  15:00:00,34.644738473,3.99995688338,0.0,0.0,9.17985065927,19.4245,33.7448584458,0.0286091226743,25.0491,8.66714932308
 01/03  16:00:00,34.644163962,3.99995688338,0.0,0.0,9.17985065927,19.4245,42.0963802358,0.0301153384499,33.3988,8.66746489736
 01/03  17:00:00,42.4269553503,3.99995688338,0.300787794647,0.0,9.17985065927,26.9147,58.7653906497,0.0,50.0982,8.66719064973
 01/03  18:00:00,46.1518464033,3.99995688338,0.88063884168,0.0,9.17985065927,26.9147,61.6775900385,0.0,50.0982,11.5793900385
 01/03  19:00:00,47.6666708987,3.99995688338,1.37205080824,0.0,9.17985065927,26.9147,65.7873241884,0.0,50.0982,15.6891241884
 01/03  20:00:00,39.2228999353,3.99995688338,0.423454653971,0.0,9.17985065927,19.4245,50.2687055251,0.0,33.3988,16.8699055251
 01/03  21:00:00,38.9528636921,3.99995688338,0.152674422053,0.0,9.17985065927,19.4245,47.9096899132,0.0,33.3988,14.5108899132
 01/03  22:00:00,38.7482502167,3.99995688338,0.0,0.0,9.17985065927,19.4245,40.7964747965,0.058429357754,25.0491,15.6889454388
 01/03  23:00:00,38.7231153792,3.99995688338,0.0,0.0,9.17985065927,19.4245,29.5498488351,0.0971533455811,16.6994,12.7532954895
 01/03  24:00:00,39.4799640763,3.99995688338,0.0,0.0,9.17985065927,19.4245,15.7394090047,0.461410154849,8.3497,6.92829884987
