Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,941.43663782,96.7026002742,536.512481505,0.0,34.9616554283,113.312780494,638.941691009,624.544397788,5.66466996096,8.73262325933
 01/01  02:00:00,816.179728254,96.7026002742,380.57810173,0.0,34.9616554283,113.312780494,658.552523772,635.443847159,5.66466996096,17.4440066512
 01/01  03:00:00,770.220598286,96.7026002742,338.205589021,0.0,34.9616554283,113.312780494,662.408485083,639.301586549,5.66466996096,17.4422285735
 01/01  04:00:00,740.140650292,96.7026002742,315.788715649,0.0,34.9616554283,113.312780494,678.177074453,655.068711431,5.66466996096,17.4436930611
 01/01  05:00:00,719.331836198,96.7026002742,286.586307892,0.0,44.4937663224,113.312780494,692.827562476,669.717935955,5.66466996096,17.4449565598
 01/01  06:00:00,698.735294503,96.7026002742,269.556669508,0.0,44.4937663224,113.312780494,712.178021711,680.573315983,14.1616749024,17.4430308248
 01/01  07:00:00,767.165319469,96.7026002742,265.749874529,0.0,54.0258772165,176.889270242,660.259703247,614.495184588,28.3233498048,17.4411688544
 01/01  08:00:00,776.656707573,96.7026002742,265.206941164,0.0,54.0258772165,184.38654557,659.724490659,608.506299278,42.4850247072,8.73316667345
 01/01  09:00:00,865.698912123,96.7026002742,291.492355743,0.0,65.1572554096,220.04316451,641.88389831,558.949220899,56.6466996096,26.2879778015
 01/01  10:00:00,969.315795896,96.7026002742,398.311553,0.0,65.1572554096,212.545889182,603.873194343,534.966659794,42.4850247072,26.4215098421
 01/01  11:00:00,1089.4925742,96.7026002742,506.270914037,0.0,65.1572554096,220.04316451,627.617091237,521.414099945,70.808374512,35.3946167803
 01/01  12:00:00,1101.39157445,96.7026002742,518.664733729,0.0,65.1572554096,220.04316451,611.46380996,514.0919423,70.808374512,26.5634931483
 01/01  13:00:00,1104.1002051,96.7026002742,530.638049688,0.0,65.1572554096,220.04316451,613.712454406,507.502225276,70.808374512,35.4018546176
 01/01  14:00:00,1104.75801594,96.7026002742,542.293996563,0.0,65.1572554096,212.545889182,582.719000558,499.522064123,56.6466996096,26.5502368257
 01/01  15:00:00,1107.96685467,96.7026002742,550.952150668,0.0,65.1572554096,212.545889182,567.86366517,489.968838407,42.4850247072,35.409802056
 01/01  16:00:00,1113.14283163,96.7026002742,558.327178653,0.0,65.1572554096,212.545889182,576.16398781,484.11786605,56.6466996096,35.3994221498
 01/01  17:00:00,1093.87710632,96.7026002742,563.756710974,0.0,65.1572554096,220.04316451,578.073661661,466.54874523,84.9700494144,26.5548670161
 01/01  18:00:00,1056.57335624,96.7026002742,568.514139391,0.0,54.0258772165,184.38654557,605.745591427,494.354491385,84.9700494144,26.4210506272
 01/01  19:00:00,1031.48459148,96.7026002742,571.769267458,0.0,44.4937663224,163.454314868,637.455909145,535.040840339,84.9700494144,17.4450193914
 01/01  20:00:00,1021.14932588,96.7026002742,573.592644802,0.0,44.4937663224,155.95703954,614.283394608,540.193592255,56.6466996096,17.4431027434
 01/01  21:00:00,976.218212568,96.7026002742,576.428226993,0.0,44.4937663224,124.558693486,653.167770257,579.079827673,56.6466996096,17.4412429747
 01/01  22:00:00,975.283432227,96.7026002742,579.259383949,0.0,44.4937663224,124.558693486,644.377577742,584.446664353,42.4850247072,17.4458886818
 01/01  23:00:00,966.487067189,96.7026002742,580.549388225,0.0,34.9616554283,124.558693486,647.80083901,602.033603251,28.3233498048,17.443885954
 01/01  24:00:00,968.119326066,96.7026002742,580.919736808,0.0,34.9616554283,124.558693486,636.881397398,605.277718194,14.1616749024,17.4420043012
 01/02  01:00:00,969.493245524,96.7026002742,583.241389691,0.0,46.0930336215,113.312780494,620.200118636,605.805016002,5.66466996096,8.73043267263
