Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,139.5546266,30.9420441721,15.3810293232,0.0,34.4311606118,33.1021868926,271.922207756,130.111481386,3.33212,138.47860637
 01/01  02:00:00,145.235985399,30.9420441721,21.0867445244,0.0,34.4311606118,33.1021868926,202.011860501,96.2954129265,3.33212,102.384327575
 01/01  03:00:00,130.315986791,30.9420441721,23.6704780678,0.0,19.466279405,30.610668775,178.995126107,68.3701938406,3.33212,107.292812266
 01/01  04:00:00,132.030145313,30.9420441721,25.3983734501,0.0,19.466279405,30.610668775,163.030891849,51.6816276844,3.33212,108.017144165
 01/01  05:00:00,141.343767455,30.9420441721,28.1344870149,0.0,19.466279405,30.610668775,184.018476329,42.4175007406,3.33212,138.268855589
 01/01  06:00:00,156.883170682,30.9420441721,31.427596704,0.0,19.466279405,30.610668775,217.26879329,37.6133265349,8.3303,171.325166755
 01/01  07:00:00,281.126151781,33.3612099484,79.3089527406,0.0,42.6918050922,54.3732441037,299.21431739,34.5790450158,16.6606,247.974672375
 01/01  08:00:00,299.341059831,35.7803757248,42.3627088982,0.0,49.3960418185,88.5934452969,639.668776886,201.22603873,24.9909,413.451838156
 01/01  09:00:00,355.457405362,35.7803757248,83.3599571282,0.0,57.6566862989,112.030105488,848.066399744,225.188271956,33.3212,589.556927788
 01/01  10:00:00,316.229702299,36.1965339775,99.5089519028,0.0,50.9524495726,81.1684271793,677.978836525,191.978029831,66.8089,419.191906694
 01/01  11:00:00,243.883511489,36.4174912138,72.3629253264,0.0,42.6918050922,68.9656133826,544.942063859,140.062572141,83.4695,321.409991718
 01/01  12:00:00,224.677853957,36.467277609,57.1985652179,0.0,38.286128036,68.9656133826,460.453319897,121.720410526,83.4695,255.263409371
 01/01  13:00:00,218.208046608,36.5028070075,51.7222549708,0.0,38.286128036,68.9656133826,355.999117765,85.2970029373,83.4695,187.232614828
 01/01  14:00:00,197.321516597,36.5317195125,49.7616596361,0.0,31.5818913096,56.727595265,332.017727038,69.6330479271,75.1392,187.245479111
 01/01  15:00:00,200.049671833,36.5597512082,52.393566955,0.0,31.5818913096,56.727595265,310.19825902,63.6827147152,66.8089,179.706644305
 01/01  16:00:00,201.156774863,36.5847720605,53.4242183787,0.0,31.5818913096,56.727595265,308.370177471,51.5088647883,75.1392,181.722112682
 01/01  17:00:00,235.182042005,36.2895917521,58.3943821186,0.0,31.5818913096,61.661095265,272.04633804,36.9166050167,91.7998,143.329933023
 01/01  18:00:00,280.863493649,35.7803757248,65.7552793421,0.0,31.5818913096,70.9729253606,265.071419572,36.3474695606,49.9818,178.742150011
 01/01  19:00:00,358.5626636,35.7803757248,76.1088057116,0.0,80.3315023541,83.7685254822,300.940188122,36.6174698101,49.9818,214.340918312
 01/01  20:00:00,376.34562014,35.7803757248,89.8657090265,0.0,102.000620287,77.6748002752,348.401884591,34.2536602806,33.3212,280.82702431
 01/01  21:00:00,410.099385394,35.7803757248,102.612141382,0.0,108.704857014,91.4735406516,358.241123867,51.6742551817,33.3212,273.245668685
 01/01  22:00:00,369.290274301,35.7803757248,89.6563908193,0.0,95.2963835608,89.1510273009,398.921679592,93.4743203975,24.9909,280.456459195
 01/01  23:00:00,316.356898539,35.7803757248,90.3370675034,0.0,80.3315023541,63.3799339444,535.342248565,109.559733733,16.6606,409.121914832
 01/01  24:00:00,235.792141669,35.7803757248,74.310640099,0.0,42.6918050922,48.4199368926,365.396039016,113.268560577,8.3303,243.797178439
 01/02  01:00:00,130.160627268,30.9420441721,17.5356336098,0.0,25.5240853573,30.610668775,222.459972153,80.8255022361,3.33212,138.302349917
 01/02  02:00:00,131.637536555,30.9420441721,26.4345041347,0.0,19.418418834,29.3649097162,156.967639557,52.1041017905,3.33212,101.531417767
 01/02  03:00:00,128.203572557,30.9420441721,30.9587114987,0.0,12.7620426787,28.1191506574,150.11878432,38.8989867558,3.33212,107.887677564
 01/02  04:00:00,131.002034615,30.9420441721,33.7688849085,0.0,12.7620426787,28.1191506574,139.329162445,34.4547489252,3.33212,101.54229352
 01/02  05:00:00,141.967818326,30.9420441721,38.1435335854,0.0,12.7620426787,28.1191506574,172.348412036,30.7148703812,3.33212,138.301421655
 01/02  06:00:00,179.637547558,30.9420441721,48.1901092344,0.0,25.5240853573,30.610668775,280.238607129,27.5578070527,8.3303,244.350500076
