Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,1002.08189129,97.6185932604,613.341258606,0.0,34.9616554283,113.312780494,573.065636132,558.695620568,5.66466996096,8.70534560347
 01/01  02:00:00,1034.38229239,97.6185932604,647.725248732,0.0,34.9616554283,113.312780494,598.892850096,575.837251755,5.66466996096,17.3909283799
 01/01  03:00:00,1032.73491664,97.6185932604,646.288924098,0.0,34.9616554283,113.312780494,592.660950666,578.290793968,5.66466996096,8.7054867368
 01/01  04:00:00,1034.1341668,97.6185932604,647.914379585,0.0,34.9616554283,113.312780494,604.323858705,581.268036441,5.66466996096,17.3911523032
 01/01  05:00:00,1046.38138624,97.6185932604,650.158441937,0.0,44.4937663224,113.312780494,587.203805976,572.833541657,5.66466996096,8.70559435774
 01/01  06:00:00,1048.57365121,97.6185932604,652.595028687,0.0,44.4937663224,113.312780494,607.08482061,575.53178845,14.1616749024,17.391357257
 01/01  07:00:00,1120.71252493,97.6185932604,651.660627675,0.0,54.0258772165,176.889270242,550.481907792,513.452858598,28.3233498048,8.70569938992
 01/01  08:00:00,1120.26100967,97.6185932604,659.887674438,0.0,54.0258772165,184.38654557,571.762330141,511.885745103,42.4850247072,17.3915603309
 01/01  09:00:00,1200.6008621,97.6185932604,661.16437711,0.0,65.1572554096,220.04316451,566.449327539,492.343358404,56.6466996096,17.4592695245
 01/01  10:00:00,1177.30739718,97.6185932604,644.085120761,0.0,65.1572554096,212.545889182,545.420868144,485.40161019,42.4850247072,17.5342332467
 01/01  11:00:00,1158.16667902,97.6185932604,615.606308432,0.0,65.1572554096,220.04316451,567.300098161,470.097038474,70.808374512,26.3946851755
 01/01  12:00:00,1147.19450787,97.6185932604,602.617424514,0.0,65.1572554096,220.04316451,556.160999219,458.954608379,70.808374512,26.3980163282
 01/01  13:00:00,1141.97059035,97.6185932604,598.118528728,0.0,65.1572554096,220.04316451,549.778001395,452.572758375,70.808374512,26.3968685084
 01/01  14:00:00,1129.88067741,97.6185932604,593.075466908,0.0,65.1572554096,212.545889182,530.689225959,447.646792276,56.6466996096,26.3957340739
 01/01  15:00:00,1128.38471388,97.6185932604,591.435226585,0.0,65.1572554096,212.545889182,512.905647345,444.026019281,42.4850247072,26.3946033569
 01/01  16:00:00,1128.59221036,97.6185932604,591.671385013,0.0,65.1572554096,212.545889182,524.544476715,441.499175206,56.6466996096,26.3986018989
 01/01  17:00:00,1096.92656251,97.6185932604,584.900325226,0.0,65.1572554096,220.04316451,545.827606587,434.460121275,84.9700494144,26.3974358973
 01/01  18:00:00,1061.13269742,97.6185932604,584.194688763,0.0,54.0258772165,184.38654557,557.439638347,454.934058489,84.9700494144,17.535530443
 01/01  19:00:00,1042.64940942,97.6185932604,592.806837441,0.0,44.4937663224,163.454314868,595.227902801,492.865673523,84.9700494144,17.3921798635
 01/01  20:00:00,1039.76109383,97.6185932604,596.9459618,0.0,44.4937663224,155.95703954,563.604378204,498.251528778,56.6466996096,8.70614981617
 01/01  21:00:00,975.121176748,97.6185932604,561.430841805,0.0,44.4937663224,124.558693486,591.870325848,517.833716935,56.6466996096,17.3899093042
 01/01  22:00:00,961.070104615,97.6185932604,546.821364284,0.0,44.4937663224,124.558693486,564.969366194,513.778079476,42.4850247072,8.70626201087
 01/01  23:00:00,958.771529244,97.6185932604,555.104248644,0.0,34.9616554283,124.558693486,575.659777605,529.946401186,28.3233498048,17.3900266145
 01/01  24:00:00,963.929407507,97.6185932604,559.515844159,0.0,34.9616554283,124.558693486,557.352958228,534.484912375,14.1616749024,8.7063709501
 01/02  01:00:00,966.786731945,97.6185932604,563.821994914,0.0,46.0930336215,113.312780494,557.75472354,534.699670697,5.66466996096,17.3903828815
 01/02  02:00:00,970.872748402,97.6185932604,568.237363517,0.0,46.0930336215,113.312780494,550.397435567,536.026149454,5.66466996096,8.7066161526
 01/02  03:00:00,974.82420363,97.6185932604,572.485063312,0.0,46.0930336215,113.312780494,561.941792866,538.886389557,5.66466996096,17.3907333478
 01/02  04:00:00,978.746090197,97.6185932604,576.69247685,0.0,46.0930336215,113.312780494,555.129610118,540.758178632,5.66466996096,8.70676152435
 01/02  05:00:00,1072.56403834,97.6185932604,580.302926579,0.0,100.150657288,148.969399434,528.177408256,505.120297319,5.66466996096,17.3924409754
 01/02  06:00:00,1069.49929556,97.6185932604,575.166779338,0.0,100.150657288,149.894399434,1038.76622107,1015.89764225,14.1616749024,8.70690392181
 01/02  07:00:00,1305.82135121,97.6185932604,583.241907338,0.0,176.471037341,302.612436532,693.943979167,648.22938723,28.3233498048,17.3912421327
 01/02  08:00:00,1416.55086994,97.6185932604,586.272750335,0.0,243.2593065,310.10971186,642.634720618,582.607077724,42.4850247072,17.5426181865
 01/02  09:00:00,1456.58418784,97.6185932604,585.060474474,0.0,243.2593065,310.10971186,635.212781198,552.140776486,56.6466996096,26.4253051026
 01/02  10:00:00,1489.63941775,97.6185932604,584.824228647,0.0,243.2593065,302.612436532,611.634687084,533.792763823,42.4850247072,35.356898554
 01/02  11:00:00,1488.85782547,97.6185932604,576.009271578,0.0,243.2593065,310.10971186,611.96758493,505.617916592,70.808374512,35.5412938256
 01/02  12:00:00,1490.67671491,97.6185932604,576.861111975,0.0,243.2593065,310.10971186,591.694470907,485.275036701,70.808374512,35.6110596943
 01/02  13:00:00,1449.90500064,97.6386977927,578.014768289,0.0,243.2593065,310.10971186,573.275900263,467.031155451,70.808374512,35.4363702994
 01/02  14:00:00,1478.39517267,97.7415177474,572.83038135,0.0,243.2593065,302.612436532,540.851282832,448.592416124,56.6466996096,35.612167098
 01/02  15:00:00,1471.98218766,97.8422025739,565.8923466,0.0,243.2593065,302.612436532,507.122761399,429.083386388,42.4850247072,35.5543503037
 01/02  16:00:00,1466.21724229,97.9326745095,559.63103987,0.0,243.2593065,302.612436532,511.245779514,419.109320885,56.6466996096,35.48975902
 01/02  17:00:00,1478.12239329,98.0112131047,565.121860372,0.0,243.2593065,310.10971186,539.504758653,419.229736941,84.9700494144,35.304972298
 01/02  18:00:00,1499.72845362,98.0881880718,575.711297816,0.0,243.2593065,310.10971186,523.592131751,421.130441291,84.9700494144,17.4916410453
 01/02  19:00:00,1246.01918142,97.6185932604,584.81552178,0.0,166.938926447,199.110933808,485.792705541,383.387317509,84.9700494144,17.4353386177
 01/02  20:00:00,1240.51490196,97.6185932604,586.260427235,0.0,166.938926447,191.61365848,452.665754389,387.289146645,56.6466996096,8.72990813421
 01/02  21:00:00,1071.75875351,97.6185932604,549.073506085,0.0,100.150657288,124.558693486,486.641375732,412.556725776,56.6466996096,17.4379503463
 01/02  22:00:00,1014.19456217,97.6185932604,531.436852584,0.0,100.150657288,124.558693486,466.381554437,406.499812466,42.4850247072,17.3967172637
 01/02  23:00:00,957.4262111,97.6185932604,541.745399206,0.0,46.0930336215,124.558693486,466.663574141,429.636293845,28.3233498048,8.70393049167
 01/02  24:00:00,966.304974426,97.6185932604,549.921520005,0.0,46.0930336215,124.558693486,466.443782465,434.890164353,14.1616749024,17.3919432105
 01/03  01:00:00,957.953460986,97.6185932604,554.247689834,0.0,46.0930336215,113.312780494,452.916238576,438.546721165,5.66466996096,8.70484745062
 01/03  02:00:00,961.195055462,97.6185932604,557.77783195,0.0,46.0930336215,113.312780494,464.503193561,441.446059093,5.66466996096,17.3924645075
 01/03  03:00:00,963.54648119,97.6185932604,560.332509315,0.0,46.0930336215,113.312780494,458.717475019,444.347774186,5.66466996096,8.70503087224
 01/03  04:00:00,966.883540302,97.6185932604,563.927348306,0.0,46.0930336215,113.312780494,471.112014009,448.054540407,5.66466996096,17.3928036411
 01/03  05:00:00,1062.9571192,97.6185932604,566.547170769,0.0,100.150657288,148.969399434,443.260646857,428.89080179,5.66466996096,8.70517510624
 01/03  06:00:00,1060.75816212,97.6185932604,563.38060902,0.0,100.150657288,149.894399434,738.994743948,707.438541268,14.1616749024,17.3945277775
 01/03  07:00:00,1294.52196028,97.7885490102,569.767519865,0.0,176.471037341,302.612436532,524.879020738,487.850352908,28.3233498048,8.70531802464
 01/03  08:00:00,1403.40330563,98.0701089015,571.831877355,0.0,243.2593065,310.10971186,519.290582168,450.500609961,42.4850247072,26.3049475003
 01/03  09:00:00,1443.32869261,98.1895270879,570.356550859,0.0,243.2593065,310.10971186,518.040873937,434.965222028,56.6466996096,26.4289522997
 01/03  10:00:00,1474.20399855,98.2806931223,567.6962369,0.0,243.2593065,302.612436532,493.698901629,424.696223331,42.4850247072,26.5176535904
 01/03  11:00:00,1477.17975977,98.3596421178,562.836367599,0.0,243.2593065,310.10971186,525.47429122,410.230380189,70.808374512,44.4355365187
 01/03  12:00:00,1473.9431817,98.5586617303,558.0593821,0.0,243.2593065,310.10971186,502.324264764,395.915418294,70.808374512,35.6004719585
 01/03  13:00:00,1430.38176098,98.9240595633,555.849145736,0.0,243.2593065,310.10971186,487.148259794,380.912191149,70.808374512,35.4276941332
 01/03  14:00:00,1463.57407221,99.4047003827,555.216993341,0.0,243.2593065,302.612436532,465.01354077,372.764431078,56.6466996096,35.6024100827
 01/03  15:00:00,1456.31415086,99.943954986,546.831299826,0.0,243.2593065,302.612436532,447.128013759,369.098150308,42.4850247072,35.5448387437
 01/03  16:00:00,1456.88845708,100.570564502,546.860544041,0.0,243.2593065,302.612436532,455.951207207,363.823138501,56.6466996096,35.4813690958
 01/03  17:00:00,1470.36331856,101.188776445,553.551869096,0.0,243.2593065,310.10971186,475.805105652,364.349560472,84.9700494144,26.4854957655
 01/03  18:00:00,1491.15458939,101.745367913,562.907193778,0.0,243.2593065,310.10971186,468.871602294,366.40779318,84.9700494144,17.4937596995
 01/03  19:00:00,1237.58419242,97.6185932604,575.865155402,0.0,166.938926447,199.110933808,460.40389295,357.994318246,84.9700494144,17.4395252896
 01/03  20:00:00,1235.61624291,97.6185932604,581.789164091,0.0,166.938926447,191.61365848,440.204477742,366.121536031,56.6466996096,17.436242101
 01/03  21:00:00,1069.82519407,97.6185932604,547.759622602,0.0,100.150657288,124.558693486,465.572387049,391.486926075,56.6466996096,17.4387613641
 01/03  22:00:00,1010.9036687,97.6185932604,529.015403033,0.0,100.150657288,124.558693486,436.869325891,385.675880159,42.4850247072,8.70842102496
 01/03  23:00:00,952.440840389,97.6185932604,537.038044062,0.0,46.0930336215,124.558693486,457.557472388,411.842007202,28.3233498048,17.3921153815
 01/03  24:00:00,963.205524362,97.6185932604,546.59072928,0.0,46.0930336215,124.558693486,441.657053402,418.789268785,14.1616749024,8.70610971427
 01/04  01:00:00,955.292919869,97.6185932604,551.348107799,0.0,46.0930336215,113.312780494,446.098934412,423.041599419,5.66466996096,17.3926650321
 01/04  02:00:00,958.627211054,97.6185932604,554.988228923,0.0,46.0930336215,113.312780494,440.883924293,426.512869261,5.66466996096,8.70638507078
 01/04  03:00:00,961.152321418,97.6185932604,557.739183762,0.0,46.0930336215,113.312780494,452.740903673,429.683229035,5.66466996096,17.3930046763
 01/04  04:00:00,963.757369307,97.6185932604,560.561338174,0.0,46.0930336215,113.312780494,456.041890156,432.985714393,5.66466996096,17.3915058014
 01/04  05:00:00,1056.27663242,97.6185932604,562.757607265,0.0,100.150657288,148.969399434,430.508847748,416.138377516,5.66466996096,8.70580027099
 01/04  06:00:00,1054.92000742,97.7358043491,559.78400172,0.0,100.150657288,149.894399434,651.247546729,619.694002188,14.1616749024,17.3918696383
 01/04  07:00:00,1289.06328465,98.4356072717,564.670019722,0.0,176.471037341,302.612436532,488.722845176,451.693506187,28.3233498048,8.70598918467
 01/04  08:00:00,1398.65521566,99.3349779956,565.560764973,0.0,243.2593065,310.10971186,484.765770464,415.976809223,42.4850247072,26.3039365333
 01/04  09:00:00,1435.58123773,100.045886182,560.288633632,0.0,243.2593065,310.10971186,482.295993557,399.220308054,56.6466996096,26.4289858931
 01/04  10:00:00,1461.75968773,100.569596583,552.124376324,0.0,243.2593065,302.612436532,454.59527053,385.585347973,42.4850247072,26.52489785
