Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,37.7637257507,5.43521930487,1.76195818887,0.0,12.925468867,10.100111941,23.9000110202,23.8800110202,0.0,0.02
 01/01  02:00:00,37.7707882397,5.43355820249,1.77154660858,0.000376311034829,12.925468867,10.100111941,24.498385696,18.7366595922,0.0,5.76172610385
 01/01  03:00:00,32.7960262291,5.38638083476,1.4218540858,0.0415206239881,8.34152022915,10.0650221343,24.7634678418,19.0018069425,0.0,5.76166089934
 01/01  04:00:00,32.6269584966,5.3605003377,1.22888613455,0.0913024517578,8.34152022915,10.0650221343,26.1271795331,20.3655915773,0.0,5.76158795578
 01/01  05:00:00,34.1060388428,5.33859731994,1.06267223743,0.151763034957,8.34152022915,11.6705166398,28.1605308984,22.3924450833,0.0,5.76808581514
 01/01  06:00:00,38.1703082258,5.32224451421,0.944255364326,0.192371649183,8.80141237637,15.3678112995,28.3452147316,22.569553876,0.0,5.77566085555
 01/01  07:00:00,58.6808273659,5.39277844637,1.48857240953,0.111197332669,18.5082010057,25.6353820695,27.7345194705,21.9465109131,0.0,5.78800855738
 01/01  08:00:00,71.0072186956,5.58140786416,2.93413768087,0.0,19.4926561212,41.1001056674,37.6266858939,20.1915951899,0.0,17.435090704
 01/01  09:00:00,97.2652880394,5.96742752208,6.93234266282,0.0,26.3286599382,57.9988325916,49.6125113043,8.01243848771,0.0,41.6000728166
 01/01  10:00:00,83.7968397255,5.91591414634,8.78943374849,0.0,26.2443270014,42.8153538416,50.7103219434,3.15356456368,18.025,29.5317573798
 01/01  11:00:00,58.2677477772,5.71666645731,7.33456890499,0.0,21.7447113004,23.4437158914,50.9216258402,3.47203687594,18.025,29.4245889643
 01/01  12:00:00,55.880136152,5.74254111582,7.32336307366,0.0,19.3449162599,23.4437158914,51.4513022907,4.07886880892,18.025,29.3474334818
 01/01  13:00:00,55.8196760194,5.75723092415,7.10629347422,0.0,19.190480192,23.7425572507,47.3943826936,5.95406885372,18.025,23.4153138399
 01/01  14:00:00,55.6403468193,5.75287392086,6.90519977718,0.0,19.260583323,23.698576057,45.473884344,4.03457562806,18.025,23.414308716
 01/01  15:00:00,55.2024159483,5.71056277788,6.50957977946,0.0,19.260583323,23.698576057,47.6226289843,6.18163357099,18.025,23.4159954133
 01/01  16:00:00,54.0771214888,5.61757480918,5.76722290623,0.0,19.260583323,23.4086260847,51.6882317039,10.2455469601,18.025,23.4176847438
 01/01  17:00:00,62.6304100931,5.52225155633,4.31249515447,0.0,19.260583323,27.8781056672,35.3351857662,11.5414430083,18.025,5.76874275788
 01/01  18:00:00,72.0387354315,5.60024161494,3.13623294081,0.0,18.1807569449,37.5792895564,17.7812926751,12.0056589793,0.0,5.77563369573
 01/01  19:00:00,87.0565458536,5.74381440748,4.11676840651,0.0,32.6059821062,37.0465235296,22.7054921165,16.922626303,0.0,5.78286581353
 01/01  20:00:00,87.9675497583,5.83489834712,4.70535437325,0.0,36.8143715336,33.066984531,30.8171687046,19.2430271911,0.0,11.5741415134
 01/01  21:00:00,94.2417219013,5.95713308089,5.4977907783,0.0,36.43363367,38.8072253906,33.3624559191,21.7900292621,0.0,11.572426657
 01/01  22:00:00,91.6301431266,5.93700250737,5.26305066997,0.0,36.0963922311,36.7877557581,35.8074548298,24.2332912184,0.0,11.5741636115
 01/01  23:00:00,67.9791930212,5.64726611313,3.22146018251,0.0,30.9507766546,20.6087787026,44.6419161545,27.2045909065,0.0,17.437325248
 01/01  24:00:00,43.8935783026,5.44302633445,1.77516533447,0.0,17.4250845679,11.7056064465,37.0388896486,31.2487194073,0.0,5.79017024135
 01/02  01:00:00,36.0496107364,5.38658367971,1.36202178277,0.0537712624722,11.6412384099,10.0650221343,38.7541589503,32.9851738807,0.0,5.76898506953
 01/02  02:00:00,34.3412976481,5.34918378891,1.0624894637,0.243215929278,10.0992000411,10.047477231,39.5650612366,33.8030808205,0.0,5.76198041615
 01/02  03:00:00,32.3746577231,5.31255238114,0.761267906508,0.473987034628,8.25718729233,10.0299323277,41.9917198668,36.229789732,0.0,5.76193013482
 01/02  04:00:00,32.503381598,5.29735189282,0.581984282728,0.797197395999,8.25718729233,10.0299323277,37.8703669436,37.8503669436,0.0,0.02
 01/02  05:00:00,34.7277046473,5.30494403896,0.437833423354,1.55133968457,8.25718729233,11.6354268332,45.5905806291,39.8215854602,0.0,5.76899516885
 01/02  06:00:00,42.828511096,5.3184393575,0.389373963355,2.10705074515,12.1011305571,15.3678112995,52.9086532209,41.3481980512,0.0,11.5604551697
 01/02  07:00:00,72.6636582105,5.46893741796,1.85349795911,0.798643117792,19.7275818095,37.2640762949,58.478100348,41.0402438078,0.0,17.4378565402
 01/02  08:00:00,86.7880408179,5.6392471567,3.15510570646,0.498468729265,24.3117294858,51.2795993405,55.6982023721,38.1743879537,0.0,17.5238144184
