Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,76.8119573545,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  02:00:00,77.7575941686,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  03:00:00,78.2200485239,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91560681873,0.0,1.75125,1.16435681873
 01/01  04:00:00,79.3014402884,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  05:00:00,86.4585865904,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  06:00:00,86.472254308,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91553243542,0.0,1.75125,1.16428243542
 01/01  07:00:00,128.453499143,28.3160429962,0.0,0.0,6.98738001645,14.1499734587,367.886175253,364.363675253,3.5025,0.02
 01/01  08:00:00,130.632314938,28.3160429962,0.0,0.0,6.98738001645,14.1499734587,328.676121722,325.153621722,3.5025,0.02
 01/01  09:00:00,163.597458939,28.3160429962,0.0,0.0,6.98738001645,14.1499734587,247.444318996,242.777434198,3.5025,1.16438479888
 01/01  10:00:00,137.52524761,28.3160429962,0.0,0.0,6.98738001645,14.1499734587,210.28581765,206.76331765,3.5025,0.02
 01/01  11:00:00,168.461870163,28.3160429962,0.00865854209035,0.0,27.9495200658,27.7759469175,186.625164265,178.455313668,7.005,1.16485059609
 01/01  12:00:00,196.527702175,28.3160429962,0.0,0.0,27.9495200658,27.7759469175,181.764143522,173.594338617,7.005,1.16480490486
 01/01  13:00:00,203.025518364,28.3160429962,0.0103719469371,0.0,41.9242800987,36.8599292233,175.290834692,164.785828987,9.34,1.16500570452
 01/01  14:00:00,200.028192734,28.3160429962,0.0217244273428,0.0,41.9242800987,36.8599292233,173.496702001,162.991763771,9.34,1.16493823037
 01/01  15:00:00,195.892569636,28.3160429962,0.0348140916327,0.0,41.9242800987,36.8599292233,182.449111013,171.944101332,9.34,1.16500968035
 01/01  16:00:00,192.250177478,28.3160429962,0.0,0.0,41.9242800987,36.8599292233,195.48717959,184.982235711,9.34,1.16494387942
 01/01  17:00:00,202.281563858,28.3160429962,0.0,0.0,41.9242800987,36.8599292233,201.875273304,191.370339316,9.34,1.16493398707
 01/01  18:00:00,177.053506554,28.3160429962,0.0,0.0,27.9495200658,27.7759469175,231.3849665,224.3599665,7.005,0.02
 01/01  19:00:00,183.019854133,28.3160429962,0.0,0.0,13.9747600329,18.6919646116,259.708673748,253.873913672,4.67,1.1647600766
 01/01  20:00:00,162.837419812,28.3160429962,0.0,0.0,13.9747600329,18.6919646116,275.722428842,269.887713408,4.67,1.16471543379
 01/01  21:00:00,154.003844714,28.3160429962,0.0,0.0,13.9747600329,18.6919646116,287.81897093,281.984364372,4.67,1.16460655776
 01/01  22:00:00,139.304172668,28.3160429962,0.0,0.0,13.9747600329,18.6919646116,258.747265214,254.057265214,4.67,0.02
 01/01  23:00:00,77.7853099545,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91559944346,0.0,1.75125,1.16434944346
 01/01  24:00:00,113.052407864,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/02  01:00:00,84.2828806269,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  02:00:00,77.7016683691,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  03:00:00,85.749836335,8.07110167399,0.0,0.0,3.49369000822,9.08398230582,18.8810112235,15.3817154424,2.335,1.16429578109
 01/02  04:00:00,89.7299312847,12.106652511,0.0,0.0,3.49369000822,9.08398230582,30.0807124594,27.7257124594,2.335,0.02
 01/02  05:00:00,96.3645773223,12.106652511,0.0,0.0,3.49369000822,9.08398230582,33.0712736421,30.7162736421,2.335,0.02
 01/02  06:00:00,91.8705340388,8.07110167399,0.0,0.0,3.49369000822,9.08398230582,28.4144643871,24.9151883009,2.335,1.16427608622
 01/02  07:00:00,137.439246418,28.3160429962,0.0,0.0,13.9747600329,18.6919646116,458.586608615,453.896608615,4.67,0.02
 01/02  08:00:00,136.195260783,28.3160429962,0.0,0.0,13.9747600329,18.6919646116,411.968131635,406.133661345,4.67,1.16447028942
 01/02  09:00:00,209.024281336,28.3160429962,0.0,0.0,34.9369000822,32.3179380704,362.567913512,354.375413512,8.1725,0.02
 01/02  10:00:00,233.024011001,28.3160429962,0.0,0.0,62.886420148,41.4019203762,311.872524317,300.200125336,10.5075,1.16489898094
 01/02  11:00:00,223.362328958,28.3160429962,0.0,0.0,62.886420148,41.4019203762,292.33451131,280.661991513,10.5075,1.16501979665
 01/02  12:00:00,254.268732676,28.3160429962,0.0,0.0,62.886420148,41.4019203762,272.050183225,260.377178881,10.5075,1.16550434421
 01/02  13:00:00,234.095675504,28.3160429962,0.0,0.0,62.886420148,41.4019203762,256.68606655,243.867570039,10.5075,2.31099651083
 01/02  14:00:00,230.937897263,28.3160429962,0.0,0.0,62.886420148,41.4019203762,248.300479732,236.627570087,10.5075,1.16540964526
 01/02  15:00:00,227.327404481,28.3160429962,0.0,0.0,62.886420148,41.4019203762,240.268279953,228.595579181,10.5075,1.16520077248
 01/02  16:00:00,224.072065915,28.3160429962,0.0,0.0,62.886420148,41.4019203762,235.767781171,222.949907753,10.5075,2.31037341775
 01/02  17:00:00,234.363861446,28.3160429962,0.0,0.0,62.886420148,41.4019203762,238.773569552,227.100828281,10.5075,1.16524127101
 01/02  18:00:00,237.802128055,28.3160429962,0.0,0.0,62.886420148,41.4019203762,244.025160573,232.352531576,10.5075,1.16512899688
 01/02  19:00:00,237.476595829,28.3160429962,0.0,0.0,41.9242800987,36.8599292233,250.882337157,240.377242259,9.34,1.16509489741
 01/02  20:00:00,223.086782045,28.3160429962,0.0,0.0,41.9242800987,36.8599292233,257.541977604,247.037107132,9.34,1.16487047148
 01/02  21:00:00,198.557485251,28.3160429962,0.0,0.0,34.9369000822,32.3179380704,262.256925335,252.919489325,8.1725,1.16493600974
 01/02  22:00:00,141.49815761,28.3160429962,0.0,0.0,13.9747600329,18.6919646116,231.806840339,227.116840339,4.67,0.02
 01/02  23:00:00,83.9060614345,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49948861894,0.0,2.335,1.16448861894
 01/02  24:00:00,119.564461744,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/03  01:00:00,89.5717992677,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/03  02:00:00,82.5895960164,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49930605459,0.0,2.335,1.16430605459
 01/03  03:00:00,82.9663603419,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/03  04:00:00,84.0655472177,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/03  05:00:00,107.62636115,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49923478633,0.0,2.335,1.16423478633
 01/03  06:00:00,108.352480323,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/03  07:00:00,162.91203413,28.3160429962,0.0,0.0,13.9747600329,18.6919646116,305.74612614,301.05612614,4.67,0.02
 01/03  08:00:00,158.764753433,28.3160429962,0.0,0.0,13.9747600329,18.6919646116,270.862065506,265.027525957,4.67,1.16453954851
 01/03  09:00:00,222.298287057,28.3160429962,0.0,0.0,34.9369000822,32.3179380704,230.940046518,221.602908345,8.1725,1.16463817297
 01/03  10:00:00,249.929484833,28.3160429962,0.0205247437938,0.0,62.886420148,41.4019203762,191.418434825,180.890934825,10.5075,0.02
 01/03  11:00:00,241.744294278,28.3160429962,0.236391694351,0.0,62.886420148,41.4019203762,164.797761236,153.125166546,10.5075,1.16509469014
 01/03  12:00:00,271.015119,28.3160429962,0.501275549626,0.0,62.886420148,41.4019203762,145.613554593,132.795032576,10.5075,2.31102201697
