Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,22.1218758128,3.68378257237,0.0,0.0,4.58992532963,8.1892,201.953698405,190.523398358,3.33988,8.09042004707
 01/01  02:00:00,14.5988811781,0.0,0.0,0.0,1.52997510988,7.4902,3.93197316688,0.0,3.33988,0.592093166878
 01/01  03:00:00,14.6103915481,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  04:00:00,14.6224217317,0.0,0.0,0.0,1.52997510988,7.4902,3.93195694091,0.0,3.33988,0.592076940906
 01/01  05:00:00,14.7723932505,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  06:00:00,22.2477968243,3.68378257237,0.0091130369352,0.0,4.58992532963,8.1892,223.479517661,214.537734826,8.3497,0.592082834988
 01/01  07:00:00,38.2140444534,3.68378257237,0.0116111430145,0.0,9.17985065927,19.4245,230.882582095,208.991551007,16.6994,5.19163108791
 01/01  08:00:00,42.497693391,3.68378257237,0.00982329030155,0.0,9.17985065927,26.9147,226.043328418,195.802406164,25.0491,5.19182225418
 01/01  09:00:00,41.443493418,3.68378257237,0.00134807750974,0.0,9.17985065927,26.9147,226.557974863,187.967251641,33.3988,5.19192322232
 01/01  10:00:00,33.9603559903,3.68378257237,0.0,0.0,9.17985065927,19.4245,195.783689191,165.542096537,25.0491,5.19249265362
 01/01  11:00:00,41.4614365323,3.68378257237,0.00299808786816,0.0,9.17985065927,26.9147,202.973001498,143.772380238,41.7485,17.4521212601
 01/01  12:00:00,42.2357681078,3.68378257237,0.0,0.0,9.17985065927,26.9147,194.102747023,135.48221048,41.7485,16.8720365433
 01/01  13:00:00,41.5117321682,3.68378257237,0.0,0.0,9.17985065927,26.9147,182.186760021,127.097544311,41.7485,13.3407157108
 01/01  14:00:00,33.9884992178,3.68378257237,0.0,0.0,9.17985065927,19.4245,174.923866471,127.603104549,33.3988,13.9219619222
 01/01  15:00:00,33.9902082784,3.68378257237,0.0,0.0,9.17985065927,19.4245,168.90050058,133.439002692,25.0491,10.4123978876
 01/01  16:00:00,35.0359313291,3.68378257237,0.0,0.0,9.17985065927,19.4245,178.278231038,135.046002955,33.3988,9.83342808345
 01/01  17:00:00,45.6400488232,3.68378257237,0.00646910276213,0.0,9.17985065927,26.9147,199.478171108,138.967520125,50.0982,10.4124509831
 01/01  18:00:00,45.6434889892,3.68378257237,0.0,0.0,9.17985065927,26.9147,210.821413126,146.802052908,50.0982,13.9211602187
 01/01  19:00:00,45.6477363983,3.68378257237,0.0,0.0,9.17985065927,26.9147,220.177878485,153.207860682,50.0982,16.8718178029
 01/01  20:00:00,38.2908484659,3.68378257237,0.0,0.0,9.17985065927,19.4245,212.90423439,162.636134978,33.3988,16.8692994118
 01/01  21:00:00,38.2714987434,3.68378257237,0.0,0.0,9.17985065927,19.4245,218.397120315,171.078053836,33.3988,13.9202664787
 01/01  22:00:00,38.2025220095,3.68378257237,0.0,0.0,9.17985065927,19.4245,222.362809624,180.443032536,25.0491,16.8706770875
 01/01  23:00:00,38.0948000098,3.68378257237,0.0,0.0,9.17985065927,19.4245,211.415538934,181.377678523,16.6994,13.3384604101
 01/01  24:00:00,38.9060772869,3.68378257237,0.0,0.0,9.17985065927,19.4245,197.588371842,182.310032175,8.3497,6.92863966707
 01/02  01:00:00,22.14362669,3.68378257237,0.0,0.0,4.58992532963,8.1892,204.590927669,193.75126289,3.33988,7.49978477834
 01/02  02:00:00,14.596759716,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/02  03:00:00,14.609096563,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/02  04:00:00,14.6208481676,0.0,0.0,0.0,1.52997510988,7.4902,3.93195721816,0.0,3.33988,0.592077218156
 01/02  05:00:00,14.7710116344,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/02  06:00:00,22.2431821348,3.68378257237,0.00426046000461,0.0,4.58992532963,8.1892,231.712406818,222.770623689,8.3497,0.592083129296
 01/02  07:00:00,38.2130014823,3.68378257237,0.0119952474771,0.0,9.17985065927,19.4245,239.410543263,217.519338685,16.6994,5.19180457745
 01/02  08:00:00,42.5069885675,3.68378257237,0.0160900371286,0.0,9.17985065927,26.9147,250.013796938,204.538402941,25.0491,20.4262939969
 01/02  09:00:00,41.4515995173,3.68378257237,0.00169345940722,0.0,9.17985065927,26.9147,246.896898633,194.854996018,33.3988,18.643102615
 01/02  10:00:00,33.9664320116,3.68378257237,0.0,0.0,9.17985065927,19.4245,219.073062382,178.919338765,25.0491,15.1046236172
 01/02  11:00:00,41.4588596756,3.68378257237,0.00294293457693,0.0,9.17985065927,26.9147,220.327249621,164.656449244,41.7485,13.9223003767
 01/02  12:00:00,42.2318081229,3.68378257237,0.0,0.0,9.17985065927,26.9147,203.778115329,146.926423324,41.7485,15.103192005
 01/02  13:00:00,41.5089603226,3.68378257237,0.0,0.0,9.17985065927,26.9147,191.122364051,135.451371858,41.7485,13.9224921931
 01/02  14:00:00,33.9864145346,3.68378257237,0.0,0.0,9.17985065927,19.4245,178.85571735,133.291998342,33.3988,12.1649190077
