Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/02  01:00:00,133.099993234,22.5007243398,0.0,33.0150025411,4.12243109448,15.9888894789,200.039631689,197.047901271,2.97173041782,0.02
 01/02  02:00:00,119.24486521,18.7506036165,0.0,29.0720921198,4.12243109448,15.9888894789,160.013075734,157.021345316,2.97173041782,0.02
 01/02  03:00:00,144.707558395,23.4382545206,0.0,40.3812853562,4.12243109448,15.9888894789,209.670354147,206.678623729,2.97173041782,0.02
 01/02  04:00:00,123.279580744,18.7506036165,0.0,32.9989328083,4.12243109448,15.9888894789,173.623216586,170.631486168,2.97173041782,0.02
 01/02  05:00:00,173.812867296,27.697824413,0.0,39.2342409018,12.3672932834,24.9413748627,256.683477785,251.710593756,4.9528840297,0.02
 01/02  06:00:00,201.642698142,27.2747912345,0.0,67.7305820971,12.3672932834,24.9413748627,296.383428625,291.410544595,4.9528840297,0.02
 01/02  07:00:00,295.530421252,28.1272921262,0.0,113.149298028,24.7345865669,70.7195625826,301.938238748,292.012470688,9.90576805939,0.02
 01/02  08:00:00,301.384930566,28.1259054247,0.0,95.641004972,37.1018798503,92.3937384068,301.938238748,292.012470688,9.90576805939,0.02
 01/02  09:00:00,296.569866539,28.1259054247,0.0,83.079402261,37.1018798503,104.434947198,301.938238748,292.012470688,9.90576805939,0.02
 01/02  10:00:00,296.867361172,28.13201701,0.0,67.0182336886,37.1018798503,116.476155989,310.555628448,292.012470688,9.90576805939,8.63738970003
 01/02  11:00:00,282.087744559,28.1674522204,0.0,52.593737317,37.1018798503,116.476155989,273.496334979,254.946827072,9.90576805939,8.64373984753
 01/02  12:00:00,272.560811218,28.2243672742,0.0,43.1675068301,37.1018798503,116.476155989,238.600675517,228.674907458,9.90576805939,0.02
 01/02  13:00:00,256.025931389,28.2535646746,0.0,38.394661103,37.1018798503,104.434947198,234.09789629,215.552566015,9.90576805939,8.6395622154
 01/02  14:00:00,262.875471357,28.2635496348,0.0,35.3545586714,37.1018798503,116.476155989,211.837782508,201.912014449,9.90576805939,0.02
 01/02  15:00:00,260.606086091,28.2714805816,0.0,32.842548424,37.1018798503,116.476155989,212.054559978,193.50506764,9.90576805939,8.64372427889
 01/02  16:00:00,264.211754231,28.2786459982,0.0,31.2811758121,37.1018798503,116.476155989,215.985039455,197.437654115,9.90576805939,8.64161728037
 01/02  17:00:00,278.060889174,28.2534259309,0.0,34.0831017031,37.1018798503,116.476155989,230.326226555,220.400458495,9.90576805939,0.02
 01/02  18:00:00,288.030585974,28.1889310323,0.0,42.4890683498,37.1018798503,116.476155989,267.409474778,248.880134005,9.90576805939,8.6235727137
 01/02  19:00:00,170.080169665,26.6989687189,0.0,4.57488617374,24.7345865669,47.5788473902,192.526243822,187.553359792,4.9528840297,0.02
 01/02  20:00:00,179.508939667,27.697824413,0.0,12.7300110751,24.7345865669,47.5788473902,200.081536873,195.108652843,4.9528840297,0.02
 01/02  21:00:00,162.684923386,27.2697434012,0.0,16.4182919929,12.3672932834,38.6892022431,226.305172402,223.313441984,2.97173041782,0.02
 01/02  22:00:00,143.734230329,22.5863405421,0.0,24.8587749564,12.3672932834,27.0668015668,193.634995275,190.643264857,2.97173041782,0.02
 01/02  23:00:00,113.146037391,18.7506036165,0.0,23.2178075414,4.12243109448,15.9888894789,169.398041455,166.406311037,2.97173041782,0.02
 01/02  24:00:00,137.692747722,23.4382545206,0.0,33.7173572824,4.12243109448,15.9888894789,217.94143542,214.949705002,2.97173041782,0.02
 01/03  01:00:00,118.404011589,18.7506036165,0.0,28.4122985209,4.12243109448,15.9888894789,178.51795277,175.526222352,2.97173041782,0.02
 01/03  02:00:00,143.615048087,23.4382545206,0.0,39.6227735239,4.12243109448,15.9888894789,227.959685963,224.967955545,2.97173041782,0.02
 01/03  03:00:00,122.265584562,18.7506036165,0.0,32.3538841972,4.12243109448,15.9888894789,181.909175577,178.917445159,2.97173041782,0.02
 01/03  04:00:00,147.489896018,23.4382545206,0.0,43.559937995,4.12243109448,15.9888894789,223.329099768,220.33736935,2.97173041782,0.02
 01/03  05:00:00,164.198290056,27.2697434012,0.0,30.6278176615,12.3672932834,24.9413748627,256.345892918,251.373008888,4.9528840297,0.02
 01/03  06:00:00,216.16010994,27.7078661312,0.0,82.9299588968,12.3672932834,24.9413748627,296.012139086,291.039255057,4.9528840297,0.02
 01/03  07:00:00,281.544770748,28.1259054247,0.0,95.3471737422,24.7345865669,70.7195625826,301.938238748,292.012470688,9.90576805939,0.02
 01/03  08:00:00,287.880417585,28.1275194101,0.0,76.5081002409,37.1018798503,92.3937384068,310.527496211,292.012470688,9.90576805939,8.60925746375
