Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,61.4505323474,5.26175741019,0.0,0.0,15.863942322,29.242365,295.063913732,291.838233732,3.20568,0.02
 01/01  02:00:00,60.3373156805,4.37807977215,0.0,0.0,15.863942322,29.242365,234.88927154,231.66359154,3.20568,0.02
 01/01  03:00:00,61.8833210078,5.47259971519,0.0,0.0,15.863942322,29.242365,331.141264683,325.052055797,3.20568,2.88352888564
 01/01  04:00:00,60.4803278872,4.37807977215,0.0,0.0,15.863942322,29.242365,249.034535381,245.808855381,3.20568,0.02
 01/01  05:00:00,62.1994172235,5.47259971519,0.0,0.0,15.863942322,29.242365,337.544080596,331.454877667,3.20568,2.88352292906
 01/01  06:00:00,60.7630402193,4.37807977215,0.0,0.0,15.863942322,29.242365,258.179351131,254.953671131,3.20568,0.02
 01/01  07:00:00,62.300741348,5.47259971519,0.0,0.0,15.863942322,29.242365,347.023811444,340.934652015,3.20568,2.88347942865
 01/01  08:00:00,54.8452994074,4.37807977215,0.0,0.0,15.863942322,29.242365,237.230932047,234.005252047,3.20568,0.02
 01/01  09:00:00,53.3545644735,5.47259971519,0.0,0.0,15.863942322,29.242365,314.448328843,308.357110596,3.20568,2.88553824744
 01/01  10:00:00,51.7494134203,4.37807977215,0.0,0.0,15.863942322,29.242365,199.613546972,193.522347456,3.20568,2.88551951553
 01/01  11:00:00,52.9436388513,5.47259971519,0.0,0.0,15.863942322,29.242365,244.815600962,238.724421512,3.20568,2.88549944981
 01/01  12:00:00,52.2885867336,4.37807977215,0.0,0.0,15.863942322,29.242365,161.872951084,158.647271084,3.20568,0.02
 01/01  13:00:00,52.6228657707,5.47259971519,0.0,0.0,15.863942322,29.242365,191.632389738,185.541229166,3.20568,2.88548057166
 01/01  14:00:00,51.4058869092,4.37807977215,0.0,0.0,15.863942322,29.242365,140.357920023,134.266778319,3.20568,2.88546170379
 01/01  15:00:00,52.6475439632,5.47259971519,0.0,0.0,15.863942322,29.242365,196.481772906,193.256092906,3.20568,0.02
 01/01  16:00:00,54.2400199239,4.37807977215,0.0,0.0,15.863942322,29.242365,140.515374014,134.426179959,3.20568,2.88351405443
 01/01  17:00:00,61.0891701261,5.47259971519,0.0,0.0,15.863942322,29.242365,200.057224195,196.831544195,3.20568,0.02
 01/01  18:00:00,59.8701799536,4.37807977215,0.0,0.0,15.863942322,29.242365,154.069980489,147.980772125,3.20568,2.88352836492
