Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,13.4691902617,2.12560874742,0.0,0.0,1.85583932782,5.577,111.577663333,106.264018534,3.0011,2.31254479966
 01/01  02:00:00,9.43422091992,0.0,0.0,0.0,0.618613109274,5.0,3.59318762209,0.0,3.0011,0.592087622092
 01/01  03:00:00,9.44066047513,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  04:00:00,10.2653984571,0.814111163446,0.0,0.0,0.618613109274,5.0,37.9778674696,34.384673948,3.0011,0.592093521603
 01/01  05:00:00,10.5766654288,0.976933396135,0.0,0.0,0.618613109274,5.0,45.0837154359,42.0626154359,3.0011,0.02
 01/01  06:00:00,13.6039403935,2.12560874742,0.0,0.0,1.85583932782,5.577,126.307750085,121.214017875,4.50165,0.59208221005
 01/01  07:00:00,28.0925609778,2.12560874742,0.0,0.0,3.71167865564,18.077,129.18871863,113.945555211,13.50495,1.73821341861
 01/01  08:00:00,26.1438203525,2.12560874742,0.0,0.0,3.71167865564,18.077,132.411575113,109.665546995,21.0077,1.7383281176
 01/01  09:00:00,20.5114306351,2.12560874742,0.0,0.0,3.71167865564,13.077,123.709873002,106.965989044,15.0055,1.73838395846
 01/01  10:00:00,20.5218397325,2.12560874742,0.0,0.0,3.71167865564,13.077,106.183640377,89.4394913093,15.0055,1.73864906811
 01/01  11:00:00,25.5151005223,2.12560874742,0.0,0.0,3.71167865564,18.077,112.96876762,74.7645027661,33.0121,5.19216485373
 01/01  12:00:00,26.6709823517,2.12560874742,0.0,0.0,3.71167865564,18.077,113.329302121,67.6224681759,40.51485,5.19198394499
 01/01  13:00:00,25.7275179297,2.12560874742,0.0,0.0,3.71167865564,18.077,104.051857698,63.425893601,36.0132,4.61276409674
 01/01  14:00:00,25.5240251224,2.12560874742,0.0,0.0,3.71167865564,18.077,99.1188977279,63.5686807299,31.51155,4.03866699801
 01/01  15:00:00,20.5324500985,2.12560874742,0.0,0.0,3.71167865564,13.077,92.7070113052,68.2378357547,21.0077,3.4614755505
 01/01  16:00:00,21.1540897765,2.12560874742,0.0,0.0,3.71167865564,13.077,91.9510982015,68.9826337366,19.50715,3.4613144649
 01/01  17:00:00,22.9696341767,2.12560874742,0.0,0.0,3.71167865564,13.077,98.2115248985,72.8153664404,22.50825,2.88790845811
 01/01  18:00:00,27.9699711084,2.12560874742,0.0,0.0,3.71167865564,18.077,106.642831297,76.5208351374,25.50935,4.61264616006
 01/01  19:00:00,27.9701575315,2.12560874742,0.0,0.0,3.71167865564,18.077,111.288007866,80.5874677883,25.50935,5.19119007765
 01/01  20:00:00,28.1130711696,2.12560874742,0.0,0.0,3.71167865564,18.077,117.05453335,86.3537147867,25.50935,5.1914685637
 01/01  21:00:00,23.1036385155,2.12560874742,0.0,0.0,3.71167865564,13.077,121.275417996,94.1551407723,22.50825,4.61202722396
 01/01  22:00:00,23.0422423578,2.12560874742,0.0,0.0,3.71167865564,13.077,122.242448529,96.0428266624,21.0077,5.19192186684
 01/01  23:00:00,22.9391466238,2.12560874742,0.0,0.0,3.71167865564,13.077,118.208725412,96.1641892865,18.0066,4.03793612503
 01/01  24:00:00,24.1440370691,2.12560874742,0.0,0.0,3.71167865564,13.077,104.31742379,99.0040831103,3.0011,2.3122406792
 01/02  01:00:00,13.6691618241,2.12560874742,0.0,0.0,1.85583932782,5.577,113.511489996,108.198227306,3.0011,2.3121626905
 01/02  02:00:00,9.43328776125,0.0,0.0,0.0,0.618613109274,5.0,3.59319354329,0.0,3.0011,0.59209354329
 01/02  03:00:00,9.43955347165,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/02  04:00:00,10.4267018282,0.976933396135,0.0,0.0,0.618613109274,5.0,45.8666584591,42.2734848734,3.0011,0.592073585734
 01/02  05:00:00,10.5751955743,0.976933396135,0.0,0.0,0.618613109274,5.0,46.4990390505,43.4779390505,3.0011,0.02
 01/02  06:00:00,13.6034192246,2.12560874742,0.0,0.0,1.85583932782,5.577,130.870640938,126.348990938,4.50165,0.02
 01/02  07:00:00,28.0925785047,2.12560874742,0.0,0.0,3.71167865564,18.077,134.541083161,119.297839929,13.50495,1.73829323167
 01/02  08:00:00,26.1439052984,2.12560874742,0.0,0.0,3.71167865564,18.077,139.78042485,112.425393255,21.0077,6.34733159492
 01/02  09:00:00,20.511580044,2.12560874742,0.0,0.0,3.71167865564,13.077,129.817453326,108.467889746,15.0055,6.34406358041
 01/02  10:00:00,20.5218799111,2.12560874742,0.0,0.0,3.71167865564,13.077,118.858337411,99.2375506387,15.0055,4.61528677189
 01/02  11:00:00,25.5124043875,2.12560874742,0.0,0.0,3.71167865564,18.077,124.099859882,87.0486659678,33.0121,4.03909391385
 01/02  12:00:00,26.6658222185,2.12560874742,0.0,0.0,3.71167865564,18.077,122.358083587,76.6540866972,40.51485,5.18914688938
 01/02  13:00:00,25.7237468526,2.12560874742,0.0,0.0,3.71167865564,18.077,110.981026885,70.9291128729,36.0132,4.03871401164
 01/02  14:00:00,25.5234998731,2.12560874742,0.0,0.0,3.71167865564,18.077,103.9013696,68.3532314572,31.51155,4.03658814317
 01/02  15:00:00,20.5325843127,2.12560874742,0.0,0.0,3.71167865564,13.077,96.1438591625,72.2485627699,21.0077,2.88759639261
 01/02  16:00:00,21.1540031829,2.12560874742,0.0,0.0,3.71167865564,13.077,98.5357595996,75.5668459284,19.50715,3.46176367112
 01/02  17:00:00,22.96950089,2.12560874742,0.0,0.0,3.71167865564,13.077,109.480244331,83.5102976559,22.50825,3.46169667551
 01/02  18:00:00,27.9701271898,2.12560874742,0.0,0.0,3.71167865564,18.077,118.698769087,89.1503621214,25.50935,4.0390569659
 01/02  19:00:00,27.9703363964,2.12560874742,0.0,0.0,3.71167865564,18.077,122.628095305,91.3498499015,25.50935,5.76889540324
