Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,97.952351684,23.3093522859,0.0,0.0,3.49369000822,6.81298672936,167.791443216,166.020193216,1.75125,0.02
 01/01  02:00:00,99.3009447512,25.0689008722,0.0,0.0,3.49369000822,6.81298672936,165.193242859,163.421992859,1.75125,0.02
 01/01  03:00:00,91.2548362992,16.7126005815,0.0,0.0,3.49369000822,6.81298672936,149.929702182,147.014119254,1.75125,1.16433292754
 01/01  04:00:00,99.092303785,25.0689008722,0.0,0.0,3.49369000822,6.81298672936,239.565432782,237.794182782,1.75125,0.02
 01/01  05:00:00,106.148622578,25.0689008722,0.0,0.0,3.49369000822,6.81298672936,232.167040804,230.395790804,1.75125,0.02
 01/01  06:00:00,97.3450215945,16.7126005815,0.0,0.0,3.49369000822,6.81298672936,168.807744729,165.892156005,1.75125,1.16433872472
 01/01  07:00:00,127.511846627,33.4252011629,0.0,0.0,6.98738001645,14.1499734587,929.699869556,926.177369556,3.5025,0.02
 01/01  08:00:00,126.680273551,33.4252011629,0.0,0.0,6.98738001645,14.1499734587,864.709326399,860.042439141,3.5025,1.16438725824
 01/01  09:00:00,159.013234196,33.4252011629,0.0,0.0,6.98738001645,14.1499734587,742.04792951,738.52542951,3.5025,0.02
 01/01  10:00:00,131.339415763,33.4252011629,0.0,0.0,6.98738001645,14.1499734587,654.663102469,649.996108261,3.5025,1.16449420749
 01/01  11:00:00,166.043935459,33.4252011629,0.0,0.0,27.9495200658,27.7759469175,570.203681915,563.178681915,7.005,0.02
 01/01  12:00:00,197.624404074,33.4252011629,0.0,0.0,27.9495200658,27.7759469175,541.363324978,533.193374688,7.005,1.16495028994
 01/01  13:00:00,204.803188567,33.4252011629,0.0,0.0,41.9242800987,36.8599292233,497.640243524,487.13524646,9.34,1.16499706385
 01/01  14:00:00,201.756260185,33.4252011629,0.0,0.0,41.9242800987,36.8599292233,486.853008536,476.347999257,9.34,1.16500927842
 01/01  15:00:00,197.952700678,33.4252011629,0.0,0.0,41.9242800987,36.8599292233,484.225173466,473.720206358,9.34,1.16496710764
 01/01  16:00:00,197.908967383,33.4252011629,0.0,0.0,41.9242800987,36.8599292233,477.261803638,466.756837707,9.34,1.16496593069
 01/01  17:00:00,208.082774867,33.4252011629,0.0,0.0,41.9242800987,36.8599292233,489.478180959,478.973168723,9.34,1.16501223621
 01/01  18:00:00,179.612574552,33.4252011629,0.0,0.0,27.9495200658,27.7759469175,589.656631607,581.486668436,7.005,1.16496317074
 01/01  19:00:00,186.346039894,33.4252011629,0.0,0.0,13.9747600329,18.6919646116,638.835980334,633.001111426,4.67,1.16486890781
 01/01  20:00:00,166.132995868,33.4252011629,0.0,0.0,13.9747600329,18.6919646116,673.740653077,667.905741375,4.67,1.16491170193
 01/01  21:00:00,157.264025636,33.4252011629,0.0,0.0,13.9747600329,18.6919646116,705.327844887,699.493169245,4.67,1.16467564253
 01/01  22:00:00,143.351036635,33.4252011629,0.0,0.0,13.9747600329,18.6919646116,669.159016816,664.469016816,4.67,0.02
 01/01  23:00:00,86.7112139195,10.619000403,0.0,0.0,3.49369000822,6.81298672936,44.4491705291,41.533470749,1.75125,1.16444978015
 01/01  24:00:00,134.043459577,21.5731833213,0.0,0.0,3.49369000822,6.81298672936,142.291281856,140.520031856,1.75125,0.02
 01/02  01:00:00,107.59023298,24.5711697993,0.0,0.0,3.49369000822,9.08398230582,178.644865072,176.289865072,2.335,0.02
 01/02  02:00:00,96.7165337652,19.8148125486,0.0,0.0,3.49369000822,9.08398230582,156.250151813,152.750829039,2.335,1.16432277429
 01/02  03:00:00,98.8811734465,22.464419978,0.0,0.0,3.49369000822,9.08398230582,219.523629322,217.168629322,2.335,0.02
 01/02  04:00:00,101.334154935,24.5711697993,0.0,0.0,3.49369000822,9.08398230582,229.726655801,227.371655801,2.335,0.02
 01/02  05:00:00,103.177279626,19.8148125486,0.0,0.0,3.49369000822,9.08398230582,191.619601341,188.120307915,2.335,1.16429342587
 01/02  06:00:00,104.827444932,22.464419978,0.0,0.0,3.49369000822,9.08398230582,256.85424354,254.49924354,2.335,0.02
 01/02  07:00:00,142.366700853,33.4252011629,0.0,0.0,13.9747600329,18.6919646116,858.682061644,853.992061644,4.67,0.02
 01/02  08:00:00,140.902923921,33.4252011629,0.0,0.0,13.9747600329,18.6919646116,791.842489259,786.007922771,4.67,1.16456648722
 01/02  09:00:00,213.985485399,33.4252011629,0.0,0.0,34.9369000822,32.3179380704,723.249296008,715.056796008,8.1725,0.02
 01/02  10:00:00,237.9288954,33.4252011629,0.0,0.0,62.886420148,41.4019203762,636.186558856,624.514022756,10.5075,1.16503609986
 01/02  11:00:00,228.023172425,33.4252011629,0.0,0.0,62.886420148,41.4019203762,578.857173679,566.039392924,10.5075,2.31028075514
 01/02  12:00:00,259.089112821,33.4252011629,0.0,0.0,62.886420148,41.4019203762,533.221150276,521.548130605,10.5075,1.16551967178
 01/02  13:00:00,238.857116108,33.4252011629,0.0,0.0,62.886420148,41.4019203762,512.284274352,499.465408459,10.5075,2.31136589291
 01/02  14:00:00,235.297458802,33.4252011629,0.0,0.0,62.886420148,41.4019203762,488.979440511,477.306217427,10.5075,1.1657230839
 01/02  15:00:00,231.537237794,33.4252011629,0.0,0.0,62.886420148,41.4019203762,478.181233368,466.508206484,10.5075,1.16552688401
 01/02  16:00:00,231.517417879,33.4252011629,0.0,0.0,62.886420148,41.4019203762,476.551110188,463.732931084,10.5075,2.31067910383
 01/02  17:00:00,241.695279854,33.4252011629,0.0,0.0,62.886420148,41.4019203762,510.062188799,498.389439005,10.5075,1.1652497934
 01/02  18:00:00,241.66544659,33.4252011629,0.0,0.0,62.886420148,41.4019203762,555.270581156,543.597868508,10.5075,1.16521264843
 01/02  19:00:00,241.333346053,33.4252011629,0.0,0.0,41.9242800987,36.8599292233,579.218026861,568.712738944,9.34,1.16528791713
 01/02  20:00:00,225.014891033,33.4252011629,0.0,0.0,41.9242800987,36.8599292233,599.831104508,589.326164942,9.34,1.16493956608
 01/02  21:00:00,199.9751553,33.4252011629,0.0,0.0,34.9369000822,32.3179380704,630.372456956,621.035071863,8.1725,1.1648850927
 01/02  22:00:00,143.365744846,33.4252011629,0.0,0.0,13.9747600329,18.6919646116,621.78103419,615.946300167,4.67,1.16473402299
 01/02  23:00:00,89.878017437,11.5305243781,0.0,0.0,3.49369000822,9.08398230582,55.0053783264,52.6503783264,2.335,0.02
 01/02  24:00:00,137.168900676,22.4464057784,0.0,0.0,3.49369000822,9.08398230582,177.635846944,174.136438378,2.335,1.1644085666
 01/03  01:00:00,107.479646093,24.5711697993,0.0,0.0,3.49369000822,9.08398230582,208.955407564,206.600407564,2.335,0.02
 01/03  02:00:00,95.73965094,18.8886669572,0.0,0.0,3.49369000822,9.08398230582,174.989430481,171.490101355,2.335,1.1643291259
 01/03  03:00:00,99.734159757,23.3905655694,0.0,0.0,3.49369000822,9.08398230582,248.235192898,245.880192898,2.335,0.02
 01/03  04:00:00,101.312660189,24.5711697993,0.0,0.0,3.49369000822,9.08398230582,237.28222468,234.92722468,2.335,0.02
 01/03  05:00:00,118.169538277,18.8886669572,0.0,0.0,3.49369000822,9.08398230582,185.686705415,183.331705415,2.335,0.02
 01/03  06:00:00,122.16611393,23.3905655694,0.0,0.0,3.49369000822,9.08398230582,258.191964971,254.692667799,2.335,1.16429717133
 01/03  07:00:00,158.862294244,33.4252011629,0.0,0.0,13.9747600329,18.6919646116,811.050129897,806.360129897,4.67,0.02
 01/03  08:00:00,150.022714159,33.4252011629,0.0,0.0,13.9747600329,18.6919646116,739.4072307,733.572742016,4.67,1.16448868468
 01/03  09:00:00,214.071028478,33.4252011629,0.0,0.0,34.9369000822,32.3179380704,665.169796263,656.977296263,8.1725,0.02
 01/03  10:00:00,237.937143668,33.4252011629,0.0,0.0,62.886420148,41.4019203762,605.76521315,594.092753054,10.5075,1.16496009585
 01/03  11:00:00,228.037469421,33.4252011629,0.0,0.0,62.886420148,41.4019203762,572.837527462,561.164888694,10.5075,1.16513876807
 01/03  12:00:00,259.099235454,33.4252011629,0.0,0.0,62.886420148,41.4019203762,546.812178193,533.993539009,10.5075,2.31113918429
 01/03  13:00:00,238.860327007,33.4252011629,0.0,0.0,62.886420148,41.4019203762,528.353197895,516.136815152,10.5075,1.70888274353
 01/03  14:00:00,235.290823871,33.4252011629,0.0,0.0,62.886420148,41.4019203762,520.717813595,508.442372026,10.5075,1.76794156852
 01/03  15:00:00,231.518547166,33.4252011629,0.0,0.0,62.886420148,41.4019203762,513.125446043,501.452486124,10.5075,1.16545991856
 01/03  16:00:00,231.499033301,33.4252011629,0.0,0.0,62.886420148,41.4019203762,510.162553066,497.344504313,10.5075,2.31054875287
 01/03  17:00:00,241.688869421,33.4252011629,0.0,0.0,62.886420148,41.4019203762,514.20564809,502.532961715,10.5075,1.16518637485
 01/03  18:00:00,241.681000819,33.4252011629,0.0,0.0,62.886420148,41.4019203762,523.655560349,511.982618456,10.5075,1.16544189316
 01/03  19:00:00,241.339118855,33.4252011629,0.0,0.0,41.9242800987,36.8599292233,545.607726012,535.10249926,9.34,1.16522675228
 01/03  20:00:00,218.43903622,33.4252011629,0.0,0.0,41.9242800987,36.8599292233,564.098623133,553.593518729,9.34,1.16510440409
 01/03  21:00:00,193.809668209,33.4252011629,0.0,0.0,34.9369000822,32.3179380704,578.587467517,569.249921791,8.1725,1.16504572618
 01/03  22:00:00,138.621680784,33.4252011629,0.0,0.0,13.9747600329,18.6919646116,562.292838128,556.458163038,4.67,1.16467509008
 01/03  23:00:00,87.621108866,9.30515724378,0.0,0.0,3.49369000822,9.08398230582,35.2092987937,32.8542987937,2.335,0.02
 01/03  24:00:00,134.65002215,19.8803484809,0.0,0.0,3.49369000822,9.08398230582,118.709140113,115.209746754,2.335,1.16439335911
 01/04  01:00:00,107.492903184,24.4289609213,0.0,0.0,3.49369000822,9.08398230582,148.001682809,145.646682809,2.335,0.02
